,Date,Low,High,Close,Open
1169,2018-12-19,160.72,161.39,160.77,161.1
1168,2018-12-19,160.81,161.31,161.2,160.999
1167,2018-12-19,160.49,161.04,161.0,160.5
1166,2018-12-19,159.83,160.59,160.4901,160.31
1165,2018-12-19,160.0,160.805,160.32,160.805
1164,2018-12-19,160.37,160.98,160.78,160.56
1163,2018-12-19,160.45,161.18,160.52,160.9
1162,2018-12-19,159.85,161.11,160.8718,160.67
1161,2018-12-19,160.08,161.58,160.68,161.5769
1160,2018-12-19,160.39,161.54,161.54,160.94
1159,2018-12-19,159.15,161.03,160.94,160.18
1158,2018-12-19,160.1,161.7458,160.17,161.7458
1157,2018-12-19,161.21,162.4,161.75,162.4
1156,2018-12-19,162.16,163.34,162.42,163.22
1155,2018-12-19,162.73,163.45,163.23,162.73
1154,2018-12-19,162.68,164.96,162.7,164.96
1153,2018-12-19,164.69,165.4,165.04,165.05
1152,2018-12-19,164.46,165.44,165.03,164.9
1151,2018-12-19,164.291,165.02,164.89,164.54
1150,2018-12-19,163.85,164.6015,164.5502,164.31
1149,2018-12-19,163.18,164.35,164.31,163.48
1148,2018-12-19,162.9,164.56,163.5469,164.42
1147,2018-12-19,163.8,165.34,164.37,164.57
1146,2018-12-19,164.58,167.26,164.6099,166.71
1145,2018-12-19,166.37,166.97,166.94,166.485
1144,2018-12-19,166.36,166.5687,166.51,166.45
1143,2018-12-19,166.36,166.55,166.48,166.53
1142,2018-12-19,166.2698,166.57,166.53,166.2698
1141,2018-12-19,166.19,166.4,166.23,166.2905
1140,2018-12-19,165.98,166.24,166.24,166.03
1139,2018-12-19,165.89,166.0735,166.0,165.939
1138,2018-12-19,165.87,166.2859,165.93,166.24
1137,2018-12-19,165.9364,166.23,166.23,166.11
1136,2018-12-19,166.09,166.35,166.11,166.34
1135,2018-12-19,166.27,166.63,166.34,166.59
1134,2018-12-19,166.55,166.72,166.5999,166.6
1133,2018-12-19,166.6,166.71,166.62,166.68
1132,2018-12-19,166.57,167.09,166.63,166.97
1131,2018-12-19,166.94,167.23,166.96,167.23
1130,2018-12-19,166.93,167.24,167.24,166.99
1129,2018-12-19,166.8,167.06,167.02,166.8
1128,2018-12-19,166.545,166.79,166.79,166.5975
1127,2018-12-19,166.57,166.9,166.606,166.8
1126,2018-12-19,166.58,166.85,166.83,166.77
1125,2018-12-19,166.575,166.8,166.7501,166.8
1124,2018-12-19,166.78,166.87,166.78,166.84
1123,2018-12-19,166.68,166.94,166.87,166.7261
1122,2018-12-19,166.53,166.76,166.72,166.56
1121,2018-12-19,166.37,166.7,166.575,166.445
1120,2018-12-19,166.25,166.48,166.43,166.26
1119,2018-12-19,165.89,166.26,166.2478,165.96
1118,2018-12-19,165.79,166.0167,165.9409,165.9233
1117,2018-12-19,165.85,165.99,165.9,165.8501
1116,2018-12-19,165.78,166.0,165.85,166.0
1115,2018-12-19,165.95,166.2033,166.03,166.14
1114,2018-12-19,166.04,166.2,166.1256,166.12
1113,2018-12-19,165.9,166.22,166.14,165.97
1112,2018-12-19,165.9148,166.33,165.97,166.26
1111,2018-12-19,166.15,166.58,166.2748,166.47
1110,2018-12-19,166.4,166.62,166.481,166.6
1109,2018-12-19,166.4,166.63,166.62,166.63
1108,2018-12-19,166.41,166.76,166.6,166.41
1107,2018-12-19,166.25,166.4074,166.32,166.35
1106,2018-12-19,166.33,166.7,166.38,166.7
1105,2018-12-19,166.51,166.78,166.73,166.63
1104,2018-12-19,166.55,167.16,166.55,166.88
1103,2018-12-19,166.505,166.87,166.87,166.58
1102,2018-12-19,166.4292,167.16,166.6099,167.1
1101,2018-12-19,166.99,167.4248,167.1379,167.05
1100,2018-12-19,166.69,167.17,167.035,166.91
1099,2018-12-19,166.8,167.09,166.88,167.09
1098,2018-12-19,166.756,167.19,167.1,166.78
1097,2018-12-19,166.55,167.13,166.74,166.6
1096,2018-12-19,165.82,166.66,166.61,166.06
1095,2018-12-19,165.84,166.28,165.99,165.91
1094,2018-12-19,165.31,165.96,165.9,165.31
1093,2018-12-19,164.99,165.645,165.3,165.37
1092,2018-12-19,165.04,166.0,165.411,165.85
1091,2018-12-18,165.76,167.0,165.86,166.93
1090,2018-12-18,166.53,166.97,166.94,166.57
1089,2018-12-18,166.07,166.71,166.58,166.07
1088,2018-12-18,165.68,166.12,166.04,165.68
1087,2018-12-18,165.51,165.72,165.67,165.61
1086,2018-12-18,165.0,165.7,165.6158,165.0
1085,2018-12-18,164.76,165.16,164.96,165.16
1084,2018-12-18,164.9819,165.32,165.155,165.09
1083,2018-12-18,164.59,165.25,165.115,164.76
1082,2018-12-18,164.6,165.04,164.68,164.71
1081,2018-12-18,164.4,165.1456,164.73,164.88
1080,2018-12-18,164.7,165.15,164.85,164.91
1079,2018-12-18,164.9,165.47,164.92,165.41
1078,2018-12-18,165.3501,165.565,165.39,165.44
1077,2018-12-18,165.19,165.43,165.43,165.25
1076,2018-12-18,165.24,165.78,165.25,165.74
1075,2018-12-18,165.56,165.91,165.7562,165.89
1074,2018-12-18,165.81,166.37,165.85,166.37
1073,2018-12-18,166.13,166.5,166.38,166.21
1072,2018-12-18,166.15,166.4,166.2353,166.2632
1071,2018-12-18,166.02,166.53,166.2799,166.46
1070,2018-12-18,166.39,166.649,166.47,166.56
1069,2018-12-18,166.13,166.62,166.62,166.31
1068,2018-12-18,166.15,166.38,166.3237,166.234
1067,2018-12-18,165.92,166.29,166.2718,166.145
1066,2018-12-18,166.07,166.65,166.19,166.65
1065,2018-12-18,166.3,166.64,166.63,166.36
1064,2018-12-18,166.2,166.45,166.3408,166.22
1063,2018-12-18,166.2,166.7266,166.25,166.7
1062,2018-12-18,166.6431,166.97,166.71,166.93
1061,2018-12-18,166.79,167.1,166.94,166.98
1060,2018-12-18,166.9258,167.18,166.97,167.03
1059,2018-12-18,166.9039,167.13,167.04,167.1
1058,2018-12-18,166.88,167.19,167.11,166.99
1057,2018-12-18,166.75,167.03,166.95,166.99
1056,2018-12-18,166.95,167.346,167.011,167.28
1055,2018-12-18,167.27,167.53,167.27,167.45
1054,2018-12-18,167.1542,167.44,167.43,167.27
1053,2018-12-18,166.896,167.32,167.27,166.896
1052,2018-12-18,166.69,166.95,166.8938,166.835
1051,2018-12-18,166.8,167.075,166.82,167.075
1050,2018-12-18,166.89,167.28,167.08,166.95
1049,2018-12-18,166.77,167.04,166.9,166.9
1048,2018-12-18,166.84,167.18,166.85,167.1
1047,2018-12-18,166.72,167.128,167.08,166.88
1046,2018-12-18,166.58,166.99,166.87,166.59
1045,2018-12-18,165.9,166.59,166.59,165.9
1044,2018-12-18,165.55,165.9,165.89,165.55
1043,2018-12-18,165.51,165.8,165.58,165.61
1042,2018-12-18,165.45,165.96,165.56,165.88
1041,2018-12-18,165.6049,165.91,165.88,165.66
1040,2018-12-18,165.6,165.88,165.63,165.8
1039,2018-12-18,165.46,165.9,165.7896,165.46
1038,2018-12-18,165.1,165.48,165.45,165.16
1037,2018-12-18,164.86,165.17,165.16,164.96
1036,2018-12-18,164.99,165.1866,165.0,165.14
1035,2018-12-18,164.9702,165.39,165.16,165.38
1034,2018-12-18,165.18,165.45,165.39,165.3301
1033,2018-12-18,165.18,165.39,165.31,165.2
1032,2018-12-18,165.2301,165.64,165.24,165.39
1031,2018-12-18,165.29,165.68,165.37,165.51
1030,2018-12-18,165.411,165.75,165.51,165.411
1029,2018-12-18,165.1211,165.4388,165.4388,165.37
1028,2018-12-18,165.3365,166.03,165.38,166.02
1027,2018-12-18,165.686,166.13,165.99,165.94
1026,2018-12-18,165.92,166.32,165.9663,166.09
1025,2018-12-18,165.87,166.27,166.075,165.9593
1024,2018-12-18,165.6019,166.09,165.98,166.0
1023,2018-12-18,165.68,166.01,165.97,165.83
1022,2018-12-18,165.22,165.8,165.8,165.46
1021,2018-12-18,165.41,165.84,165.42,165.53
1020,2018-12-18,165.55,166.05,165.55,165.94
1019,2018-12-18,165.74,166.18,166.02,165.74
1018,2018-12-18,165.48,165.81,165.68,165.5975
1017,2018-12-18,165.4759,165.82,165.6,165.6
1016,2018-12-18,164.83,165.75,165.5441,164.83
1015,2018-12-18,164.6858,165.45,164.807,164.97
1014,2018-12-18,164.85,165.87,165.03,165.25
1013,2018-12-17,163.48,164.26,164.09,163.66
1012,2018-12-17,163.07,163.7,163.69,163.13
1011,2018-12-17,162.73,163.34,163.09,163.08
1010,2018-12-17,163.09,163.56,163.09,163.38
1009,2018-12-17,163.17,163.8109,163.44,163.4
