,Date,Low,High,Close,Open
1129,2018-12-19,1.63,1.64,1.64,1.64
1128,2018-12-19,1.63,1.67,1.635,1.645
1127,2018-12-19,1.635,1.655,1.641,1.64
1126,2018-12-19,1.6201,1.64,1.635,1.64
1125,2018-12-19,1.63,1.655,1.63,1.655
1124,2018-12-19,1.65,1.7023,1.655,1.7
1123,2018-12-19,1.7,1.705,1.7,1.7001
1122,2018-12-19,1.7,1.705,1.7,1.7
1121,2018-12-19,1.7,1.705,1.7,1.7
1120,2018-12-19,1.7,1.71,1.705,1.71
1119,2018-12-19,1.7,1.705,1.7,1.7
1118,2018-12-19,1.7,1.72,1.7,1.72
1117,2018-12-19,1.72,1.73,1.72,1.73
1116,2018-12-19,1.73,1.74,1.73,1.74
1115,2018-12-19,1.74,1.745,1.74,1.74
1114,2018-12-19,1.75,1.77,1.75,1.765
1113,2018-12-19,1.76,1.77,1.765,1.77
1112,2018-12-19,1.76,1.78,1.76,1.77
1111,2018-12-19,1.75,1.77,1.765,1.75
1110,2018-12-19,1.7454,1.76,1.76,1.7568
1109,2018-12-19,1.72,1.75,1.75,1.72
1108,2018-12-19,1.72,1.73,1.725,1.72
1107,2018-12-19,1.73,1.74,1.73,1.74
1106,2018-12-19,1.73,1.765,1.7365,1.75
1105,2018-12-19,1.75,1.77,1.755,1.77
1104,2018-12-19,1.77,1.78,1.77,1.77
1103,2018-12-19,1.77,1.78,1.775,1.78
1102,2018-12-19,1.77,1.785,1.775,1.785
1101,2018-12-19,1.78,1.79,1.78,1.79
1100,2018-12-19,1.78,1.7889,1.785,1.7801
1099,2018-12-19,1.79,1.8,1.79,1.8
1098,2018-12-19,1.795,1.81,1.805,1.795
1097,2018-12-19,1.79,1.8001,1.795,1.8
1096,2018-12-19,1.8,1.8107,1.8,1.8107
1095,2018-12-19,1.81,1.81,1.81,1.81
1094,2018-12-19,1.81,1.815,1.815,1.81
1093,2018-12-19,1.81,1.82,1.82,1.81
1092,2018-12-19,1.805,1.835,1.81,1.835
1091,2018-12-19,1.83,1.835,1.83,1.83
1090,2018-12-19,1.835,1.84,1.8359,1.835
1089,2018-12-19,1.83,1.84,1.84,1.83
1088,2018-12-19,1.82,1.84,1.83,1.825
1087,2018-12-19,1.82,1.82,1.82,1.82
1086,2018-12-19,1.83,1.84,1.83,1.835
1085,2018-12-19,1.82,1.83,1.83,1.82
1084,2018-12-19,1.82,1.85,1.82,1.85
1083,2018-12-19,1.84,1.86,1.84,1.86
1082,2018-12-19,1.83,1.85,1.85,1.835
1081,2018-12-19,1.82,1.84,1.84,1.83
1080,2018-12-19,1.82,1.82,1.82,1.82
1079,2018-12-19,1.82,1.83,1.825,1.82
1078,2018-12-19,1.81,1.829,1.82,1.81
1077,2018-12-19,1.8,1.83,1.81,1.8
1076,2018-12-19,1.8,1.8,1.8,1.8
1075,2018-12-19,1.81,1.82,1.81,1.82
1074,2018-12-19,1.8201,1.834,1.8201,1.83
1073,2018-12-19,1.83,1.835,1.835,1.83
1072,2018-12-19,1.83,1.83,1.83,1.83
1071,2018-12-19,1.83,1.85,1.83,1.85
1070,2018-12-19,1.85,1.85,1.85,1.85
1069,2018-12-19,1.85,1.8525,1.85,1.8523
1068,2018-12-19,1.85,1.8601,1.8501,1.86
1067,2018-12-19,1.86,1.86,1.86,1.86
1066,2018-12-19,1.86,1.89,1.86,1.87
1065,2018-12-19,1.775,1.88,1.87,1.775
1064,2018-12-19,1.78,1.8,1.78,1.8
1063,2018-12-19,1.8,1.81,1.8,1.8
1062,2018-12-19,1.77,1.81,1.79,1.81
1061,2018-12-19,1.8101,1.85,1.8191,1.85
1060,2018-12-19,1.79,1.85,1.85,1.795
1059,2018-12-19,1.805,1.835,1.81,1.835
1058,2018-12-19,1.84,1.855,1.85,1.855
1057,2018-12-19,1.8501,1.865,1.8501,1.8601
1056,2018-12-19,1.8701,1.89,1.8701,1.88
1055,2018-12-19,1.8601,1.89,1.885,1.88
1054,2018-12-19,1.9,1.9488,1.905,1.9401
1053,2018-12-19,1.9201,1.97,1.97,1.9201
1052,2018-12-19,1.9101,1.935,1.935,1.9101
1051,2018-12-18,1.91,1.97,1.95,1.97
1050,2018-12-18,1.97,2.0,1.975,1.97
1049,2018-12-18,1.945,1.965,1.965,1.95
1048,2018-12-18,1.95,1.96,1.95,1.955
1047,2018-12-18,1.94,1.96,1.96,1.94
1046,2018-12-18,1.94,1.945,1.94,1.94
1045,2018-12-18,1.93,1.95,1.94,1.95
1044,2018-12-18,1.95,1.9501,1.95,1.95
1043,2018-12-18,1.95,1.96,1.95,1.955
1042,2018-12-18,1.95,1.96,1.96,1.95
1041,2018-12-18,1.941,1.95,1.95,1.95
1040,2018-12-18,1.95,1.96,1.95,1.96
1039,2018-12-18,1.97,1.9701,1.97,1.97
1038,2018-12-18,1.9601,1.98,1.98,1.9601
1037,2018-12-18,1.96,1.98,1.96,1.98
1036,2018-12-18,1.98,1.99,1.985,1.99
1035,2018-12-18,1.985,1.99,1.99,1.985
1034,2018-12-18,1.98,1.985,1.98,1.98
1033,2018-12-18,1.975,1.99,1.988,1.975
1032,2018-12-18,1.97,1.99,1.97,1.9831
1031,2018-12-18,1.98,1.985,1.98,1.985
1030,2018-12-18,1.98,2.005,1.98,2.005
1029,2018-12-18,2.005,2.01,2.01,2.005
1028,2018-12-18,1.965,2.005,2.005,1.975
1027,2018-12-18,1.975,2.005,1.975,2.0
1026,2018-12-18,2.0,2.0001,2.0,2.0001
1025,2018-12-18,2.0,2.005,2.0,2.0
1024,2018-12-18,1.995,2.005,2.005,2.0
1023,2018-12-18,2.0,2.015,2.0099,2.015
1022,2018-12-18,2.015,2.035,2.015,2.03
1021,2018-12-18,2.03,2.04,2.0301,2.04
1020,2018-12-18,2.04,2.06,2.04,2.05
1019,2018-12-18,2.04,2.05,2.05,2.04
1018,2018-12-18,2.02,2.05,2.05,2.02
1017,2018-12-18,2.01,2.02,2.01,2.01
1016,2018-12-18,2.01,2.015,2.01,2.015
1015,2018-12-18,2.015,2.03,2.02,2.025
1014,2018-12-18,2.005,2.03,2.03,2.005
1013,2018-12-18,2.0,2.0078,2.005,2.005
1012,2018-12-18,1.975,2.0,2.0,1.99
1011,2018-12-18,1.99,2.0,2.0,1.995
1010,2018-12-18,1.99,2.0,2.0,1.995
1009,2018-12-18,1.9801,2.0001,1.995,2.0
1008,2018-12-18,2.0001,2.01,2.0001,2.01
1007,2018-12-18,2.0,2.01,2.005,2.01
1006,2018-12-18,2.0,2.03,2.0101,2.005
1005,2018-12-18,2.0,2.01,2.0041,2.0
1004,2018-12-18,1.98,2.01,2.005,1.99
1003,2018-12-18,1.96,1.9801,1.9801,1.96
1002,2018-12-18,1.95,1.96,1.959,1.955
1001,2018-12-18,1.9001,1.965,1.965,1.935
1000,2018-12-18,1.92,1.9525,1.935,1.9525
999,2018-12-18,1.95,1.985,1.9525,1.985
998,2018-12-18,1.98,1.985,1.98,1.98
997,2018-12-18,1.98,1.99,1.98,1.98
996,2018-12-18,1.98,1.9878,1.985,1.9878
995,2018-12-18,1.98,1.99,1.98,1.98
994,2018-12-18,1.9701,1.9877,1.975,1.98
993,2018-12-18,1.99,2.03,1.99,2.0
992,2018-12-18,2.0,2.06,2.0001,2.06
991,2018-12-18,2.045,2.06,2.05,2.06
990,2018-12-18,2.05,2.08,2.05,2.075
989,2018-12-18,2.05,2.085,2.085,2.06
988,2018-12-18,2.01,2.05,2.05,2.05
987,2018-12-18,1.9767,2.03,2.03,1.981
986,2018-12-18,1.98,2.085,1.9901,2.08
985,2018-12-18,2.09,2.15,2.09,2.115
984,2018-12-18,2.02,2.115,2.115,2.02
983,2018-12-18,1.925,2.03,2.01,2.03
982,2018-12-18,2.025,2.045,2.03,2.045
981,2018-12-18,2.04,2.11,2.04,2.105
980,2018-12-18,2.095,2.14,2.105,2.1
979,2018-12-18,2.1,2.1401,2.1001,2.1401
978,2018-12-18,2.145,2.16,2.145,2.15
977,2018-12-18,2.1001,2.16,2.1591,2.11
976,2018-12-18,2.095,2.135,2.1,2.1
975,2018-12-18,2.16,2.3,2.16,2.3
974,2018-12-18,2.3,2.485,2.3,2.485
973,2018-12-17,2.3925,2.415,2.4,2.415
972,2018-12-17,2.41,2.42,2.41,2.4146
971,2018-12-17,2.41,2.415,2.41,2.4101
970,2018-12-17,2.395,2.425,2.42,2.41
969,2018-12-17,2.415,2.45,2.415,2.45
968,2018-12-17,2.45,2.47,2.455,2.47
967,2018-12-17,2.47,2.4797,2.4701,2.47
966,2018-12-17,2.46,2.475,2.47,2.465
965,2018-12-17,2.4601,2.48,2.4601,2.48
964,2018-12-17,2.4801,2.489,2.4889,2.485
963,2018-12-17,2.475,2.49,2.489,2.475
962,2018-12-17,2.465,2.49,2.4702,2.485
961,2018-12-17,2.48,2.5001,2.48,2.5
960,2018-12-17,2.5,2.5097,2.5,2.505
959,2018-12-17,2.5,2.5099,2.5054,2.5075
958,2018-12-17,2.51,2.51,2.51,2.51
957,2018-12-17,2.51,2.51,2.51,2.51
956,2018-12-17,2.51,2.51,2.51,2.51
955,2018-12-17,2.51,2.51,2.51,2.51
954,2018-12-17,2.5001,2.515,2.51,2.51
953,2018-12-17,2.5,2.52,2.5,2.52
952,2018-12-17,2.515,2.52,2.515,2.52
951,2018-12-17,2.52,2.52,2.52,2.52
950,2018-12-17,2.51,2.52,2.51,2.515
949,2018-12-17,2.5185,2.53,2.52,2.5185
948,2018-12-17,2.5101,2.52,2.52,2.52
947,2018-12-17,2.5201,2.53,2.525,2.529
946,2018-12-17,2.52,2.53,2.529,2.52
945,2018-12-17,2.52,2.53,2.52,2.525
944,2018-12-17,2.52,2.525,2.52,2.52
943,2018-12-17,2.52,2.525,2.525,2.52
942,2018-12-17,2.5269,2.5283,2.5283,2.5269
941,2018-12-17,2.53,2.55,2.53,2.55
940,2018-12-17,2.55,2.57,2.55,2.55
939,2018-12-17,2.56,2.56,2.56,2.56
938,2018-12-17,2.55,2.58,2.55,2.57
937,2018-12-17,2.57,2.59,2.57,2.59
936,2018-12-17,2.58,2.59,2.58,2.5899
935,2018-12-17,2.58,2.59,2.5866,2.58
934,2018-12-17,2.58,2.595,2.58,2.5946
933,2018-12-17,2.59,2.63,2.59,2.63
932,2018-12-17,2.63,2.64,2.63,2.64
931,2018-12-17,2.6301,2.685,2.6301,2.68
930,2018-12-17,2.6897,2.71,2.69,2.71
929,2018-12-17,2.695,2.74,2.7,2.72
928,2018-12-17,2.7,2.77,2.72,2.77
927,2018-12-17,2.765,2.77,2.7676,2.765
926,2018-12-17,2.76,2.77,2.765,2.76
925,2018-12-17,2.765,2.775,2.775,2.765
924,2018-12-17,2.765,2.78,2.765,2.78
923,2018-12-17,2.775,2.785,2.78,2.785
922,2018-12-17,2.73,2.835,2.775,2.835
921,2018-12-17,2.82,2.8491,2.8491,2.82
920,2018-12-17,2.815,2.82,2.82,2.815
919,2018-12-17,2.815,2.82,2.815,2.82
918,2018-12-17,2.807,2.81,2.81,2.81
917,2018-12-17,2.82,2.83,2.82,2.82
916,2018-12-17,2.7801,2.835,2.835,2.7801
915,2018-12-17,2.745,2.765,2.765,2.745
914,2018-12-17,2.735,2.755,2.75,2.735
913,2018-12-17,2.72,2.7499,2.74,2.72
912,2018-12-17,2.68,2.78,2.7,2.78
911,2018-12-17,2.775,2.788,2.785,2.78
910,2018-12-17,2.71,2.77,2.77,2.71
909,2018-12-17,2.7,2.71,2.71,2.7
908,2018-12-17,2.72,2.8066,2.72,2.8066
907,2018-12-17,2.77,2.835,2.8099,2.827
906,2018-12-17,2.78,2.82,2.8,2.8
905,2018-12-17,2.8,2.9,2.8,2.9
904,2018-12-17,2.9,2.935,2.9,2.93
903,2018-12-17,2.91,2.96,2.94,2.94
902,2018-12-17,2.911,3.005,2.9241,3.005
901,2018-12-17,2.99,3.01,3.005,2.99
900,2018-12-17,2.961,3.0,2.995,2.99
899,2018-12-17,3.0,3.02,3.01,3.0
898,2018-12-17,2.98,3.0,2.985,3.0
897,2018-12-17,2.98,3.0101,2.99,3.0101
896,2018-12-17,3.04,3.18,3.04,3.18
895,2018-12-14,3.1,3.12,3.11,3.1
894,2018-12-14,3.11,3.13,3.115,3.125
893,2018-12-14,3.11,3.13,3.13,3.12
892,2018-12-14,3.11,3.13,3.115,3.13
891,2018-12-14,3.11,3.13,3.13,3.11
890,2018-12-14,3.11,3.12,3.12,3.11
889,2018-12-14,3.115,3.12,3.12,3.115
888,2018-12-14,3.1139,3.13,3.1139,3.13
887,2018-12-14,3.125,3.15,3.125,3.15
886,2018-12-14,3.13,3.15,3.15,3.13
885,2018-12-14,3.1202,3.13,3.13,3.13
884,2018-12-14,3.12,3.13,3.13,3.12
883,2018-12-14,3.11,3.13,3.12,3.11
882,2018-12-14,3.11,3.12,3.11,3.11
881,2018-12-14,3.1,3.12,3.11,3.11
880,2018-12-14,3.1088,3.12,3.11,3.115
