,Date,Low,High,Close,Open
1169,2018-12-19,224.48,226.13,224.48,226.13
1168,2018-12-19,224.99,226.38,226.21,225.14
1167,2018-12-19,224.35,225.255,225.255,224.36
1166,2018-12-19,223.71,224.81,224.22,224.81
1165,2018-12-19,224.61,226.14,225.01,226.14
1164,2018-12-19,224.83,226.41,226.12,225.05
1163,2018-12-19,224.845,225.99,224.85,225.66
1162,2018-12-19,224.09,226.1,226.1,225.21
1161,2018-12-19,224.19,225.13,225.13,224.7
1160,2018-12-19,222.8,224.67,224.67,223.065
1159,2018-12-19,221.12,223.21,223.21,222.405
1158,2018-12-19,222.45,224.76,222.475,223.94
1157,2018-12-19,223.24,224.76,224.14,224.76
1156,2018-12-19,224.825,226.3717,225.25,226.32
1155,2018-12-19,226.0,227.46,226.44,226.95
1154,2018-12-19,227.01,229.99,227.01,229.99
1153,2018-12-19,228.88,230.49,230.09,228.915
1152,2018-12-19,227.02,229.27,229.0,227.26
1151,2018-12-19,226.2441,227.35,227.2,226.2441
1150,2018-12-19,225.36,226.47,226.47,226.05
1149,2018-12-19,224.33,226.21,225.88,224.6
1148,2018-12-19,224.54,227.0,225.05,227.0
1147,2018-12-19,226.455,227.67,227.05,226.93
1146,2018-12-19,226.27,230.37,226.815,230.37
1145,2018-12-19,229.09,230.0,229.95,229.09
1144,2018-12-19,228.81,229.08,228.99,229.0
1143,2018-12-19,228.86,229.11,228.98,229.11
1142,2018-12-19,228.64,229.205,229.04,228.64
1141,2018-12-19,228.46,229.07,228.61,228.96
1140,2018-12-19,228.7,229.13,228.95,229.03
1139,2018-12-19,228.51,228.97,228.9,228.51
1138,2018-12-19,228.405,229.03,228.625,229.0
1137,2018-12-19,228.66,229.19,229.0,228.82
1136,2018-12-19,228.53,229.06,228.85,228.685
1135,2018-12-19,228.25,228.66,228.66,228.25
1134,2018-12-19,228.23,228.86,228.33,228.78
1133,2018-12-19,228.81,229.03,228.81,229.0
1132,2018-12-19,228.69,229.34,228.9,228.75
1131,2018-12-19,228.8,229.35,228.8,229.35
1130,2018-12-19,229.19,229.34,229.305,229.28
