,Date,Low,High,Close,Open
1169,2018-12-19,31.51,31.695,31.52,31.65
1168,2018-12-19,31.62,31.7,31.6766,31.665
1167,2018-12-19,31.47,31.68,31.675,31.47
1166,2018-12-19,31.365,31.49,31.47,31.49
1165,2018-12-19,31.47,31.65,31.5,31.65
1164,2018-12-19,31.44,31.7,31.67,31.47
1163,2018-12-19,31.44,31.81,31.44,31.76
1162,2018-12-19,31.49,31.78,31.76,31.7
1161,2018-12-19,31.59,31.97,31.67,31.97
1160,2018-12-19,31.57,31.97,31.97,31.665
1159,2018-12-19,31.48,31.75,31.66,31.6
1158,2018-12-19,31.59,32.0,31.601,32.0
1157,2018-12-19,31.92,32.16,32.03,32.16
1156,2018-12-19,32.11,32.35,32.21,32.35
1155,2018-12-19,32.23,32.41,32.37,32.3
1154,2018-12-19,32.29,32.75,32.29,32.75
1153,2018-12-19,32.72,32.84,32.78,32.73
1152,2018-12-19,32.73,32.87,32.73,32.82
1151,2018-12-19,32.64,32.8,32.8,32.69
1150,2018-12-19,32.53,32.69,32.69,32.66
1149,2018-12-19,32.48,32.68,32.655,32.54
1148,2018-12-19,32.43,32.64,32.55,32.61
1147,2018-12-19,32.475,32.67,32.58,32.6
1146,2018-12-19,32.55,33.22,32.6,33.22
1145,2018-12-19,33.035,33.17,33.17,33.07
1144,2018-12-19,33.065,33.12,33.07,33.12
1143,2018-12-19,33.1,33.13,33.12,33.105
1142,2018-12-19,33.06,33.145,33.1,33.06
1141,2018-12-19,33.02,33.09,33.045,33.09
1140,2018-12-19,33.04,33.095,33.095,33.065
1139,2018-12-19,32.99,33.07,33.07,32.99
1138,2018-12-19,32.995,33.21,32.995,33.15
1137,2018-12-19,32.9699,33.135,33.135,32.98
1136,2018-12-19,32.96,33.02,32.99,32.98
1135,2018-12-19,32.9701,33.055,33.0,33.025
1134,2018-12-19,33.02,33.08,33.025,33.04
1133,2018-12-19,33.04,33.07,33.05,33.04
1132,2018-12-19,33.05,33.13,33.06,33.1
1131,2018-12-19,33.07,33.12,33.105,33.11
1130,2018-12-19,33.05,33.11,33.11,33.1
1129,2018-12-19,33.105,33.145,33.105,33.14
1128,2018-12-19,33.1,33.16,33.15,33.1
1127,2018-12-19,33.08,33.115,33.091,33.1
1126,2018-12-19,33.05,33.12,33.115,33.12
1125,2018-12-19,33.07,33.125,33.11,33.125
1124,2018-12-19,33.0676,33.135,33.125,33.135
1123,2018-12-19,33.105,33.15,33.13,33.105
1122,2018-12-19,33.08,33.12,33.1,33.11
1121,2018-12-19,33.085,33.145,33.1146,33.11
1120,2018-12-19,33.1,33.23,33.1,33.15
1119,2018-12-19,33.0,33.16,33.16,33.05
1118,2018-12-19,32.995,33.07,33.05,33.07
1117,2018-12-19,33.045,33.09,33.05,33.045
1116,2018-12-19,32.97,33.045,33.02,33.045
1115,2018-12-19,33.04,33.25,33.05,33.25
1114,2018-12-19,33.215,33.28,33.27,33.215
1113,2018-12-19,33.18,33.235,33.22,33.18
1112,2018-12-19,33.2,33.305,33.2,33.29
1111,2018-12-19,33.295,33.3685,33.295,33.34
1110,2018-12-19,33.315,33.47,33.315,33.47
1109,2018-12-19,33.37,33.49,33.46,33.42
1108,2018-12-19,33.41,33.475,33.455,33.41
1107,2018-12-19,33.4,33.517,33.4,33.48
1106,2018-12-19,33.45,33.51,33.45,33.48
1105,2018-12-19,33.48,33.545,33.49,33.5
1104,2018-12-19,33.5,33.59,33.5,33.5
1103,2018-12-19,33.51,33.585,33.53,33.54
1102,2018-12-19,33.54,33.65,33.54,33.6
1101,2018-12-19,33.57,33.67,33.625,33.6
1100,2018-12-19,33.53,33.69,33.62,33.69
1099,2018-12-19,33.53,33.76,33.69,33.56
1098,2018-12-19,33.375,33.59,33.56,33.38
1097,2018-12-19,33.27,33.44,33.4,33.27
1096,2018-12-19,32.96,33.26,33.26,32.96
1095,2018-12-19,32.87,33.14,32.955,33.11
1094,2018-12-19,33.02,33.19,33.1,33.02
1093,2018-12-19,32.69,33.05,33.03,32.83
1092,2018-12-19,32.45,32.8,32.8,32.65
1091,2018-12-18,33.27,33.51,33.27,33.495
1090,2018-12-18,33.47,33.55,33.4901,33.55
1089,2018-12-18,33.45,33.565,33.545,33.45
1088,2018-12-18,33.34,33.45,33.45,33.34
1087,2018-12-18,33.34,33.4,33.35,33.36
1086,2018-12-18,33.3,33.39,33.36,33.3
1085,2018-12-18,33.23,33.32,33.3,33.32
1084,2018-12-18,33.275,33.38,33.325,33.3
1083,2018-12-18,33.24,33.335,33.32,33.27
1082,2018-12-18,33.26,33.33,33.27,33.27
1081,2018-12-18,33.22,33.39,33.29,33.33
1080,2018-12-18,33.3,33.38,33.33,33.35
1079,2018-12-18,33.36,33.5,33.375,33.49
1078,2018-12-18,33.485,33.55,33.5,33.525
1077,2018-12-18,33.43,33.5278,33.5278,33.465
1076,2018-12-18,33.45,33.665,33.475,33.645
1075,2018-12-18,33.61,33.68,33.635,33.655
1074,2018-12-18,33.655,33.76,33.655,33.76
1073,2018-12-18,33.68,33.79,33.76,33.72
1072,2018-12-18,33.66,33.72,33.7,33.68
1071,2018-12-18,33.69,33.795,33.7,33.78
1070,2018-12-18,33.78,33.855,33.78,33.855
1069,2018-12-18,33.745,33.85,33.85,33.7835
1068,2018-12-18,33.75,33.82,33.77,33.75
1067,2018-12-18,33.75,33.8058,33.76,33.8
1066,2018-12-18,33.755,33.88,33.815,33.88
1065,2018-12-18,33.8,33.86,33.86,33.81
1064,2018-12-18,33.785,33.83,33.81,33.785
1063,2018-12-18,33.78,33.86,33.8,33.86
1062,2018-12-18,33.82,33.895,33.85,33.8912
1061,2018-12-18,33.88,33.97,33.9,33.96
1060,2018-12-18,33.96,34.025,33.96,33.965
1059,2018-12-18,33.935,33.98,33.96,33.98
1058,2018-12-18,33.965,34.0,33.99,33.99
1057,2018-12-18,33.93,33.98,33.97,33.975
1056,2018-12-18,33.95,34.03,33.97,34.01
1055,2018-12-18,33.98,34.03,34.01,34.03
1054,2018-12-18,33.935,34.02,34.015,33.94
1053,2018-12-18,33.885,34.02,33.93,33.98
1052,2018-12-18,33.955,34.03,33.98,33.98
1051,2018-12-18,33.93,34.07,33.985,34.07
1050,2018-12-18,34.09,34.1599,34.09,34.11
1049,2018-12-18,34.05,34.105,34.09,34.055
1048,2018-12-18,34.03,34.085,34.06,34.03
1047,2018-12-18,33.969,34.05,34.05,34.0
1046,2018-12-18,33.95,34.02,33.99,33.95
1045,2018-12-18,33.8115,33.93,33.93,33.8115
1044,2018-12-18,33.76,33.8,33.8,33.77
1043,2018-12-18,33.73,33.8,33.75,33.765
1042,2018-12-18,33.64,33.78,33.75,33.77
1041,2018-12-18,33.62,33.785,33.77,33.62
1040,2018-12-18,33.62,33.845,33.62,33.8397
1039,2018-12-18,33.745,33.91,33.84,33.745
1038,2018-12-18,33.69,33.85,33.73,33.77
1037,2018-12-18,33.69,33.79,33.77,33.78
1036,2018-12-18,33.81,33.9184,33.81,33.9
1035,2018-12-18,33.88,34.04,33.88,34.04
1034,2018-12-18,34.04,34.24,34.04,34.19
1033,2018-12-18,34.1,34.19,34.15,34.14
1032,2018-12-18,34.035,34.285,34.13,34.27
1031,2018-12-18,34.165,34.275,34.24,34.19
1030,2018-12-18,34.02,34.1725,34.1725,34.04
1029,2018-12-18,34.01,34.17,34.02,34.145
1028,2018-12-18,34.15,34.31,34.16,34.2884
1027,2018-12-18,34.15,34.27,34.26,34.205
1026,2018-12-18,34.08,34.21,34.19,34.12
1025,2018-12-18,34.0,34.14,34.12,34.02
1024,2018-12-18,33.995,34.08,34.03,34.045
1023,2018-12-18,33.98,34.09,34.04,34.01
1022,2018-12-18,33.9,34.065,34.01,33.93
1021,2018-12-18,33.69,33.92,33.92,33.695
1020,2018-12-18,33.705,33.84,33.705,33.84
1019,2018-12-18,33.72,33.8701,33.81,33.82
1018,2018-12-18,33.65,33.83,33.82,33.72
1017,2018-12-18,33.31,33.67,33.66,33.35
1016,2018-12-18,33.09,33.34,33.31,33.143
1015,2018-12-18,33.01,33.23,33.11,33.01
