,Date,Low,High,Close,Open
1130,2018-12-19,15.0,15.11,15.02,15.1
1129,2018-12-19,15.07,15.14,15.105,15.1
1128,2018-12-19,14.955,15.11,15.11,14.955
1127,2018-12-19,14.9,15.02,14.95,15.02
1126,2018-12-19,15.02,15.08,15.03,15.07
1125,2018-12-19,15.04,15.13,15.1,15.11
1124,2018-12-19,15.11,15.27,15.12,15.26
1123,2018-12-19,15.14,15.26,15.26,15.15
1122,2018-12-19,15.12,15.23,15.14,15.2185
1121,2018-12-19,15.11,15.24,15.215,15.12
1120,2018-12-19,14.94,15.1499,15.13,14.97
1119,2018-12-19,14.95,15.12,14.95,15.12
1118,2018-12-19,15.11,15.3,15.18,15.297
1117,2018-12-19,15.2504,15.47,15.29,15.465
1116,2018-12-19,15.45,15.5,15.46,15.455
1115,2018-12-19,15.4,15.46,15.45,15.4
1114,2018-12-19,15.39,15.4783,15.39,15.435
1113,2018-12-19,15.2799,15.47,15.46,15.38
1112,2018-12-19,15.23,15.39,15.355,15.25
1111,2018-12-19,15.16,15.26,15.25,15.23
1110,2018-12-19,15.075,15.2,15.2,15.1018
1109,2018-12-19,15.04,15.19,15.09,15.19
1108,2018-12-19,15.18,15.36,15.2,15.36
1107,2018-12-19,15.3704,15.51,15.3704,15.5
1106,2018-12-19,15.43,15.53,15.53,15.5
1105,2018-12-19,15.44,15.49,15.455,15.49
1104,2018-12-19,15.45,15.5,15.4987,15.46
1103,2018-12-19,15.459,15.5,15.459,15.47
1102,2018-12-19,15.46,15.5,15.46,15.4701
1101,2018-12-19,15.4,15.49,15.45,15.47
1100,2018-12-19,15.36,15.4776,15.45,15.36
1099,2018-12-19,15.325,15.41,15.39,15.41
1098,2018-12-19,15.345,15.4,15.38,15.36
1097,2018-12-19,15.38,15.46,15.38,15.445
1096,2018-12-19,15.4,15.505,15.43,15.505
1095,2018-12-19,15.5,15.5401,15.51,15.53
1094,2018-12-19,15.55,15.565,15.555,15.56
1093,2018-12-19,15.53,15.575,15.575,15.55
1092,2018-12-19,15.5318,15.59,15.55,15.56
1091,2018-12-19,15.49,15.61,15.55,15.61
1090,2018-12-19,15.58,15.67,15.59,15.67
1089,2018-12-19,15.63,15.705,15.67,15.7
1088,2018-12-19,15.65,15.7,15.695,15.65
1087,2018-12-19,15.6,15.64,15.64,15.6
