,Date,Low,High,Close,Open
1130,2018-12-19,1494.77,1506.0,1494.83,1501.0
1129,2018-12-19,1501.36,1507.23,1502.79,1503.7909
1128,2018-12-19,1497.0,1504.0,1504.0,1497.0
1127,2018-12-19,1488.8199,1497.0,1496.7085,1492.84
1126,2018-12-19,1489.5551,1497.48,1494.9,1497.21
1125,2018-12-19,1490.3669,1502.0,1499.33,1495.0
1124,2018-12-19,1493.02,1505.55,1493.02,1501.8466
1123,2018-12-19,1483.1801,1505.21,1502.8,1501.67
1122,2018-12-19,1495.2603,1516.269,1502.1801,1514.1066
1121,2018-12-19,1497.5,1514.35,1514.0724,1506.8101
1120,2018-12-19,1485.9399,1506.5188,1505.735,1493.7
1119,2018-12-19,1491.855,1514.85,1493.75,1514.46
1118,2018-12-19,1509.71,1526.9882,1515.55,1526.9882
1117,2018-12-19,1523.0,1537.83,1526.9399,1537.83
1116,2018-12-19,1527.48,1541.92,1538.25,1532.62
1115,2018-12-19,1530.62,1563.33,1530.62,1563.3199
1114,2018-12-19,1559.34,1570.0601,1563.733,1563.01
1113,2018-12-19,1545.01,1565.46,1562.9301,1551.8199
1112,2018-12-19,1545.0045,1553.0,1550.75,1548.66
1111,2018-12-19,1538.1,1548.6,1548.5427,1540.726
1110,2018-12-19,1527.85,1542.4382,1539.9487,1530.0
1109,2018-12-19,1522.02,1544.2277,1530.423,1541.8101
1108,2018-12-19,1535.6801,1551.9,1541.22,1536.505
1107,2018-12-19,1535.0,1583.9976,1536.37,1582.9976
1106,2018-12-19,1574.0754,1582.0,1582.0,1574.0754
1105,2018-12-19,1573.6899,1577.0,1573.6899,1576.4
1104,2018-12-19,1575.0448,1577.77,1576.7378,1577.5469
1103,2018-12-19,1572.84,1577.54,1576.6934,1572.84
1102,2018-12-19,1569.72,1572.84,1572.0717,1569.72
1101,2018-12-19,1569.0699,1571.99,1569.88,1569.2805
1100,2018-12-19,1565.5,1569.5699,1568.63,1566.42
1099,2018-12-19,1566.6801,1573.8101,1566.726,1573.3213
1098,2018-12-19,1569.6246,1573.0625,1573.0625,1571.2554
1097,2018-12-19,1571.0,1574.5601,1571.5699,1571.74
1096,2018-12-19,1568.365,1571.92,1571.92,1570.0
1095,2018-12-19,1568.5,1571.0,1569.74,1570.0601
1094,2018-12-19,1569.5104,1572.6541,1571.105,1572.1405
1093,2018-12-19,1571.0,1577.5532,1573.08,1573.859
1092,2018-12-19,1572.8267,1578.02,1573.7987,1578.02
1091,2018-12-19,1575.6482,1579.3462,1577.9954,1579.34
1090,2018-12-19,1577.0,1579.745,1578.9482,1578.4
1089,2018-12-19,1574.65,1579.1226,1578.6052,1575.24
1088,2018-12-19,1574.1499,1576.25,1575.0601,1574.37
1087,2018-12-19,1572.325,1574.88,1574.8744,1573.0
1086,2018-12-19,1571.12,1574.3073,1573.4399,1572.98
1085,2018-12-19,1573.0,1577.0894,1573.0,1577.0894
1084,2018-12-19,1573.1835,1577.25,1577.25,1575.0
1083,2018-12-19,1574.52,1577.26,1575.58,1575.0138
1082,2018-12-19,1570.6278,1577.17,1575.7656,1572.55
1081,2018-12-19,1567.0352,1573.0277,1572.2,1567.0352
1080,2018-12-19,1561.08,1567.0,1567.0,1561.08
1079,2018-12-19,1560.2416,1562.8505,1561.9408,1562.67
1078,2018-12-19,1560.9144,1563.1351,1562.1,1561.8
1077,2018-12-19,1559.8,1561.13,1561.05,1560.85
1076,2018-12-19,1559.5076,1562.115,1561.1,1561.5
1075,2018-12-19,1560.5031,1562.9379,1561.7283,1561.199
1074,2018-12-19,1557.73,1560.6899,1560.6899,1560.0337
1073,2018-12-19,1559.15,1564.075,1559.588,1561.2025
1072,2018-12-19,1560.5701,1564.84,1561.15,1564.6801
1071,2018-12-19,1562.6899,1568.0,1564.1801,1568.0
1070,2018-12-19,1563.8289,1568.52,1567.5,1568.3199
1069,2018-12-19,1565.505,1570.0,1568.48,1565.505
1068,2018-12-19,1565.0,1567.24,1565.08,1566.25
1067,2018-12-19,1566.3,1570.2318,1566.9554,1569.4399
1066,2018-12-19,1569.23,1574.4261,1569.67,1572.3
1065,2018-12-19,1570.05,1576.4399,1570.203,1570.05
1064,2018-12-19,1567.4828,1571.1726,1569.85,1568.95
1063,2018-12-19,1568.77,1572.48,1569.0,1569.5
1062,2018-12-19,1567.0,1571.4976,1569.0,1567.0
1061,2018-12-19,1562.7825,1570.0,1567.8246,1568.75
1060,2018-12-19,1563.0,1568.3574,1567.88,1564.95
1059,2018-12-19,1564.71,1572.4301,1565.03,1568.8644
1058,2018-12-19,1568.67,1574.87,1569.0,1569.0699
1057,2018-12-19,1562.09,1570.38,1568.58,1566.985
1056,2018-12-19,1556.5,1567.17,1567.17,1559.39
1055,2018-12-19,1556.5,1560.41,1558.8258,1556.5
1054,2018-12-19,1547.088,1556.605,1556.16,1547.088
1053,2018-12-19,1538.0067,1555.455,1546.84,1543.3431
1052,2018-12-18,1550.62,1559.27,1551.11,1559.27
1051,2018-12-18,1555.0,1558.64,1558.5,1557.7375
1050,2018-12-18,1549.51,1559.6899,1557.41,1549.92
1049,2018-12-18,1543.09,1550.95,1549.8,1543.09
1048,2018-12-18,1542.3101,1547.5,1542.3101,1545.49
1047,2018-12-18,1535.35,1545.0323,1545.0143,1535.35
1046,2018-12-18,1531.13,1536.6324,1534.8774,1536.6324
1045,2018-12-18,1534.4069,1538.9,1537.74,1535.5
1044,2018-12-18,1529.5524,1536.8199,1535.4521,1530.8199
1043,2018-12-18,1526.5643,1532.6647,1530.8199,1528.38
1042,2018-12-18,1525.0,1532.52,1528.02,1529.546
1041,2018-12-18,1523.6827,1530.7179,1529.1274,1529.7
1040,2018-12-18,1530.0,1539.11,1530.0,1538.5
1039,2018-12-18,1537.3228,1541.7726,1538.84,1538.51
1038,2018-12-18,1535.7,1539.595,1538.8199,1537.11
1037,2018-12-18,1537.09,1547.0226,1537.4553,1546.4528
1036,2018-12-18,1543.55,1549.58,1546.1801,1548.6663
1035,2018-12-18,1548.5,1555.2122,1548.991,1555.14
1034,2018-12-18,1552.9,1556.0793,1555.25,1553.13
1033,2018-12-18,1551.0,1554.9301,1553.24,1551.0
1032,2018-12-18,1550.3199,1556.74,1551.6493,1555.8101
1031,2018-12-18,1555.8101,1560.1056,1555.8101,1558.12
1030,2018-12-18,1552.9126,1558.053,1558.053,1555.59
1029,2018-12-18,1548.5,1555.3431,1555.27,1548.5
1028,2018-12-18,1548.0,1552.1899,1549.5601,1551.48
1027,2018-12-18,1550.2,1558.6,1551.9,1558.6
1026,2018-12-18,1554.7288,1558.87,1558.6187,1555.5946
1025,2018-12-18,1550.2,1556.37,1555.7938,1550.5889
1024,2018-12-18,1550.2,1555.79,1550.39,1553.8073
1023,2018-12-18,1552.7058,1559.6287,1554.72,1559.1801
1022,2018-12-18,1559.0,1562.5601,1559.1281,1562.5601
1021,2018-12-18,1560.75,1563.7,1561.6613,1561.1187
1020,2018-12-18,1560.95,1567.05,1561.1021,1567.05
1019,2018-12-18,1562.85,1567.55,1567.3108,1565.4874
1018,2018-12-18,1564.17,1567.0,1565.8365,1565.8
1017,2018-12-18,1561.5,1566.96,1564.9692,1562.75
1016,2018-12-18,1561.6,1565.34,1562.9438,1563.0
1015,2018-12-18,1557.775,1563.83,1562.6573,1558.7
1014,2018-12-18,1556.3,1560.84,1557.79,1558.37
1013,2018-12-18,1552.8235,1558.7141,1557.5426,1554.84
