,Date,Low,High,Close,Open
1130,2018-12-19,14.67,14.73,14.7,14.705
1129,2018-12-19,14.635,14.72,14.72,14.64
1128,2018-12-19,14.55,14.6466,14.6466,14.55
1127,2018-12-19,14.5211,14.5601,14.54,14.56
1126,2018-12-19,14.55,14.63,14.56,14.63
1125,2018-12-19,14.45,14.64,14.64,14.57
1124,2018-12-19,14.53,14.7,14.55,14.66
1123,2018-12-19,14.57,14.69,14.68,14.69
1122,2018-12-19,14.62,14.8,14.65,14.8
1121,2018-12-19,14.57,14.76,14.76,14.655
1120,2018-12-19,14.49,14.72,14.68,14.535
1119,2018-12-19,14.52,14.71,14.52,14.695
1118,2018-12-19,14.625,14.8,14.69,14.8
1117,2018-12-19,14.8,14.99,14.81,14.99
1116,2018-12-19,14.99,15.1,14.99,15.02
1115,2018-12-19,15.05,15.205,15.05,15.205
1114,2018-12-19,15.1,15.21,15.21,15.13
1113,2018-12-19,15.09,15.165,15.15,15.1
1112,2018-12-19,15.08,15.17,15.1,15.08
1111,2018-12-19,15.02,15.09,15.09,15.06
1110,2018-12-19,14.89,15.05,15.05,14.91
1109,2018-12-19,14.85,15.01,14.96,14.95
1108,2018-12-19,14.945,15.04,14.95,15.02
1107,2018-12-19,15.01,15.225,15.01,15.21
1106,2018-12-19,15.245,15.275,15.25,15.26
1105,2018-12-19,15.19,15.255,15.22,15.255
1104,2018-12-19,15.25,15.29,15.26,15.29
1103,2018-12-19,15.3,15.3403,15.31,15.3
1102,2018-12-19,15.23,15.27,15.25,15.23
1101,2018-12-19,15.2,15.23,15.21,15.23
1100,2018-12-19,15.17,15.23,15.21,15.18
1099,2018-12-19,15.13,15.21,15.16,15.21
1098,2018-12-19,15.13,15.18,15.18,15.16
1097,2018-12-19,15.15,15.19,15.19,15.15
1096,2018-12-19,15.13,15.17,15.17,15.17
1095,2018-12-19,15.16,15.18,15.18,15.16
1094,2018-12-19,15.15,15.16,15.15,15.16
1093,2018-12-19,15.14,15.17,15.17,15.17
1092,2018-12-19,15.145,15.19,15.165,15.19
1091,2018-12-19,15.18,15.22,15.19,15.22
1090,2018-12-19,15.2,15.22,15.22,15.21
1089,2018-12-19,15.17,15.19,15.18,15.17
1088,2018-12-19,15.15,15.18,15.16,15.15
1087,2018-12-19,15.1296,15.17,15.17,15.1296
1086,2018-12-19,15.095,15.13,15.13,15.1
1085,2018-12-19,15.11,15.15,15.12,15.15
1084,2018-12-19,15.16,15.18,15.18,15.17
1083,2018-12-19,15.17,15.22,15.17,15.22
1082,2018-12-19,15.175,15.23,15.22,15.22
1081,2018-12-19,15.23,15.2733,15.23,15.2733
1080,2018-12-19,15.21,15.26,15.26,15.21
1079,2018-12-19,15.18,15.2636,15.19,15.2636
1078,2018-12-19,15.24,15.27,15.27,15.26
1077,2018-12-19,15.26,15.29,15.28,15.29
1076,2018-12-19,15.26,15.31,15.3,15.3
1075,2018-12-19,15.27,15.32,15.32,15.27
1074,2018-12-19,15.26,15.29,15.29,15.26
1073,2018-12-19,15.26,15.29,15.29,15.275
1072,2018-12-19,15.25,15.29,15.2616,15.29
1071,2018-12-19,15.27,15.4,15.285,15.4
1070,2018-12-19,15.36,15.4029,15.4029,15.4
1069,2018-12-19,15.36,15.42,15.39,15.36
1068,2018-12-19,15.3,15.36,15.36,15.34
1067,2018-12-19,15.36,15.3999,15.38,15.3999
1066,2018-12-19,15.4,15.51,15.43,15.5
1065,2018-12-19,15.43,15.47,15.44,15.46
1064,2018-12-19,15.39,15.45,15.44,15.4
1063,2018-12-19,15.38,15.42,15.38,15.39
1062,2018-12-19,15.38,15.44,15.38,15.435
1061,2018-12-19,15.395,15.5,15.395,15.4
1060,2018-12-19,15.335,15.375,15.375,15.35
1059,2018-12-19,15.32,15.4,15.32,15.37
1058,2018-12-19,15.285,15.41,15.41,15.315
1057,2018-12-19,15.23,15.3699,15.27,15.27
1056,2018-12-19,15.02,15.29,15.29,15.1
1055,2018-12-19,14.92,15.05,15.05,14.92
1054,2018-12-19,14.835,15.06,14.9,15.06
1053,2018-12-19,15.0572,15.11,15.11,15.09
1052,2018-12-18,15.08,15.17,15.15,15.15
1051,2018-12-18,15.14,15.2,15.19,15.19
1050,2018-12-18,15.16,15.215,15.2,15.215
1049,2018-12-18,15.18,15.24,15.22,15.18
1048,2018-12-18,15.17,15.21,15.205,15.18
1047,2018-12-18,15.09,15.17,15.16,15.095
1046,2018-12-18,15.05,15.1,15.1,15.07
1045,2018-12-18,15.02,15.08,15.08,15.05
1044,2018-12-18,15.02,15.08,15.03,15.04
1043,2018-12-18,15.02,15.05,15.03,15.04
1042,2018-12-18,15.0,15.04,15.03,15.04
1041,2018-12-18,14.99,15.06,15.02,14.99
1040,2018-12-18,14.95,15.005,14.99,14.97
1039,2018-12-18,14.985,15.005,14.985,15.005
1038,2018-12-18,14.96,15.045,15.01,15.045
1037,2018-12-18,14.9701,15.1,15.02,15.07
1036,2018-12-18,15.02,15.0801,15.0801,15.06
1035,2018-12-18,15.07,15.12,15.07,15.11
1034,2018-12-18,15.14,15.205,15.14,15.14
1033,2018-12-18,15.12,15.2,15.12,15.145
1032,2018-12-18,15.16,15.27,15.17,15.25
1031,2018-12-18,15.23,15.36,15.23,15.305
1030,2018-12-18,15.22,15.31,15.29,15.25
1029,2018-12-18,15.2,15.25,15.23,15.2
1028,2018-12-18,15.15,15.205,15.19,15.205
1027,2018-12-18,15.185,15.225,15.185,15.22
1026,2018-12-18,15.21,15.23,15.23,15.23
1025,2018-12-18,15.2199,15.25,15.23,15.2199
1024,2018-12-18,15.2,15.23,15.22,15.23
1023,2018-12-18,15.22,15.25,15.22,15.25
1022,2018-12-18,15.265,15.32,15.265,15.32
1021,2018-12-18,15.33,15.37,15.335,15.36
1020,2018-12-18,15.34,15.35,15.35,15.35
1019,2018-12-18,15.3528,15.4,15.375,15.4
1018,2018-12-18,15.35,15.39,15.39,15.37
1017,2018-12-18,15.32,15.38,15.37,15.36
1016,2018-12-18,15.31,15.36,15.36,15.34
1015,2018-12-18,15.33,15.38,15.38,15.34
