,Date,Low,High,Close,Open
1130,2018-12-19,46.33,46.51,46.33,46.44
1129,2018-12-19,46.37,46.51,46.46,46.41
1128,2018-12-19,46.19,46.44,46.41,46.19
1127,2018-12-19,46.08,46.21,46.19,46.21
1126,2018-12-19,46.135,46.32,46.23,46.32
1125,2018-12-19,46.23,46.39,46.36,46.26
1124,2018-12-19,46.24,46.54,46.24,46.54
1123,2018-12-19,46.18,46.59,46.59,46.379
1122,2018-12-19,46.19,46.57,46.36,46.56
1121,2018-12-19,46.17,46.56,46.5479,46.31
1120,2018-12-19,45.87,46.31,46.23,46.06
1119,2018-12-19,46.07,46.71,46.07,46.71
1118,2018-12-19,46.47,46.77,46.72,46.77
1117,2018-12-19,46.75,47.08,46.8,47.08
1116,2018-12-19,46.92,47.1,47.08,46.97
1115,2018-12-19,46.98,47.54,46.98,47.54
1114,2018-12-19,47.47,47.65,47.52,47.49
1113,2018-12-19,47.35,47.59,47.48,47.42
1112,2018-12-19,47.22,47.43,47.41,47.29
1111,2018-12-19,47.13,47.32,47.3,47.21
1110,2018-12-19,46.9,47.28,47.22,46.97
1109,2018-12-19,46.86,47.26,46.98,47.25
1108,2018-12-19,47.08,47.36,47.19,47.16
1107,2018-12-19,47.06,48.07,47.16,47.98
1106,2018-12-19,47.76,48.01,47.98,47.77
1105,2018-12-19,47.71,47.8,47.74,47.795
1104,2018-12-19,47.75,47.83,47.79,47.83
1103,2018-12-19,47.62,47.82,47.82,47.62
1102,2018-12-19,47.595,47.64,47.6,47.62
1101,2018-12-19,47.57,47.65,47.5951,47.61
1100,2018-12-19,47.54,47.64,47.61,47.54
1099,2018-12-19,47.51,47.67,47.55,47.64
1098,2018-12-19,47.55,47.635,47.635,47.59
1097,2018-12-19,47.58,47.66,47.62,47.6
1096,2018-12-19,47.48,47.58,47.58,47.52
1095,2018-12-19,47.49,47.64,47.53,47.595
1094,2018-12-19,47.6,47.72,47.6,47.68
1093,2018-12-19,47.655,47.85,47.68,47.76
1092,2018-12-19,47.7718,47.84,47.7718,47.84
1091,2018-12-19,47.84,47.9099,47.8544,47.89
1090,2018-12-19,47.84,47.91,47.87,47.91
1089,2018-12-19,47.88,47.93,47.905,47.88
1088,2018-12-19,47.89,48.06,47.89,47.98
1087,2018-12-19,47.9,47.98,47.98,47.91
1086,2018-12-19,47.84,47.9,47.9,47.87
1085,2018-12-19,47.89,47.94,47.89,47.94
1084,2018-12-19,47.8364,47.96,47.96,47.8364
1083,2018-12-19,47.83,47.93,47.83,47.92
1082,2018-12-19,47.81,47.92,47.91,47.87
1081,2018-12-19,47.85,47.91,47.895,47.86
1080,2018-12-19,47.73,47.865,47.85,47.78
1079,2018-12-19,47.67,47.77,47.77,47.68
1078,2018-12-19,47.66,47.71,47.661,47.695
1077,2018-12-19,47.64,47.7,47.7,47.64
1076,2018-12-19,47.6,47.67,47.65,47.67
1075,2018-12-19,47.66,47.775,47.67,47.72
1074,2018-12-19,47.72,47.77,47.725,47.77
1073,2018-12-19,47.69,47.855,47.77,47.71
1072,2018-12-19,47.7,47.87,47.7,47.82
1071,2018-12-19,47.68,47.83,47.81,47.83
1070,2018-12-19,47.76,47.86,47.85,47.85
1069,2018-12-19,47.68,47.82,47.82,47.68
1068,2018-12-19,47.605,47.7,47.66,47.64
1067,2018-12-19,47.66,47.83,47.67,47.82
1066,2018-12-19,47.75,47.85,47.85,47.75
1065,2018-12-19,47.72,47.83,47.75,47.72
1064,2018-12-19,47.715,47.82,47.715,47.82
1063,2018-12-19,47.7,47.79,47.79,47.74
1062,2018-12-19,47.66,47.85,47.72,47.78
1061,2018-12-19,47.65,47.81,47.81,47.73
1060,2018-12-19,47.69,47.85,47.7,47.84
1059,2018-12-19,47.79,47.955,47.88,47.79
1058,2018-12-19,47.73,47.98,47.76,47.8451
1057,2018-12-19,47.79,47.88,47.85,47.84
1056,2018-12-19,47.6,47.85,47.85,47.65
1055,2018-12-19,47.14,47.67,47.67,47.14
1054,2018-12-19,47.12,47.51,47.12,47.5
1053,2018-12-19,47.05,47.57,47.43,47.37
1052,2018-12-18,47.3,47.56,47.32,47.46
1051,2018-12-18,47.39,47.54,47.45,47.54
1050,2018-12-18,47.33,47.55,47.54,47.33
1049,2018-12-18,47.225,47.35,47.35,47.225
1048,2018-12-18,47.21,47.34,47.21,47.26
1047,2018-12-18,47.11,47.3,47.25,47.11
1046,2018-12-18,46.9843,47.11,47.09,47.1
1045,2018-12-18,47.0,47.13,47.12,47.0
1044,2018-12-18,46.92,47.1,47.05,46.96
1043,2018-12-18,46.94,47.04,46.96,46.95
1042,2018-12-18,46.88,47.05,46.99,47.0
1041,2018-12-18,46.89,47.07,47.0,46.99
1040,2018-12-18,46.94,47.06,46.995,47.0201
1039,2018-12-18,47.0,47.06,47.05,47.02
1038,2018-12-18,46.87,47.01,47.01,46.88
1037,2018-12-18,46.89,47.12,46.89,47.105
1036,2018-12-18,47.04,47.11,47.08,47.08
1035,2018-12-18,47.0799,47.19,47.0799,47.17
1034,2018-12-18,47.135,47.24,47.17,47.17
1033,2018-12-18,47.1,47.2,47.19,47.1
1032,2018-12-18,47.08,47.22,47.11,47.22
1031,2018-12-18,47.21,47.32,47.22,47.3
1030,2018-12-18,47.1733,47.3,47.3,47.29
1029,2018-12-18,47.22,47.306,47.306,47.26
1028,2018-12-18,47.13,47.2,47.2,47.19
1027,2018-12-18,47.16,47.39,47.19,47.39
1026,2018-12-18,47.27,47.36,47.36,47.3
1025,2018-12-18,47.25,47.4,47.33,47.25
1024,2018-12-18,47.25,47.38,47.25,47.37
1023,2018-12-18,47.27,47.4,47.3455,47.31
1022,2018-12-18,47.32,47.4,47.35,47.375
1021,2018-12-18,47.34,47.4974,47.3701,47.4974
1020,2018-12-18,47.48,47.53,47.505,47.53
1019,2018-12-18,47.5,47.61,47.53,47.59
