,Date,Low,High,Close,Open
1126,2018-12-19,0.245,0.251,0.25,0.245
1125,2018-12-19,0.24,0.2421,0.24,0.2411
1124,2018-12-19,0.24,0.2404,0.2404,0.24
1123,2018-12-19,0.24,0.2422,0.24,0.2422
1122,2018-12-19,0.24,0.2423,0.2423,0.24
1121,2018-12-19,0.24,0.24,0.24,0.24
1120,2018-12-19,0.24,0.2429,0.2429,0.24
1119,2018-12-19,0.24,0.242,0.24,0.242
1118,2018-12-19,0.24,0.2422,0.2422,0.24
1117,2018-12-19,0.2405,0.2405,0.2405,0.2405
1116,2018-12-19,0.2405,0.2455,0.2455,0.2405
1115,2018-12-19,0.2405,0.2405,0.2405,0.2405
1114,2018-12-19,0.2405,0.2473,0.2405,0.2473
1113,2018-12-19,0.2405,0.244,0.2405,0.244
1112,2018-12-19,0.2441,0.2441,0.2441,0.2441
1111,2018-12-19,0.242,0.2457,0.242,0.2455
1110,2018-12-19,0.2455,0.2477,0.2477,0.2455
1109,2018-12-19,0.2455,0.2455,0.2455,0.2455
1108,2018-12-19,0.2469,0.247,0.2469,0.247
1107,2018-12-19,0.2456,0.25,0.2497,0.25
1106,2018-12-19,0.25,0.2501,0.2501,0.25
1105,2018-12-19,0.25,0.2519,0.2519,0.25
1104,2018-12-19,0.251,0.2568,0.2568,0.251
1103,2018-12-19,0.251,0.2531,0.251,0.2521
1102,2018-12-19,0.2521,0.2521,0.2521,0.2521
1101,2018-12-19,0.25,0.2521,0.2521,0.25
1100,2018-12-19,0.2501,0.2501,0.2501,0.2501
1099,2018-12-19,0.2505,0.2523,0.2522,0.2505
1098,2018-12-19,0.2477,0.248,0.2477,0.248
1097,2018-12-19,0.2481,0.2489,0.2485,0.2481
1096,2018-12-19,0.2485,0.2508,0.2508,0.2485
1095,2018-12-19,0.2462,0.25,0.2462,0.248
1094,2018-12-19,0.2468,0.25,0.2494,0.25
1093,2018-12-19,0.25,0.2511,0.2511,0.25
1092,2018-12-19,0.25,0.2501,0.25,0.2501
1091,2018-12-19,0.249,0.2518,0.2518,0.249
1090,2018-12-19,0.2495,0.2518,0.2518,0.2495
1089,2018-12-19,0.2471,0.2536,0.25,0.2471
1088,2018-12-19,0.247,0.2548,0.2471,0.247
1087,2018-12-19,0.2486,0.2571,0.2549,0.257
1086,2018-12-19,0.2499,0.2553,0.254,0.2499
1085,2018-12-19,0.25,0.2517,0.2517,0.25
1084,2018-12-19,0.2494,0.252,0.252,0.2497
1083,2018-12-19,0.2486,0.2499,0.2497,0.2486
1082,2018-12-19,0.2491,0.2516,0.2516,0.2497
1081,2018-12-19,0.2482,0.25,0.2497,0.2482
1080,2018-12-19,0.2394,0.25,0.248,0.2394
1079,2018-12-19,0.2401,0.2403,0.2401,0.2402
1078,2018-12-19,0.2369,0.2398,0.2398,0.2369
1077,2018-12-19,0.2369,0.2369,0.2369,0.2369
1076,2018-12-19,0.237,0.2371,0.237,0.2371
1075,2018-12-19,0.237,0.2407,0.2385,0.2407
1074,2018-12-19,0.238,0.2427,0.2427,0.238
1073,2018-12-19,0.2375,0.2402,0.2402,0.2401
1072,2018-12-19,0.2371,0.238,0.238,0.238
1071,2018-12-19,0.2351,0.2375,0.2375,0.2352
1070,2018-12-19,0.2389,0.2402,0.2389,0.2402
1069,2018-12-19,0.2403,0.2419,0.2403,0.2419
1068,2018-12-19,0.2389,0.24,0.24,0.2389
1067,2018-12-19,0.2391,0.24,0.2391,0.2399
1066,2018-12-19,0.2371,0.239,0.2389,0.2386
1065,2018-12-19,0.2386,0.24,0.24,0.24
1064,2018-12-19,0.2312,0.2368,0.2368,0.2312
1063,2018-12-19,0.2337,0.2364,0.2364,0.2337
1062,2018-12-19,0.235,0.237,0.235,0.237
1061,2018-12-19,0.2355,0.2355,0.2355,0.2355
1060,2018-12-19,0.2355,0.24,0.2355,0.237
1059,2018-12-19,0.2353,0.237,0.237,0.2353
1058,2018-12-19,0.2353,0.2398,0.2354,0.2398
1057,2018-12-19,0.2357,0.2395,0.2395,0.2357
1056,2018-12-19,0.2354,0.2398,0.2357,0.2398
1055,2018-12-19,0.2303,0.2394,0.2311,0.2394
1054,2018-12-19,0.2305,0.2397,0.2305,0.2397
