,Date,Low,High,Close,Open
1169,2018-12-19,35.19,35.39,35.19,35.37
1168,2018-12-19,35.28,35.39,35.38,35.305
1167,2018-12-19,35.12,35.315,35.31,35.12
1166,2018-12-19,35.02,35.15,35.11,35.15
1165,2018-12-19,35.13,35.23,35.15,35.21
1164,2018-12-19,35.12,35.24,35.21,35.15
1163,2018-12-19,35.12,35.37,35.12,35.32
1162,2018-12-19,35.05,35.34,35.32,35.2
1161,2018-12-19,35.1,35.385,35.2,35.36
1160,2018-12-19,35.1,35.36,35.36,35.2
1159,2018-12-19,34.96,35.23,35.21,35.16
1158,2018-12-19,35.13,35.43,35.15,35.43
1157,2018-12-19,35.26,35.51,35.43,35.49
1156,2018-12-19,35.44,35.72,35.52,35.72
1155,2018-12-19,35.56,35.72,35.72,35.59
1154,2018-12-19,35.58,36.0141,35.58,36.0141
1153,2018-12-19,35.95,36.11,36.03,36.09
1152,2018-12-19,36.02,36.18,36.08,36.09
1151,2018-12-19,36.0275,36.15,36.09,36.06
1150,2018-12-19,35.97,36.09,36.07,36.07
1149,2018-12-19,35.85,36.09,36.06,35.9
1148,2018-12-19,35.78,35.93,35.9,35.92
1147,2018-12-19,35.75,36.02,35.88,35.83
1146,2018-12-19,35.8,36.53,35.84,36.43
1145,2018-12-19,36.15,36.46,36.46,36.21
1144,2018-12-19,36.2063,36.243,36.21,36.23
1143,2018-12-19,36.2,36.26,36.225,36.26
1142,2018-12-19,36.185,36.26,36.255,36.185
1141,2018-12-19,36.16,36.195,36.19,36.19
1140,2018-12-19,36.12,36.19,36.185,36.16
1139,2018-12-19,36.11,36.155,36.14,36.11
1138,2018-12-19,36.09,36.21,36.105,36.21
1137,2018-12-19,36.12,36.21,36.21,36.15
1136,2018-12-19,36.125,36.16,36.15,36.15
1135,2018-12-19,36.14,36.195,36.15,36.19
1134,2018-12-19,36.175,36.23,36.185,36.2
1133,2018-12-19,36.2,36.29,36.2,36.26
1132,2018-12-19,36.25,36.355,36.25,36.315
1131,2018-12-19,36.295,36.32,36.315,36.3
1130,2018-12-19,36.27,36.3165,36.3,36.3165
1129,2018-12-19,36.31,36.365,36.315,36.36
1128,2018-12-19,36.34,36.405,36.36,36.405
1127,2018-12-19,36.305,36.4079,36.405,36.31
1126,2018-12-19,36.245,36.345,36.315,36.245
1125,2018-12-19,36.24,36.2982,36.24,36.2947
1124,2018-12-19,36.24,36.31,36.3,36.25
1123,2018-12-19,36.235,36.275,36.25,36.24
1122,2018-12-19,36.195,36.285,36.24,36.25
