,Date,Low,High,Close,Open
1130,2018-12-19,42.98,43.18,43.02,43.12
1129,2018-12-19,42.99,43.15,43.14,42.99
1128,2018-12-19,42.77,43.025,43.025,42.77
1127,2018-12-19,42.67,42.775,42.77,42.775
1126,2018-12-19,42.74,42.92,42.7483,42.92
1125,2018-12-19,42.81,42.9525,42.9525,42.81
1124,2018-12-19,42.84,43.03,42.84,42.98
1123,2018-12-19,42.76,42.94,42.92,42.94
1122,2018-12-19,42.83,43.09,42.86,43.09
1121,2018-12-19,42.82,43.065,43.065,42.96
1120,2018-12-19,42.65,42.92,42.92,42.73
1119,2018-12-19,42.8,43.11,42.89,43.11
1118,2018-12-19,43.1,43.4,43.15,43.4
1117,2018-12-19,43.4,43.63,43.4,43.63
1116,2018-12-19,43.63,43.71,43.66,43.63
1115,2018-12-19,43.6,44.11,43.6,44.11
1114,2018-12-19,44.1,44.19,44.14,44.1
1113,2018-12-19,44.06,44.22,44.16,44.06
1112,2018-12-19,44.02,44.14,44.02,44.05
1111,2018-12-19,43.88,44.0,44.0,43.9
1110,2018-12-19,43.69,43.92,43.92,43.69
1109,2018-12-19,43.6,43.86,43.6,43.86
1108,2018-12-19,43.85,44.13,43.85,44.13
1107,2018-12-19,44.1,44.65,44.1,44.65
1106,2018-12-19,44.54,44.68,44.55,44.54
1105,2018-12-19,44.52,44.585,44.585,44.52
1104,2018-12-19,44.47,44.53,44.53,44.47
1103,2018-12-19,44.44,44.5,44.48,44.44
1102,2018-12-19,44.385,44.44,44.385,44.4
1101,2018-12-19,44.3329,44.41,44.34,44.39
1100,2018-12-19,44.36,44.37,44.36,44.36
1099,2018-12-19,44.31,44.46,44.31,44.46
1098,2018-12-19,44.19,44.39,44.39,44.19
1097,2018-12-19,44.25,44.28,44.25,44.28
1096,2018-12-19,44.26,44.35,44.26,44.35
1095,2018-12-19,44.37,44.45,44.37,44.43
1094,2018-12-19,44.355,44.48,44.45,44.355
1093,2018-12-19,44.27,44.49,44.29,44.45
1092,2018-12-19,44.33,44.44,44.44,44.37
1091,2018-12-19,44.29,44.34,44.34,44.32
1090,2018-12-19,44.31,44.35,44.31,44.33
1089,2018-12-19,44.25,44.34,44.32,44.25
1088,2018-12-19,44.13,44.23,44.215,44.13
1087,2018-12-19,44.1,44.14,44.14,44.1
1086,2018-12-19,43.975,44.11,44.11,43.975
1085,2018-12-19,43.89,43.97,43.97,43.89
1084,2018-12-19,43.94,43.97,43.95,43.97
1083,2018-12-19,43.875,43.94,43.9,43.875
1082,2018-12-19,43.8,43.86,43.86,43.825
1081,2018-12-19,43.7501,43.8622,43.82,43.8622
1080,2018-12-19,43.73,43.82,43.82,43.73
1079,2018-12-19,43.71,43.855,43.74,43.835
1078,2018-12-19,43.8347,43.86,43.84,43.86
1077,2018-12-19,43.76,43.92,43.82,43.92
1076,2018-12-19,43.91,43.98,43.925,43.92
1075,2018-12-19,43.9,43.95,43.95,43.9
1074,2018-12-19,43.76,43.85,43.85,43.8
1073,2018-12-19,43.905,43.95,43.905,43.93
1072,2018-12-19,43.81,43.92,43.91,43.83
1071,2018-12-19,43.83,43.87,43.87,43.84
1070,2018-12-19,43.8,43.87,43.87,43.85
1069,2018-12-19,43.74,43.865,43.85,43.74
1068,2018-12-19,43.63,43.71,43.71,43.63
1067,2018-12-19,43.56,43.63,43.56,43.61
1066,2018-12-19,43.63,43.8,43.63,43.79
1065,2018-12-19,43.83,43.96,43.83,43.96
1064,2018-12-19,43.9422,43.98,43.9422,43.96
1063,2018-12-19,44.04,44.045,44.04,44.045
1062,2018-12-19,44.07,44.1,44.07,44.09
1061,2018-12-19,44.04,44.16,44.09,44.16
1060,2018-12-19,44.06,44.11,44.11,44.07
1059,2018-12-19,44.1,44.18,44.1,44.18
1058,2018-12-19,44.13,44.37,44.13,44.37
1057,2018-12-19,44.15,44.19,44.19,44.15
1056,2018-12-19,43.97,44.03,44.03,43.97
1055,2018-12-19,43.81,43.91,43.82,43.91
1054,2018-12-19,43.75,43.75,43.75,43.75
1053,2018-12-19,43.47,43.96,43.67,43.47
1052,2018-12-18,43.84,43.89,43.85,43.88
1051,2018-12-18,43.88,43.93,43.9,43.93
