,Date,Low,High,Close,Open
1169,2018-12-19,43.13,43.37,43.13,43.28
1168,2018-12-19,43.16,43.336,43.3,43.195
1167,2018-12-19,43.03,43.2,43.19,43.03
1166,2018-12-19,42.89,43.07,43.025,43.07
1165,2018-12-19,43.0,43.15,43.08,43.15
1164,2018-12-19,42.95,43.2,43.15,42.97
1163,2018-12-19,42.96,43.25,42.96,43.2
1162,2018-12-19,42.8,43.26,43.2278,43.02
1161,2018-12-19,42.87,43.27,43.03,43.27
1160,2018-12-19,42.93,43.27,43.27,43.09
1159,2018-12-19,42.6005,43.09,43.07,42.87
1158,2018-12-19,42.85,43.41,42.8741,43.41
1157,2018-12-19,43.23,43.64,43.41,43.64
1156,2018-12-19,43.59,43.94,43.65,43.91
1155,2018-12-19,43.74,43.955,43.95,43.78
1154,2018-12-19,43.76,44.35,43.76,44.35
1153,2018-12-19,44.25,44.41,44.35,44.32
1152,2018-12-19,44.18,44.46,44.33,44.31
1151,2018-12-19,44.12,44.33,44.29,44.195
1150,2018-12-19,44.0,44.21,44.19,44.13
1149,2018-12-19,43.89,44.181,44.13,43.96
1148,2018-12-19,43.88,44.23,43.97,44.18
1147,2018-12-19,44.05,44.32,44.19,44.06
1146,2018-12-19,44.02,44.9,44.06,44.79
1145,2018-12-19,44.54,44.77,44.735,44.54
1144,2018-12-19,44.5435,44.65,44.5451,44.65
1143,2018-12-19,44.62,44.7,44.6534,44.695
1142,2018-12-19,44.59,44.7,44.691,44.59
1141,2018-12-19,44.53,44.59,44.59,44.54
1140,2018-12-19,44.505,44.57,44.54,44.53
1139,2018-12-19,44.45,44.52,44.515,44.46
1138,2018-12-19,44.45,44.59,44.4678,44.56
1137,2018-12-19,44.48,44.56,44.56,44.53
1136,2018-12-19,44.5199,44.57,44.53,44.55
1135,2018-12-19,44.52,44.57,44.55,44.565
1134,2018-12-19,44.56,44.67,44.56,44.65
1133,2018-12-19,44.66,44.71,44.66,44.675
1132,2018-12-19,44.64,44.7643,44.68,44.705
1131,2018-12-19,44.695,44.74,44.71,44.715
1130,2018-12-19,44.65,44.72,44.72,44.6563
1129,2018-12-19,44.61,44.655,44.65,44.635
1128,2018-12-19,44.59,44.64,44.63,44.63
1127,2018-12-19,44.63,44.7,44.635,44.69
1126,2018-12-19,44.625,44.69,44.69,44.63
1125,2018-12-19,44.58,44.633,44.6265,44.6043
1124,2018-12-19,44.6,44.63,44.61,44.62
1123,2018-12-19,44.515,44.635,44.62,44.515
1122,2018-12-19,44.49,44.55,44.51,44.49
1121,2018-12-19,44.41,44.49,44.49,44.45
1120,2018-12-19,44.42,44.47,44.4434,44.42
1119,2018-12-19,44.315,44.41,44.41,44.33
1118,2018-12-19,44.28,44.34,44.33,44.32
1117,2018-12-19,44.3,44.34,44.31,44.305
1116,2018-12-19,44.29,44.37,44.3,44.36
1115,2018-12-19,44.34,44.38,44.37,44.36
1114,2018-12-19,44.31,44.39,44.37,44.33
1113,2018-12-19,44.29,44.34,44.315,44.34
1112,2018-12-19,44.35,44.45,44.355,44.42
1111,2018-12-19,44.42,44.49,44.42,44.48
1110,2018-12-19,44.46,44.53,44.48,44.52
1109,2018-12-19,44.41,44.5,44.4983,44.46
1108,2018-12-19,44.45,44.54,44.47,44.45
1107,2018-12-19,44.355,44.47,44.44,44.38
1106,2018-12-19,44.37,44.43,44.375,44.4137
1105,2018-12-19,44.4056,44.49,44.425,44.46
1104,2018-12-19,44.45,44.52,44.45,44.46
1103,2018-12-19,44.3968,44.46,44.44,44.4
1102,2018-12-19,44.37,44.46,44.41,44.4567
1101,2018-12-19,44.43,44.515,44.4481,44.46
1100,2018-12-19,44.35,44.51,44.465,44.35
1099,2018-12-19,44.2,44.35,44.335,44.23
1098,2018-12-19,44.23,44.36,44.23,44.29
1097,2018-12-19,44.17,44.34,44.28,44.17
1096,2018-12-19,44.095,44.18,44.16,44.145
1095,2018-12-19,44.06,44.16,44.15,44.085
1094,2018-12-19,44.04,44.11,44.085,44.05
1093,2018-12-19,44.01,44.15,44.05,44.15
1092,2018-12-19,43.75,44.155,44.15,43.75
1091,2018-12-18,44.04,44.37,44.05,44.35
1090,2018-12-18,44.3,44.4041,44.345,44.4041
1089,2018-12-18,44.21,44.435,44.41,44.21
1088,2018-12-18,44.1,44.23,44.2,44.1
1087,2018-12-18,44.1,44.18,44.101,44.12
1086,2018-12-18,43.94,44.13,44.11,43.94
1085,2018-12-18,43.85,43.97,43.93,43.97
1084,2018-12-18,43.88,44.0,43.9738,43.93
1083,2018-12-18,43.8,43.99,43.93,43.85
1082,2018-12-18,43.78,43.92,43.855,43.81
