,Date,Low,High,Close,Open
1130,2018-12-19,26.27,26.36,26.27,26.29
1129,2018-12-19,26.21,26.33,26.28,26.22
1128,2018-12-19,26.12,26.23,26.225,26.15
1127,2018-12-19,26.13,26.21,26.15,26.21
1126,2018-12-19,26.17,26.31,26.19,26.31
1125,2018-12-19,26.185,26.35,26.32,26.23
1124,2018-12-19,26.19,26.38,26.19,26.35
1123,2018-12-19,26.17,26.33,26.28,26.27
1122,2018-12-19,26.2,26.42,26.25,26.39
1121,2018-12-19,26.17,26.4,26.4,26.21
1120,2018-12-19,25.98,26.2,26.17,26.06
1119,2018-12-19,26.09,26.24,26.09,26.24
1118,2018-12-19,26.15,26.39,26.29,26.39
1117,2018-12-19,26.35,26.56,26.4,26.535
1116,2018-12-19,26.54,26.62,26.57,26.59
1115,2018-12-19,26.58,26.93,26.58,26.93
1114,2018-12-19,26.93,26.977,26.94,26.955
1113,2018-12-19,26.93,27.01,26.96,26.94
1112,2018-12-19,26.825,26.9585,26.92,26.825
1111,2018-12-19,26.74,26.85,26.85,26.78
1110,2018-12-19,26.69,26.81,26.81,26.69
1109,2018-12-19,26.635,26.84,26.73,26.84
1108,2018-12-19,26.85,27.05,26.87,26.91
1107,2018-12-19,26.94,27.21,26.96,27.19
1106,2018-12-19,27.16,27.19,27.18,27.16
1105,2018-12-19,27.15,27.23,27.15,27.21
1104,2018-12-19,27.11,27.22,27.22,27.11
1103,2018-12-19,27.03,27.11,27.11,27.04
1102,2018-12-19,27.04,27.1,27.04,27.059
1101,2018-12-19,27.01,27.05,27.05,27.01
1100,2018-12-19,26.97,27.0,27.0,26.98
1099,2018-12-19,26.96,27.03,26.96,27.03
1098,2018-12-19,26.98,27.01,27.0,26.98
1097,2018-12-19,26.99,27.01,27.0,27.0
1096,2018-12-19,26.98,27.02,26.99,27.02
1095,2018-12-19,26.96,27.02,27.02,26.97
1094,2018-12-19,26.97,27.01,26.97,26.99
1093,2018-12-19,26.98,27.07,26.98,27.04
1092,2018-12-19,27.03,27.07,27.03,27.07
1091,2018-12-19,27.05,27.05,27.05,27.05
1090,2018-12-19,27.05,27.08,27.05,27.08
1089,2018-12-19,27.06,27.08,27.06,27.08
