,Date,Low,High,Close,Open
1130,2018-12-19,26.84,26.96,26.88,26.84
1129,2018-12-19,26.77,26.84,26.83,26.79
1128,2018-12-19,26.74,26.8,26.8,26.74
1127,2018-12-19,26.69,26.75,26.72,26.73
1126,2018-12-19,26.72,26.79,26.745,26.79
1125,2018-12-19,26.71,26.8,26.79,26.74
1124,2018-12-19,26.72,26.92,26.72,26.9
1123,2018-12-19,26.74,26.91,26.91,26.85
1122,2018-12-19,26.76,26.92,26.83,26.89
1121,2018-12-19,26.74,26.9,26.9,26.81
1120,2018-12-19,26.69,26.87,26.79,26.74
1119,2018-12-19,26.75,27.03,26.755,27.03
1118,2018-12-19,26.89,27.04,27.04,27.03
1117,2018-12-19,26.99,27.15,27.08,27.15
1116,2018-12-19,27.08,27.18,27.17,27.08
1115,2018-12-19,27.06,27.35,27.06,27.34
1114,2018-12-19,27.35,27.46,27.36,27.37
1113,2018-12-19,27.33,27.51,27.39,27.37
1112,2018-12-19,27.3,27.41,27.34,27.33
1111,2018-12-19,27.15,27.33,27.33,27.23
1110,2018-12-19,27.11,27.24,27.23,27.12
1109,2018-12-19,27.03,27.17,27.15,27.1
1108,2018-12-19,27.06,27.22,27.08,27.09
1107,2018-12-19,27.05,27.47,27.1,27.47
1106,2018-12-19,27.32,27.42,27.38,27.32
1105,2018-12-19,27.305,27.35,27.31,27.305
1104,2018-12-19,27.31,27.36,27.31,27.36
1103,2018-12-19,27.31,27.37,27.365,27.32
1102,2018-12-19,27.33,27.3899,27.33,27.37
1101,2018-12-19,27.33,27.365,27.365,27.33
1100,2018-12-19,27.32,27.37,27.32,27.32
1099,2018-12-19,27.32,27.39,27.32,27.38
1098,2018-12-19,27.38,27.43,27.39,27.39
1097,2018-12-19,27.38,27.41,27.38,27.4
1096,2018-12-19,27.39,27.45,27.39,27.45
1095,2018-12-19,27.41,27.47,27.45,27.42
1094,2018-12-19,27.39,27.44,27.39,27.42
1093,2018-12-19,27.39,27.49,27.41,27.44
1092,2018-12-19,27.39,27.44,27.43,27.39
1091,2018-12-19,27.39,27.42,27.39,27.41
1090,2018-12-19,27.4,27.45,27.4,27.45
1089,2018-12-19,27.42,27.55,27.44,27.55
1088,2018-12-19,27.46,27.58,27.56,27.46
1087,2018-12-19,27.42,27.47,27.47,27.43
1086,2018-12-19,27.43,27.46,27.43,27.455
1085,2018-12-19,27.4,27.46,27.455,27.43
1084,2018-12-19,27.43,27.49,27.45,27.45
1083,2018-12-19,27.41,27.45,27.45,27.425
1082,2018-12-19,27.4,27.46,27.42,27.4
1081,2018-12-19,27.35,27.4,27.4,27.39
1080,2018-12-19,27.24,27.38,27.38,27.24
1079,2018-12-19,27.16,27.31,27.23,27.16
1078,2018-12-19,27.14,27.2,27.17,27.18
1077,2018-12-19,27.13,27.18,27.18,27.15
1076,2018-12-19,27.1,27.16,27.16,27.1
1075,2018-12-19,27.11,27.16,27.13,27.11
1074,2018-12-19,27.07,27.15,27.11,27.14
1073,2018-12-19,27.0698,27.16,27.16,27.0698
1072,2018-12-19,27.07,27.13,27.07,27.105
1071,2018-12-19,27.1,27.15,27.1,27.15
1070,2018-12-19,27.11,27.17,27.17,27.12
1069,2018-12-19,27.09,27.15,27.15,27.1
1068,2018-12-19,27.07,27.13,27.13,27.07
1067,2018-12-19,27.07,27.12,27.08,27.07
1066,2018-12-19,27.1,27.13,27.1,27.13
1065,2018-12-19,27.13,27.22,27.13,27.22
1064,2018-12-19,27.12,27.2118,27.1759,27.2
1063,2018-12-19,27.14,27.26,27.2,27.15
1062,2018-12-19,27.08,27.145,27.145,27.09
1061,2018-12-19,27.04,27.13,27.09,27.1
1060,2018-12-19,26.97,27.11,27.11,27.05
1059,2018-12-19,27.03,27.09,27.03,27.09
1058,2018-12-19,27.04,27.205,27.04,27.1099
1057,2018-12-19,27.01,27.1099,27.1099,27.07
1056,2018-12-19,26.96,27.04,27.0201,26.96
1055,2018-12-19,26.88,26.98,26.96,26.88
1054,2018-12-19,26.87,27.08,26.89,27.08
1053,2018-12-19,27.01,27.15,27.06,27.02
1052,2018-12-18,26.89,26.97,26.91,26.94
1051,2018-12-18,26.9,27.015,26.935,27.015
1050,2018-12-18,26.86,27.02,27.02,26.87
1049,2018-12-18,26.765,26.88,26.86,26.78
1048,2018-12-18,26.77,26.845,26.78,26.83
1047,2018-12-18,26.82,26.885,26.83,26.82
1046,2018-12-18,26.795,26.87,26.81,26.86
1045,2018-12-18,26.84,26.905,26.875,26.905
1044,2018-12-18,26.85,26.91,26.91,26.86
1043,2018-12-18,26.8,26.875,26.855,26.81
1042,2018-12-18,26.76,26.82,26.79,26.78
1041,2018-12-18,26.72,26.805,26.795,26.76
1040,2018-12-18,26.74,26.84,26.75,26.84
1039,2018-12-18,26.85,26.88,26.85,26.88
1038,2018-12-18,26.81,26.87,26.87,26.83
1037,2018-12-18,26.84,26.985,26.85,26.98
1036,2018-12-18,26.95,27.01,26.98,27.01
1035,2018-12-18,27.05,27.135,27.05,27.135
1034,2018-12-18,27.11,27.15,27.14,27.11
1033,2018-12-18,27.09,27.13,27.1,27.11
1032,2018-12-18,27.05,27.12,27.12,27.05
1031,2018-12-18,27.055,27.1,27.06,27.07
1030,2018-12-18,26.97,27.05,27.05,26.985
1029,2018-12-18,26.95,27.0,26.99,26.95
1028,2018-12-18,26.94,26.97,26.955,26.97
1027,2018-12-18,26.97,27.16,26.97,27.16
1026,2018-12-18,27.155,27.195,27.19,27.155
1025,2018-12-18,27.11,27.17,27.16,27.11
1024,2018-12-18,27.1,27.1499,27.11,27.1499
1023,2018-12-18,27.13,27.16,27.16,27.14
1022,2018-12-18,27.12,27.17,27.165,27.17
1021,2018-12-18,27.15,27.17,27.17,27.16
1020,2018-12-18,27.13,27.18,27.17,27.13
1019,2018-12-18,27.06,27.14,27.14,27.07
1018,2018-12-18,27.02,27.06,27.055,27.06
1017,2018-12-18,27.02,27.07,27.07,27.05
1016,2018-12-18,27.04,27.2,27.061,27.2
1015,2018-12-18,27.1941,27.24,27.2,27.23
1014,2018-12-18,27.09,27.23,27.23,27.11
1013,2018-12-18,27.075,27.1056,27.09,27.1056
1012,2018-12-18,27.08,27.13,27.11,27.08
1011,2018-12-18,27.05,27.1,27.1,27.07
1010,2018-12-18,27.08,27.1159,27.08,27.115
1009,2018-12-18,27.12,27.16,27.12,27.125
1008,2018-12-18,27.11,27.14,27.14,27.11
1007,2018-12-18,27.1,27.15,27.125,27.1
1006,2018-12-18,27.08,27.13,27.08,27.1
1005,2018-12-18,26.98,27.06,27.06,26.99
1004,2018-12-18,26.96,27.07,26.97,27.05
1003,2018-12-18,27.0,27.095,27.01,27.04
1002,2018-12-18,26.98,27.03,27.03,26.98
1001,2018-12-18,26.99,27.1,26.99,27.04
1000,2018-12-18,26.97,27.09,27.04,26.97
999,2018-12-18,26.86,26.995,26.96,26.86
998,2018-12-18,26.76,26.86,26.83,26.86
997,2018-12-18,26.88,26.98,26.88,26.97
996,2018-12-18,26.99,27.19,27.0,27.19
995,2018-12-18,27.18,27.25,27.2,27.21
994,2018-12-18,27.19,27.25,27.23,27.25
993,2018-12-18,27.27,27.29,27.28,27.28
992,2018-12-18,27.25,27.39,27.25,27.33
991,2018-12-18,27.34,27.3801,27.34,27.34
990,2018-12-18,27.2764,27.33,27.33,27.32
989,2018-12-18,27.28,27.42,27.28,27.42
988,2018-12-18,27.44,27.49,27.46,27.49
987,2018-12-18,27.44,27.49,27.49,27.49
986,2018-12-18,27.45,27.51,27.485,27.49
985,2018-12-18,27.48,27.58,27.48,27.58
984,2018-12-18,27.51,27.58,27.58,27.565
983,2018-12-18,27.56,27.63,27.57,27.625
982,2018-12-18,27.55,27.62,27.61,27.61
981,2018-12-18,27.615,27.67,27.62,27.63
980,2018-12-18,27.59,27.66,27.65,27.605
979,2018-12-18,27.49,27.6,27.5941,27.52
978,2018-12-18,27.56,27.63,27.56,27.63
977,2018-12-18,27.61,27.65,27.62,27.65
976,2018-12-18,27.5,27.6,27.6,27.5
975,2018-12-18,27.53,27.72,27.53,27.69
974,2018-12-17,27.42,27.535,27.53,27.5
973,2018-12-17,27.425,27.52,27.49,27.445
972,2018-12-17,27.405,27.55,27.43,27.5
971,2018-12-17,27.4699,27.525,27.48,27.48
970,2018-12-17,27.48,27.56,27.48,27.5
969,2018-12-17,27.48,27.55,27.52,27.55
968,2018-12-17,27.54,27.57,27.57,27.56
967,2018-12-17,27.54,27.65,27.58,27.62
966,2018-12-17,27.62,27.67,27.62,27.64
965,2018-12-17,27.625,27.7,27.63,27.63
964,2018-12-17,27.6,27.7,27.6,27.64
963,2018-12-17,27.635,27.71,27.64,27.69
962,2018-12-17,27.63,27.69,27.69,27.645
961,2018-12-17,27.63,27.7454,27.66,27.7375
960,2018-12-17,27.72,27.78,27.73,27.77
959,2018-12-17,27.74,27.82,27.78,27.74
958,2018-12-17,27.74,27.77,27.74,27.765
957,2018-12-17,27.75,27.79,27.75,27.76
956,2018-12-17,27.74,27.81,27.76,27.78
955,2018-12-17,27.8,27.85,27.8,27.82
954,2018-12-17,27.73,27.82,27.82,27.73
953,2018-12-17,27.69,27.77,27.72,27.76
952,2018-12-17,27.7128,27.78,27.78,27.72
951,2018-12-17,27.72,27.82,27.72,27.82
950,2018-12-17,27.79,27.915,27.79,27.87
949,2018-12-17,27.84,27.9,27.865,27.89
948,2018-12-17,27.86,27.91,27.89,27.91
947,2018-12-17,27.83,27.91,27.895,27.83
946,2018-12-17,27.78,27.82,27.81,27.78
945,2018-12-17,27.79,27.91,27.79,27.85
944,2018-12-17,27.88,27.91,27.885,27.91
943,2018-12-17,27.81,27.91,27.91,27.85
942,2018-12-17,27.845,27.88,27.865,27.87
941,2018-12-17,27.84,27.88,27.88,27.86
940,2018-12-17,27.8,27.865,27.865,27.8
939,2018-12-17,27.76,27.83,27.79,27.82
938,2018-12-17,27.8113,27.88,27.83,27.88
937,2018-12-17,27.85,27.9,27.87,27.9
936,2018-12-17,27.86,27.89,27.89,27.86
935,2018-12-17,27.815,27.87,27.84,27.87
934,2018-12-17,27.845,27.89,27.865,27.88
933,2018-12-17,27.89,28.005,27.89,28.005
932,2018-12-17,27.99,28.02,28.01,28.02
931,2018-12-17,28.02,28.145,28.02,28.14
930,2018-12-17,28.12,28.14,28.135,28.1225
929,2018-12-17,28.11,28.165,28.11,28.165
928,2018-12-17,28.145,28.18,28.165,28.16
