,Date,Low,High,Close,Open
1130,2018-12-19,86.22,86.51,86.22,86.42
1129,2018-12-19,86.28,86.44,86.42,86.3
1128,2018-12-19,85.97,86.33,86.3,85.97
1127,2018-12-19,85.84,86.08,85.98,86.08
1126,2018-12-19,86.05,86.16,86.1,86.16
1125,2018-12-19,86.02,86.22,86.17,86.12
1124,2018-12-19,86.09,86.47,86.09,86.47
1123,2018-12-19,86.06,86.45,86.45,86.21
1122,2018-12-19,86.08,86.33,86.11,86.33
1121,2018-12-19,85.98,86.35,86.34,86.0
1120,2018-12-19,85.75,86.15,86.07,85.975
1119,2018-12-19,85.89,86.2,86.0,86.2
1118,2018-12-19,86.1,86.36,86.27,86.3
1117,2018-12-19,86.35,86.7,86.42,86.63
1116,2018-12-19,86.32,86.72,86.72,86.32
1115,2018-12-19,86.36,87.01,86.36,87.01
1114,2018-12-19,86.94,87.2,86.98,87.14
1113,2018-12-19,87.11,87.45,87.22,87.18
1112,2018-12-19,87.14,87.39,87.18,87.275
1111,2018-12-19,86.94,87.33,87.32,87.15
1110,2018-12-19,86.795,87.29,87.22,86.81
1109,2018-12-19,86.58,86.86,86.83,86.83
1108,2018-12-19,86.74,87.0,86.79,86.79
1107,2018-12-19,86.69,87.57,86.69,87.57
1106,2018-12-19,87.3,87.69,87.69,87.38
1105,2018-12-19,87.23,87.36,87.36,87.33
1104,2018-12-19,87.16,87.36,87.29,87.16
1103,2018-12-19,87.065,87.175,87.15,87.12
1102,2018-12-19,87.08,87.135,87.135,87.13
1101,2018-12-19,87.09,87.21,87.17,87.11
1100,2018-12-19,87.1,87.22,87.1,87.22
1099,2018-12-19,87.155,87.39,87.19,87.35
1098,2018-12-19,87.24,87.37,87.37,87.24
1097,2018-12-19,87.21,87.37,87.255,87.21
1096,2018-12-19,87.105,87.23,87.16,87.23
1095,2018-12-19,87.08,87.29,87.23,87.08
1094,2018-12-19,87.05,87.3,87.08,87.3
1093,2018-12-19,87.27,87.42,87.33,87.385
1092,2018-12-19,87.35,87.42,87.37,87.42
1091,2018-12-19,87.26,87.37,87.365,87.27
1090,2018-12-19,87.2,87.28,87.235,87.25
1089,2018-12-19,87.2,87.37,87.2,87.37
1088,2018-12-19,87.39,87.56,87.39,87.41
1087,2018-12-19,87.175,87.35,87.35,87.2
1086,2018-12-19,87.16,87.215,87.205,87.16
1085,2018-12-19,87.225,87.32,87.23,87.32
1084,2018-12-19,87.21,87.285,87.285,87.21
1083,2018-12-19,87.18,87.22,87.1905,87.2
1082,2018-12-19,87.12,87.23,87.22,87.12
1081,2018-12-19,87.17,87.44,87.17,87.37
1080,2018-12-19,87.01,87.32,87.32,87.05
1079,2018-12-19,87.0,87.15,87.09,87.13
1078,2018-12-19,87.01,87.2,87.16,87.05
1077,2018-12-19,86.9505,87.02,87.02,87.0
1076,2018-12-19,87.0,87.14,87.07,87.14
1075,2018-12-19,86.96,87.125,87.105,86.96
1074,2018-12-19,86.85,87.08,86.85,86.945
1073,2018-12-19,86.99,87.11,87.04,87.01
1072,2018-12-19,86.86,87.05,87.05,86.86
1071,2018-12-19,86.94,87.29,86.94,87.27
1070,2018-12-19,87.17,87.3,87.27,87.28
1069,2018-12-19,87.02,87.29,87.29,87.11
1068,2018-12-19,86.82,87.05,87.03,86.82
1067,2018-12-19,86.79,86.94,86.85,86.79
1066,2018-12-19,86.585,86.76,86.76,86.61
1065,2018-12-19,86.6,86.66,86.6,86.64
1064,2018-12-19,86.52,86.66,86.55,86.59
1063,2018-12-19,86.35,86.64,86.56,86.35
1062,2018-12-19,86.3846,86.51,86.41,86.4
1061,2018-12-19,86.11,86.38,86.33,86.11
1060,2018-12-19,86.15,86.26,86.15,86.22
1059,2018-12-19,86.11,86.27,86.19,86.22
1058,2018-12-19,85.74,86.21,86.02,85.93
1057,2018-12-19,85.72,85.89,85.89,85.77
1056,2018-12-19,85.84,86.01,85.84,85.9108
1055,2018-12-19,85.6424,85.91,85.85,85.71
1054,2018-12-19,85.67,86.0,85.78,86.0
1053,2018-12-19,85.92,86.05,85.98,85.92
