,Date,Low,High,Close,Open
1169,2018-12-19,28.29,28.365,28.29,28.32
1168,2018-12-19,28.32,28.37,28.33,28.37
1167,2018-12-19,28.27,28.365,28.365,28.32
1166,2018-12-19,28.26,28.33,28.31,28.33
1165,2018-12-19,28.29,28.425,28.33,28.425
1164,2018-12-19,28.33,28.44,28.435,28.345
1163,2018-12-19,28.35,28.47,28.35,28.47
1162,2018-12-19,28.26,28.48,28.47,28.4
1161,2018-12-19,28.33,28.53,28.405,28.465
1160,2018-12-19,28.22,28.455,28.455,28.27
1159,2018-12-19,28.0968,28.32,28.25,28.205
1158,2018-12-19,28.195,28.33,28.215,28.33
1157,2018-12-19,28.24,28.41,28.34,28.395
1156,2018-12-19,28.3,28.5,28.41,28.49
1155,2018-12-19,28.4,28.51,28.5,28.42
1154,2018-12-19,28.43,28.68,28.43,28.68
1153,2018-12-19,28.65,28.72,28.69,28.7
1152,2018-12-19,28.59,28.73,28.695,28.63
1151,2018-12-19,28.56,28.63,28.62,28.615
1150,2018-12-19,28.55,28.65,28.64,28.65
1149,2018-12-19,28.59,28.67,28.63,28.65
1148,2018-12-19,28.6,28.77,28.65,28.75
1147,2018-12-19,28.67,28.82,28.73,28.75
1146,2018-12-19,28.74,29.1,28.76,29.06
1145,2018-12-19,28.89,29.06,29.06,28.94
1144,2018-12-19,28.94,28.985,28.94,28.95
1143,2018-12-19,28.95,28.98,28.96,28.96
1142,2018-12-19,28.9,28.98,28.965,28.9
1141,2018-12-19,28.84,28.89,28.89,28.85
1140,2018-12-19,28.83,28.85,28.84,28.84
1139,2018-12-19,28.82,28.84,28.84,28.82
1138,2018-12-19,28.81,28.875,28.83,28.85
1137,2018-12-19,28.82,28.845,28.84,28.83
1136,2018-12-19,28.84,28.865,28.84,28.855
1135,2018-12-19,28.8415,28.9,28.85,28.9
1134,2018-12-19,28.87,28.9,28.895,28.87
1133,2018-12-19,28.875,28.92,28.875,28.92
1132,2018-12-19,28.915,28.98,28.93,28.93
1131,2018-12-19,28.94,28.98,28.94,28.97
1130,2018-12-19,28.95,28.99,28.97,28.985
1129,2018-12-19,28.98,29.0,28.985,29.0
1128,2018-12-19,28.99,29.02,28.99,28.99
1127,2018-12-19,28.99,29.03,28.99,29.01
1126,2018-12-19,28.99,29.02,29.0,29.02
1125,2018-12-19,28.955,29.02,29.015,28.97
1124,2018-12-19,28.97,28.99,28.97,28.97
1123,2018-12-19,28.96,29.03,28.96,29.01
