,Date,Low,High,Close,Open
1130,2018-12-19,8.705,8.72,8.72,8.72
1129,2018-12-19,8.695,8.75,8.72,8.735
1128,2018-12-19,8.735,8.77,8.735,8.755
1127,2018-12-19,8.74,8.77,8.75,8.745
1126,2018-12-19,8.73,8.835,8.75,8.83
1125,2018-12-19,8.83,8.86,8.83,8.86
1124,2018-12-19,8.85,8.91,8.85,8.91
1123,2018-12-19,8.895,9.01,8.915,9.0
1122,2018-12-19,8.96,9.025,8.98,9.02
1121,2018-12-19,8.94,9.005,9.005,8.94
1120,2018-12-19,8.83,8.945,8.94,8.84
1119,2018-12-19,8.86,8.92,8.86,8.92
1118,2018-12-19,8.835,8.94,8.94,8.9
1117,2018-12-19,8.9,8.98,8.9,8.98
1116,2018-12-19,8.94,8.97,8.97,8.95
1115,2018-12-19,8.93,9.1,8.93,9.1
1114,2018-12-19,9.09,9.135,9.1,9.09
1113,2018-12-19,9.07,9.15,9.11,9.085
1112,2018-12-19,9.05,9.09,9.07,9.06
1111,2018-12-19,9.03,9.06,9.05,9.05
1110,2018-12-19,8.94,9.07,9.07,8.94
1109,2018-12-19,8.88,8.97,8.97,8.94
1108,2018-12-19,8.9,9.0,8.93,9.0
1107,2018-12-19,8.97,9.12,9.01,9.12
1106,2018-12-19,9.04,9.13,9.12,9.04
1105,2018-12-19,9.015,9.06,9.025,9.06
1104,2018-12-19,9.07,9.1,9.07,9.1
1103,2018-12-19,9.0603,9.11,9.11,9.0603
1102,2018-12-19,9.05,9.085,9.07,9.08
1101,2018-12-19,9.0439,9.07,9.06,9.07
1100,2018-12-19,9.03,9.05,9.05,9.05
1099,2018-12-19,9.04,9.09,9.045,9.09
1098,2018-12-19,9.04,9.07,9.07,9.05
1097,2018-12-19,9.05,9.07,9.06,9.05
1096,2018-12-19,9.04,9.07,9.05,9.07
1095,2018-12-19,9.06,9.08,9.07,9.08
1094,2018-12-19,9.08,9.1125,9.09,9.08
1093,2018-12-19,9.07,9.14,9.07,9.14
1092,2018-12-19,9.145,9.145,9.145,9.145
1091,2018-12-19,9.13,9.15,9.14,9.13
1090,2018-12-19,9.14,9.17,9.14,9.16
1089,2018-12-19,9.125,9.155,9.14,9.125
1088,2018-12-19,9.13,9.155,9.13,9.14
1087,2018-12-19,9.125,9.15,9.15,9.125
1086,2018-12-19,9.12,9.17,9.13,9.17
1085,2018-12-19,9.18,9.19,9.19,9.19
1084,2018-12-19,9.18,9.2,9.2,9.195
1083,2018-12-19,9.16,9.2001,9.17,9.2
1082,2018-12-19,9.2,9.22,9.205,9.21
1081,2018-12-19,9.19,9.22,9.21,9.22
1080,2018-12-19,9.19,9.22,9.22,9.19
1079,2018-12-19,9.2,9.23,9.2,9.23
1078,2018-12-19,9.21,9.25,9.24,9.21
1077,2018-12-19,9.19,9.235,9.21,9.235
1076,2018-12-19,9.215,9.24,9.24,9.23
1075,2018-12-19,9.22,9.245,9.24,9.22
1074,2018-12-19,9.2,9.225,9.225,9.2
1073,2018-12-19,9.21,9.24,9.21,9.24
1072,2018-12-19,9.24,9.26,9.2501,9.24
1071,2018-12-19,9.23,9.28,9.245,9.28
1070,2018-12-19,9.28,9.31,9.3,9.31
1069,2018-12-19,9.32,9.33,9.32,9.32
1068,2018-12-19,9.285,9.31,9.3,9.3
1067,2018-12-19,9.29,9.3499,9.305,9.34
1066,2018-12-19,9.33,9.37,9.33,9.36
1065,2018-12-19,9.35,9.37,9.3572,9.37
1064,2018-12-19,9.365,9.38,9.37,9.365
1063,2018-12-19,9.34,9.38,9.36,9.34
1062,2018-12-19,9.285,9.38,9.285,9.38
1061,2018-12-19,9.365,9.43,9.38,9.41
1060,2018-12-19,9.385,9.42,9.41,9.4
1059,2018-12-19,9.3652,9.41,9.39,9.3652
1058,2018-12-19,9.35,9.385,9.385,9.35
1057,2018-12-19,9.32,9.42,9.36,9.42
1056,2018-12-19,9.3,9.42,9.41,9.35
1055,2018-12-19,9.2445,9.31,9.31,9.2445
1054,2018-12-19,9.22,9.27,9.25,9.24
1053,2018-12-19,9.21,9.25,9.23,9.21
1052,2018-12-18,9.19,9.22,9.19,9.21
1051,2018-12-18,9.21,9.235,9.22,9.235
1050,2018-12-18,9.21,9.24,9.24,9.235
1049,2018-12-18,9.2,9.24,9.225,9.2
1048,2018-12-18,9.185,9.215,9.205,9.195
1047,2018-12-18,9.175,9.21,9.2,9.2
1046,2018-12-18,9.17,9.19,9.19,9.17
1045,2018-12-18,9.155,9.18,9.18,9.17
1044,2018-12-18,9.16,9.195,9.175,9.17
1043,2018-12-18,9.14,9.175,9.165,9.14
1042,2018-12-18,9.125,9.15,9.15,9.14
1041,2018-12-18,9.085,9.15,9.145,9.1
1040,2018-12-18,9.11,9.17,9.11,9.17
1039,2018-12-18,9.15,9.18,9.17,9.175
1038,2018-12-18,9.13,9.175,9.16,9.175
1037,2018-12-18,9.17,9.27,9.18,9.27
1036,2018-12-18,9.265,9.28,9.27,9.265
1035,2018-12-18,9.275,9.3038,9.285,9.29
1034,2018-12-18,9.275,9.3125,9.295,9.275
1033,2018-12-18,9.26,9.29,9.27,9.26
1032,2018-12-18,9.26,9.28,9.27,9.27
1031,2018-12-18,9.275,9.34,9.28,9.33
1030,2018-12-18,9.295,9.32,9.32,9.31
1029,2018-12-18,9.29,9.32,9.32,9.29
1028,2018-12-18,9.28,9.3,9.29,9.3
1027,2018-12-18,9.3,9.38,9.3,9.38
1026,2018-12-18,9.33,9.39,9.39,9.33
1025,2018-12-18,9.3,9.34,9.325,9.3
1024,2018-12-18,9.29,9.31,9.29,9.3
1023,2018-12-18,9.26,9.31,9.3,9.305
1022,2018-12-18,9.31,9.345,9.32,9.345
1021,2018-12-18,9.36,9.42,9.36,9.42
1020,2018-12-18,9.42,9.43,9.43,9.43
1019,2018-12-18,9.43,9.43,9.43,9.43
1018,2018-12-18,9.42,9.47,9.43,9.47
1017,2018-12-18,9.47,9.5,9.47,9.5
1016,2018-12-18,9.485,9.525,9.49,9.52
1015,2018-12-18,9.5,9.53,9.51,9.52
1014,2018-12-18,9.47,9.53,9.53,9.47
1013,2018-12-18,9.48,9.5,9.48,9.5
1012,2018-12-18,9.48,9.52,9.49,9.52
1011,2018-12-18,9.51,9.55,9.51,9.52
1010,2018-12-18,9.52,9.55,9.52,9.55
1009,2018-12-18,9.55,9.58,9.55,9.55
1008,2018-12-18,9.54,9.57,9.56,9.54
1007,2018-12-18,9.45,9.56,9.54,9.45
1006,2018-12-18,9.44,9.45,9.44,9.45
1005,2018-12-18,9.43,9.44,9.44,9.43
1004,2018-12-18,9.4,9.44,9.42,9.44
1003,2018-12-18,9.43,9.45,9.44,9.44
1002,2018-12-18,9.43,9.48,9.43,9.46
1001,2018-12-18,9.47,9.49,9.48,9.47
1000,2018-12-18,9.47,9.49,9.47,9.47
999,2018-12-18,9.45,9.5,9.47,9.5
998,2018-12-18,9.4,9.48,9.48,9.4
997,2018-12-18,9.41,9.46,9.41,9.46
996,2018-12-18,9.43,9.47,9.46,9.46
995,2018-12-18,9.445,9.48,9.47,9.445
994,2018-12-18,9.44,9.46,9.44,9.44
993,2018-12-18,9.44,9.48,9.45,9.47
992,2018-12-18,9.461,9.49,9.461,9.48
991,2018-12-18,9.48,9.5,9.48,9.5
990,2018-12-18,9.46,9.5,9.48,9.46
989,2018-12-18,9.46,9.56,9.47,9.56
988,2018-12-18,9.5,9.56,9.52,9.56
987,2018-12-18,9.55,9.59,9.57,9.55
986,2018-12-18,9.5415,9.59,9.56,9.56
985,2018-12-18,9.55,9.59,9.56,9.59
