,Date,Low,High,Close,Open
1169,2018-12-19,51.485,51.58,51.49,51.5
1168,2018-12-19,51.305,51.52,51.515,51.33
1167,2018-12-19,51.14,51.4,51.34,51.35
1166,2018-12-19,51.11,51.32,51.31,51.24
1165,2018-12-19,51.25,51.465,51.29,51.465
1164,2018-12-19,51.26,51.54,51.51,51.355
1163,2018-12-19,51.31,51.65,51.31,51.56
1162,2018-12-19,51.27,51.63,51.61,51.43
1161,2018-12-19,51.31,51.61,51.35,51.58
1160,2018-12-19,51.19,51.56,51.56,51.28
1159,2018-12-19,51.11,51.43,51.21,51.31
1158,2018-12-19,51.33,51.58,51.37,51.57
1157,2018-12-19,51.53,51.81,51.66,51.81
1156,2018-12-19,51.81,52.17,51.88,52.17
1155,2018-12-19,51.95,52.19,52.16,51.95
1154,2018-12-19,51.93,52.49,51.93,52.49
1153,2018-12-19,52.44,52.6,52.47,52.53
1152,2018-12-19,52.4,52.69,52.56,52.44
1151,2018-12-19,52.3399,52.5,52.45,52.37
1150,2018-12-19,52.17,52.39,52.31,52.36
1149,2018-12-19,51.85,52.38,52.35,51.85
1148,2018-12-19,51.79,52.03,51.94,52.03
1147,2018-12-19,51.94,52.335,51.99,52.22
1146,2018-12-19,52.135,53.0525,52.135,53.0525
1145,2018-12-19,52.65,52.89,52.89,52.65
1144,2018-12-19,52.6,52.7,52.64,52.7
1143,2018-12-19,52.66,52.72,52.72,52.7
1142,2018-12-19,52.64,52.69,52.68,52.68
1141,2018-12-19,52.65,52.71,52.66,52.6816
1140,2018-12-19,52.64,52.71,52.67,52.64
1139,2018-12-19,52.6,52.65,52.6,52.65
1138,2018-12-19,52.55,52.73,52.61,52.73
1137,2018-12-19,52.705,52.75,52.7254,52.75
1136,2018-12-19,52.75,52.8,52.78,52.75
1135,2018-12-19,52.72,52.77,52.76,52.73
1134,2018-12-19,52.69,52.72,52.72,52.72
1133,2018-12-19,52.6662,52.74,52.71,52.74
1132,2018-12-19,52.71,52.79,52.72,52.79
1131,2018-12-19,52.73,52.83,52.8,52.73
1130,2018-12-19,52.67,52.74,52.72,52.74
1129,2018-12-19,52.73,52.76,52.74,52.73
1128,2018-12-19,52.72,52.7501,52.75,52.75
1127,2018-12-19,52.78,52.84,52.78,52.8
1126,2018-12-19,52.73,52.79,52.79,52.75
1125,2018-12-19,52.74,52.775,52.75,52.775
1124,2018-12-19,52.78,52.85,52.81,52.84
1123,2018-12-19,52.77,52.88,52.86,52.77
1122,2018-12-19,52.73,52.8,52.74,52.8
1121,2018-12-19,52.74,52.835,52.835,52.78
1120,2018-12-19,52.68,52.78,52.78,52.68
1119,2018-12-19,52.59,52.6501,52.6501,52.59
1118,2018-12-19,52.5734,52.6284,52.5734,52.62
1117,2018-12-19,52.6016,52.65,52.61,52.61
1116,2018-12-19,52.51,52.62,52.57,52.62
1115,2018-12-19,52.57,52.63,52.63,52.58
1114,2018-12-19,52.565,52.66,52.565,52.64
1113,2018-12-19,52.57,52.65,52.6,52.61
1112,2018-12-19,52.58,52.72,52.63,52.59
1111,2018-12-19,52.5788,52.69,52.625,52.625
1110,2018-12-19,52.615,52.68,52.615,52.68
1109,2018-12-19,52.59,52.67,52.67,52.6
1108,2018-12-19,52.5,52.61,52.59,52.5
1107,2018-12-19,52.4301,52.48,52.48,52.47
1106,2018-12-19,52.47,52.64,52.47,52.61
1105,2018-12-19,52.56,52.66,52.6001,52.66
1104,2018-12-19,52.59,52.72,52.66,52.59
1103,2018-12-19,52.52,52.6,52.5901,52.52
1102,2018-12-19,52.56,52.65,52.56,52.65
1101,2018-12-19,52.67,52.78,52.69,52.76
1100,2018-12-19,52.69,52.77,52.77,52.745
1099,2018-12-19,52.67,52.76,52.76,52.71
1098,2018-12-19,52.595,52.76,52.76,52.64
1097,2018-12-19,52.49,52.84,52.69,52.82
1096,2018-12-19,52.405,52.57,52.57,52.5
1095,2018-12-19,52.43,52.51,52.49,52.43
1094,2018-12-19,52.3,52.54,52.3,52.53
1093,2018-12-19,52.55,52.64,52.55,52.57
1092,2018-12-19,52.21,52.46,52.46,52.21
1091,2018-12-18,52.24,52.47,52.24,52.46
1090,2018-12-18,52.43,52.51,52.45,52.485
1089,2018-12-18,52.3107,52.505,52.49,52.33
1088,2018-12-18,52.22,52.34,52.32,52.22
1087,2018-12-18,52.18,52.28,52.225,52.25
1086,2018-12-18,52.1,52.26,52.23,52.1
1085,2018-12-18,51.94,52.08,52.07,52.08
1084,2018-12-18,52.02,52.19,52.05,52.105
1083,2018-12-18,51.95,52.135,52.135,51.99
1082,2018-12-18,51.92,52.03,51.985,51.92
1081,2018-12-18,51.85,52.04,51.92,51.96
1080,2018-12-18,51.89,52.005,51.98,51.91
1079,2018-12-18,51.95,52.1,51.95,52.09
1078,2018-12-18,52.02,52.13,52.095,52.13
1077,2018-12-18,51.97,52.1,52.09,52.09
1076,2018-12-18,52.07,52.35,52.07,52.35
1075,2018-12-18,52.23,52.32,52.32,52.23
1074,2018-12-18,52.28,52.43,52.28,52.43
1073,2018-12-18,52.37,52.43,52.43,52.38
1072,2018-12-18,52.37,52.43,52.39,52.42
1071,2018-12-18,52.39,52.49,52.45,52.49
1070,2018-12-18,52.44,52.48,52.44,52.44
1069,2018-12-18,52.35,52.47,52.47,52.41
1068,2018-12-18,52.4,52.46,52.42,52.46
1067,2018-12-18,52.3,52.39,52.38,52.38
1066,2018-12-18,52.37,52.52,52.41,52.52
1065,2018-12-18,52.47,52.54,52.54,52.48
1064,2018-12-18,52.47,52.56,52.47,52.51
1063,2018-12-18,52.51,52.6,52.51,52.57
1062,2018-12-18,52.52,52.5707,52.55,52.55
1061,2018-12-18,52.54,52.66,52.57,52.64
1060,2018-12-18,52.64,52.71,52.67,52.71
1059,2018-12-18,52.69,52.8,52.69,52.8
1058,2018-12-18,52.81,52.86,52.82,52.845
1057,2018-12-18,52.79,52.87,52.83,52.87
1056,2018-12-18,52.77,52.85,52.84,52.85
1055,2018-12-18,52.77,52.85,52.83,52.84
1054,2018-12-18,52.59,52.79,52.79,52.59
1053,2018-12-18,52.53,52.64,52.6276,52.54
1052,2018-12-18,52.54,52.62,52.62,52.57
1051,2018-12-18,52.52,52.56,52.53,52.5408
1050,2018-12-18,52.55,52.67,52.55,52.63
1049,2018-12-18,52.61,52.67,52.61,52.66
1048,2018-12-18,52.675,52.73,52.675,52.68
1047,2018-12-18,52.58,52.71,52.71,52.61
1046,2018-12-18,52.6,52.7,52.6,52.61
1045,2018-12-18,52.48,52.59,52.58,52.48
1044,2018-12-18,52.38,52.54,52.4,52.54
1043,2018-12-18,52.43,52.5,52.49,52.5
1042,2018-12-18,52.48,52.5807,52.49,52.55
1041,2018-12-18,52.46,52.56,52.545,52.46
1040,2018-12-18,52.48,52.72,52.48,52.72
1039,2018-12-18,52.64,52.75,52.695,52.64
1038,2018-12-18,52.5001,52.62,52.62,52.58
1037,2018-12-18,52.32,52.5,52.5,52.32
1036,2018-12-18,52.38,52.49,52.38,52.49
1035,2018-12-18,52.45,52.53,52.52,52.5099
1034,2018-12-18,52.5,52.595,52.5,52.595
1033,2018-12-18,52.5601,52.66,52.5601,52.64
1032,2018-12-18,52.66,52.73,52.66,52.7
1031,2018-12-18,52.69,52.79,52.69,52.79
1030,2018-12-18,52.72,52.85,52.74,52.72
1029,2018-12-18,52.68,52.77,52.71,52.72
1028,2018-12-18,52.7301,52.96,52.75,52.96
1027,2018-12-18,52.91,53.09,52.95,53.09
1026,2018-12-18,53.0101,53.13,53.08,53.0101
1025,2018-12-18,52.87,53.05,53.03,52.94
1024,2018-12-18,52.95,53.17,52.95,53.17
1023,2018-12-18,53.13,53.25,53.13,53.2
1022,2018-12-18,53.115,53.1848,53.1848,53.115
1021,2018-12-18,53.05,53.155,53.11,53.07
1020,2018-12-18,53.065,53.41,53.11,53.41
1019,2018-12-18,53.27,53.39,53.39,53.35
1018,2018-12-18,53.36,53.53,53.36,53.53
1017,2018-12-18,53.41,53.59,53.495,53.41
1016,2018-12-18,53.25,53.53,53.38,53.53
1015,2018-12-18,53.32,53.51,53.47,53.32
1014,2018-12-18,52.9176,53.31,53.31,52.9176
1013,2018-12-17,52.84,53.01,53.0,52.86
1012,2018-12-17,52.63,52.88,52.88,52.63
1011,2018-12-17,52.56,52.74,52.61,52.67
1010,2018-12-17,52.63,52.69,52.68,52.67
1009,2018-12-17,52.61,52.72,52.695,52.7
1008,2018-12-17,52.66,52.78,52.71,52.78
1007,2018-12-17,52.72,52.86,52.78,52.86
1006,2018-12-17,52.85,52.95,52.88,52.94
1005,2018-12-17,52.91,53.02,52.9499,52.95
1004,2018-12-17,52.81,53.04,52.95,52.81
1003,2018-12-17,52.82,52.97,52.82,52.87
1002,2018-12-17,52.795,52.9,52.86,52.84
1001,2018-12-17,52.83,52.93,52.84,52.87
1000,2018-12-17,52.86,53.08,52.88,53.07
999,2018-12-17,53.08,53.21,53.09,53.16
998,2018-12-17,53.145,53.23,53.18,53.17
997,2018-12-17,53.16,53.21,53.18,53.17
996,2018-12-17,53.08,53.2,53.19,53.08
995,2018-12-17,53.07,53.14,53.1,53.13
994,2018-12-17,53.06,53.205,53.12,53.06
993,2018-12-17,52.97,53.08,53.08,53.01
992,2018-12-17,52.98,53.03,53.01,53.02
991,2018-12-17,52.96,53.04,53.03,52.96
990,2018-12-17,52.93,53.06,52.97,53.03
989,2018-12-17,53.04,53.15,53.07,53.06
988,2018-12-17,53.03,53.08,53.06,53.05
987,2018-12-17,53.02,53.13,53.03,53.13
986,2018-12-17,53.07,53.19,53.15,53.08
985,2018-12-17,53.03,53.13,53.04,53.1
984,2018-12-17,53.08,53.31,53.08,53.24
