,Date,Low,High,Close,Open
222,2018-12-19,2.1194,2.1194,2.1194,2.1194
221,2018-12-19,2.1,2.1,2.1,2.1
220,2018-12-19,2.0901,2.0901,2.0901,2.0901
219,2018-12-19,2.09,2.09,2.09,2.09
218,2018-12-19,2.17,2.17,2.17,2.17
217,2018-12-19,2.1735,2.1735,2.1735,2.1735
216,2018-12-19,2.16,2.17,2.16,2.17
215,2018-12-19,2.08,2.08,2.08,2.08
214,2018-12-19,2.17,2.17,2.17,2.17
213,2018-12-19,2.1346,2.1692,2.1692,2.1346
212,2018-12-19,2.0425,2.0425,2.0425,2.0425
211,2018-12-18,2.07,2.07,2.07,2.07
210,2018-12-18,2.05,2.05,2.05,2.05
209,2018-12-18,2.024,2.024,2.024,2.024
208,2018-12-18,2.1699,2.1699,2.1699,2.1699
207,2018-12-18,2.175,2.175,2.175,2.175
206,2018-12-18,2.135,2.17,2.17,2.135
205,2018-12-18,2.1602,2.1602,2.1602,2.1602
204,2018-12-18,2.1518,2.16,2.1518,2.16
203,2018-12-18,1.9225,1.9225,1.9225,1.9225
202,2018-12-18,1.9127,1.9127,1.9127,1.9127
201,2018-12-18,2.07,2.07,2.07,2.07
200,2018-12-18,2.0394,2.05,2.05,2.0394
199,2018-12-17,2.01,2.01,2.01,2.01
198,2018-12-17,2.0301,2.0301,2.0301,2.0301
197,2018-12-17,2.06,2.06,2.06,2.06
196,2018-12-17,2.06,2.06,2.06,2.06
195,2018-12-17,2.08,2.08,2.08,2.08
194,2018-12-17,2.06,2.06,2.06,2.06
193,2018-12-17,2.0109,2.0109,2.0109,2.0109
192,2018-12-17,2.0,2.0,2.0,2.0
191,2018-12-14,2.0201,2.0201,2.0201,2.0201
190,2018-12-14,2.2597,2.2597,2.2597,2.2597
189,2018-12-14,2.0364,2.0364,2.0364,2.0364
188,2018-12-13,2.14,2.14,2.14,2.14
187,2018-12-13,2.14,2.14,2.14,2.14
186,2018-12-13,2.1375,2.1375,2.1375,2.1375
185,2018-12-13,2.18,2.18,2.18,2.18
184,2018-12-13,2.16,2.16,2.16,2.16
183,2018-12-13,2.15,2.15,2.15,2.15
182,2018-12-13,2.18,2.21,2.18,2.18
181,2018-12-13,2.19,2.19,2.19,2.19
180,2018-12-12,2.15,2.15,2.15,2.15
179,2018-12-12,2.15,2.15,2.15,2.15
178,2018-12-12,2.14,2.14,2.14,2.14
177,2018-12-12,2.13,2.13,2.13,2.13
176,2018-12-12,2.09,2.09,2.09,2.09
175,2018-12-12,2.151,2.18,2.18,2.151
174,2018-12-12,2.07,2.07,2.07,2.07
173,2018-12-12,2.28,2.28,2.28,2.28
172,2018-12-11,2.1591,2.1999,2.1999,2.1591
171,2018-12-11,2.1105,2.1105,2.1105,2.1105
170,2018-12-11,2.1668,2.1668,2.1668,2.1668
169,2018-12-11,2.28,2.28,2.28,2.28
168,2018-12-10,2.25,2.25,2.25,2.25
167,2018-12-10,2.25,2.25,2.25,2.25
166,2018-12-10,2.24,2.24,2.24,2.24
165,2018-12-10,2.25,2.25,2.25,2.25
164,2018-12-10,2.25,2.25,2.25,2.25
163,2018-12-10,2.25,2.25,2.25,2.25
162,2018-12-10,2.25,2.25,2.25,2.25
161,2018-12-10,2.25,2.25,2.25,2.25
160,2018-12-10,2.22,2.24,2.24,2.22
159,2018-12-10,2.12,2.12,2.12,2.12
158,2018-12-10,2.21,2.21,2.21,2.21
157,2018-12-10,2.23,2.23,2.23,2.23
156,2018-12-10,2.23,2.23,2.23,2.23
155,2018-12-10,2.23,2.23,2.23,2.23
154,2018-12-10,2.19,2.19,2.19,2.19
153,2018-12-10,2.19,2.19,2.19,2.19
152,2018-12-10,2.1001,2.1001,2.1001,2.1001
151,2018-12-10,2.17,2.18,2.18,2.17
150,2018-12-10,2.16,2.16,2.16,2.16
149,2018-12-10,2.18,2.18,2.18,2.18
148,2018-12-10,2.155,2.18,2.18,2.155
147,2018-12-10,2.17,2.17,2.17,2.17
146,2018-12-10,2.17,2.17,2.17,2.17
145,2018-12-10,2.17,2.17,2.17,2.17
144,2018-12-10,2.17,2.17,2.17,2.17
143,2018-12-10,2.17,2.17,2.17,2.17
142,2018-12-10,2.17,2.17,2.17,2.17
141,2018-12-10,2.1,2.1,2.1,2.1
140,2018-12-10,2.08,2.08,2.08,2.08
139,2018-12-10,2.0195,2.05,2.05,2.0195
138,2018-12-10,2.03,2.03,2.03,2.03
137,2018-12-10,2.18,2.18,2.18,2.18
136,2018-12-10,2.2303,2.2303,2.2303,2.2303
135,2018-12-07,2.03,2.03,2.03,2.03
134,2018-12-07,2.11,2.11,2.11,2.11
133,2018-12-07,2.015,2.015,2.015,2.015
132,2018-12-07,2.1,2.1,2.1,2.1
131,2018-12-06,2.09,2.09,2.09,2.09
130,2018-12-06,2.1,2.1,2.1,2.1
129,2018-12-06,2.0703,2.0703,2.0703,2.0703
128,2018-12-06,2.0503,2.0503,2.0503,2.0503
127,2018-12-06,2.1005,2.1496,2.1005,2.1496
126,2018-12-06,2.065,2.065,2.065,2.065
125,2018-12-06,2.05,2.05,2.05,2.05
124,2018-12-06,2.15,2.19,2.15,2.19
123,2018-12-06,2.0402,2.0402,2.0402,2.0402
122,2018-12-04,2.135,2.26,2.26,2.2499
