,Date,Low,High,Close,Open
1130,2018-12-19,22.78,22.84,22.78,22.8
1129,2018-12-19,22.78,22.82,22.8,22.79
1128,2018-12-19,22.69,22.79,22.7869,22.69
1127,2018-12-19,22.65,22.73,22.69,22.7
1126,2018-12-19,22.68,22.75,22.7,22.75
1125,2018-12-19,22.63,22.76,22.75,22.645
1124,2018-12-19,22.65,22.83,22.65,22.83
1123,2018-12-19,22.69,22.84,22.84,22.77
1122,2018-12-19,22.74,22.89,22.78,22.88
1121,2018-12-19,22.72,22.895,22.89,22.775
1120,2018-12-19,22.68,22.81,22.77,22.81
1119,2018-12-19,22.8001,22.99,22.8001,22.99
1118,2018-12-19,22.96,23.11,22.99,23.11
1117,2018-12-19,23.08,23.21,23.13,23.21
1116,2018-12-19,23.14,23.22,23.22,23.15
1115,2018-12-19,23.14,23.4,23.14,23.4
1114,2018-12-19,23.39,23.49,23.41,23.46
1113,2018-12-19,23.39,23.54,23.48,23.45
1112,2018-12-19,23.34,23.455,23.45,23.38
1111,2018-12-19,23.2552,23.39,23.38,23.27
1110,2018-12-19,23.225,23.34,23.29,23.24
1109,2018-12-19,23.2,23.31,23.27,23.3
1108,2018-12-19,23.28,23.41,23.29,23.35
1107,2018-12-19,23.31,23.7,23.355,23.68
1106,2018-12-19,23.545,23.68,23.68,23.545
1105,2018-12-19,23.54,23.56,23.55,23.56
1104,2018-12-19,23.56,23.575,23.56,23.56
1103,2018-12-19,23.525,23.58,23.57,23.525
1102,2018-12-19,23.5201,23.54,23.525,23.53
1101,2018-12-19,23.5,23.545,23.515,23.525
1100,2018-12-19,23.52,23.54,23.52,23.53
1099,2018-12-19,23.52,23.58,23.53,23.57
1098,2018-12-19,23.555,23.57,23.56,23.56
1097,2018-12-19,23.57,23.59,23.575,23.58
1096,2018-12-19,23.57,23.61,23.58,23.61
1095,2018-12-19,23.6,23.62,23.615,23.605
1094,2018-12-19,23.6,23.645,23.6,23.635
1093,2018-12-19,23.62,23.64,23.63,23.64
1092,2018-12-19,23.61,23.64,23.6388,23.6137
1091,2018-12-19,23.61,23.63,23.62,23.62
1090,2018-12-19,23.6,23.62,23.61,23.61
1089,2018-12-19,23.59,23.62,23.605,23.62
1088,2018-12-19,23.61,23.62,23.62,23.62
1087,2018-12-19,23.575,23.62,23.62,23.59
1086,2018-12-19,23.555,23.595,23.595,23.58
1085,2018-12-19,23.55,23.59,23.58,23.59
1084,2018-12-19,23.56,23.6,23.6,23.56
1083,2018-12-19,23.53,23.57,23.55,23.53
1082,2018-12-19,23.5,23.53,23.53,23.5
1081,2018-12-19,23.51,23.545,23.51,23.53
1080,2018-12-19,23.48,23.51,23.51,23.49
1079,2018-12-19,23.48,23.53,23.48,23.53
1078,2018-12-19,23.48,23.52,23.51,23.48
1077,2018-12-19,23.48,23.53,23.49,23.53
1076,2018-12-19,23.54,23.59,23.54,23.55
1075,2018-12-19,23.54,23.57,23.54,23.55
1074,2018-12-19,23.53,23.58,23.56,23.58
1073,2018-12-19,23.57,23.615,23.59,23.595
1072,2018-12-19,23.53,23.6,23.6,23.53
1071,2018-12-19,23.5275,23.57,23.54,23.56
1070,2018-12-19,23.54,23.5724,23.555,23.5724
1069,2018-12-19,23.54,23.62,23.58,23.54
1068,2018-12-19,23.53,23.59,23.53,23.585
1067,2018-12-19,23.6,23.64,23.6,23.625
1066,2018-12-19,23.565,23.63,23.59,23.63
1065,2018-12-19,23.585,23.65,23.63,23.585
1064,2018-12-19,23.55,23.6,23.575,23.6
1063,2018-12-19,23.595,23.67,23.6,23.67
1062,2018-12-19,23.61,23.67,23.67,23.62
1061,2018-12-19,23.54,23.62,23.62,23.57
1060,2018-12-19,23.55,23.6,23.6,23.57
1059,2018-12-19,23.505,23.59,23.59,23.52
1058,2018-12-19,23.53,23.66,23.53,23.6
1057,2018-12-19,23.57,23.64,23.59,23.62
1056,2018-12-19,23.54,23.62,23.61,23.61
1055,2018-12-19,23.42,23.6,23.6,23.44
1054,2018-12-19,23.4,23.55,23.4,23.55
1053,2018-12-19,23.35,23.52,23.52,23.41
1052,2018-12-18,23.43,23.52,23.43,23.52
1051,2018-12-18,23.505,23.54,23.52,23.53
1050,2018-12-18,23.4,23.54,23.54,23.4
1049,2018-12-18,23.36,23.41,23.4,23.365
1048,2018-12-18,23.36,23.39,23.365,23.36
1047,2018-12-18,23.32,23.37,23.35,23.32
1046,2018-12-18,23.27,23.34,23.3,23.34
1045,2018-12-18,23.35,23.39,23.35,23.38
1044,2018-12-18,23.385,23.43,23.385,23.4
1043,2018-12-18,23.35,23.415,23.39,23.35
1042,2018-12-18,23.32,23.39,23.32,23.33
1041,2018-12-18,23.28,23.35,23.33,23.305
1040,2018-12-18,23.31,23.34,23.315,23.34
1039,2018-12-18,23.33,23.37,23.34,23.36
1038,2018-12-18,23.31,23.36,23.355,23.31
1037,2018-12-18,23.3,23.415,23.31,23.41
1036,2018-12-18,23.365,23.41,23.4,23.365
1035,2018-12-18,23.37,23.465,23.37,23.465
1034,2018-12-18,23.465,23.505,23.47,23.485
1033,2018-12-18,23.49,23.55,23.49,23.535
1032,2018-12-18,23.505,23.53,23.53,23.52
1031,2018-12-18,23.52,23.56,23.52,23.55
1030,2018-12-18,23.46,23.54,23.54,23.46
1029,2018-12-18,23.45,23.49,23.47,23.45
1028,2018-12-18,23.4,23.45,23.45,23.44
1027,2018-12-18,23.44,23.505,23.45,23.505
1026,2018-12-18,23.4741,23.5,23.5,23.48
1025,2018-12-18,23.475,23.525,23.4846,23.52
1024,2018-12-18,23.515,23.56,23.515,23.54
1023,2018-12-18,23.53,23.58,23.53,23.58
1022,2018-12-18,23.55,23.59,23.57,23.59
1021,2018-12-18,23.58,23.63,23.58,23.62
1020,2018-12-18,23.61,23.68,23.61,23.68
1019,2018-12-18,23.68,23.7,23.69,23.69
1018,2018-12-18,23.67,23.7,23.68,23.68
1017,2018-12-18,23.65,23.68,23.68,23.68
1016,2018-12-18,23.63,23.685,23.67,23.685
1015,2018-12-18,23.64,23.68,23.68,23.64
1014,2018-12-18,23.6031,23.65,23.65,23.61
1013,2018-12-18,23.615,23.63,23.615,23.63
1012,2018-12-18,23.62,23.65,23.62,23.65
1011,2018-12-18,23.65,23.7,23.65,23.69
1010,2018-12-18,23.68,23.74,23.68,23.73
1009,2018-12-18,23.73,23.75,23.73,23.74
1008,2018-12-18,23.71,23.75,23.75,23.722
1007,2018-12-18,23.72,23.74,23.72,23.73
