,Date,Low,High,Close,Open
1129,2018-12-19,1.07,1.09,1.09,1.09
1128,2018-12-19,1.08,1.09,1.09,1.085
1127,2018-12-19,1.08,1.085,1.08,1.08
1126,2018-12-19,1.08,1.0846,1.08,1.08
1125,2018-12-19,1.08,1.09,1.08,1.09
1124,2018-12-19,1.08,1.0899,1.08,1.08
1123,2018-12-19,1.08,1.1,1.08,1.09
1122,2018-12-19,1.09,1.1,1.09,1.1
1121,2018-12-19,1.1,1.1151,1.1,1.11
1120,2018-12-19,1.1,1.11,1.11,1.1
1119,2018-12-19,1.08,1.1,1.1,1.09
1118,2018-12-19,1.09,1.0999,1.09,1.09
1117,2018-12-19,1.085,1.115,1.0985,1.115
1116,2018-12-19,1.11,1.15,1.11,1.15
1115,2018-12-19,1.15,1.155,1.15,1.15
1114,2018-12-19,1.15,1.175,1.15,1.175
1113,2018-12-19,1.17,1.175,1.17,1.175
1112,2018-12-19,1.165,1.18,1.17,1.165
1111,2018-12-19,1.16,1.17,1.165,1.17
1110,2018-12-19,1.16,1.165,1.165,1.16
1109,2018-12-19,1.155,1.17,1.165,1.155
1108,2018-12-19,1.15,1.17,1.16,1.17
1107,2018-12-19,1.17,1.18,1.18,1.17
1106,2018-12-19,1.18,1.19,1.18,1.19
1105,2018-12-19,1.19,1.19,1.19,1.19
1104,2018-12-19,1.19,1.1913,1.19,1.19
1103,2018-12-19,1.19,1.19,1.19,1.19
1102,2018-12-19,1.19,1.19,1.19,1.19
1101,2018-12-19,1.19,1.19,1.19,1.19
1100,2018-12-19,1.19,1.19,1.19,1.19
1099,2018-12-19,1.19,1.195,1.195,1.195
1098,2018-12-19,1.19,1.2,1.195,1.2
1097,2018-12-19,1.2,1.205,1.205,1.2
1096,2018-12-19,1.2,1.2,1.2,1.2
1095,2018-12-19,1.2,1.205,1.2,1.2
1094,2018-12-19,1.2043,1.205,1.205,1.205
1093,2018-12-19,1.2016,1.205,1.205,1.205
1092,2018-12-19,1.2,1.205,1.205,1.2
1091,2018-12-19,1.2,1.205,1.2,1.205
1090,2018-12-19,1.205,1.21,1.205,1.21
1089,2018-12-19,1.205,1.2092,1.205,1.205
1088,2018-12-19,1.205,1.21,1.205,1.21
1087,2018-12-19,1.21,1.21,1.21,1.21
1086,2018-12-19,1.21,1.2185,1.2185,1.21
1085,2018-12-19,1.21,1.2128,1.21,1.2128
1084,2018-12-19,1.21,1.21,1.21,1.21
1083,2018-12-19,1.21,1.21,1.21,1.21
1082,2018-12-19,1.21,1.21,1.21,1.21
1081,2018-12-19,1.21,1.215,1.215,1.21
1080,2018-12-19,1.21,1.22,1.2102,1.215
1079,2018-12-19,1.195,1.22,1.22,1.2
1078,2018-12-19,1.1901,1.2,1.1901,1.2
1077,2018-12-19,1.1903,1.2,1.196,1.195
1076,2018-12-19,1.19,1.2,1.2,1.19
1075,2018-12-19,1.19,1.195,1.1916,1.19
1074,2018-12-19,1.19,1.19,1.19,1.19
1073,2018-12-19,1.19,1.195,1.195,1.19
1072,2018-12-19,1.195,1.2,1.195,1.195
1071,2018-12-19,1.195,1.2,1.2,1.195
1070,2018-12-19,1.195,1.21,1.195,1.21
1069,2018-12-19,1.21,1.21,1.21,1.21
1068,2018-12-19,1.195,1.2055,1.205,1.195
1067,2018-12-19,1.195,1.2,1.195,1.2
1066,2018-12-19,1.191,1.2,1.2,1.2
1065,2018-12-19,1.1951,1.2,1.2,1.2
1064,2018-12-19,1.18,1.19,1.19,1.185
1063,2018-12-19,1.18,1.19,1.185,1.18
1062,2018-12-19,1.1802,1.185,1.1845,1.185
1061,2018-12-19,1.18,1.19,1.19,1.18
1060,2018-12-19,1.16,1.165,1.165,1.16
1059,2018-12-19,1.16,1.1685,1.16,1.1685
1058,2018-12-19,1.16,1.16,1.16,1.16
1057,2018-12-19,1.16,1.1656,1.165,1.16
1056,2018-12-19,1.16,1.17,1.16,1.1601
1055,2018-12-19,1.16,1.17,1.165,1.165
1054,2018-12-19,1.155,1.165,1.16,1.16
1053,2018-12-19,1.16,1.165,1.16,1.16
1052,2018-12-19,1.16,1.17,1.17,1.16
1051,2018-12-18,1.15,1.16,1.16,1.155
1050,2018-12-18,1.15,1.16,1.15,1.155
1049,2018-12-18,1.1541,1.16,1.155,1.16
1048,2018-12-18,1.155,1.16,1.155,1.16
1047,2018-12-18,1.155,1.16,1.155,1.155
1046,2018-12-18,1.16,1.16,1.16,1.16
1045,2018-12-18,1.1516,1.16,1.16,1.16
1044,2018-12-18,1.15,1.16,1.16,1.155
1043,2018-12-18,1.1501,1.16,1.16,1.155
1042,2018-12-18,1.1531,1.16,1.155,1.16
1041,2018-12-18,1.15,1.1588,1.1588,1.15
1040,2018-12-18,1.15,1.16,1.155,1.16
1039,2018-12-18,1.16,1.1671,1.16,1.1611
1038,2018-12-18,1.16,1.165,1.16,1.165
1037,2018-12-18,1.16,1.16,1.16,1.16
1036,2018-12-18,1.16,1.1616,1.1613,1.1616
1035,2018-12-18,1.16,1.165,1.1616,1.165
1034,2018-12-18,1.16,1.17,1.17,1.16
1033,2018-12-18,1.16,1.1691,1.16,1.165
1032,2018-12-18,1.16,1.16,1.16,1.16
1031,2018-12-18,1.16,1.165,1.16,1.165
1030,2018-12-18,1.16,1.165,1.165,1.16
1029,2018-12-18,1.16,1.1699,1.16,1.1699
1028,2018-12-18,1.16,1.165,1.16,1.16
1027,2018-12-18,1.16,1.17,1.16,1.16
1026,2018-12-18,1.16,1.17,1.16,1.17
1025,2018-12-18,1.165,1.17,1.17,1.17
1024,2018-12-18,1.16,1.17,1.16,1.17
1023,2018-12-18,1.16,1.17,1.165,1.16
1022,2018-12-18,1.165,1.17,1.165,1.17
1021,2018-12-18,1.165,1.17,1.17,1.1657
1020,2018-12-18,1.16,1.17,1.16,1.17
1019,2018-12-18,1.165,1.17,1.17,1.165
1018,2018-12-18,1.16,1.17,1.165,1.17
1017,2018-12-18,1.16,1.17,1.16,1.165
1016,2018-12-18,1.16,1.17,1.17,1.16
1015,2018-12-18,1.16,1.17,1.16,1.17
1014,2018-12-18,1.16,1.17,1.17,1.16
1013,2018-12-18,1.16,1.17,1.16,1.165
1012,2018-12-18,1.16,1.17,1.17,1.16
1011,2018-12-18,1.16,1.16,1.16,1.16
1010,2018-12-18,1.16,1.17,1.16,1.1602
1009,2018-12-18,1.16,1.165,1.1636,1.165
1008,2018-12-18,1.16,1.17,1.165,1.16
1007,2018-12-18,1.16,1.17,1.17,1.16
1006,2018-12-18,1.16,1.165,1.165,1.16
1005,2018-12-18,1.16,1.17,1.16,1.17
1004,2018-12-18,1.1601,1.17,1.1601,1.17
1003,2018-12-18,1.165,1.17,1.17,1.17
1002,2018-12-18,1.165,1.17,1.17,1.17
1001,2018-12-18,1.16,1.17,1.16,1.165
1000,2018-12-18,1.16,1.17,1.17,1.16
999,2018-12-18,1.165,1.17,1.17,1.165
998,2018-12-18,1.16,1.17,1.165,1.17
997,2018-12-18,1.165,1.17,1.17,1.165
996,2018-12-18,1.16,1.165,1.16,1.165
995,2018-12-18,1.16,1.165,1.165,1.165
994,2018-12-18,1.16,1.165,1.16,1.16
993,2018-12-18,1.164,1.17,1.17,1.164
992,2018-12-18,1.165,1.17,1.17,1.165
991,2018-12-18,1.16,1.16,1.16,1.16
990,2018-12-18,1.155,1.17,1.16,1.155
989,2018-12-18,1.15,1.17,1.155,1.17
988,2018-12-18,1.17,1.18,1.17,1.175
987,2018-12-18,1.175,1.18,1.18,1.175
986,2018-12-18,1.1714,1.18,1.18,1.1714
985,2018-12-18,1.1701,1.175,1.175,1.175
984,2018-12-18,1.175,1.19,1.175,1.185
983,2018-12-18,1.1815,1.19,1.1815,1.185
982,2018-12-18,1.185,1.185,1.185,1.185
981,2018-12-18,1.18,1.1887,1.18,1.185
980,2018-12-18,1.18,1.185,1.1809,1.185
979,2018-12-18,1.18,1.19,1.18,1.19
978,2018-12-18,1.19,1.195,1.19,1.19
977,2018-12-18,1.19,1.2,1.2,1.195
976,2018-12-18,1.18,1.1917,1.1898,1.1917
975,2018-12-18,1.19,1.19,1.19,1.19
974,2018-12-18,1.1899,1.194,1.1911,1.19
973,2018-12-17,1.19,1.2,1.195,1.19
