,Date,Low,High,Close,Open
1130,2018-12-19,64.18,64.43,64.18,64.33
1129,2018-12-19,64.17,64.4,64.36,64.2
1128,2018-12-19,63.96,64.23,64.21,63.96
1127,2018-12-19,63.76,63.96,63.94,63.94
1126,2018-12-19,63.9,64.16,63.97,64.16
1125,2018-12-19,63.84,64.23,64.1923,63.84
1124,2018-12-19,63.89,64.3,63.89,64.195
1123,2018-12-19,63.81,64.26,64.22,64.12
1122,2018-12-19,63.88,64.34,64.12,64.33
1121,2018-12-19,63.86,64.34,64.34,64.03
1120,2018-12-19,63.48,64.05,64.01,63.77
1119,2018-12-19,63.72,64.25,63.75,64.25
1118,2018-12-19,64.13,64.51,64.29,64.51
1117,2018-12-19,64.48,65.05,64.56,65.05
1116,2018-12-19,64.82,65.08,65.08,64.82
1115,2018-12-19,64.7301,65.6855,64.7301,65.6855
1114,2018-12-19,65.63,65.87,65.67,65.76
1113,2018-12-19,65.6665,66.04,65.79,65.81
1112,2018-12-19,65.64,65.955,65.85,65.74
1111,2018-12-19,65.46,65.73,65.73,65.59
1110,2018-12-19,65.21,65.734,65.67,65.28
1109,2018-12-19,65.02,65.46,65.28,65.46
1108,2018-12-19,65.27,65.63,65.43,65.49
1107,2018-12-19,65.3,66.66,65.43,66.5
1106,2018-12-19,66.13,66.58,66.58,66.13
1105,2018-12-19,66.1,66.2,66.13,66.2
1104,2018-12-19,66.14,66.26,66.2068,66.15
1103,2018-12-19,65.94,66.19,66.18,65.94
1102,2018-12-19,65.92,66.0,65.96,65.97
1101,2018-12-19,65.9,66.02,65.93,66.02
1100,2018-12-19,65.85,66.03,65.99,65.875
1099,2018-12-19,65.78,66.02,65.86,65.98
1098,2018-12-19,65.83,65.97,65.97,65.92
1097,2018-12-19,65.915,65.9969,65.93,65.99
1096,2018-12-19,65.96,66.05,65.97,66.035
1095,2018-12-19,66.01,66.07,66.03,66.04
1094,2018-12-19,66.02,66.17,66.04,66.15
1093,2018-12-19,66.09,66.32,66.14,66.32
1092,2018-12-19,66.24,66.33,66.32,66.25
1091,2018-12-19,66.22,66.3,66.23,66.29
1090,2018-12-19,66.3,66.36,66.3,66.322
1089,2018-12-19,66.26,66.38,66.34,66.28
1088,2018-12-19,66.262,66.34,66.285,66.32
1087,2018-12-19,66.2,66.32,66.32,66.22
1086,2018-12-19,66.21,66.32,66.25,66.26
1085,2018-12-19,66.215,66.285,66.25,66.2166
1084,2018-12-19,66.03,66.28,66.25,66.03
1083,2018-12-19,65.9299,66.07,66.01,65.985
1082,2018-12-19,65.75,65.995,65.9727,65.82
1081,2018-12-19,65.72,65.82,65.79,65.72
1080,2018-12-19,65.47,65.69,65.65,65.51
1079,2018-12-19,65.52,65.715,65.52,65.691
1078,2018-12-19,65.71,65.8739,65.71,65.8401
1077,2018-12-19,65.815,65.93,65.84,65.93
1076,2018-12-19,65.84,65.985,65.96,65.9265
1075,2018-12-19,65.85,65.99,65.93,65.85
1074,2018-12-19,65.77,65.9,65.8557,65.83
1073,2018-12-19,65.55,65.87,65.84,65.59
1072,2018-12-19,65.61,65.74,65.61,65.73
1071,2018-12-19,65.71,65.96,65.71,65.96
1070,2018-12-19,65.935,66.06,66.0,66.05
1069,2018-12-19,66.0,66.17,66.08,66.0
1068,2018-12-19,65.87,66.26,65.91,66.26
1067,2018-12-19,66.31,66.52,66.31,66.52
1066,2018-12-19,66.51,66.73,66.56,66.68
1065,2018-12-19,66.64,66.735,66.66,66.6501
1064,2018-12-19,66.54,66.77,66.64,66.54
1063,2018-12-19,66.44,66.61,66.53,66.5225
1062,2018-12-19,66.49,66.62,66.535,66.5
1061,2018-12-19,66.47,66.69,66.54,66.55
1060,2018-12-19,66.39,66.55,66.525,66.51
1059,2018-12-19,66.4965,66.6,66.52,66.5
1058,2018-12-19,66.35,66.68,66.41,66.4012
1057,2018-12-19,66.07,66.43,66.43,66.19
1056,2018-12-19,65.89,66.16,66.16,66.16
1055,2018-12-19,65.86,66.11,66.11,65.95
1054,2018-12-19,65.67,66.21,65.93,66.21
1053,2018-12-19,65.23,66.25,66.25,65.27
1052,2018-12-18,64.79,65.37,64.79,65.35
1051,2018-12-18,65.18,65.35,65.35,65.29
1050,2018-12-18,64.975,65.34,65.3,64.99
1049,2018-12-18,64.76,65.0,64.985,64.76
1048,2018-12-18,64.72,64.81,64.74,64.72
1047,2018-12-18,64.53,64.74,64.73,64.53
1046,2018-12-18,64.42,64.67,64.5,64.67
1045,2018-12-18,64.6,64.72,64.68,64.66
1044,2018-12-18,64.52,64.72,64.66,64.57
1043,2018-12-18,64.41,64.65,64.55,64.41
1042,2018-12-18,64.3,64.57,64.43,64.51
1041,2018-12-18,64.4,64.57,64.48,64.5
1040,2018-12-18,64.43,64.79,64.5,64.78
1039,2018-12-18,64.79,64.85,64.79,64.833
1038,2018-12-18,64.64,64.85,64.83,64.64
1037,2018-12-18,64.615,65.04,64.615,65.0201
1036,2018-12-18,64.91,65.11,65.03,64.97
1035,2018-12-18,64.98,65.09,64.98,65.08
1034,2018-12-18,65.0,65.12,65.09,65.1
1033,2018-12-18,65.08,65.22,65.1,65.22
1032,2018-12-18,65.14,65.315,65.16,65.29
1031,2018-12-18,65.32,65.47,65.32,65.43
1030,2018-12-18,65.1668,65.39,65.39,65.22
1029,2018-12-18,65.06,65.3,65.221,65.06
1028,2018-12-18,64.9245,65.05,65.05,65.04
