,Date,Low,High,Close,Open
1169,2018-12-19,4.57,4.59,4.59,4.58
1168,2018-12-19,4.55,4.58,4.58,4.555
1167,2018-12-19,4.53,4.55,4.55,4.545
1166,2018-12-19,4.53,4.54,4.54,4.5362
1165,2018-12-19,4.545,4.5799,4.545,4.5799
1164,2018-12-19,4.5458,4.57,4.57,4.55
1163,2018-12-19,4.5415,4.575,4.5415,4.5701
1162,2018-12-19,4.56,4.58,4.58,4.57
1161,2018-12-19,4.56,4.6,4.56,4.6
1160,2018-12-19,4.57,4.6,4.6,4.575
1159,2018-12-19,4.56,4.6,4.59,4.56
1158,2018-12-19,4.56,4.61,4.56,4.61
1157,2018-12-19,4.605,4.64,4.605,4.64
1156,2018-12-19,4.6101,4.64,4.64,4.63
1155,2018-12-19,4.64,4.665,4.65,4.66
1154,2018-12-19,4.6585,4.71,4.6585,4.71
1153,2018-12-19,4.7,4.72,4.7101,4.7
1152,2018-12-19,4.695,4.715,4.7,4.705
1151,2018-12-19,4.69,4.705,4.7,4.69
1150,2018-12-19,4.68,4.71,4.6926,4.71
1149,2018-12-19,4.69,4.72,4.72,4.69
1148,2018-12-19,4.67,4.69,4.69,4.69
1147,2018-12-19,4.68,4.77,4.68,4.77
1146,2018-12-19,4.75,4.79,4.78,4.79
1145,2018-12-19,4.78,4.804,4.78,4.8
1144,2018-12-19,4.79,4.8,4.79,4.79
1143,2018-12-19,4.78,4.8,4.79,4.8
1142,2018-12-19,4.8,4.8099,4.8,4.8
1141,2018-12-19,4.785,4.805,4.8001,4.785
1140,2018-12-19,4.78,4.785,4.78,4.78
1139,2018-12-19,4.78,4.795,4.78,4.795
1138,2018-12-19,4.79,4.81,4.79,4.805
1137,2018-12-19,4.795,4.8,4.8,4.795
1136,2018-12-19,4.785,4.7901,4.79,4.79
1135,2018-12-19,4.77,4.79,4.79,4.7785
1134,2018-12-19,4.77,4.7899,4.77,4.7899
1133,2018-12-19,4.78,4.79,4.78,4.79
1132,2018-12-19,4.7816,4.8138,4.79,4.79
1131,2018-12-19,4.79,4.81,4.79,4.81
1130,2018-12-19,4.7833,4.82,4.81,4.785
1129,2018-12-19,4.78,4.7928,4.78,4.7928
1128,2018-12-19,4.79,4.7951,4.795,4.79
1127,2018-12-19,4.8,4.8101,4.8,4.8101
1126,2018-12-19,4.8,4.8115,4.8115,4.8
1125,2018-12-19,4.81,4.81,4.81,4.81
