,Date,Low,High,Close,Open
984,2018-12-19,1.08,1.09,1.09,1.08
983,2018-12-19,1.08,1.09,1.09,1.09
982,2018-12-19,1.08,1.09,1.08,1.09
981,2018-12-19,1.08,1.08,1.08,1.08
980,2018-12-19,1.08,1.08,1.08,1.08
979,2018-12-19,1.08,1.09,1.08,1.09
978,2018-12-19,1.08,1.08,1.08,1.08
977,2018-12-19,1.085,1.085,1.085,1.085
976,2018-12-19,1.08,1.08,1.08,1.08
975,2018-12-19,1.0719,1.08,1.08,1.0719
974,2018-12-19,1.07,1.08,1.07,1.08
973,2018-12-19,1.0822,1.0822,1.0822,1.0822
972,2018-12-19,1.09,1.095,1.09,1.09
971,2018-12-19,1.095,1.1,1.095,1.1
970,2018-12-19,1.1,1.1,1.1,1.1
969,2018-12-19,1.1,1.1,1.1,1.1
968,2018-12-19,1.09,1.1,1.1,1.1
967,2018-12-19,1.0822,1.0822,1.0822,1.0822
966,2018-12-19,1.0833,1.1,1.0833,1.1
965,2018-12-19,1.1,1.1,1.1,1.1
964,2018-12-19,1.1,1.1,1.1,1.1
963,2018-12-19,1.12,1.12,1.12,1.12
962,2018-12-19,1.12,1.14,1.12,1.14
961,2018-12-19,1.14,1.14,1.14,1.14
960,2018-12-19,1.14,1.14,1.14,1.14
959,2018-12-19,1.14,1.14,1.14,1.14
958,2018-12-19,1.14,1.14,1.14,1.14
957,2018-12-19,1.13,1.135,1.135,1.13
956,2018-12-19,1.12,1.12,1.12,1.12
955,2018-12-19,1.1201,1.14,1.1201,1.14
954,2018-12-19,1.12,1.14,1.14,1.13
953,2018-12-19,1.13,1.13,1.13,1.13
952,2018-12-19,1.12,1.13,1.12,1.13
951,2018-12-19,1.13,1.13,1.13,1.13
950,2018-12-19,1.13,1.13,1.13,1.13
949,2018-12-19,1.12,1.13,1.13,1.12
948,2018-12-19,1.14,1.14,1.14,1.14
947,2018-12-19,1.14,1.14,1.14,1.14
946,2018-12-19,1.12,1.1256,1.12,1.1256
945,2018-12-19,1.14,1.14,1.14,1.14
944,2018-12-19,1.12,1.14,1.12,1.14
943,2018-12-19,1.12,1.14,1.14,1.14
942,2018-12-19,1.12,1.12,1.12,1.12
941,2018-12-19,1.11,1.13,1.12,1.13
940,2018-12-19,1.12,1.1261,1.12,1.1261
939,2018-12-19,1.12,1.13,1.12,1.13
938,2018-12-19,1.12,1.13,1.13,1.12
937,2018-12-19,1.122,1.122,1.122,1.122
936,2018-12-19,1.12,1.1211,1.1211,1.12
935,2018-12-19,1.1201,1.13,1.1201,1.13
934,2018-12-19,1.13,1.13,1.13,1.13
933,2018-12-19,1.13,1.13,1.13,1.13
932,2018-12-19,1.13,1.13,1.13,1.13
931,2018-12-19,1.13,1.13,1.13,1.13
930,2018-12-19,1.12,1.13,1.13,1.12
929,2018-12-19,1.12,1.12,1.12,1.12
928,2018-12-19,1.1029,1.11,1.1029,1.11
927,2018-12-19,1.1001,1.11,1.11,1.1001
926,2018-12-19,1.105,1.11,1.11,1.105
925,2018-12-19,1.1,1.12,1.1,1.12
924,2018-12-19,1.11,1.12,1.12,1.11
923,2018-12-19,1.12,1.12,1.12,1.12
922,2018-12-19,1.11,1.12,1.12,1.11
921,2018-12-19,1.12,1.14,1.12,1.14
920,2018-12-19,1.14,1.14,1.14,1.14
919,2018-12-19,1.14,1.14,1.14,1.14
918,2018-12-19,1.12,1.13,1.12,1.13
917,2018-12-19,1.14,1.14,1.14,1.14
916,2018-12-19,1.13,1.13,1.13,1.13
915,2018-12-19,1.15,1.15,1.15,1.15
914,2018-12-19,1.1351,1.15,1.15,1.15
913,2018-12-19,1.1119,1.12,1.12,1.1119
912,2018-12-19,1.1055,1.1055,1.1055,1.1055
911,2018-12-18,1.11,1.13,1.13,1.13
910,2018-12-18,1.11,1.13,1.13,1.11
909,2018-12-18,1.11,1.13,1.12,1.12
908,2018-12-18,1.1,1.11,1.11,1.1
907,2018-12-18,1.1,1.11,1.11,1.1
906,2018-12-18,1.093,1.1,1.1,1.093
905,2018-12-18,1.0947,1.0947,1.0947,1.0947
904,2018-12-18,1.09,1.09,1.09,1.09
903,2018-12-18,1.0991,1.1,1.1,1.0991
902,2018-12-18,1.09,1.09,1.09,1.09
901,2018-12-18,1.091,1.1,1.091,1.1
900,2018-12-18,1.09,1.09,1.09,1.09
899,2018-12-18,1.0901,1.0901,1.0901,1.0901
898,2018-12-18,1.0931,1.0931,1.0931,1.0931
897,2018-12-18,1.1,1.1,1.1,1.1
896,2018-12-18,1.09,1.1,1.09,1.1
895,2018-12-18,1.09,1.09,1.09,1.09
894,2018-12-18,1.0998,1.0998,1.0998,1.0998
893,2018-12-18,1.09,1.09,1.09,1.09
892,2018-12-18,1.09,1.1,1.09,1.1
891,2018-12-18,1.0971,1.0971,1.0971,1.0971
890,2018-12-18,1.09,1.09,1.09,1.09
889,2018-12-18,1.09,1.09,1.09,1.09
888,2018-12-18,1.0901,1.0901,1.0901,1.0901
887,2018-12-18,1.09,1.09,1.09,1.09
886,2018-12-18,1.09,1.09,1.09,1.09
885,2018-12-18,1.09,1.09,1.09,1.09
884,2018-12-18,1.08,1.1,1.1,1.09
883,2018-12-18,1.09,1.09,1.09,1.09
882,2018-12-18,1.09,1.09,1.09,1.09
881,2018-12-18,1.0989,1.0989,1.0989,1.0989
880,2018-12-18,1.09,1.09,1.09,1.09
879,2018-12-18,1.09,1.095,1.095,1.09
878,2018-12-18,1.0929,1.0933,1.0929,1.0933
877,2018-12-18,1.0967,1.0967,1.0967,1.0967
876,2018-12-18,1.08,1.085,1.08,1.085
875,2018-12-18,1.085,1.085,1.085,1.085
