,Date,Low,High,Close,Open
1130,2018-12-19,11.48,11.515,11.49,11.5
1129,2018-12-19,11.49,11.52,11.5,11.515
1128,2018-12-19,11.46,11.51,11.51,11.47
1127,2018-12-19,11.44,11.48,11.46,11.48
1126,2018-12-19,11.45,11.5,11.485,11.5
1125,2018-12-19,11.44,11.5,11.5,11.46
1124,2018-12-19,11.46,11.57,11.46,11.57
1123,2018-12-19,11.49,11.575,11.57,11.53
1122,2018-12-19,11.51,11.58,11.53,11.58
1121,2018-12-19,11.49,11.585,11.58,11.53
1120,2018-12-19,11.49,11.56,11.52,11.54
1119,2018-12-19,11.54,11.62,11.54,11.62
1118,2018-12-19,11.61,11.69,11.64,11.69
1117,2018-12-19,11.66,11.73,11.7,11.73
1116,2018-12-19,11.69,11.7401,11.74,11.69
1115,2018-12-19,11.69,11.805,11.69,11.8
1114,2018-12-19,11.8,11.85,11.8,11.84
1113,2018-12-19,11.8,11.875,11.845,11.82
1112,2018-12-19,11.78,11.8244,11.8244,11.815
1111,2018-12-19,11.745,11.81,11.81,11.75
1110,2018-12-19,11.72,11.79,11.76,11.74
1109,2018-12-19,11.7,11.77,11.74,11.765
1108,2018-12-19,11.76,11.83,11.76,11.81
1107,2018-12-19,11.79,11.98,11.8,11.96
1106,2018-12-19,11.89,11.95,11.95,11.89
1105,2018-12-19,11.8841,11.9,11.8841,11.9
1104,2018-12-19,11.89,11.91,11.905,11.895
1103,2018-12-19,11.885,11.9,11.891,11.89
1102,2018-12-19,11.87,11.895,11.885,11.885
1101,2018-12-19,11.865,11.89,11.88,11.89
1100,2018-12-19,11.88,11.895,11.885,11.88
1099,2018-12-19,11.875,11.92,11.875,11.905
1098,2018-12-19,11.895,11.92,11.9,11.92
1097,2018-12-19,11.915,11.92,11.915,11.915
1096,2018-12-19,11.915,11.93,11.915,11.93
1095,2018-12-19,11.915,11.93,11.925,11.915
1094,2018-12-19,11.91,11.935,11.9145,11.93
1093,2018-12-19,11.91,11.94,11.93,11.94
1092,2018-12-19,11.92,11.94,11.935,11.9264
1091,2018-12-19,11.92,11.925,11.92,11.925
1090,2018-12-19,11.92,11.93,11.925,11.93
1089,2018-12-19,11.91,11.93,11.925,11.93
1088,2018-12-19,11.92,11.935,11.935,11.93
1087,2018-12-19,11.91,11.93,11.93,11.91
1086,2018-12-19,11.9,11.922,11.91,11.922
1085,2018-12-19,11.91,11.93,11.925,11.93
1084,2018-12-19,11.9,11.935,11.935,11.9
