,Date,Low,High,Close,Open
1130,2018-12-19,45.53,45.885,45.55,45.77
1129,2018-12-19,45.635,45.82,45.78,45.66
1128,2018-12-19,45.46,45.7,45.66,45.46
1127,2018-12-19,45.39,45.59,45.455,45.59
1126,2018-12-19,45.47,45.71,45.6,45.71
1125,2018-12-19,45.5,45.75,45.72,45.54
1124,2018-12-19,45.52,45.91,45.52,45.83
1123,2018-12-19,45.48,45.865,45.82,45.61
1122,2018-12-19,45.52,46.01,45.63,46.0
1121,2018-12-19,45.675,46.005,46.0,45.82
1120,2018-12-19,45.42,45.9,45.81,45.65
1119,2018-12-19,45.65,46.16,45.6516,46.16
1118,2018-12-19,46.015,46.41,46.16,46.41
1117,2018-12-19,46.34,46.73,46.42,46.71
1116,2018-12-19,46.56,46.75,46.73,46.56
1115,2018-12-19,46.54,47.15,46.55,47.15
1114,2018-12-19,47.08,47.27,47.17,47.1
1113,2018-12-19,47.03,47.25,47.1,47.09
1112,2018-12-19,47.01,47.16,47.085,47.055
1111,2018-12-19,46.81,47.05,47.04,46.99
1110,2018-12-19,46.73,46.99,46.98,46.81
1109,2018-12-19,46.73,46.95,46.83,46.92
1108,2018-12-19,46.77,47.06,46.92,46.84
1107,2018-12-19,46.8,47.72,46.86,47.64
1106,2018-12-19,47.33,47.6,47.6,47.34
1105,2018-12-19,47.32,47.395,47.335,47.395
1104,2018-12-19,47.38,47.45,47.4,47.445
1103,2018-12-19,47.3621,47.465,47.44,47.39
1102,2018-12-19,47.37,47.42,47.385,47.3899
1101,2018-12-19,47.34,47.43,47.37,47.4
1100,2018-12-19,47.35,47.4,47.4,47.36
1099,2018-12-19,47.36,47.5,47.36,47.425
1098,2018-12-19,47.26,47.415,47.415,47.27
1097,2018-12-19,47.27,47.32,47.27,47.3
1096,2018-12-19,47.295,47.34,47.305,47.3369
1095,2018-12-19,47.29,47.36,47.33,47.29
1094,2018-12-19,47.29,47.3422,47.29,47.335
1093,2018-12-19,47.3,47.45,47.33,47.42
1092,2018-12-19,47.36,47.4141,47.41,47.39
1091,2018-12-19,47.342,47.39,47.39,47.38
1090,2018-12-19,47.37,47.405,47.38,47.39
1089,2018-12-19,47.33,47.41,47.385,47.33
1088,2018-12-19,47.25,47.34,47.33,47.3
1087,2018-12-19,47.26,47.32,47.305,47.3
1086,2018-12-19,47.255,47.3343,47.29,47.3343
1085,2018-12-19,47.3,47.34,47.3301,47.34
1084,2018-12-19,47.26,47.35,47.35,47.27
1083,2018-12-19,47.21,47.28,47.26,47.2567
1082,2018-12-19,47.16,47.2485,47.23,47.195
1081,2018-12-19,47.16,47.22,47.2,47.18
1080,2018-12-19,46.99,47.18,47.18,47.035
1079,2018-12-19,46.99,47.04,47.035,47.03
1078,2018-12-19,47.02,47.08,47.02,47.035
