,Date,Low,High,Close,Open
1130,2018-12-19,131.08,131.66,131.11,131.4
1129,2018-12-19,131.08,131.58,131.46,131.14
1128,2018-12-19,130.21,131.1,131.1,130.21
1127,2018-12-19,129.93,130.41,130.18,130.41
1126,2018-12-19,130.4,131.01,130.49,131.0
1125,2018-12-19,130.46,131.37,131.07,130.67
1124,2018-12-19,130.44,131.69,130.44,131.5
1123,2018-12-19,130.62,131.61,131.5,131.42
1122,2018-12-19,131.0,132.59,131.24,132.59
1121,2018-12-19,131.267,132.34,132.34,131.51
1120,2018-12-19,131.09,131.82,131.45,131.58
1119,2018-12-19,131.8,133.09,131.8,133.02
1118,2018-12-19,132.78,133.9,133.2,133.9
1117,2018-12-19,133.7,134.81,134.02,134.81
1116,2018-12-19,134.34,134.78,134.78,134.76
1115,2018-12-19,134.5,136.13,134.5,136.13
1114,2018-12-19,136.0,136.435,136.11,136.0
1113,2018-12-19,136.0,136.445,136.19,136.16
1112,2018-12-19,135.54,136.1,135.95,135.6072
1111,2018-12-19,134.97,135.48,135.48,135.315
1110,2018-12-19,134.52,135.48,135.14,134.71
1109,2018-12-19,134.51,135.51,134.78,135.51
1108,2018-12-19,134.94,135.72,135.25,135.7
1107,2018-12-19,135.22,137.945,135.54,137.945
1106,2018-12-19,137.3528,137.73,137.57,137.5
1105,2018-12-19,137.505,137.68,137.505,137.68
1104,2018-12-19,137.49,137.69,137.69,137.49
1103,2018-12-19,137.38,137.73,137.49,137.38
1102,2018-12-19,137.28,137.49,137.37,137.49
1101,2018-12-19,137.32,137.52,137.44,137.43
1100,2018-12-19,137.29,137.44,137.35,137.31
1099,2018-12-19,137.27,137.98,137.27,137.84
1098,2018-12-19,137.16,137.85,137.85,137.165
1097,2018-12-19,137.16,137.37,137.225,137.24
1096,2018-12-19,137.2107,137.49,137.285,137.48
1095,2018-12-19,137.41,137.69,137.42,137.51
1094,2018-12-19,137.38,137.59,137.59,137.51
1093,2018-12-19,137.57,137.97,137.57,137.89
1092,2018-12-19,137.64,137.89,137.89,137.69
1091,2018-12-19,137.515,137.685,137.64,137.685
1090,2018-12-19,137.68,137.84,137.68,137.79
1089,2018-12-19,137.61,137.85,137.85,137.61
1088,2018-12-19,137.56,137.65,137.605,137.6225
1087,2018-12-19,137.48,137.72,137.72,137.665
1086,2018-12-19,137.52,137.7106,137.68,137.7106
1085,2018-12-19,137.535,137.8,137.8,137.76
1084,2018-12-19,137.36,137.825,137.825,137.36
1083,2018-12-19,137.36,137.5,137.39,137.5
1082,2018-12-19,137.57,137.815,137.6,137.62
1081,2018-12-19,137.45,137.745,137.615,137.62
1080,2018-12-19,137.17,137.7,137.63,137.215
1079,2018-12-19,137.18,137.49,137.27,137.49
1078,2018-12-19,137.4895,137.7,137.4895,137.5596
1077,2018-12-19,137.14,137.605,137.36,137.605
1076,2018-12-19,137.575,138.14,137.575,138.14
1075,2018-12-19,137.84,138.225,138.01,138.2
