,Date,Low,High,Close,Open
1124,2018-12-19,1.695,1.7,1.7,1.695
1123,2018-12-19,1.68,1.69,1.69,1.69
1122,2018-12-19,1.685,1.69,1.685,1.69
1121,2018-12-19,1.6865,1.69,1.69,1.69
1120,2018-12-19,1.685,1.69,1.685,1.685
1119,2018-12-19,1.6834,1.6834,1.6834,1.6834
1118,2018-12-19,1.68,1.69,1.68,1.69
1117,2018-12-19,1.675,1.68,1.68,1.68
1116,2018-12-19,1.67,1.69,1.68,1.69
1115,2018-12-19,1.6784,1.688,1.688,1.6784
1114,2018-12-19,1.66,1.675,1.675,1.66
1113,2018-12-19,1.66,1.669,1.66,1.669
1112,2018-12-19,1.6699,1.67,1.67,1.6699
1111,2018-12-19,1.66,1.68,1.6671,1.68
1110,2018-12-19,1.68,1.68,1.68,1.68
1109,2018-12-19,1.69,1.705,1.69,1.705
1108,2018-12-19,1.7,1.7,1.7,1.7
1107,2018-12-19,1.7032,1.71,1.71,1.7032
1106,2018-12-19,1.7,1.7085,1.7014,1.7085
1105,2018-12-19,1.7029,1.7029,1.7029,1.7029
1104,2018-12-19,1.7,1.71,1.7,1.71
1103,2018-12-19,1.67,1.7,1.69,1.67
1102,2018-12-19,1.68,1.69,1.69,1.69
1101,2018-12-19,1.72,1.73,1.73,1.72
1100,2018-12-19,1.71,1.715,1.715,1.71
1099,2018-12-19,1.7078,1.7078,1.7078,1.7078
1098,2018-12-19,1.7,1.7,1.7,1.7
1097,2018-12-19,1.7015,1.71,1.7015,1.705
1096,2018-12-19,1.7037,1.71,1.7037,1.71
1095,2018-12-19,1.71,1.71,1.71,1.71
1094,2018-12-19,1.705,1.7058,1.7058,1.705
1093,2018-12-19,1.705,1.7124,1.705,1.71
1092,2018-12-19,1.71,1.7118,1.71,1.7118
1091,2018-12-19,1.72,1.74,1.725,1.74
1090,2018-12-19,1.735,1.735,1.735,1.735
1089,2018-12-19,1.74,1.74,1.74,1.74
1088,2018-12-19,1.735,1.735,1.735,1.735
1087,2018-12-19,1.7399,1.7399,1.7399,1.7399
1086,2018-12-19,1.7429,1.745,1.7429,1.745
1085,2018-12-19,1.74,1.76,1.74,1.755
1084,2018-12-19,1.7534,1.7534,1.7534,1.7534
1083,2018-12-19,1.75,1.7525,1.7501,1.75
1082,2018-12-19,1.75,1.7565,1.7565,1.75
1081,2018-12-19,1.75,1.7541,1.75,1.75
1080,2018-12-19,1.75,1.755,1.755,1.75
1079,2018-12-19,1.75,1.75,1.75,1.75
1078,2018-12-19,1.735,1.75,1.7425,1.75
1077,2018-12-19,1.75,1.75,1.75,1.75
1076,2018-12-19,1.74,1.75,1.745,1.75
1075,2018-12-19,1.74,1.75,1.75,1.74
1074,2018-12-19,1.73,1.75,1.75,1.7348
1073,2018-12-19,1.7401,1.76,1.7401,1.76
1072,2018-12-19,1.76,1.76,1.76,1.76
1071,2018-12-19,1.76,1.77,1.7688,1.7622
1070,2018-12-19,1.765,1.77,1.77,1.77
1069,2018-12-19,1.76,1.77,1.765,1.76
1068,2018-12-19,1.735,1.74,1.74,1.735
1067,2018-12-19,1.723,1.75,1.7309,1.723
1066,2018-12-19,1.7155,1.7236,1.7236,1.7155
1065,2018-12-19,1.715,1.72,1.715,1.72
1064,2018-12-19,1.715,1.72,1.72,1.715
1063,2018-12-19,1.71,1.72,1.7114,1.72
1062,2018-12-19,1.715,1.7186,1.715,1.7186
1061,2018-12-19,1.7101,1.715,1.7101,1.7108
1060,2018-12-19,1.7135,1.715,1.715,1.7135
1059,2018-12-19,1.7134,1.72,1.7134,1.715
1058,2018-12-19,1.7,1.72,1.715,1.7
1057,2018-12-19,1.7,1.71,1.7,1.71
1056,2018-12-19,1.7013,1.7117,1.7099,1.7117
1055,2018-12-19,1.7111,1.715,1.715,1.7111
1054,2018-12-19,1.7146,1.715,1.715,1.7146
1053,2018-12-19,1.7124,1.7163,1.7163,1.7124
1052,2018-12-19,1.71,1.7146,1.71,1.7146
1051,2018-12-19,1.7062,1.7142,1.7142,1.7062
1050,2018-12-19,1.69,1.699,1.699,1.69
1049,2018-12-19,1.6701,1.6899,1.6899,1.6701
1048,2018-12-19,1.67,1.6799,1.6799,1.67
1047,2018-12-19,1.6657,1.6662,1.6657,1.6662
1046,2018-12-18,1.67,1.68,1.67,1.675
1045,2018-12-18,1.67,1.675,1.67,1.675
1044,2018-12-18,1.675,1.68,1.675,1.675
1043,2018-12-18,1.675,1.675,1.675,1.675
1042,2018-12-18,1.67,1.68,1.68,1.67
1041,2018-12-18,1.665,1.67,1.67,1.665
1040,2018-12-18,1.665,1.67,1.665,1.67
1039,2018-12-18,1.66,1.665,1.665,1.665
1038,2018-12-18,1.67,1.67,1.67,1.67
1037,2018-12-18,1.665,1.665,1.665,1.665
1036,2018-12-18,1.665,1.665,1.665,1.665
1035,2018-12-18,1.655,1.67,1.67,1.655
1034,2018-12-18,1.655,1.66,1.655,1.66
1033,2018-12-18,1.65,1.655,1.65,1.65
1032,2018-12-18,1.645,1.65,1.65,1.645
1031,2018-12-18,1.645,1.645,1.645,1.645
1030,2018-12-18,1.64,1.65,1.65,1.64
1029,2018-12-18,1.6399,1.65,1.64,1.64
1028,2018-12-18,1.62,1.64,1.64,1.63
1027,2018-12-18,1.63,1.635,1.635,1.63
1026,2018-12-18,1.6399,1.655,1.6399,1.65
1025,2018-12-18,1.65,1.675,1.65,1.675
1024,2018-12-18,1.67,1.675,1.67,1.675
1023,2018-12-18,1.67,1.675,1.67,1.67
1022,2018-12-18,1.67,1.675,1.67,1.675
1021,2018-12-18,1.675,1.685,1.675,1.685
1020,2018-12-18,1.675,1.685,1.685,1.675
1019,2018-12-18,1.675,1.6766,1.6766,1.675
1018,2018-12-18,1.675,1.68,1.675,1.68
1017,2018-12-18,1.68,1.68,1.68,1.68
1016,2018-12-18,1.6758,1.68,1.68,1.6758
1015,2018-12-18,1.67,1.675,1.675,1.67
1014,2018-12-18,1.68,1.68,1.68,1.68
1013,2018-12-18,1.67,1.67,1.67,1.67
1012,2018-12-18,1.67,1.68,1.68,1.68
1011,2018-12-18,1.67,1.675,1.67,1.675
1010,2018-12-18,1.671,1.68,1.671,1.68
1009,2018-12-18,1.67,1.69,1.69,1.675
1008,2018-12-18,1.66,1.67,1.67,1.66
1007,2018-12-18,1.6683,1.68,1.6683,1.68
1006,2018-12-18,1.67,1.67,1.67,1.67
1005,2018-12-18,1.67,1.6734,1.67,1.67
1004,2018-12-18,1.67,1.68,1.67,1.675
1003,2018-12-18,1.675,1.68,1.675,1.675
1002,2018-12-18,1.67,1.685,1.67,1.685
1001,2018-12-18,1.68,1.685,1.685,1.68
1000,2018-12-18,1.675,1.69,1.69,1.6788
999,2018-12-18,1.6601,1.675,1.675,1.6601
998,2018-12-18,1.65,1.6669,1.665,1.6577
997,2018-12-18,1.65,1.66,1.66,1.66
996,2018-12-18,1.6617,1.67,1.665,1.67
995,2018-12-18,1.67,1.685,1.67,1.685
994,2018-12-18,1.6808,1.6808,1.6808,1.6808
993,2018-12-18,1.6831,1.6971,1.6831,1.6971
992,2018-12-18,1.67,1.685,1.6801,1.685
991,2018-12-18,1.68,1.695,1.68,1.69
990,2018-12-18,1.695,1.6985,1.695,1.6985
989,2018-12-18,1.69,1.705,1.69,1.705
988,2018-12-18,1.705,1.705,1.705,1.705
987,2018-12-18,1.695,1.71,1.71,1.695
986,2018-12-18,1.695,1.7,1.7,1.7
985,2018-12-18,1.6946,1.695,1.6946,1.695
984,2018-12-18,1.6922,1.7,1.7,1.695
983,2018-12-18,1.7,1.7186,1.7,1.7186
982,2018-12-18,1.7101,1.715,1.715,1.7101
981,2018-12-18,1.71,1.7198,1.7198,1.7101
980,2018-12-18,1.715,1.7177,1.715,1.7177
979,2018-12-18,1.7015,1.7199,1.7199,1.71
978,2018-12-18,1.71,1.715,1.71,1.715
977,2018-12-18,1.71,1.72,1.72,1.71
976,2018-12-18,1.7,1.7,1.7,1.7
975,2018-12-18,1.705,1.7085,1.7085,1.705
974,2018-12-18,1.7,1.705,1.7,1.705
973,2018-12-18,1.7,1.715,1.71,1.715
972,2018-12-18,1.7071,1.72,1.71,1.7071
971,2018-12-18,1.68,1.705,1.705,1.7007
970,2018-12-18,1.7056,1.71,1.71,1.71
969,2018-12-18,1.7,1.71,1.71,1.7
968,2018-12-17,1.695,1.71,1.71,1.695
967,2018-12-17,1.685,1.7,1.695,1.69
966,2018-12-17,1.69,1.695,1.69,1.695
965,2018-12-17,1.69,1.705,1.69,1.705
964,2018-12-17,1.7,1.7113,1.7,1.7113
963,2018-12-17,1.71,1.715,1.715,1.71
962,2018-12-17,1.71,1.72,1.72,1.72
961,2018-12-17,1.71,1.72,1.71,1.715
960,2018-12-17,1.71,1.72,1.72,1.71
959,2018-12-17,1.7101,1.72,1.72,1.7101
958,2018-12-17,1.71,1.71,1.71,1.71
957,2018-12-17,1.71,1.72,1.71,1.71
956,2018-12-17,1.71,1.715,1.71,1.715
955,2018-12-17,1.71,1.73,1.7101,1.73
