,Date,Low,High,Close,Open
1130,2018-12-19,14.76,14.85,14.76,14.84
1129,2018-12-19,14.81,14.86,14.86,14.835
1128,2018-12-19,14.75,14.83,14.82,14.78
1127,2018-12-19,14.72,14.79,14.78,14.79
1126,2018-12-19,14.78,14.87,14.79,14.87
1125,2018-12-19,14.85,14.9,14.89,14.85
1124,2018-12-19,14.855,14.97,14.855,14.95
1123,2018-12-19,14.845,14.945,14.945,14.91
1122,2018-12-19,14.87,14.99,14.89,14.98
1121,2018-12-19,14.91,14.98,14.98,14.96
1120,2018-12-19,14.805,14.96,14.94,14.89
1119,2018-12-19,14.89,15.07,14.89,15.07
1118,2018-12-19,15.03,15.12,15.08,15.115
1117,2018-12-19,15.1,15.17,15.13,15.17
1116,2018-12-19,15.15,15.19,15.18,15.16
1115,2018-12-19,15.145,15.32,15.145,15.32
1114,2018-12-19,15.3,15.38,15.32,15.31
1113,2018-12-19,15.305,15.38,15.35,15.34
1112,2018-12-19,15.28,15.35,15.32,15.29
1111,2018-12-19,15.22,15.29,15.29,15.26
1110,2018-12-19,15.19,15.295,15.27,15.21
1109,2018-12-19,15.18,15.27,15.22,15.24
1108,2018-12-19,15.19,15.271,15.22,15.24
1107,2018-12-19,15.21,15.46,15.24,15.44
1106,2018-12-19,15.35,15.43,15.35,15.4
1105,2018-12-19,15.385,15.4324,15.39,15.4
1104,2018-12-19,15.373,15.42,15.42,15.385
1103,2018-12-19,15.38,15.41,15.39,15.4
1102,2018-12-19,15.375,15.4,15.39,15.385
1101,2018-12-19,15.36,15.4,15.385,15.37
1100,2018-12-19,15.33,15.37,15.37,15.33
1099,2018-12-19,15.34,15.43,15.345,15.41
1098,2018-12-19,15.31,15.41,15.41,15.31
1097,2018-12-19,15.3,15.33,15.32,15.31
1096,2018-12-19,15.29,15.3,15.3,15.29
1095,2018-12-19,15.27,15.3053,15.29,15.275
1094,2018-12-19,15.24,15.28,15.28,15.25
1093,2018-12-19,15.235,15.26,15.235,15.25
1092,2018-12-19,15.23,15.25,15.25,15.245
1091,2018-12-19,15.18,15.24,15.24,15.235
1090,2018-12-19,15.23,15.275,15.23,15.265
1089,2018-12-19,15.24,15.26,15.26,15.24
1088,2018-12-19,15.225,15.25,15.24,15.25
