,Date,Low,High,Close,Open
1169,2018-12-19,266.6,268.24,266.76,268.1
1168,2018-12-19,267.73,268.79,268.15,267.88
1167,2018-12-19,266.5,268.0,268.0,266.54
1166,2018-12-19,265.56,266.79,266.31,266.52
1165,2018-12-19,266.0,267.83,266.8049,267.83
1164,2018-12-19,267.0,268.18,267.84,267.24
1163,2018-12-19,267.2515,269.13,267.2515,268.49
1162,2018-12-19,266.66,269.0,268.9982,268.6755
1161,2018-12-19,266.94,269.3162,268.61,269.0
1160,2018-12-19,266.0,269.0987,269.09,267.43
1159,2018-12-19,263.89,267.99,267.28,265.32
1158,2018-12-19,265.06,269.74,265.2357,269.74
1157,2018-12-19,269.0,271.1099,269.9,270.93
1156,2018-12-19,269.347,272.25,270.89,272.07
1155,2018-12-19,271.15,273.0,272.5,271.64
1154,2018-12-19,271.61,275.855,271.61,275.855
1153,2018-12-19,275.0039,276.74,276.0,275.22
1152,2018-12-19,273.249,275.88,275.29,274.3906
1151,2018-12-19,272.77,274.644,274.4,272.94
1150,2018-12-19,271.1767,273.208,273.208,272.19
1149,2018-12-19,268.8,272.8,272.47,269.4
1148,2018-12-19,267.22,272.53,269.59,272.29
1147,2018-12-19,270.5,273.18,272.01,271.0895
1146,2018-12-19,269.65,279.9,270.54,279.5
1145,2018-12-19,277.68,279.13,279.13,277.68
1144,2018-12-19,277.33,277.9,277.4,277.59
1143,2018-12-19,277.01,277.75,277.55,277.3328
1142,2018-12-19,275.76,277.54,277.28,275.76
1141,2018-12-19,274.81,275.65,275.65,275.01
1140,2018-12-19,274.8,276.03,275.07,275.8
1139,2018-12-19,274.5,275.69,275.69,274.52
1138,2018-12-19,274.56,276.178,274.56,276.08
1137,2018-12-19,275.3001,276.33,275.89,275.9
1136,2018-12-19,276.0032,276.66,276.04,276.4683
1135,2018-12-19,275.79,277.6119,276.41,277.32
1134,2018-12-19,276.7721,278.41,277.26,278.41
1133,2018-12-19,278.23,278.92,278.459,278.92
1132,2018-12-19,278.82,279.91,278.99,279.08
1131,2018-12-19,278.91,279.87,278.91,279.75
1130,2018-12-19,279.5336,279.88,279.76,279.6
1129,2018-12-19,279.25,280.11,279.67,280.11
1128,2018-12-19,279.46,280.3,279.95,279.58
1127,2018-12-19,279.02,279.6172,279.49,279.4861
1126,2018-12-19,279.0,279.85,279.53,279.63
1125,2018-12-19,278.84,279.71,279.575,278.9
1124,2018-12-19,278.9057,279.54,278.9057,279.5
1123,2018-12-19,278.93,279.56,279.5,279.0
1122,2018-12-19,278.91,279.85,279.05,279.69
1121,2018-12-19,278.93,279.89,279.639,279.39
1120,2018-12-19,278.65,279.69,279.5895,278.65
1119,2018-12-19,277.38,278.6472,278.58,277.54
1118,2018-12-19,277.2,277.86,277.55,277.7
1117,2018-12-19,277.5138,278.2,277.66,278.2
1116,2018-12-19,277.99,278.44,278.2,277.99
1115,2018-12-19,277.07,277.99,277.88,277.7477
1114,2018-12-19,277.1125,277.7854,277.69,277.1125
1113,2018-12-19,276.62,277.89,277.2072,277.79
1112,2018-12-19,277.64,278.55,277.84,277.64
1111,2018-12-19,277.47,278.75,277.76,278.6281
1110,2018-12-19,278.45,279.75,278.61,279.75
1109,2018-12-19,279.0,279.9,279.505,279.8189
1108,2018-12-19,278.84,280.3465,279.94,278.84
1107,2018-12-19,278.61,279.5832,279.01,279.5832
1106,2018-12-19,279.651,280.76,279.651,280.5801
1105,2018-12-19,279.6833,280.71,280.6,279.79
1104,2018-12-19,279.69,280.7,279.82,279.7
1103,2018-12-19,278.49,279.86,279.59,279.475
1102,2018-12-19,278.51,279.72,279.2523,278.89
1101,2018-12-19,278.51,279.66,278.75,278.78
1100,2018-12-19,277.6976,279.33,278.6501,278.9
1099,2018-12-19,277.23,278.8414,278.835,278.1
1098,2018-12-19,277.8627,278.96,277.91,278.0
1097,2018-12-19,277.79,279.2,278.0,278.18
1096,2018-12-19,275.48,278.19,278.19,276.328
1095,2018-12-19,274.085,276.62,276.43,274.4287
1094,2018-12-19,274.0,275.5,274.52,274.49
1093,2018-12-19,272.49,274.4222,274.4222,272.49
1092,2018-12-19,269.34,272.255,272.2386,269.68
1091,2018-12-18,270.95,273.15,270.95,273.15
1090,2018-12-18,272.55,273.21,272.9954,273.14
1089,2018-12-18,271.44,273.372,273.213,271.65
1088,2018-12-18,270.97,272.0,271.54,271.03
1087,2018-12-18,270.5297,271.13,270.8897,270.63
1086,2018-12-18,269.05,270.61,270.5307,269.05
1085,2018-12-18,268.264,269.0,268.79,268.74
1084,2018-12-18,268.375,269.41,269.1318,268.75
1083,2018-12-18,268.255,269.2659,269.0,268.66
1082,2018-12-18,267.7,269.365,268.5443,267.71
1081,2018-12-18,267.56,269.285,268.1321,268.58
1080,2018-12-18,268.0,269.2099,268.4815,268.51
1079,2018-12-18,268.5,269.8136,268.62,269.8
1078,2018-12-18,269.48,270.54,269.94,270.4341
1077,2018-12-18,269.44,270.5,270.4637,270.08
1076,2018-12-18,270.1665,271.7155,270.32,271.7155
1075,2018-12-18,271.0,272.0704,271.55,272.0166
1074,2018-12-18,271.84,273.126,271.84,273.126
1073,2018-12-18,272.54,273.5,273.12,272.78
1072,2018-12-18,272.7282,273.47,272.89,272.7282
1071,2018-12-18,272.331,274.04,272.9347,273.7365
1070,2018-12-18,273.8668,274.8504,273.8668,274.73
1069,2018-12-18,273.2806,274.75,274.75,273.6
1068,2018-12-18,272.56,274.0,273.64,272.56
1067,2018-12-18,271.66,272.76,272.69,272.35
1066,2018-12-18,272.432,273.8245,272.65,273.8245
1065,2018-12-18,273.47,273.92,273.8663,273.83
1064,2018-12-18,273.09,274.19,274.015,273.13
1063,2018-12-18,273.11,274.13,273.11,273.83
1062,2018-12-18,273.75,275.48,273.85,275.25
1061,2018-12-18,274.7,275.75,275.05,275.29
1060,2018-12-18,274.4,275.29,275.29,274.5295
1059,2018-12-18,274.394,275.3107,274.585,275.3107
1058,2018-12-18,274.5,275.39,275.39,275.2928
1057,2018-12-18,274.77,275.26,275.18,274.8
1056,2018-12-18,274.72,275.29,274.72,274.99
1055,2018-12-18,274.63,275.35,274.8,275.23
1054,2018-12-18,274.5428,275.23,275.0148,274.5428
1053,2018-12-18,273.74,274.6,274.5,273.865
1052,2018-12-18,272.86,274.11,273.71,273.82
