,Date,Low,High,Close,Open
1169,2018-12-19,2.16,2.18,2.17,2.16
1168,2018-12-19,2.145,2.18,2.165,2.145
1167,2018-12-19,2.14,2.15,2.145,2.15
1166,2018-12-19,2.14,2.145,2.14,2.14
1165,2018-12-19,2.14,2.148,2.14,2.14
1164,2018-12-19,2.12,2.145,2.145,2.13
1163,2018-12-19,2.13,2.145,2.13,2.145
1162,2018-12-19,2.14,2.155,2.15,2.155
1161,2018-12-19,2.145,2.17,2.15,2.17
1160,2018-12-19,2.14,2.17,2.17,2.15
1159,2018-12-19,2.11,2.145,2.145,2.1221
1158,2018-12-19,2.12,2.14,2.12,2.14
1157,2018-12-19,2.14,2.16,2.145,2.16
1156,2018-12-19,2.15,2.19,2.16,2.19
1155,2018-12-19,2.18,2.2,2.19,2.19
1154,2018-12-19,2.19,2.22,2.19,2.215
1153,2018-12-19,2.21,2.23,2.215,2.21
1152,2018-12-19,2.225,2.24,2.225,2.225
1151,2018-12-19,2.2185,2.24,2.2192,2.22
1150,2018-12-19,2.21,2.2201,2.22,2.22
1149,2018-12-19,2.1844,2.23,2.23,2.19
1148,2018-12-19,2.17,2.2,2.19,2.19
1147,2018-12-19,2.18,2.21,2.18,2.2
1146,2018-12-19,2.21,2.2401,2.21,2.24
1145,2018-12-19,2.24,2.26,2.25,2.25
1144,2018-12-19,2.25,2.26,2.2549,2.259
1143,2018-12-19,2.25,2.2566,2.255,2.255
1142,2018-12-19,2.2399,2.26,2.25,2.24
1141,2018-12-19,2.2346,2.26,2.2346,2.2599
1140,2018-12-19,2.25,2.26,2.25,2.26
1139,2018-12-19,2.25,2.26,2.2599,2.25
1138,2018-12-19,2.2466,2.26,2.25,2.26
1137,2018-12-19,2.255,2.265,2.26,2.265
1136,2018-12-19,2.26,2.27,2.27,2.27
1135,2018-12-19,2.27,2.28,2.28,2.28
1134,2018-12-19,2.26,2.28,2.275,2.26
1133,2018-12-19,2.26,2.27,2.26,2.26
1132,2018-12-19,2.26,2.28,2.26,2.28
1131,2018-12-19,2.25,2.285,2.2801,2.28
1130,2018-12-19,2.27,2.29,2.28,2.27
1129,2018-12-19,2.26,2.3,2.26,2.28
1128,2018-12-19,2.28,2.31,2.28,2.3
1127,2018-12-19,2.28,2.305,2.3,2.29
1126,2018-12-19,2.29,2.3,2.2964,2.2977
1125,2018-12-19,2.27,2.3,2.3,2.2815
1124,2018-12-19,2.27,2.29,2.28,2.28
1123,2018-12-19,2.26,2.3,2.285,2.27
1122,2018-12-19,2.26,2.29,2.26,2.28
1121,2018-12-19,2.23,2.28,2.2777,2.26
