,Date,Low,High,Close,Open
1169,2018-12-19,138.43,139.33,138.43,138.87
1168,2018-12-19,138.07,139.01,138.96,138.22
1167,2018-12-19,137.15,138.2599,138.1594,137.15
1166,2018-12-19,136.87,137.55,137.1,137.55
1165,2018-12-19,137.26,138.43,137.7133,138.37
1164,2018-12-19,137.8,138.59,138.44,137.84
1163,2018-12-19,137.76,139.31,137.76,139.13
1162,2018-12-19,137.85,139.32,139.0401,138.9155
1161,2018-12-19,138.0,139.66,138.92,139.6129
1160,2018-12-19,138.0706,139.7,139.68,138.6443
1159,2018-12-19,136.4337,138.71,138.5253,137.19
1158,2018-12-19,137.09,139.51,137.205,139.51
1157,2018-12-19,138.8,140.197,139.69,140.0875
1156,2018-12-19,139.82,141.12,140.24,141.12
1155,2018-12-19,140.21,141.31,141.2984,140.69
1154,2018-12-19,140.5,143.115,140.5,143.115
1153,2018-12-19,142.77,143.48,143.12,142.77
1152,2018-12-19,142.7931,143.6847,142.7931,143.03
1151,2018-12-19,142.115,143.182,142.91,142.375
1150,2018-12-19,141.37,142.36,142.338,141.85
1149,2018-12-19,140.26,142.0,141.7076,140.42
1148,2018-12-19,139.6214,141.19,140.5,141.19
1147,2018-12-19,140.5503,142.0,141.12,140.587
1146,2018-12-19,140.73,144.27,140.76,144.27
1145,2018-12-19,143.75,144.48,144.22,143.97
1144,2018-12-19,143.6607,144.0599,143.97,143.89
1143,2018-12-19,143.62,144.06,143.91,144.055
1142,2018-12-19,143.655,144.2,143.97,143.655
1141,2018-12-19,143.49,143.71,143.65,143.61
1140,2018-12-19,143.34,143.64,143.625,143.37
1139,2018-12-19,142.79,143.3365,143.29,142.79
1138,2018-12-19,142.84,143.9067,142.84,143.79
1137,2018-12-19,142.67,143.84,143.835,142.9964
1136,2018-12-19,142.89,143.18,142.99,143.05
1135,2018-12-19,142.81,143.28,143.0,143.1052
1134,2018-12-19,143.0,143.51,143.15,143.51
1133,2018-12-19,143.24,143.65,143.555,143.35
1132,2018-12-19,142.7744,143.551,143.32,142.8
1131,2018-12-19,142.06,142.88,142.79,142.5
1130,2018-12-19,142.4346,143.05,142.485,143.015
1129,2018-12-19,143.0,143.3509,143.01,143.24
