,Date,Low,High,Close,Open
713,2018-12-19,0.34,0.34,0.34,0.34
712,2018-12-19,0.3402,0.3402,0.3402,0.3402
711,2018-12-19,0.3406,0.3407,0.3406,0.3407
710,2018-12-19,0.3401,0.3417,0.3401,0.3417
709,2018-12-19,0.34,0.34,0.34,0.34
708,2018-12-19,0.3425,0.3425,0.3425,0.3425
707,2018-12-19,0.3401,0.3401,0.3401,0.3401
706,2018-12-19,0.34,0.3401,0.3401,0.34
705,2018-12-19,0.3401,0.3401,0.3401,0.3401
704,2018-12-19,0.34,0.34,0.34,0.34
703,2018-12-19,0.34,0.34,0.34,0.34
702,2018-12-19,0.34,0.34,0.34,0.34
701,2018-12-19,0.34,0.34,0.34,0.34
700,2018-12-19,0.34,0.34,0.34,0.34
699,2018-12-19,0.34,0.34,0.34,0.34
698,2018-12-19,0.34,0.34,0.34,0.34
697,2018-12-19,0.34,0.34,0.34,0.34
696,2018-12-19,0.34,0.34,0.34,0.34
695,2018-12-19,0.3401,0.3401,0.3401,0.3401
694,2018-12-19,0.34,0.3401,0.34,0.3401
693,2018-12-19,0.3401,0.3401,0.3401,0.3401
692,2018-12-19,0.34,0.34,0.34,0.34
691,2018-12-19,0.34,0.34,0.34,0.34
690,2018-12-19,0.34,0.3401,0.3401,0.34
689,2018-12-19,0.34,0.34,0.34,0.34
688,2018-12-19,0.34,0.34,0.34,0.34
687,2018-12-19,0.34,0.34,0.34,0.34
686,2018-12-19,0.3401,0.3401,0.3401,0.3401
685,2018-12-19,0.34,0.34,0.34,0.34
684,2018-12-19,0.34,0.34,0.34,0.34
683,2018-12-19,0.34,0.34,0.34,0.34
682,2018-12-19,0.34,0.34,0.34,0.34
681,2018-12-19,0.34,0.34,0.34,0.34
680,2018-12-19,0.3402,0.3402,0.3402,0.3402
679,2018-12-19,0.34,0.34,0.34,0.34
678,2018-12-19,0.3401,0.3401,0.3401,0.3401
677,2018-12-19,0.327,0.34,0.34,0.327
676,2018-12-19,0.3221,0.3221,0.3221,0.3221
675,2018-12-19,0.33,0.33,0.33,0.33
674,2018-12-19,0.33,0.33,0.33,0.33
673,2018-12-19,0.323,0.3252,0.323,0.3252
672,2018-12-19,0.325,0.3291,0.3291,0.325
671,2018-12-19,0.3228,0.3228,0.3228,0.3228
670,2018-12-19,0.3221,0.3221,0.3221,0.3221
669,2018-12-19,0.3221,0.3237,0.3237,0.3221
668,2018-12-19,0.3249,0.325,0.325,0.3249
667,2018-12-19,0.3223,0.3237,0.3223,0.3237
666,2018-12-18,0.325,0.3252,0.325,0.3252
665,2018-12-18,0.326,0.326,0.326,0.326
664,2018-12-18,0.3222,0.3222,0.3222,0.3222
663,2018-12-18,0.3297,0.3297,0.3297,0.3297
662,2018-12-18,0.3297,0.3297,0.3297,0.3297
661,2018-12-18,0.3225,0.3234,0.3225,0.3234
660,2018-12-18,0.3265,0.3265,0.3265,0.3265
659,2018-12-18,0.322,0.33,0.322,0.33
658,2018-12-18,0.33,0.3301,0.33,0.3301
657,2018-12-18,0.33,0.33,0.33,0.33
656,2018-12-18,0.33,0.3301,0.33,0.33
655,2018-12-18,0.33,0.33,0.33,0.33
654,2018-12-18,0.331,0.331,0.331,0.331
653,2018-12-18,0.331,0.331,0.331,0.331
652,2018-12-18,0.3311,0.3311,0.3311,0.3311
651,2018-12-18,0.333,0.333,0.333,0.333
650,2018-12-18,0.333,0.333,0.333,0.333
649,2018-12-18,0.3327,0.3348,0.3348,0.3327
648,2018-12-18,0.3332,0.3332,0.3332,0.3332
647,2018-12-18,0.331,0.331,0.331,0.331
646,2018-12-18,0.3322,0.3322,0.3322,0.3322
645,2018-12-18,0.3314,0.3314,0.3314,0.3314
644,2018-12-18,0.331,0.331,0.331,0.331
643,2018-12-18,0.3311,0.3348,0.3348,0.3311
642,2018-12-18,0.331,0.331,0.331,0.331
641,2018-12-18,0.33,0.3301,0.3301,0.33
640,2018-12-18,0.331,0.331,0.331,0.331
639,2018-12-18,0.33,0.33,0.33,0.33
638,2018-12-18,0.33,0.33,0.33,0.33
637,2018-12-18,0.331,0.331,0.331,0.331
