,Date,Low,High,Close,Open
1130,2018-12-19,56.64,56.84,56.64,56.65
1129,2018-12-19,56.61,56.75,56.68,56.64
1128,2018-12-19,56.46,56.66,56.64,56.46
1127,2018-12-19,56.27,56.46,56.46,56.36
1126,2018-12-19,56.31,56.63,56.39,56.63
1125,2018-12-19,56.47,56.68,56.66,56.5
1124,2018-12-19,56.48,56.815,56.48,56.74
1123,2018-12-19,56.31,56.78,56.73,56.61
1122,2018-12-19,56.46,56.845,56.61,56.79
1121,2018-12-19,56.42,56.82,56.79,56.53
1120,2018-12-19,56.09,56.81,56.52,56.25
1119,2018-12-19,56.26,56.65,56.26,56.65
1118,2018-12-19,56.42,56.745,56.66,56.745
1117,2018-12-19,56.62,56.96,56.75,56.94
1116,2018-12-19,56.72,57.0,56.98,56.75
1115,2018-12-19,56.7,57.39,56.72,57.39
1114,2018-12-19,57.32,57.56,57.42,57.45
1113,2018-12-19,57.43,57.67,57.44,57.54
1112,2018-12-19,57.44,57.62,57.54,57.54
1111,2018-12-19,57.37,57.57,57.55,57.57
1110,2018-12-19,57.35,57.66,57.56,57.42
1109,2018-12-19,57.3,57.56,57.43,57.48
1108,2018-12-19,57.28,57.56,57.44,57.28
1107,2018-12-19,57.19,58.5,57.28,58.2
1106,2018-12-19,58.0,58.21,58.21,58.0
1105,2018-12-19,57.99,58.06,58.01,58.06
1104,2018-12-19,57.945,58.05,58.05,57.945
1103,2018-12-19,57.84,57.95,57.93,57.84
1102,2018-12-19,57.83,57.88,57.83,57.88
1101,2018-12-19,57.775,57.84,57.84,57.79
1100,2018-12-19,57.71,57.8,57.78,57.71
1099,2018-12-19,57.73,57.96,57.73,57.93
1098,2018-12-19,57.695,57.93,57.93,57.7
1097,2018-12-19,57.72,57.7632,57.72,57.7632
1096,2018-12-19,57.76,57.855,57.76,57.84
1095,2018-12-19,57.83,57.88,57.85,57.84
1094,2018-12-19,57.84,57.89,57.8421,57.87
1093,2018-12-19,57.86,58.0,57.88,57.94
1092,2018-12-19,57.89,57.9501,57.95,57.935
1091,2018-12-19,57.91,58.0,57.92,58.0
1090,2018-12-19,57.98,58.04,57.985,58.025
1089,2018-12-19,57.92,58.0,58.0,57.92
1088,2018-12-19,57.83,57.94,57.92,57.86
1087,2018-12-19,57.78,57.85,57.85,57.81
1086,2018-12-19,57.77,57.83,57.8,57.83
1085,2018-12-19,57.81,57.857,57.82,57.84
1084,2018-12-19,57.7854,57.91,57.8358,57.87
1083,2018-12-19,57.8,57.91,57.88,57.8499
1082,2018-12-19,57.77,57.83,57.83,57.81
1081,2018-12-19,57.79,57.84,57.795,57.79
1080,2018-12-19,57.67,57.77,57.77,57.7
1079,2018-12-19,57.62,57.6999,57.68,57.6999
1078,2018-12-19,57.675,57.73,57.69,57.69
1077,2018-12-19,57.64,57.775,57.705,57.71
1076,2018-12-19,57.67,57.78,57.72,57.77
1075,2018-12-19,57.75,57.83,57.79,57.8099
1074,2018-12-19,57.74,57.83,57.815,57.81
1073,2018-12-19,57.78,57.98,57.78,57.92
1072,2018-12-19,57.92,57.98,57.93,57.96
1071,2018-12-19,57.93,58.04,57.94,58.04
1070,2018-12-19,57.99,58.09,58.025,58.09
1069,2018-12-19,57.96,58.13,58.11,57.96
1068,2018-12-19,57.89,58.02,57.96,57.905
1067,2018-12-19,57.88,58.04,57.89,58.04
1066,2018-12-19,58.035,58.235,58.06,58.21
1065,2018-12-19,58.2,58.33,58.2,58.22
1064,2018-12-19,58.21,58.355,58.21,58.32
1063,2018-12-19,58.245,58.34,58.3,58.245
1062,2018-12-19,58.14,58.28,58.26,58.15
1061,2018-12-19,58.035,58.2,58.175,58.09
1060,2018-12-19,58.01,58.11,58.08,58.01
1059,2018-12-19,57.92,58.06,58.06,57.97
1058,2018-12-19,57.9,58.09,57.96,57.9
1057,2018-12-19,57.68,57.905,57.88,57.68
1056,2018-12-19,57.66,57.76,57.69,57.74
1055,2018-12-19,57.585,57.7,57.69,57.7
1054,2018-12-19,57.66,57.79,57.66,57.76
1053,2018-12-19,57.055,57.83,57.76,57.38
1052,2018-12-18,57.73,57.95,57.8,57.94
1051,2018-12-18,57.9,57.985,57.93,57.97
1050,2018-12-18,57.79,57.98,57.98,57.8
1049,2018-12-18,57.67,57.81,57.8,57.67
1048,2018-12-18,57.65,57.8,57.67,57.78
1047,2018-12-18,57.65,57.84,57.77,57.65
1046,2018-12-18,57.565,57.7,57.64,57.7
1045,2018-12-18,57.63,57.74,57.6901,57.67
1044,2018-12-18,57.6,57.76,57.69,57.65
1043,2018-12-18,57.6,57.715,57.63,57.62
1042,2018-12-18,57.55,57.78,57.64,57.655
1041,2018-12-18,57.57,57.73,57.65,57.6704
1040,2018-12-18,57.65,57.84,57.69,57.825
1039,2018-12-18,57.81,57.92,57.83,57.91
1038,2018-12-18,57.85,57.93,57.9,57.88
1037,2018-12-18,57.84,58.15,57.87,58.11
1036,2018-12-18,58.01,58.13,58.125,58.03
1035,2018-12-18,58.03,58.19,58.04,58.16
1034,2018-12-18,58.02,58.19,58.16,58.04
1033,2018-12-18,57.995,58.08,58.02,58.04
1032,2018-12-18,57.985,58.141,58.04,58.13
