,Date,Low,High,Close,Open
1130,2018-12-19,64.04,64.22,64.04,64.13
1129,2018-12-19,64.11,64.27,64.14,64.26
1128,2018-12-19,64.02,64.27,64.27,64.02
1127,2018-12-19,63.77,64.01,64.01,63.93
1126,2018-12-19,63.855,64.025,63.95,64.025
1125,2018-12-19,63.84,64.1,64.0527,63.85
1124,2018-12-19,63.85,64.19,63.85,64.13
1123,2018-12-19,63.69,64.17,64.13,63.96
1122,2018-12-19,63.78,64.15,63.95,64.14
1121,2018-12-19,63.82,64.14,64.13,63.98
1120,2018-12-19,63.69,64.06,63.96,63.88
1119,2018-12-19,63.88,64.25,63.88,64.25
1118,2018-12-19,64.09,64.42,64.26,64.38
1117,2018-12-19,64.36,64.65,64.43,64.65
1116,2018-12-19,64.49,64.7,64.66,64.53
1115,2018-12-19,64.53,65.11,64.53,65.11
1114,2018-12-19,64.98,65.14,65.05,64.99
1113,2018-12-19,64.9,65.2,65.03,65.01
1112,2018-12-19,64.88,65.09,64.99,64.97
1111,2018-12-19,64.79,64.98,64.98,64.93
1110,2018-12-19,64.68,64.99,64.93,64.75
1109,2018-12-19,64.54,64.83,64.75,64.73
1108,2018-12-19,64.52,64.905,64.66,64.61
1107,2018-12-19,64.54,65.76,64.66,65.63
1106,2018-12-19,65.29,65.62,65.58,65.29
1105,2018-12-19,65.27,65.37,65.29,65.35
1104,2018-12-19,65.28,65.33,65.33,65.31
1103,2018-12-19,65.22,65.32,65.31,65.22
1102,2018-12-19,65.17,65.24,65.2061,65.22
1101,2018-12-19,65.16,65.28,65.22,65.23
1100,2018-12-19,65.16,65.24,65.22,65.16
1099,2018-12-19,65.1,65.26,65.165,65.25
1098,2018-12-19,65.205,65.26,65.25,65.26
1097,2018-12-19,65.25,65.29,65.26,65.275
1096,2018-12-19,65.27,65.35,65.275,65.34
1095,2018-12-19,65.28,65.34,65.325,65.3
1094,2018-12-19,65.29,65.4,65.31,65.4
1093,2018-12-19,65.32,65.45,65.37,65.41
1092,2018-12-19,65.39,65.42,65.41,65.4
1091,2018-12-19,65.39,65.44,65.4,65.435
1090,2018-12-19,65.44,65.47,65.45,65.445
1089,2018-12-19,65.41,65.48,65.43,65.46
1088,2018-12-19,65.49,65.55,65.49,65.53
1087,2018-12-19,65.52,65.55,65.55,65.54
1086,2018-12-19,65.505,65.57,65.535,65.51
1085,2018-12-19,65.5,65.6,65.52,65.6
1084,2018-12-19,65.49,65.625,65.61,65.49
1083,2018-12-19,65.46,65.52,65.49,65.49
1082,2018-12-19,65.355,65.53,65.49,65.415
1081,2018-12-19,65.28,65.4,65.39,65.28
1080,2018-12-19,65.13,65.28,65.28,65.13
1079,2018-12-19,65.09,65.26,65.14,65.26
1078,2018-12-19,65.24,65.29,65.2541,65.24
1077,2018-12-19,65.21,65.315,65.25,65.26
1076,2018-12-19,65.15,65.2833,65.26,65.16
1075,2018-12-19,65.06,65.17,65.15,65.1675
1074,2018-12-19,65.13,65.22,65.19,65.22
1073,2018-12-19,65.25,65.36,65.25,65.36
1072,2018-12-19,65.31,65.42,65.35,65.34
1071,2018-12-19,65.34,65.52,65.34,65.52
1070,2018-12-19,65.42,65.525,65.5,65.44
1069,2018-12-19,65.435,65.55,65.46,65.49
1068,2018-12-19,65.5,65.63,65.5,65.59
1067,2018-12-19,65.59,65.73,65.59,65.72
1066,2018-12-19,65.63,65.735,65.72,65.63
1065,2018-12-19,65.615,65.7,65.65,65.66
1064,2018-12-19,65.36,65.68,65.68,65.39
1063,2018-12-19,65.38,65.61,65.401,65.61
1062,2018-12-19,65.42,65.66,65.609,65.45
1061,2018-12-19,65.28,65.3936,65.3936,65.36
1060,2018-12-19,65.29,65.5,65.36,65.34
1059,2018-12-19,65.35,65.64,65.35,65.62
1058,2018-12-19,65.55,65.86,65.58,65.731
1057,2018-12-19,65.59,65.73,65.73,65.68
1056,2018-12-19,65.655,65.84,65.69,65.83
1055,2018-12-19,65.66,65.9,65.8301,65.9
1054,2018-12-19,65.72,65.87,65.83,65.77
1053,2018-12-19,65.1,65.8,65.78,65.16
1052,2018-12-18,64.91,65.29,64.91,65.28
1051,2018-12-18,65.19,65.32,65.28,65.32
1050,2018-12-18,65.08,65.33,65.31,65.08
1049,2018-12-18,65.0,65.12,65.07,65.0
1048,2018-12-18,65.0,65.1,65.0,65.07
1047,2018-12-18,64.88,65.1,65.06,64.88
1046,2018-12-18,64.82,64.92,64.88,64.9
1045,2018-12-18,64.85,64.97,64.92,64.94
1044,2018-12-18,64.82,65.03,64.94,64.86
1043,2018-12-18,64.73,64.92,64.85,64.75
1042,2018-12-18,64.66,64.91,64.76,64.87
1041,2018-12-18,64.77,64.93,64.88,64.85
1040,2018-12-18,64.85,65.06,64.88,65.03
1039,2018-12-18,65.03,65.1,65.03,65.09
1038,2018-12-18,65.01,65.09,65.07,65.05
1037,2018-12-18,65.035,65.31,65.05,65.28
1036,2018-12-18,65.205,65.3013,65.28,65.24
1035,2018-12-18,65.25,65.395,65.25,65.39
1034,2018-12-18,65.28,65.39,65.39,65.28
1033,2018-12-18,65.24,65.33,65.29,65.255
