,Date,Low,High,Close,Open
1130,2018-12-19,6.0,6.03,6.02,6.0
1129,2018-12-19,5.99,6.005,6.0,6.0
1128,2018-12-19,5.99,6.005,6.005,5.99
1127,2018-12-19,5.975,5.99,5.99,5.99
1126,2018-12-19,5.99,6.015,5.995,6.005
1125,2018-12-19,5.99,6.015,6.01,6.0
1124,2018-12-19,5.99,6.01,5.99,6.0
1123,2018-12-19,5.98,6.01,6.0,6.0
1122,2018-12-19,5.99,6.035,6.01,6.035
1121,2018-12-19,6.0,6.03,6.03,6.0
1120,2018-12-19,5.97,6.02,6.0,6.01
1119,2018-12-19,6.01,6.04,6.01,6.03
1118,2018-12-19,6.015,6.05,6.04,6.05
1117,2018-12-19,6.035,6.08,6.055,6.08
1116,2018-12-19,6.07,6.09,6.08,6.07
1115,2018-12-19,6.07,6.12,6.07,6.115
1114,2018-12-19,6.11,6.125,6.11,6.12
1113,2018-12-19,6.1,6.13,6.11,6.1
1112,2018-12-19,6.1,6.11,6.11,6.1
1111,2018-12-19,6.09,6.11,6.1,6.1
1110,2018-12-19,6.065,6.1,6.1,6.065
1109,2018-12-19,6.05,6.095,6.07,6.09
1108,2018-12-19,6.09,6.11,6.09,6.11
1107,2018-12-19,6.1,6.19,6.11,6.17
1106,2018-12-19,6.16,6.17,6.17,6.16
1105,2018-12-19,6.16,6.18,6.16,6.175
1104,2018-12-19,6.17,6.18,6.18,6.18
1103,2018-12-19,6.16,6.18,6.17,6.17
1102,2018-12-19,6.16,6.175,6.165,6.17
1101,2018-12-19,6.165,6.175,6.17,6.17
1100,2018-12-19,6.16,6.17,6.16,6.165
1099,2018-12-19,6.155,6.17,6.16,6.16
1098,2018-12-19,6.16,6.17,6.165,6.16
1097,2018-12-19,6.16,6.17,6.165,6.165
1096,2018-12-19,6.16,6.175,6.165,6.17
1095,2018-12-19,6.17,6.175,6.175,6.175
1094,2018-12-19,6.17,6.1761,6.17,6.17
1093,2018-12-19,6.165,6.18,6.17,6.175
1092,2018-12-19,6.17,6.18,6.175,6.175
1091,2018-12-19,6.17,6.18,6.17,6.17
1090,2018-12-19,6.17,6.18,6.18,6.175
1089,2018-12-19,6.17,6.175,6.175,6.17
1088,2018-12-19,6.17,6.175,6.17,6.175
1087,2018-12-19,6.17,6.18,6.175,6.175
1086,2018-12-19,6.17,6.18,6.175,6.175
1085,2018-12-19,6.17,6.18,6.18,6.175
1084,2018-12-19,6.17,6.18,6.18,6.17
1083,2018-12-19,6.165,6.175,6.17,6.17
1082,2018-12-19,6.16,6.175,6.175,6.165
1081,2018-12-19,6.165,6.18,6.165,6.17
1080,2018-12-19,6.16,6.175,6.175,6.17
1079,2018-12-19,6.16,6.18,6.16,6.175
1078,2018-12-19,6.175,6.185,6.175,6.18
1077,2018-12-19,6.17,6.18,6.18,6.17
1076,2018-12-19,6.17,6.18,6.175,6.175
1075,2018-12-19,6.1748,6.18,6.1748,6.18
1074,2018-12-19,6.17,6.18,6.175,6.17
1073,2018-12-19,6.175,6.18,6.175,6.18
1072,2018-12-19,6.175,6.19,6.18,6.18
1071,2018-12-19,6.18,6.19,6.18,6.19
1070,2018-12-19,6.175,6.19,6.19,6.185
1069,2018-12-19,6.185,6.19,6.185,6.19
1068,2018-12-19,6.17,6.18,6.18,6.17
1067,2018-12-19,6.17,6.19,6.17,6.18
1066,2018-12-19,6.17,6.185,6.185,6.18
1065,2018-12-19,6.18,6.19,6.185,6.185
1064,2018-12-19,6.17,6.18,6.175,6.175
1063,2018-12-19,6.17,6.185,6.175,6.175
1062,2018-12-19,6.16,6.18,6.175,6.16
1061,2018-12-19,6.1465,6.16,6.16,6.15
1060,2018-12-19,6.14,6.17,6.15,6.17
1059,2018-12-19,6.17,6.19,6.17,6.18
1058,2018-12-19,6.18,6.2,6.18,6.19
1057,2018-12-19,6.18,6.19,6.185,6.19
1056,2018-12-19,6.16,6.185,6.185,6.16
1055,2018-12-19,6.17,6.19,6.17,6.175
1054,2018-12-19,6.16,6.18,6.17,6.18
1053,2018-12-19,6.15,6.18,6.17,6.155
1052,2018-12-18,6.14,6.17,6.14,6.16
1051,2018-12-18,6.15,6.165,6.155,6.16
1050,2018-12-18,6.15,6.175,6.17,6.16
1049,2018-12-18,6.125,6.155,6.155,6.13
1048,2018-12-18,6.13,6.14,6.13,6.13
1047,2018-12-18,6.13,6.15,6.13,6.13
1046,2018-12-18,6.12,6.135,6.125,6.13
1045,2018-12-18,6.119,6.13,6.13,6.119
1044,2018-12-18,6.105,6.12,6.115,6.11
1043,2018-12-18,6.1,6.11,6.105,6.1
