,Date,Low,High,Close,Open
1130,2018-12-19,30.92,31.05,30.97,30.96
1129,2018-12-19,30.84,30.95,30.93,30.89
1128,2018-12-19,30.77,30.9,30.89,30.79
1127,2018-12-19,30.64,30.8,30.8,30.74
1126,2018-12-19,30.675,30.78,30.74,30.78
1125,2018-12-19,30.67,30.8,30.78,30.72
1124,2018-12-19,30.68,30.87,30.68,30.86
1123,2018-12-19,30.69,30.85,30.85,30.83
1122,2018-12-19,30.77,30.98,30.79,30.96
1121,2018-12-19,30.6904,30.94,30.94,30.6904
1120,2018-12-19,30.63,30.83,30.78,30.78
1119,2018-12-19,30.78,31.05,30.8,31.03
1118,2018-12-19,31.0,31.25,31.0771,31.25
1117,2018-12-19,31.255,31.465,31.28,31.465
1116,2018-12-19,31.34,31.47,31.445,31.38
1115,2018-12-19,31.405,31.68,31.405,31.68
1114,2018-12-19,31.65,31.74,31.67,31.65
1113,2018-12-19,31.6,31.74,31.7,31.65
1112,2018-12-19,31.51,31.65,31.65,31.57
1111,2018-12-19,31.42,31.54,31.5,31.53
1110,2018-12-19,31.425,31.56,31.52,31.43
1109,2018-12-19,31.35,31.59,31.45,31.59
1108,2018-12-19,31.58,31.84,31.61,31.84
1107,2018-12-19,31.82,32.16,31.82,32.16
1106,2018-12-19,32.21,32.29,32.29,32.21
1105,2018-12-19,32.2,32.28,32.21,32.28
1104,2018-12-19,32.2,32.28,32.28,32.2
1103,2018-12-19,32.13,32.21,32.2,32.13
1102,2018-12-19,32.05,32.15,32.12,32.05
1101,2018-12-19,31.98,32.06,32.05,31.98
1100,2018-12-19,31.965,32.01,31.97,31.97
1099,2018-12-19,32.0,32.13,32.01,32.0
1098,2018-12-19,31.965,32.03,32.0,32.03
1097,2018-12-19,32.01,32.05,32.045,32.015
1096,2018-12-19,32.01,32.15,32.03,32.15
1095,2018-12-19,32.17,32.22,32.17,32.19
1094,2018-12-19,32.195,32.28,32.195,32.28
1093,2018-12-19,32.27,32.33,32.3,32.31
1092,2018-12-19,32.27,32.3,32.29,32.3
1091,2018-12-19,32.27,32.32,32.3,32.28
1090,2018-12-19,32.19,32.25,32.25,32.23
1089,2018-12-19,32.22,32.24,32.23,32.24
1088,2018-12-19,32.22,32.26,32.22,32.25
1087,2018-12-19,32.21,32.25,32.24,32.25
1086,2018-12-19,32.18,32.2362,32.2362,32.205
1085,2018-12-19,32.17,32.215,32.215,32.18
1084,2018-12-19,32.15,32.24,32.23,32.15
1083,2018-12-19,32.11,32.13,32.13,32.11
1082,2018-12-19,32.05,32.14,32.11,32.05
1081,2018-12-19,32.02,32.06,32.06,32.06
1080,2018-12-19,31.96,32.05,32.05,31.98
1079,2018-12-19,31.97,32.0,31.975,31.98
1078,2018-12-19,31.97,32.015,31.97,31.98
1077,2018-12-19,31.99,32.04,31.99,32.04
1076,2018-12-19,32.05,32.0657,32.05,32.0657
1075,2018-12-19,32.02,32.06,32.02,32.04
1074,2018-12-19,31.97,32.03,32.03,31.99
1073,2018-12-19,32.0,32.12,32.0,32.12
1072,2018-12-19,32.15,32.23,32.17,32.23
1071,2018-12-19,32.1,32.19,32.19,32.18
1070,2018-12-19,32.19,32.22,32.21,32.2
1069,2018-12-19,32.21,32.34,32.21,32.32
1068,2018-12-19,32.27,32.36,32.29,32.36
1067,2018-12-19,32.3,32.4,32.36,32.3
1066,2018-12-19,32.29,32.35,32.31,32.29
1065,2018-12-19,32.2,32.32,32.27,32.2
1064,2018-12-19,32.16,32.22,32.17,32.21
1063,2018-12-19,32.15,32.25,32.22,32.19
1062,2018-12-19,32.16,32.29,32.23,32.19
1061,2018-12-19,32.14,32.28,32.19,32.26
1060,2018-12-19,32.24,32.37,32.35,32.25
1059,2018-12-19,32.25,32.47,32.25,32.29
1058,2018-12-19,32.27,32.38,32.31,32.3
1057,2018-12-19,32.22,32.48,32.27,32.48
1056,2018-12-19,32.22,32.37,32.37,32.22
1055,2018-12-19,32.19,32.36,32.21,32.34
1054,2018-12-19,32.21,32.47,32.35,32.47
1053,2018-12-19,31.915,32.36,32.303,31.915
1052,2018-12-18,31.87,32.07,31.89,32.07
1051,2018-12-18,32.03,32.08,32.08,32.03
1050,2018-12-18,31.92,32.04,32.02,31.93
1049,2018-12-18,31.865,31.97,31.92,31.88
1048,2018-12-18,31.87,31.94,31.89,31.94
1047,2018-12-18,31.87,31.96,31.91,31.87
1046,2018-12-18,31.84,31.91,31.86,31.91
1045,2018-12-18,31.88,31.95,31.91,31.94
1044,2018-12-18,31.92,31.96,31.945,31.93
1043,2018-12-18,31.9,31.98,31.915,31.9
1042,2018-12-18,31.86,31.94,31.86,31.88
1041,2018-12-18,31.85,31.93,31.86,31.9
1040,2018-12-18,31.88,31.97,31.88,31.97
1039,2018-12-18,31.92,31.98,31.98,31.96
1038,2018-12-18,31.9,31.98,31.94,31.9
1037,2018-12-18,31.89,32.039,31.89,32.03
1036,2018-12-18,31.94,32.04,32.04,31.99
1035,2018-12-18,32.0,32.07,32.0,32.07
1034,2018-12-18,32.05,32.1,32.08,32.05
1033,2018-12-18,31.98,32.04,32.02,32.04
1032,2018-12-18,32.02,32.1,32.03,32.1
1031,2018-12-18,32.1,32.18,32.1,32.15
1030,2018-12-18,32.07,32.13,32.13,32.08
1029,2018-12-18,32.04,32.075,32.07,32.05
1028,2018-12-18,31.99,32.03,32.03,32.02
1027,2018-12-18,32.01,32.07,32.04,32.07
1026,2018-12-18,32.03,32.08,32.08,32.04
1025,2018-12-18,32.065,32.1,32.065,32.08
1024,2018-12-18,32.07,32.12,32.07,32.1
1023,2018-12-18,32.065,32.11,32.09,32.1
1022,2018-12-18,32.12,32.235,32.12,32.235
1021,2018-12-18,32.18,32.245,32.23,32.18
1020,2018-12-18,32.09,32.2,32.17,32.11
1019,2018-12-18,32.11,32.18,32.11,32.18
1018,2018-12-18,32.15,32.18,32.18,32.17
1017,2018-12-18,32.15,32.18,32.18,32.17
1016,2018-12-18,32.105,32.18,32.1567,32.18
1015,2018-12-18,32.12,32.18,32.18,32.14
