,Date,Low,High,Close,Open
1130,2018-12-19,20.42,20.47,20.42,20.42
1129,2018-12-19,20.39,20.43,20.43,20.4
1128,2018-12-19,20.33,20.3938,20.39,20.35
1127,2018-12-19,20.285,20.35,20.33,20.35
1126,2018-12-19,20.33,20.4,20.36,20.4
1125,2018-12-19,20.335,20.43,20.41,20.36
1124,2018-12-19,20.34,20.47,20.34,20.46
1123,2018-12-19,20.29,20.465,20.465,20.41
1122,2018-12-19,20.35,20.53,20.37,20.53
1121,2018-12-19,20.39,20.515,20.515,20.44
1120,2018-12-19,20.3,20.45,20.43,20.365
1119,2018-12-19,20.37,20.57,20.39,20.57
1118,2018-12-19,20.48,20.6,20.58,20.585
1117,2018-12-19,20.57,20.72,20.62,20.71
1116,2018-12-19,20.67,20.75,20.74,20.7
1115,2018-12-19,20.67,20.93,20.68,20.92
1114,2018-12-19,20.93,21.0,20.95,20.94
1113,2018-12-19,20.91,21.01,20.95,20.95
1112,2018-12-19,20.8701,20.96,20.93,20.9
1111,2018-12-19,20.81,20.9,20.87,20.87
1110,2018-12-19,20.74,20.89,20.88,20.75
1109,2018-12-19,20.71,20.84,20.77,20.84
1108,2018-12-19,20.8,20.91,20.84,20.83
1107,2018-12-19,20.82,21.2,20.82,21.2
1106,2018-12-19,21.09,21.18,21.18,21.09
1105,2018-12-19,21.08,21.11,21.085,21.105
1104,2018-12-19,21.08,21.1,21.1,21.1
1103,2018-12-19,21.06,21.1,21.1,21.07
1102,2018-12-19,21.05,21.12,21.07,21.12
1101,2018-12-19,21.09,21.135,21.115,21.12
1100,2018-12-19,21.09,21.12,21.1,21.12
1099,2018-12-19,21.12,21.18,21.125,21.16
1098,2018-12-19,21.1,21.14,21.14,21.1
1097,2018-12-19,21.11,21.13,21.115,21.12
1096,2018-12-19,21.09,21.11,21.1,21.11
1095,2018-12-19,21.1,21.13,21.12,21.115
1094,2018-12-19,21.1,21.12,21.11,21.11
1093,2018-12-19,21.1,21.17,21.11,21.135
1092,2018-12-19,21.135,21.19,21.135,21.18
1091,2018-12-19,21.185,21.205,21.19,21.2
1090,2018-12-19,21.19,21.22,21.19,21.205
1089,2018-12-19,21.17,21.19,21.19,21.17
1088,2018-12-19,21.17,21.21,21.18,21.21
1087,2018-12-19,21.17,21.23,21.23,21.17
1086,2018-12-19,21.14,21.16,21.16,21.16
1085,2018-12-19,21.16,21.17,21.17,21.17
1084,2018-12-19,21.12,21.16,21.16,21.135
1083,2018-12-19,21.1,21.13,21.11,21.12
1082,2018-12-19,21.055,21.12,21.12,21.1
1081,2018-12-19,21.09,21.1123,21.09,21.09
1080,2018-12-19,20.97,21.065,21.065,20.98
1079,2018-12-19,20.95,20.98,20.9637,20.95
1078,2018-12-19,20.95,20.96,20.95,20.95
1077,2018-12-19,20.93,21.0,20.95,21.0
1076,2018-12-19,20.97,21.01,21.0,21.01
1075,2018-12-19,20.99,21.02,21.01,21.0
1074,2018-12-19,20.97,20.99,20.98,20.98
1073,2018-12-19,21.0,21.04,21.0,21.04
1072,2018-12-19,21.04,21.15,21.04,21.14
1071,2018-12-19,21.1,21.21,21.14,21.21
1070,2018-12-19,21.15,21.18,21.18,21.18
1069,2018-12-19,21.175,21.2,21.19,21.175
1068,2018-12-19,21.155,21.19,21.17,21.19
1067,2018-12-19,21.18,21.205,21.185,21.18
1066,2018-12-19,21.155,21.18,21.18,21.16
1065,2018-12-19,21.13,21.185,21.1491,21.13
1064,2018-12-19,21.09,21.13,21.11,21.09
1063,2018-12-19,21.075,21.115,21.075,21.1
1062,2018-12-19,21.09,21.14,21.1,21.11
1061,2018-12-19,21.07,21.11,21.11,21.1
1060,2018-12-19,21.02,21.1,21.1,21.0447
1059,2018-12-19,21.01,21.09,21.065,21.01
1058,2018-12-19,21.0,21.05,21.03,21.02
1057,2018-12-19,20.97,21.01,21.01,21.0
1056,2018-12-19,20.905,20.98,20.98,20.905
1055,2018-12-19,20.74,20.88,20.88,20.74
1054,2018-12-19,20.69,20.72,20.71,20.72
1053,2018-12-19,20.58,20.7,20.7,20.58
1052,2018-12-18,20.71,20.78,20.72,20.78
1051,2018-12-18,20.76,20.79,20.775,20.79
1050,2018-12-18,20.745,20.81,20.8,20.75
1049,2018-12-18,20.71,20.76,20.75,20.71
1048,2018-12-18,20.71,20.75,20.71,20.72
1047,2018-12-18,20.68,20.73,20.72,20.68
1046,2018-12-18,20.64,20.7,20.68,20.7
1045,2018-12-18,20.68,20.735,20.7,20.69
1044,2018-12-18,20.6401,20.71,20.69,20.66
1043,2018-12-18,20.61,20.68,20.645,20.61
1042,2018-12-18,20.585,20.68,20.6,20.66
1041,2018-12-18,20.61,20.67,20.66,20.65
1040,2018-12-18,20.64,20.72,20.64,20.72
1039,2018-12-18,20.7,20.72,20.7,20.7131
1038,2018-12-18,20.69,20.71,20.71,20.695
1037,2018-12-18,20.69,20.825,20.7,20.815
1036,2018-12-18,20.79,20.82,20.815,20.795
1035,2018-12-18,20.81,20.88,20.81,20.87
1034,2018-12-18,20.845,20.885,20.87,20.845
1033,2018-12-18,20.84,20.86,20.845,20.84
1032,2018-12-18,20.81,20.86,20.83,20.86
1031,2018-12-18,20.85,20.88,20.855,20.88
1030,2018-12-18,20.82,20.87,20.87,20.84
1029,2018-12-18,20.79,20.85,20.85,20.79
1028,2018-12-18,20.76,20.8,20.79,20.79
1027,2018-12-18,20.79,20.85,20.8,20.85
1026,2018-12-18,20.815,20.85,20.85,20.82
1025,2018-12-18,20.81,20.85,20.83,20.81
1024,2018-12-18,20.8,20.85,20.81,20.83
1023,2018-12-18,20.83,20.86,20.83,20.85
1022,2018-12-18,20.85,20.9,20.85,20.9
1021,2018-12-18,20.89,20.91,20.89,20.89
1020,2018-12-18,20.87,20.9,20.9,20.89
1019,2018-12-18,20.885,20.9,20.89,20.9
1018,2018-12-18,20.875,20.9,20.89,20.89
1017,2018-12-18,20.87,20.89,20.88,20.89
1016,2018-12-18,20.88,20.905,20.88,20.9
1015,2018-12-18,20.85,20.88,20.88,20.87
1014,2018-12-18,20.86,20.895,20.875,20.89
1013,2018-12-18,20.88,20.89,20.89,20.88
1012,2018-12-18,20.87,20.89,20.89,20.875
1011,2018-12-18,20.89,20.92,20.9,20.9
1010,2018-12-18,20.885,20.91,20.9,20.91
1009,2018-12-18,20.91,20.96,20.91,20.93
1008,2018-12-18,20.885,20.94,20.93,20.9
1007,2018-12-18,20.86,20.91,20.9,20.86
1006,2018-12-18,20.82,20.86,20.85,20.82
1005,2018-12-18,20.775,20.815,20.79,20.775
1004,2018-12-18,20.75,20.8,20.76,20.785
1003,2018-12-18,20.74,20.81,20.79,20.81
1002,2018-12-18,20.785,20.82,20.81,20.785
1001,2018-12-18,20.79,20.845,20.79,20.81
1000,2018-12-18,20.81,20.88,20.83,20.85
999,2018-12-18,20.82,20.85,20.85,20.82
998,2018-12-18,20.7701,20.81,20.805,20.7701
997,2018-12-18,20.81,20.8672,20.81,20.8672
996,2018-12-18,20.87,20.915,20.885,20.915
995,2018-12-18,20.8766,20.92,20.92,20.8766
994,2018-12-18,20.86,20.885,20.86,20.88
993,2018-12-18,20.89,20.95,20.89,20.94
992,2018-12-18,20.88,20.93,20.92,20.89
991,2018-12-18,20.88,20.92,20.88,20.88
990,2018-12-18,20.83,20.87,20.86,20.83
989,2018-12-18,20.84,21.005,20.84,21.005
988,2018-12-18,20.82,20.98,20.98,20.845
987,2018-12-18,20.83,20.86,20.84,20.84
986,2018-12-18,20.82,20.86,20.83,20.84
985,2018-12-18,20.8,20.85,20.83,20.85
984,2018-12-18,20.78,20.82,20.82,20.81
983,2018-12-18,20.77,20.81,20.81,20.79
982,2018-12-18,20.75,20.845,20.79,20.75
981,2018-12-18,20.68,20.77,20.77,20.755
980,2018-12-18,20.75,20.81,20.75,20.8
979,2018-12-18,20.74,20.81,20.8,20.745
978,2018-12-18,20.76,20.9161,20.77,20.91
977,2018-12-18,20.8,20.93,20.92,20.84
976,2018-12-18,20.8,20.86,20.835,20.83
975,2018-12-18,20.82,20.89,20.83,20.84
974,2018-12-17,20.575,20.645,20.63,20.58
973,2018-12-17,20.52,20.59,20.58,20.52
972,2018-12-17,20.49,20.595,20.525,20.555
971,2018-12-17,20.545,20.58,20.565,20.56
970,2018-12-17,20.52,20.58,20.56,20.53
969,2018-12-17,20.52,20.58,20.55,20.58
968,2018-12-17,20.56,20.63,20.57,20.63
967,2018-12-17,20.625,20.69,20.64,20.69
966,2018-12-17,20.67,20.73,20.69,20.71
965,2018-12-17,20.69,20.75,20.71,20.69
964,2018-12-17,20.695,20.79,20.695,20.75
963,2018-12-17,20.75,20.8,20.76,20.8
962,2018-12-17,20.81,20.825,20.81,20.81
961,2018-12-17,20.785,20.84,20.8,20.84
960,2018-12-17,20.83,20.895,20.83,20.87
959,2018-12-17,20.825,20.89,20.865,20.825
958,2018-12-17,20.815,20.83,20.82,20.83
957,2018-12-17,20.775,20.845,20.84,20.78
956,2018-12-17,20.77,20.8,20.78,20.78
955,2018-12-17,20.755,20.835,20.78,20.755
954,2018-12-17,20.75,20.79,20.76,20.79
953,2018-12-17,20.76,20.79,20.78,20.76
952,2018-12-17,20.77,20.8,20.78,20.78
951,2018-12-17,20.78,20.83,20.78,20.82
950,2018-12-17,20.82,20.88,20.82,20.824
949,2018-12-17,20.82,20.85,20.83,20.84
948,2018-12-17,20.83,20.89,20.84,20.89
947,2018-12-17,20.86,20.9159,20.895,20.86
946,2018-12-17,20.84,20.88,20.855,20.87
945,2018-12-17,20.86,20.98,20.86,20.96
944,2018-12-17,20.96,21.0,20.97,21.0
943,2018-12-17,20.94,21.0,21.0,20.98
942,2018-12-17,20.97,21.0,20.99,21.0
941,2018-12-17,20.995,21.04,21.02,21.03
940,2018-12-17,20.97,21.04,21.03,20.97
939,2018-12-17,20.97,21.0,20.97,21.0
938,2018-12-17,21.0,21.02,21.0,21.02
937,2018-12-17,21.0,21.07,21.02,21.07
936,2018-12-17,21.06,21.1,21.08,21.09
935,2018-12-17,21.08,21.17,21.09,21.13
934,2018-12-17,21.11,21.13,21.13,21.12
933,2018-12-17,21.12,21.24,21.12,21.235
932,2018-12-17,21.21,21.23,21.23,21.22
931,2018-12-17,21.225,21.26,21.225,21.26
930,2018-12-17,21.25,21.26,21.25,21.25
929,2018-12-17,21.27,21.33,21.27,21.33
928,2018-12-17,21.31,21.34,21.33,21.31
927,2018-12-17,21.28,21.34,21.32,21.28
926,2018-12-17,21.24,21.28,21.28,21.24
925,2018-12-17,21.23,21.26,21.23,21.26
924,2018-12-17,21.22,21.25,21.23,21.22
923,2018-12-17,21.2,21.29,21.24,21.29
922,2018-12-17,21.29,21.34,21.29,21.34
921,2018-12-17,21.325,21.42,21.34,21.42
920,2018-12-17,21.43,21.49,21.43,21.48
919,2018-12-17,21.465,21.48,21.48,21.48
918,2018-12-17,21.45,21.49,21.47,21.45
917,2018-12-17,21.43,21.49,21.45,21.48
916,2018-12-17,21.46,21.495,21.48,21.49
915,2018-12-17,21.46,21.5,21.47,21.465
914,2018-12-17,21.44,21.48,21.45,21.44
913,2018-12-17,21.37,21.44,21.43,21.38
912,2018-12-17,21.38,21.41,21.39,21.41
911,2018-12-17,21.34,21.43,21.415,21.35
910,2018-12-17,21.34,21.365,21.365,21.345
909,2018-12-17,21.37,21.425,21.37,21.425
908,2018-12-17,21.4,21.46,21.41,21.4
907,2018-12-17,21.355,21.41,21.41,21.355
906,2018-12-17,21.36,21.44,21.36,21.43
905,2018-12-17,21.31,21.43,21.41,21.31
904,2018-12-17,21.28,21.31,21.31,21.305
903,2018-12-17,21.29,21.36,21.33,21.32
902,2018-12-17,21.23,21.34,21.34,21.23
901,2018-12-17,21.14,21.21,21.19,21.14
900,2018-12-17,21.16,21.22,21.16,21.19
899,2018-12-17,21.18,21.4,21.21,21.4
898,2018-12-17,21.39,21.5,21.39,21.4
897,2018-12-17,21.31,21.46,21.375,21.41
896,2018-12-14,21.55,21.605,21.57,21.55
895,2018-12-14,21.54,21.61,21.54,21.61
894,2018-12-14,21.5,21.62,21.6,21.5
893,2018-12-14,21.47,21.74,21.5,21.74
892,2018-12-14,21.68,21.8,21.73,21.76
891,2018-12-14,21.54,21.84,21.739,21.54
890,2018-12-14,21.41,21.75,21.55,21.75
889,2018-12-14,21.02,22.16,21.76,22.15
888,2018-12-14,22.11,22.15,22.15,22.12
887,2018-12-14,22.08,22.14,22.11,22.08
886,2018-12-14,22.07,22.1,22.07,22.08
885,2018-12-14,22.075,22.1,22.1,22.075
884,2018-12-14,22.02,22.09,22.09,22.02
883,2018-12-14,22.0264,22.06,22.0264,22.045
882,2018-12-14,22.05,22.075,22.05,22.06
881,2018-12-14,22.04,22.11,22.04,22.07
880,2018-12-14,22.07,22.13,22.07,22.13
879,2018-12-14,22.1327,22.17,22.1327,22.16
878,2018-12-14,22.145,22.175,22.16,22.175
877,2018-12-14,22.14,22.17,22.17,22.14
876,2018-12-14,22.12,22.15,22.14,22.12
875,2018-12-14,22.08,22.13,22.1,22.13
874,2018-12-14,22.12,22.14,22.13,22.12
873,2018-12-14,22.09,22.11,22.11,22.09
872,2018-12-14,22.08,22.11,22.08,22.1
871,2018-12-14,22.075,22.09,22.09,22.08
870,2018-12-14,22.07,22.09,22.07,22.07
869,2018-12-14,22.05,22.07,22.07,22.05
868,2018-12-14,22.02,22.05,22.05,22.02
867,2018-12-14,22.03,22.095,22.03,22.09
866,2018-12-14,22.09,22.1,22.09,22.09
865,2018-12-14,22.075,22.1,22.09,22.1
864,2018-12-14,22.11,22.14,22.11,22.13
863,2018-12-14,22.14,22.175,22.1463,22.15
862,2018-12-14,22.12,22.16,22.155,22.13
861,2018-12-14,22.13,22.17,22.13,22.17
860,2018-12-14,22.18,22.22,22.18,22.22
859,2018-12-14,22.19,22.22,22.22,22.2
858,2018-12-14,22.1915,22.215,22.1915,22.215
857,2018-12-14,22.21,22.24,22.21,22.24
856,2018-12-14,22.25,22.265,22.25,22.25
855,2018-12-14,22.25,22.28,22.26,22.25
854,2018-12-14,22.23,22.24,22.24,22.24
853,2018-12-14,22.2275,22.27,22.24,22.26
852,2018-12-14,22.21,22.26,22.25,22.21
851,2018-12-14,22.21,22.25,22.21,22.25
850,2018-12-14,22.25,22.27,22.25,22.26
849,2018-12-14,22.22,22.26,22.24,22.24
848,2018-12-14,22.195,22.24,22.21,22.24
847,2018-12-14,22.21,22.25,22.24,22.24
846,2018-12-14,22.25,22.29,22.25,22.29
845,2018-12-14,22.32,22.38,22.32,22.36
844,2018-12-14,22.32,22.37,22.32,22.37
843,2018-12-14,22.35,22.37,22.37,22.35
842,2018-12-14,22.27,22.33,22.33,22.27
841,2018-12-14,22.27,22.36,22.28,22.36
840,2018-12-14,22.33,22.4,22.37,22.33
839,2018-12-14,22.34,22.395,22.34,22.375
838,2018-12-14,22.39,22.42,22.39,22.39
837,2018-12-14,22.34,22.4,22.4,22.365
836,2018-12-14,22.37,22.435,22.37,22.435
835,2018-12-14,22.395,22.455,22.45,22.4
834,2018-12-14,22.36,22.41,22.405,22.36
833,2018-12-14,22.38,22.44,22.38,22.41
832,2018-12-14,22.37,22.44,22.415,22.37
831,2018-12-14,22.35,22.4,22.37,22.4
830,2018-12-14,22.325,22.4,22.38,22.39
829,2018-12-14,22.39,22.435,22.39,22.41
828,2018-12-14,22.35,22.41,22.41,22.36
827,2018-12-14,22.275,22.33,22.33,22.29
826,2018-12-14,22.2,22.29,22.29,22.2
825,2018-12-14,22.21,22.3,22.21,22.29
824,2018-12-14,22.16,22.3,22.3,22.16
823,2018-12-14,22.09,22.17,22.17,22.09
822,2018-12-14,22.06,22.13,22.11,22.07
821,2018-12-14,22.06,22.22,22.08,22.155
820,2018-12-14,22.03,22.17,22.15,22.16
819,2018-12-14,22.07,22.27,22.18,22.07
818,2018-12-13,22.47,22.515,22.47,22.48
817,2018-12-13,22.47,22.49,22.48,22.49
816,2018-12-13,22.47,22.54,22.49,22.53
815,2018-12-13,22.47,22.52,22.515,22.47
814,2018-12-13,22.45,22.47,22.47,22.47
813,2018-12-13,22.445,22.49,22.475,22.45
812,2018-12-13,22.45,22.5,22.46,22.5
811,2018-12-13,22.4966,22.5164,22.505,22.51
810,2018-12-13,22.49,22.52,22.51,22.5
809,2018-12-13,22.4267,22.49,22.48,22.43
808,2018-12-13,22.43,22.4569,22.43,22.45
807,2018-12-13,22.43,22.47,22.455,22.47
806,2018-12-13,22.44,22.48,22.455,22.44
805,2018-12-13,22.42,22.46,22.45,22.42
804,2018-12-13,22.4,22.425,22.42,22.41
803,2018-12-13,22.41,22.435,22.41,22.43
802,2018-12-13,22.4,22.44,22.41,22.44
801,2018-12-13,22.45,22.48,22.46,22.47
800,2018-12-13,22.43,22.495,22.485,22.46
799,2018-12-13,22.465,22.495,22.47,22.495
798,2018-12-13,22.465,22.49,22.475,22.485
797,2018-12-13,22.46,22.51,22.49,22.47
796,2018-12-13,22.475,22.52,22.48,22.515
795,2018-12-13,22.51,22.535,22.51,22.52
794,2018-12-13,22.51,22.55,22.51,22.53
793,2018-12-13,22.52,22.58,22.52,22.565
792,2018-12-13,22.57,22.61,22.57,22.61
791,2018-12-13,22.62,22.65,22.62,22.65
790,2018-12-13,22.56,22.63,22.63,22.58
789,2018-12-13,22.54,22.59,22.58,22.54
788,2018-12-13,22.5,22.56,22.54,22.56
787,2018-12-13,22.53,22.57,22.56,22.54
786,2018-12-13,22.485,22.55,22.535,22.485
785,2018-12-13,22.43,22.55,22.5,22.55
784,2018-12-13,22.5,22.55,22.54,22.51
783,2018-12-13,22.5,22.6,22.5,22.56
782,2018-12-13,22.56,22.64,22.565,22.635
781,2018-12-13,22.64,22.68,22.64,22.67
780,2018-12-13,22.65,22.68,22.67,22.655
779,2018-12-13,22.655,22.68,22.655,22.66
778,2018-12-13,22.63,22.68,22.67,22.64
777,2018-12-13,22.57,22.62,22.61,22.585
776,2018-12-13,22.57,22.62,22.59,22.6
775,2018-12-13,22.61,22.635,22.625,22.635
774,2018-12-13,22.63,22.665,22.65,22.66
773,2018-12-13,22.63,22.665,22.665,22.64
772,2018-12-13,22.6,22.65,22.63,22.61
771,2018-12-13,22.59,22.655,22.615,22.65
770,2018-12-13,22.645,22.705,22.68,22.645
769,2018-12-13,22.65,22.685,22.65,22.67
768,2018-12-13,22.6901,22.75,22.6901,22.75
767,2018-12-13,22.635,22.76,22.75,22.665
766,2018-12-13,22.62,22.675,22.675,22.635
765,2018-12-13,22.59,22.64,22.6252,22.6
764,2018-12-13,22.59,22.625,22.625,22.59
763,2018-12-13,22.55,22.59,22.585,22.56
762,2018-12-13,22.54,22.58,22.55,22.58
761,2018-12-13,22.55,22.59,22.56,22.57
760,2018-12-13,22.54,22.61,22.58,22.54
759,2018-12-13,22.52,22.56,22.56,22.56
758,2018-12-13,22.52,22.6,22.59,22.53
757,2018-12-13,22.49,22.58,22.515,22.58
756,2018-12-13,22.545,22.61,22.57,22.58
755,2018-12-13,22.55,22.6,22.55,22.6
754,2018-12-13,22.61,22.645,22.64,22.635
753,2018-12-13,22.62,22.655,22.62,22.655
752,2018-12-13,22.63,22.715,22.63,22.695
751,2018-12-13,22.655,22.725,22.68,22.665
750,2018-12-13,22.66,22.715,22.675,22.715
749,2018-12-13,22.6301,22.72,22.715,22.65
748,2018-12-13,22.64,22.71,22.64,22.7
747,2018-12-13,22.653,22.72,22.72,22.67
746,2018-12-13,22.6,22.68,22.645,22.6
745,2018-12-13,22.6,22.739,22.6,22.73
744,2018-12-13,22.62,22.73,22.73,22.66
743,2018-12-13,22.68,22.84,22.68,22.82
742,2018-12-13,22.75,22.81,22.81,22.75
741,2018-12-13,22.72,22.9,22.75,22.9
740,2018-12-12,22.73,22.83,22.74,22.83
739,2018-12-12,22.81,22.84,22.83,22.84
738,2018-12-12,22.83,22.86,22.845,22.86
737,2018-12-12,22.86,22.909,22.86,22.885
736,2018-12-12,22.81,22.88,22.88,22.82
735,2018-12-12,22.77,22.82,22.81,22.78
734,2018-12-12,22.75,22.795,22.78,22.76
733,2018-12-12,22.74,22.755,22.75,22.74
732,2018-12-12,22.735,22.775,22.735,22.76
731,2018-12-12,22.77,22.81,22.77,22.79
730,2018-12-12,22.72,22.79,22.79,22.74
729,2018-12-12,22.73,22.76,22.74,22.74
728,2018-12-12,22.735,22.76,22.76,22.735
727,2018-12-12,22.68,22.74,22.74,22.71
726,2018-12-12,22.69,22.72,22.72,22.7144
725,2018-12-12,22.675,22.73,22.71,22.73
724,2018-12-12,22.72,22.75,22.725,22.74
723,2018-12-12,22.681,22.75,22.725,22.73
722,2018-12-12,22.73,22.815,22.74,22.81
721,2018-12-12,22.79,22.835,22.81,22.83
720,2018-12-12,22.81,22.84,22.82,22.82
719,2018-12-12,22.81,22.86,22.84,22.86
718,2018-12-12,22.84,22.87,22.8552,22.85
717,2018-12-12,22.85,22.92,22.85,22.92
716,2018-12-12,22.88,22.915,22.915,22.88
715,2018-12-12,22.88,22.9,22.88,22.9
714,2018-12-12,22.84,22.89,22.89,22.84
713,2018-12-12,22.83,22.9,22.84,22.89
712,2018-12-12,22.87,22.91,22.89,22.91
711,2018-12-12,22.91,22.95,22.91,22.95
710,2018-12-12,22.92,22.94,22.94,22.93
709,2018-12-12,22.93,22.965,22.93,22.95
708,2018-12-12,22.95,23.0,22.95,22.99
707,2018-12-12,22.96,23.0,22.995,22.97
706,2018-12-12,22.97,23.01,22.97,23.01
705,2018-12-12,23.0,23.015,23.01,23.015
704,2018-12-12,22.98,23.03,23.03,22.98
703,2018-12-12,22.97,23.05,22.985,22.97
