,Date,Low,High,Close,Open
1134,2019-01-10,153.53,153.97,153.8,153.96
1133,2019-01-10,153.745,153.97,153.96,153.745
1132,2019-01-10,153.7,153.9,153.74,153.8599
1131,2019-01-10,153.61,153.88,153.86,153.64
1130,2019-01-10,153.37,153.69,153.6439,153.53
1129,2019-01-10,153.27,153.62,153.54,153.54
1128,2019-01-10,153.42,153.61,153.55,153.501
1127,2019-01-10,153.1,153.59,153.51,153.1
1126,2019-01-10,153.05,153.29,153.1002,153.29
1125,2019-01-10,153.0,153.3,153.26,153.11
1124,2019-01-10,153.07,153.3,153.1031,153.28
1123,2019-01-10,153.12,153.36,153.26,153.1401
1122,2019-01-10,152.85,153.22,153.19,152.93
1121,2019-01-10,152.9,153.08,152.95,152.99
1120,2019-01-10,152.9344,153.2,152.99,153.2
1119,2019-01-10,152.9,153.28,153.17,152.9
1118,2019-01-10,152.77,153.0199,152.9,152.91
1117,2019-01-10,152.92,153.1,152.95,153.08
1116,2019-01-10,153.075,153.33,153.075,153.33
1115,2019-01-10,153.24,153.54,153.2894,153.46
1114,2019-01-10,153.32,153.46,153.44,153.3224
1113,2019-01-10,153.19,153.45,153.31,153.29
1112,2019-01-10,152.99,153.3,153.2719,152.99
1111,2019-01-10,152.74,152.99,152.9827,152.74
1110,2019-01-10,152.52,152.77,152.77,152.52
1109,2019-01-10,152.45,152.7321,152.53,152.57
1108,2019-01-10,152.36,152.6,152.56,152.5
1107,2019-01-10,152.46,152.7,152.53,152.7
1106,2019-01-10,152.58,152.88,152.69,152.83
1105,2019-01-10,152.64,152.95,152.88,152.84
1104,2019-01-10,152.63,152.86,152.79,152.64
1103,2019-01-10,152.43,152.76,152.69,152.59
1102,2019-01-10,152.31,152.65,152.6,152.57
1101,2019-01-10,152.42,152.67,152.55,152.47
1100,2019-01-10,152.4,153.12,152.47,153.09
1099,2019-01-10,153.03,153.45,153.075,153.45
1098,2019-01-10,153.39,153.58,153.44,153.53
1097,2019-01-10,153.284,153.64,153.52,153.36
1096,2019-01-10,153.03,153.48,153.385,153.0752
1095,2019-01-10,152.84,153.17,153.07,153.17
1094,2019-01-10,152.95,153.2032,153.15,153.02
1093,2019-01-10,153.0,153.13,153.0203,153.11
1092,2019-01-10,152.99,153.24,153.0854,153.16
1091,2019-01-10,152.9,153.21,153.17,152.96
1090,2019-01-10,152.83,153.08,152.98,152.83
1089,2019-01-10,152.73,152.94,152.82,152.78
1088,2019-01-10,152.7,152.93,152.82,152.79
1087,2019-01-10,152.67,153.1301,152.76,152.985
1086,2019-01-10,152.59,153.06,153.01,152.66
1085,2019-01-10,152.47,152.67,152.66,152.52
1084,2019-01-10,152.4464,152.63,152.53,152.61
1083,2019-01-10,152.43,152.75,152.5819,152.72
1082,2019-01-10,152.5461,152.825,152.74,152.5461
1081,2019-01-10,152.2072,152.55,152.53,152.2072
