,Date,Low,High,Close,Open
1134,2019-01-10,2.045,2.06,2.06,2.05
1133,2019-01-10,2.04,2.05,2.05,2.045
1132,2019-01-10,2.04,2.05,2.05,2.045
1131,2019-01-10,2.04,2.05,2.045,2.04
1130,2019-01-10,2.04,2.05,2.04,2.0423
1129,2019-01-10,2.04,2.06,2.05,2.05
1128,2019-01-10,2.05,2.06,2.055,2.055
1127,2019-01-10,2.05,2.07,2.05,2.07
1126,2019-01-10,2.0623,2.07,2.07,2.07
1125,2019-01-10,2.04,2.07,2.07,2.04
1124,2019-01-10,2.03,2.04,2.04,2.03
1123,2019-01-10,2.03,2.03,2.03,2.03
1122,2019-01-10,2.03,2.04,2.04,2.03
1121,2019-01-10,2.03,2.05,2.03,2.04
1120,2019-01-10,2.04,2.04,2.04,2.04
1119,2019-01-10,2.04,2.0499,2.0499,2.04
1118,2019-01-10,2.04,2.05,2.04,2.04
1117,2019-01-10,2.04,2.05,2.0433,2.04
1116,2019-01-10,2.03,2.0332,2.0332,2.03
1115,2019-01-10,2.03,2.03,2.03,2.03
1114,2019-01-10,2.035,2.04,2.04,2.04
1113,2019-01-10,2.04,2.05,2.04,2.05
1112,2019-01-10,2.04,2.05,2.05,2.04
1111,2019-01-10,2.02,2.03,2.03,2.02
1110,2019-01-10,2.01,2.02,2.02,2.01
1109,2019-01-10,2.01,2.02,2.02,2.01
1108,2019-01-10,2.0,2.01,2.01,2.0
1107,2019-01-10,2.0,2.01,2.01,2.0
1106,2019-01-10,2.0,2.01,2.0,2.01
1105,2019-01-10,2.0,2.01,2.005,2.01
1104,2019-01-10,2.01,2.02,2.02,2.01
1103,2019-01-10,2.01,2.02,2.02,2.02
1102,2019-01-10,2.02,2.03,2.03,2.03
1101,2019-01-10,2.025,2.04,2.03,2.04
1100,2019-01-10,2.02,2.04,2.03,2.04
1099,2019-01-10,2.04,2.04,2.04,2.04
1098,2019-01-10,2.04,2.06,2.05,2.06
1097,2019-01-10,2.05,2.05,2.05,2.05
1096,2019-01-10,2.05,2.05,2.05,2.05
1095,2019-01-10,2.05,2.06,2.05,2.06
1094,2019-01-10,2.05,2.065,2.055,2.05
1093,2019-01-10,2.03,2.04,2.03,2.03
1092,2019-01-10,2.03,2.04,2.03,2.04
1091,2019-01-10,2.03,2.04,2.03,2.03
1090,2019-01-10,2.04,2.04,2.04,2.04
1089,2019-01-10,2.03,2.04,2.035,2.04
1088,2019-01-10,2.03,2.03,2.03,2.03
1087,2019-01-10,2.04,2.05,2.04,2.05
1086,2019-01-10,2.04,2.0515,2.0515,2.05
1085,2019-01-10,2.04,2.04,2.04,2.04
1084,2019-01-10,2.03,2.04,2.03,2.03
1083,2019-01-10,2.02,2.05,2.03,2.02
1082,2019-01-10,2.01,2.02,2.02,2.01
1081,2019-01-10,2.0,2.0,2.0,2.0
1080,2019-01-10,2.0,2.01,2.0,2.01
1079,2019-01-10,2.01,2.015,2.015,2.01
1078,2019-01-10,2.02,2.02,2.02,2.02
1077,2019-01-10,2.0099,2.0265,2.02,2.0099
1076,2019-01-10,2.0078,2.025,2.0078,2.025
1075,2019-01-10,2.02,2.04,2.025,2.04
1074,2019-01-10,2.0246,2.0322,2.0322,2.0246
1073,2019-01-10,2.0,2.03,2.02,2.0
1072,2019-01-10,1.99,1.995,1.99,1.995
1071,2019-01-10,2.0,2.005,2.0,2.005
1070,2019-01-10,2.0,2.01,2.0,2.01
