,Date,Low,High,Close,Open
1134,2019-01-10,237.5301,238.04,237.66,237.93
1133,2019-01-10,237.6,237.92,237.92,237.6
1132,2019-01-10,237.54,237.87,237.57,237.68
1131,2019-01-10,237.11,237.76,237.73,237.17
1130,2019-01-10,236.88,237.27,237.17,237.04
1129,2019-01-10,236.66,237.16,237.07,237.12
1128,2019-01-10,237.07,237.27,237.09,237.19
1127,2019-01-10,236.89,237.23,237.15,236.89
1126,2019-01-10,236.76,236.92,236.86,236.885
1125,2019-01-10,236.26,237.04,237.02,236.26
1124,2019-01-10,236.37,236.64,236.45,236.405
1123,2019-01-10,236.26,236.65,236.5,236.34
1122,2019-01-10,235.84,236.32,236.32,235.94
1121,2019-01-10,235.89,236.03,235.96,235.975
1120,2019-01-10,235.95,236.625,236.06,236.625
1119,2019-01-10,236.2997,236.65,236.65,236.42
1118,2019-01-10,236.5,236.82,236.5,236.6
1117,2019-01-10,236.73,236.91,236.87,236.86
1116,2019-01-10,236.62,236.95,236.755,236.95
1115,2019-01-10,236.91,237.32,236.91,237.15
1114,2019-01-10,236.77,237.08,237.08,236.87
1113,2019-01-10,236.65,236.94,236.83,236.65
1112,2019-01-10,236.17,236.6699,236.64,236.25
1111,2019-01-10,235.71,236.125,236.03,235.71
1110,2019-01-10,235.39,235.62,235.62,235.43
1109,2019-01-10,235.3,235.66,235.3,235.49
1108,2019-01-10,235.13,235.47,235.47,235.13
1107,2019-01-10,234.75,235.27,235.03,235.27
1106,2019-01-10,235.25,235.71,235.25,235.55
1105,2019-01-10,235.47,235.96,235.575,235.96
1104,2019-01-10,235.61,236.155,235.91,235.61
1103,2019-01-10,234.99,235.76,235.67,235.15
1102,2019-01-10,234.83,235.17,235.17,234.83
1101,2019-01-10,235.0,235.24,235.13,235.0
1100,2019-01-10,234.91,235.9,234.91,235.87
1099,2019-01-10,235.7,235.89,235.7,235.78
1098,2019-01-10,235.79,236.0,235.87,236.0
1097,2019-01-10,236.0,236.49,236.0,236.1125
1096,2019-01-10,235.64,236.22,236.19,235.6709
1095,2019-01-10,235.36,235.77,235.55,235.77
1094,2019-01-10,235.34,235.9,235.79,235.34
1093,2019-01-10,235.225,235.51,235.49,235.2801
1092,2019-01-10,235.11,235.42,235.35,235.18
1091,2019-01-10,234.89,235.28,235.28,234.89
1090,2019-01-10,235.02,235.32,235.15,235.32
1089,2019-01-10,234.955,235.43,235.12,235.43
1088,2019-01-10,235.21,235.5,235.33,235.21
1087,2019-01-10,235.1883,235.66,235.38,235.1883
1086,2019-01-10,234.65,235.33,235.33,235.0
1085,2019-01-10,234.55,234.9178,234.86,234.69
1084,2019-01-10,234.47,234.8,234.75,234.8
1083,2019-01-10,234.76,234.99,234.77,234.99
1082,2019-01-10,234.9175,235.18,234.97,234.9175
1081,2019-01-10,234.49,234.75,234.75,234.61
1080,2019-01-10,234.55,234.93,234.7,234.93
1079,2019-01-10,234.8,235.41,235.15,235.0
1078,2019-01-10,235.02,236.13,235.02,235.65
1077,2019-01-10,235.2975,235.875,235.84,235.4783
1076,2019-01-10,235.2,235.86,235.86,235.2
1075,2019-01-10,234.73,234.95,234.95,234.87
1074,2019-01-10,234.965,235.42,235.0,234.97
1073,2019-01-10,234.955,235.28,235.05,235.24
1072,2019-01-10,234.63,235.09,235.09,234.7
1071,2019-01-10,234.71,234.89,234.85,234.83
1070,2019-01-10,234.74,235.215,234.98,234.92
1069,2019-01-10,234.495,234.87,234.71,234.87
1068,2019-01-10,234.1837,234.955,234.955,234.2288
1067,2019-01-10,233.08,234.05,234.025,233.08
1066,2019-01-10,233.0,233.45,233.2,233.45
1065,2019-01-10,233.55,234.0,233.55,234.0
1064,2019-01-10,233.341,233.8399,233.674,233.45
1063,2019-01-10,232.85,233.51,233.5,232.85
1062,2019-01-10,231.86,232.87,232.86,232.36
1061,2019-01-10,232.58,233.545,232.58,233.545
1060,2019-01-10,232.67,233.58,233.58,233.2
1059,2019-01-10,233.115,234.4,233.4079,234.09
1058,2019-01-10,233.365,234.44,234.21,233.435
1057,2019-01-10,233.01,233.68,233.3,233.45
1056,2019-01-09,234.24,235.45,235.44,234.32
1055,2019-01-09,234.25,234.74,234.34,234.74
1054,2019-01-09,234.43,235.01,234.74,235.01
1053,2019-01-09,234.89,235.3,235.05,235.3
1052,2019-01-09,235.18,235.78,235.27,235.78
1051,2019-01-09,235.68,236.0944,235.84,235.96
1050,2019-01-09,235.75,236.18,235.93,236.11
1049,2019-01-09,236.15,236.5,236.16,236.38
1048,2019-01-09,236.11,236.5,236.33,236.11
1047,2019-01-09,236.14,236.38,236.19,236.37
1046,2019-01-09,235.97,236.26,236.22,236.07
1045,2019-01-09,235.96,236.17,236.07,235.96
1044,2019-01-09,235.94,236.3605,235.94,236.3605
1043,2019-01-09,236.2,236.4,236.32,236.4
1042,2019-01-09,236.19,236.462,236.46,236.2
1041,2019-01-09,235.8,236.2891,236.25,235.8
1040,2019-01-09,235.54,235.8756,235.8756,235.74
1039,2019-01-09,235.37,235.93,235.6332,235.64
1038,2019-01-09,235.43,235.89,235.81,235.43
1037,2019-01-09,235.26,235.885,235.31,235.58
1036,2019-01-09,235.67,236.585,235.67,236.585
1035,2019-01-09,236.5401,237.62,236.58,237.62
1034,2019-01-09,237.36,237.7137,237.68,237.43
1033,2019-01-09,237.01,237.69,237.0954,237.13
1032,2019-01-09,236.81,237.05,236.9572,236.865
1031,2019-01-09,236.7,237.1015,236.8599,237.1015
1030,2019-01-09,237.01,237.3596,237.05,237.3596
1029,2019-01-09,237.22,237.5003,237.36,237.22
