,Date,Low,High,Close,Open
1134,2019-01-10,34.74,34.82,34.76,34.81
1133,2019-01-10,34.775,34.82,34.815,34.775
1132,2019-01-10,34.76,34.8,34.77,34.775
1131,2019-01-10,34.75,34.82,34.78,34.78
1130,2019-01-10,34.73,34.78,34.77,34.73
1129,2019-01-10,34.655,34.745,34.735,34.71
1128,2019-01-10,34.7,34.76,34.7059,34.73
1127,2019-01-10,34.701,34.74,34.735,34.71
1126,2019-01-10,34.695,34.73,34.705,34.72
1125,2019-01-10,34.62,34.71,34.71,34.65
1124,2019-01-10,34.64,34.71,34.66,34.71
1123,2019-01-10,34.675,34.725,34.71,34.69
1122,2019-01-10,34.62,34.69,34.69,34.63
1121,2019-01-10,34.61,34.65,34.64,34.64
1120,2019-01-10,34.635,34.73,34.65,34.73
1119,2019-01-10,34.6501,34.745,34.735,34.66
1118,2019-01-10,34.655,34.71,34.655,34.68
1117,2019-01-10,34.62,34.69,34.685,34.645
1116,2019-01-10,34.65,34.68,34.65,34.68
1115,2019-01-10,34.63,34.69,34.68,34.6464
1114,2019-01-10,34.57,34.64,34.64,34.58
1113,2019-01-10,34.56,34.63,34.57,34.59
1112,2019-01-10,34.5,34.57,34.56,34.5
1111,2019-01-10,34.48,34.51,34.49,34.48
1110,2019-01-10,34.44,34.48,34.47,34.45
1109,2019-01-10,34.45,34.51,34.455,34.48
1108,2019-01-10,34.38,34.47,34.47,34.38
1107,2019-01-10,34.34,34.41,34.37,34.41
1106,2019-01-10,34.38,34.45,34.42,34.425
1105,2019-01-10,34.36,34.46,34.42,34.44
1104,2019-01-10,34.39,34.44,34.43,34.39
1103,2019-01-10,34.36,34.4,34.4,34.4
1102,2019-01-10,34.37,34.42,34.41,34.42
1101,2019-01-10,34.44,34.48,34.44,34.47
1100,2019-01-10,34.455,34.635,34.455,34.62
1099,2019-01-10,34.58,34.66,34.6014,34.65
1098,2019-01-10,34.6453,34.67,34.655,34.665
1097,2019-01-10,34.63,34.72,34.69,34.64
1096,2019-01-10,34.56,34.68,34.64,34.56
1095,2019-01-10,34.535,34.6256,34.5567,34.6256
1094,2019-01-10,34.6,34.645,34.62,34.609
1093,2019-01-10,34.575,34.64,34.62,34.58
1092,2019-01-10,34.5,34.58,34.58,34.52
1091,2019-01-10,34.47,34.51,34.5,34.47
1090,2019-01-10,34.49,34.53,34.51,34.5
1089,2019-01-10,34.43,34.4801,34.48,34.45
1088,2019-01-10,34.45,34.48,34.45,34.46
1087,2019-01-10,34.47,34.58,34.47,34.55
1086,2019-01-10,34.475,34.58,34.57,34.54
1085,2019-01-10,34.45,34.55,34.51,34.48
1084,2019-01-10,34.46,34.505,34.495,34.465
1083,2019-01-10,34.47,34.59,34.47,34.57
1082,2019-01-10,34.52,34.57,34.55,34.52
1081,2019-01-10,34.43,34.53,34.51,34.43
1080,2019-01-10,34.43,34.49,34.43,34.48
1079,2019-01-10,34.48,34.56,34.48,34.52
1078,2019-01-10,34.5499,34.63,34.55,34.63
1077,2019-01-10,34.6,34.765,34.7,34.64
1076,2019-01-10,34.63,34.68,34.64,34.66
1075,2019-01-10,34.58,34.655,34.65,34.6001
1074,2019-01-10,34.61,34.67,34.65,34.61
1073,2019-01-10,34.59,34.67,34.635,34.59
1072,2019-01-10,34.5,34.565,34.565,34.53
1071,2019-01-10,34.53,34.58,34.56,34.55
1070,2019-01-10,34.52,34.6,34.59,34.6
1069,2019-01-10,34.54,34.61,34.6,34.57
1068,2019-01-10,34.5,34.6084,34.57,34.6
1067,2019-01-10,34.51,34.595,34.595,34.51
1066,2019-01-10,34.46,34.5534,34.5242,34.55
1065,2019-01-10,34.5389,34.66,34.55,34.64
1064,2019-01-10,34.4259,34.63,34.61,34.4259
1063,2019-01-10,34.3,34.539,34.45,34.32
1062,2019-01-10,34.15,34.305,34.305,34.23
1061,2019-01-10,34.09,34.25,34.25,34.09
1060,2019-01-10,34.05,34.16,34.1401,34.05
1059,2019-01-10,34.025,34.15,34.08,34.15
1058,2019-01-10,34.05,34.24,34.17,34.08
1057,2019-01-10,33.92,34.13,34.13,34.0
1056,2019-01-09,34.245,34.305,34.305,34.25
1055,2019-01-09,34.25,34.34,34.26,34.33
1054,2019-01-09,34.33,34.38,34.335,34.37
1053,2019-01-09,34.315,34.38,34.38,34.37
1052,2019-01-09,34.35,34.45,34.36,34.45
1051,2019-01-09,34.41,34.4616,34.44,34.4616
1050,2019-01-09,34.44,34.49,34.46,34.45
1049,2019-01-09,34.45,34.49,34.46,34.46
1048,2019-01-09,34.44,34.5,34.46,34.44
1047,2019-01-09,34.445,34.51,34.445,34.46
1046,2019-01-09,34.43,34.485,34.47,34.485
1045,2019-01-09,34.43,34.4999,34.48,34.435
1044,2019-01-09,34.445,34.48,34.445,34.48
1043,2019-01-09,34.475,34.53,34.48,34.525
1042,2019-01-09,34.47,34.525,34.52,34.49
1041,2019-01-09,34.39,34.49,34.49,34.42
1040,2019-01-09,34.39,34.43,34.42,34.43
1039,2019-01-09,34.35,34.44,34.43,34.39
1038,2019-01-09,34.32,34.4,34.38,34.32
1037,2019-01-09,34.29,34.35,34.32,34.33
1036,2019-01-09,34.35,34.51,34.36,34.51
1035,2019-01-09,34.49,34.59,34.5,34.59
1034,2019-01-09,34.49,34.61,34.6,34.505
1033,2019-01-09,34.47,34.65,34.5,34.54
1032,2019-01-09,34.48,34.56,34.54,34.49
1031,2019-01-09,34.41,34.49,34.48,34.47
1030,2019-01-09,34.46,34.59,34.475,34.57
1029,2019-01-09,34.565,34.61,34.5659,34.6
1028,2019-01-09,34.57,34.61,34.59,34.6
1027,2019-01-09,34.58,34.6599,34.59,34.63
1026,2019-01-09,34.61,34.66,34.62,34.66
1025,2019-01-09,34.65,34.78,34.6685,34.77
1024,2019-01-09,34.77,34.82,34.775,34.8
1023,2019-01-09,34.78,34.8383,34.8,34.79
1022,2019-01-09,34.725,34.81,34.81,34.81
