,Date,Low,High,Close,Open
1134,2019-01-10,18.21,18.43,18.355,18.26
1133,2019-01-10,18.21,18.4,18.2601,18.215
1132,2019-01-10,18.21,18.4827,18.22,18.44
1131,2019-01-10,18.41,18.5901,18.44,18.52
1130,2019-01-10,18.27,18.62,18.51,18.6063
1129,2019-01-10,18.57,18.66,18.61,18.58
1128,2019-01-10,18.47,18.68,18.58,18.475
1127,2019-01-10,18.37,18.61,18.47,18.59
1126,2019-01-10,18.52,18.745,18.59,18.69
1125,2019-01-10,18.27,18.72,18.68,18.4023
1124,2019-01-10,18.291,18.47,18.39,18.35
1123,2019-01-10,18.1877,18.4,18.35,18.2401
1122,2019-01-10,18.195,18.29,18.239,18.29
1121,2019-01-10,18.07,18.29,18.28,18.09
1120,2019-01-10,18.07,18.3568,18.0794,18.345
1119,2019-01-10,18.25,18.3775,18.3499,18.35
1118,2019-01-10,18.105,18.41,18.3507,18.41
1117,2019-01-10,18.15,18.4199,18.4,18.1569
1116,2019-01-10,18.06,18.1984,18.15,18.12
1115,2019-01-10,18.01,18.11,18.1,18.05
1114,2019-01-10,17.89,18.08,18.07,17.89
1113,2019-01-10,17.86,17.95,17.89,17.9401
1112,2019-01-10,17.81,17.97,17.95,17.825
1111,2019-01-10,17.7401,17.89,17.7925,17.76
1110,2019-01-10,17.67,17.79,17.7899,17.6818
1109,2019-01-10,17.6,17.72,17.6641,17.62
1108,2019-01-10,17.42,17.64,17.62,17.48
1107,2019-01-10,17.49,17.6211,17.5,17.62
1106,2019-01-10,17.47,17.62,17.61,17.47
1105,2019-01-10,17.47,17.58,17.5001,17.51
1104,2019-01-10,17.48,17.56,17.52,17.48
1103,2019-01-10,17.36,17.47,17.47,17.36
1102,2019-01-10,17.28,17.4,17.36,17.38
1101,2019-01-10,17.35,17.45,17.41,17.43
1100,2019-01-10,17.3701,17.62,17.41,17.62
1099,2019-01-10,17.4864,17.6401,17.62,17.51
1098,2019-01-10,17.4267,17.61,17.51,17.6
1097,2019-01-10,17.51,17.66,17.61,17.52
1096,2019-01-10,17.315,17.53,17.5,17.32
1095,2019-01-10,17.28,17.58,17.31,17.58
1094,2019-01-10,17.36,17.6,17.59,17.42
1093,2019-01-10,17.3,17.47,17.42,17.35
1092,2019-01-10,17.23,17.4,17.35,17.26
1091,2019-01-10,17.16,17.46,17.27,17.4
1090,2019-01-10,17.26,17.4,17.366,17.4
1089,2019-01-10,17.24,17.735,17.38,17.735
1088,2019-01-10,17.65,17.92,17.7536,17.71
1087,2019-01-10,17.69,17.85,17.75,17.72
1086,2019-01-10,17.56,17.749,17.72,17.7
1085,2019-01-10,17.4248,17.7,17.7,17.51
1084,2019-01-10,17.33,17.59,17.4801,17.33
1083,2019-01-10,17.23,17.3,17.29,17.23
1082,2019-01-10,17.2,17.3039,17.22,17.3
1081,2019-01-10,17.15,17.34,17.3,17.16
1080,2019-01-10,17.06,17.19,17.15,17.145
1079,2019-01-10,17.125,17.29,17.14,17.24
1078,2019-01-10,17.13,17.4399,17.25,17.35
1077,2019-01-10,17.11,17.44,17.38,17.14
1076,2019-01-10,16.99,17.1901,17.1298,16.99
1075,2019-01-10,16.84,17.16,16.97,17.15
1074,2019-01-10,17.03,17.43,17.12,17.03
1073,2019-01-10,16.96,17.18,17.01,17.07
1072,2019-01-10,16.92,17.32,17.08,17.0513
1071,2019-01-10,16.815,17.21,17.05,16.91
1070,2019-01-10,16.32,16.91,16.91,16.37
1069,2019-01-10,15.86,16.4718,16.36,15.86
1068,2019-01-10,15.82,16.2027,15.82,16.09
1067,2019-01-10,15.58,15.99,15.98,15.6
1066,2019-01-10,15.25,15.62,15.59,15.25
1065,2019-01-10,15.2,15.33,15.27,15.22
1064,2019-01-10,14.88,15.31,15.26,14.99
1063,2019-01-10,14.69,15.06,15.06,14.73
1062,2019-01-10,14.48,14.74,14.73,14.705
1061,2019-01-10,14.61,14.75,14.71,14.64
1060,2019-01-10,14.58,14.84,14.59,14.7
1059,2019-01-10,14.43,15.14,14.71,15.099
1058,2019-01-10,14.86,15.26,15.06,14.86
1057,2019-01-10,14.8069,15.2714,14.9949,15.26
1056,2019-01-09,15.02,15.11,15.04,15.08
1055,2019-01-09,15.04,15.23,15.09,15.2
1054,2019-01-09,15.17,15.4,15.219,15.4
1053,2019-01-09,15.4037,15.64,15.4037,15.64
1052,2019-01-09,15.59,15.67,15.64,15.67
1051,2019-01-09,15.625,15.73,15.69,15.73
1050,2019-01-09,15.71,15.78,15.725,15.72
1049,2019-01-09,15.65,15.75,15.73,15.7324
1048,2019-01-09,15.61,15.73,15.73,15.61
1047,2019-01-09,15.54,15.62,15.62,15.5597
1046,2019-01-09,15.44,15.5908,15.54,15.455
1045,2019-01-09,15.45,15.485,15.45,15.47
1044,2019-01-09,15.37,15.48,15.48,15.46
1043,2019-01-09,15.41,15.625,15.46,15.6
1042,2019-01-09,15.5005,15.59,15.59,15.56
1041,2019-01-09,15.365,15.59,15.56,15.389
1040,2019-01-09,15.31,15.42,15.39,15.38
1039,2019-01-09,15.28,15.42,15.3555,15.41
1038,2019-01-09,15.4,15.4799,15.43,15.43
1037,2019-01-09,15.38,15.51,15.43,15.39
1036,2019-01-09,15.3655,15.47,15.38,15.37
1035,2019-01-09,15.2699,15.36,15.36,15.2699
1034,2019-01-09,15.255,15.33,15.255,15.27
1033,2019-01-09,15.14,15.25,15.25,15.14
1032,2019-01-09,15.13,15.26,15.135,15.25
1031,2019-01-09,15.22,15.26,15.2402,15.24
1030,2019-01-09,15.13,15.3,15.2799,15.19
1029,2019-01-09,15.08,15.16,15.16,15.08
1028,2019-01-09,15.083,15.17,15.085,15.13
1027,2019-01-09,15.05,15.1285,15.1285,15.05
1026,2019-01-09,15.01,15.09,15.055,15.05
1025,2019-01-09,15.05,15.16,15.055,15.15
1024,2019-01-09,15.13,15.189,15.17,15.16
1023,2019-01-09,14.9699,15.17,15.17,14.97
1022,2019-01-09,14.97,15.35,14.975,15.35
1021,2019-01-09,15.32,15.3601,15.35,15.34
1020,2019-01-09,15.29,15.51,15.34,15.3991
1019,2019-01-09,15.34,15.4399,15.41,15.38
1018,2019-01-09,15.31,15.4,15.35,15.34
1017,2019-01-09,15.2361,15.3399,15.3399,15.24
1016,2019-01-09,15.21,15.31,15.24,15.24
1015,2019-01-09,15.095,15.234,15.225,15.2
1014,2019-01-09,15.21,15.25,15.21,15.245
1013,2019-01-09,15.22,15.2669,15.25,15.25
1012,2019-01-09,15.23,15.2972,15.25,15.25
1011,2019-01-09,15.17,15.26,15.22,15.19
1010,2019-01-09,15.15,15.29,15.18,15.25
1009,2019-01-09,15.08,15.25,15.25,15.08
1008,2019-01-09,15.0964,15.18,15.1,15.17
1007,2019-01-09,15.0599,15.28,15.1576,15.07
1006,2019-01-09,14.9585,15.09,15.09,14.9585
1005,2019-01-09,14.88,14.95,14.95,14.89
1004,2019-01-09,14.795,14.9,14.87,14.9
1003,2019-01-09,14.85,14.89,14.87,14.87
1002,2019-01-09,14.835,14.9,14.9,14.9
1001,2019-01-09,14.87,14.97,14.88,14.97
1000,2019-01-09,14.79,15.03,14.99,14.79
999,2019-01-09,14.66,14.81,14.81,14.66
998,2019-01-09,14.655,14.7,14.68,14.7
997,2019-01-09,14.64,14.73,14.72,14.64
996,2019-01-09,14.57,14.6299,14.6299,14.6035
995,2019-01-09,14.51,14.62,14.62,14.5436
994,2019-01-09,14.445,14.55,14.55,14.5
993,2019-01-09,14.52,14.62,14.52,14.58
992,2019-01-09,14.58,14.665,14.5812,14.5846
991,2019-01-09,14.52,14.62,14.587,14.55
990,2019-01-09,14.465,14.57,14.555,14.515
989,2019-01-09,14.46,14.54,14.51,14.54
988,2019-01-09,14.5201,14.68,14.55,14.62
987,2019-01-09,14.33,14.6,14.6,14.36
986,2019-01-09,14.3302,14.47,14.3769,14.4
985,2019-01-09,14.2099,14.41,14.41,14.2099
984,2019-01-09,14.11,14.2,14.2,14.17
983,2019-01-09,14.1,14.16,14.16,14.12
982,2019-01-09,14.05,14.13,14.13,14.06
981,2019-01-09,14.0,14.12,14.0799,14.11
980,2019-01-09,14.04,14.17,14.14,14.04
979,2019-01-09,13.9,14.06,14.02,14.06
978,2019-01-08,13.91,13.99,13.93,13.92
977,2019-01-08,13.88,13.95,13.915,13.91
976,2019-01-08,13.875,13.905,13.8946,13.88
975,2019-01-08,13.85,13.875,13.875,13.87
974,2019-01-08,13.86,13.875,13.87,13.865
973,2019-01-08,13.833,13.87,13.87,13.833
972,2019-01-08,13.81,13.8444,13.84,13.8444
971,2019-01-08,13.83,13.92,13.84,13.92
970,2019-01-08,13.9,13.94,13.92,13.94
969,2019-01-08,13.91,13.96,13.955,13.955
968,2019-01-08,13.935,13.9855,13.96,13.9855
967,2019-01-08,13.91,13.99,13.98,13.95
966,2019-01-08,13.95,13.985,13.95,13.985
965,2019-01-08,13.96,13.99,13.98,13.975
964,2019-01-08,13.95,13.995,13.9771,13.98
963,2019-01-08,13.98,14.02,13.985,14.02
962,2019-01-08,13.98,14.02,14.015,14.0173
961,2019-01-08,14.01,14.0899,14.015,14.0884
960,2019-01-08,14.02,14.12,14.085,14.025
959,2019-01-08,13.99,14.03,14.025,14.0
958,2019-01-08,13.93,14.0,13.995,14.0
957,2019-01-08,13.98,14.03,14.005,14.01
956,2019-01-08,13.995,14.06,14.02,14.045
955,2019-01-08,13.97,14.05,14.04,14.0
954,2019-01-08,13.995,14.04,14.01,14.01
953,2019-01-08,13.99,14.05,14.01,13.995
952,2019-01-08,13.94,13.99,13.99,13.95
951,2019-01-08,13.93,13.97,13.95,13.9699
950,2019-01-08,13.96,14.04,13.96,14.03
949,2019-01-08,13.99,14.09,14.025,14.01
948,2019-01-08,14.01,14.07,14.015,14.01
947,2019-01-08,13.9819,14.06,14.01,13.9819
946,2019-01-08,13.895,14.01,13.99,13.95
945,2019-01-08,13.94,14.03,13.95,14.03
944,2019-01-08,13.98,14.0899,14.0201,14.05
943,2019-01-08,13.975,14.18,14.06,13.975
942,2019-01-08,13.77,13.981,13.97,13.79
941,2019-01-08,13.6972,13.82,13.805,13.735
940,2019-01-08,13.74,13.88,13.76,13.82
939,2019-01-08,13.7279,13.815,13.815,13.7279
938,2019-01-08,13.71,13.73,13.715,13.7101
937,2019-01-08,13.7,13.75,13.7101,13.7
936,2019-01-08,13.705,13.75,13.71,13.75
935,2019-01-08,13.665,13.74,13.74,13.6829
934,2019-01-08,13.5693,13.68,13.67,13.57
933,2019-01-08,13.56,13.59,13.585,13.58
932,2019-01-08,13.58,13.6088,13.58,13.6
931,2019-01-08,13.57,13.71,13.62,13.71
930,2019-01-08,13.6,13.71,13.67,13.625
929,2019-01-08,13.5033,13.6677,13.61,13.5033
928,2019-01-08,13.45,13.52,13.52,13.45
927,2019-01-08,13.395,13.44,13.44,13.395
926,2019-01-08,13.36,13.41,13.41,13.36
925,2019-01-08,13.3183,13.4,13.35,13.4
924,2019-01-08,13.43,13.5,13.455,13.46
923,2019-01-08,13.42,13.57,13.44,13.56
922,2019-01-08,13.47,13.6,13.56,13.47
921,2019-01-08,13.4146,13.48,13.455,13.4146
920,2019-01-08,13.35,13.44,13.42,13.4
919,2019-01-08,13.26,13.43,13.43,13.29
918,2019-01-08,13.16,13.3,13.27,13.2234
917,2019-01-08,13.2,13.3,13.25,13.3
916,2019-01-08,13.24,13.37,13.29,13.36
915,2019-01-08,13.35,13.43,13.37,13.42
914,2019-01-08,13.4,13.46,13.43,13.4515
913,2019-01-08,13.42,13.51,13.46,13.46
912,2019-01-08,13.43,13.535,13.44,13.43
911,2019-01-08,13.4,13.56,13.5,13.43
910,2019-01-08,13.37,13.445,13.44,13.445
909,2019-01-08,13.4323,13.67,13.45,13.67
908,2019-01-08,13.67,13.815,13.67,13.79
907,2019-01-08,13.7,13.8,13.8,13.7099
906,2019-01-08,13.7037,13.86,13.7037,13.845
905,2019-01-08,13.78,13.9,13.8799,13.9
904,2019-01-08,13.92,14.13,13.92,14.085
903,2019-01-08,13.95,14.17,14.14,13.99
902,2019-01-08,14.0101,14.19,14.0184,14.18
901,2019-01-08,14.08,14.2,14.19,14.16
900,2019-01-07,14.05,14.145,14.08,14.11
899,2019-01-07,14.045,14.11,14.1,14.08
898,2019-01-07,13.96,14.1,14.07,13.98
897,2019-01-07,13.9601,14.01,13.9799,14.0
896,2019-01-07,13.989,14.06,14.0001,14.01
895,2019-01-07,13.96,14.025,14.0,14.01
894,2019-01-07,13.93,14.04,14.01,13.935
893,2019-01-07,13.9,13.95,13.93,13.91
892,2019-01-07,13.88,13.93,13.92,13.929
891,2019-01-07,13.92,13.95,13.94,13.93
890,2019-01-07,13.92,13.95,13.925,13.95
889,2019-01-07,13.855,13.95,13.95,13.86
888,2019-01-07,13.8537,13.94,13.86,13.905
887,2019-01-07,13.9,13.945,13.9,13.945
886,2019-01-07,13.935,14.01,13.96,13.935
885,2019-01-07,13.93,13.97,13.965,13.937
884,2019-01-07,13.94,13.9738,13.95,13.97
883,2019-01-07,13.94,13.98,13.97,13.9799
882,2019-01-07,13.91,13.985,13.985,13.9144
881,2019-01-07,13.91,13.955,13.92,13.9399
880,2019-01-07,13.89,13.98,13.98,13.9
879,2019-01-07,13.886,13.94,13.9068,13.9
878,2019-01-07,13.9,13.98,13.92,13.977
877,2019-01-07,13.92,13.98,13.96,13.92
876,2019-01-07,13.95,14.02,13.95,14.01
875,2019-01-07,14.01,14.03,14.01,14.0299
874,2019-01-07,14.0489,14.11,14.054,14.11
873,2019-01-07,14.08,14.11,14.1,14.0962
872,2019-01-07,14.06,14.1099,14.105,14.09
871,2019-01-07,14.09,14.1794,14.09,14.1794
870,2019-01-07,14.16,14.2252,14.17,14.223
869,2019-01-07,14.19,14.25,14.23,14.25
868,2019-01-07,14.13,14.24,14.23,14.14
867,2019-01-07,14.03,14.1363,14.13,14.03
866,2019-01-07,14.01,14.03,14.03,14.01
865,2019-01-07,14.0004,14.03,14.0004,14.03
864,2019-01-07,14.01,14.0316,14.01,14.02
863,2019-01-07,13.99,14.055,14.04,14.01
862,2019-01-07,13.9838,14.08,13.99,14.08
861,2019-01-07,14.07,14.105,14.09,14.09
860,2019-01-07,14.07,14.1772,14.11,14.17
859,2019-01-07,14.11,14.19,14.17,14.18
858,2019-01-07,14.15,14.1879,14.171,14.15
857,2019-01-07,14.08,14.17,14.16,14.08
856,2019-01-07,14.05,14.09,14.0701,14.0701
855,2019-01-07,13.99,14.09,14.08,14.06
854,2019-01-07,14.05,14.15,14.061,14.12
853,2019-01-07,14.06,14.15,14.1095,14.13
852,2019-01-07,13.9473,14.13,14.12,13.9473
851,2019-01-07,13.93,13.98,13.95,13.95
850,2019-01-07,13.88,13.95,13.95,13.89
849,2019-01-07,13.85,13.92,13.9,13.91
848,2019-01-07,13.905,13.97,13.91,13.905
847,2019-01-07,13.88,13.98,13.8901,13.9505
846,2019-01-07,13.95,14.03,13.95,14.01
845,2019-01-07,13.96,14.03,13.985,14.03
844,2019-01-07,14.0315,14.12,14.045,14.04
843,2019-01-07,14.0164,14.12,14.04,14.1199
842,2019-01-07,14.14,14.2,14.15,14.15
841,2019-01-07,14.1,14.19,14.12,14.17
840,2019-01-07,14.18,14.27,14.19,14.18
839,2019-01-07,14.07,14.23,14.1899,14.08
838,2019-01-07,13.915,14.08,14.0643,13.915
837,2019-01-07,13.825,13.97,13.93,13.88
836,2019-01-07,13.875,14.14,13.875,14.12
835,2019-01-07,13.95,14.12,14.12,13.9515
834,2019-01-07,13.875,13.98,13.92,13.89
833,2019-01-07,13.744,13.96,13.91,13.744
832,2019-01-07,13.73,13.85,13.73,13.78
831,2019-01-07,13.68,13.7768,13.77,13.7
830,2019-01-07,13.69,13.83,13.75,13.69
829,2019-01-07,13.57,13.74,13.71,13.64
828,2019-01-07,13.65,13.85,13.65,13.85
827,2019-01-07,13.82,14.01,13.83,13.845
826,2019-01-07,13.83,14.09,13.9,13.93
825,2019-01-07,13.49,14.1304,13.99,13.6
824,2019-01-07,12.88,13.53,13.53,13.07
823,2019-01-07,12.6264,13.22,13.15,12.6264
822,2019-01-04,13.2,13.255,13.2,13.22
821,2019-01-04,13.16,13.23,13.2285,13.165
820,2019-01-04,13.16,13.19,13.17,13.19
819,2019-01-04,13.17,13.22,13.185,13.1901
818,2019-01-04,13.195,13.25,13.195,13.25
817,2019-01-04,13.205,13.2485,13.24,13.205
816,2019-01-04,13.15,13.21,13.19,13.15
815,2019-01-04,13.17,13.26,13.17,13.24
814,2019-01-04,13.2303,13.285,13.2303,13.24
813,2019-01-04,13.19,13.2363,13.23,13.235
812,2019-01-04,13.2,13.29,13.24,13.2
811,2019-01-04,13.14,13.2,13.2,13.14
810,2019-01-04,13.115,13.15,13.15,13.13
809,2019-01-04,13.13,13.21,13.135,13.21
808,2019-01-04,13.17,13.22,13.22,13.22
807,2019-01-04,13.23,13.28,13.23,13.27
806,2019-01-04,13.26,13.3,13.27,13.29
805,2019-01-04,13.26,13.28,13.27,13.26
804,2019-01-04,13.27,13.3333,13.27,13.3333
