,Date,Low,High,Close,Open
1134,2019-01-10,1655.12,1658.8101,1656.27,1658.8101
1133,2019-01-10,1657.77,1659.15,1657.78,1658.203
1132,2019-01-10,1657.3,1659.71,1657.79,1659.1899
1131,2019-01-10,1657.3101,1659.36,1658.8199,1658.4213
1130,2019-01-10,1656.35,1658.4,1658.34,1657.23
1129,2019-01-10,1652.8961,1657.6949,1657.42,1654.87
1128,2019-01-10,1654.51,1656.0,1655.015,1655.1
1127,2019-01-10,1652.76,1654.99,1654.3199,1653.02
1126,2019-01-10,1653.15,1655.15,1653.28,1654.14
1125,2019-01-10,1650.5699,1654.45,1653.9054,1652.0
1124,2019-01-10,1652.54,1654.7764,1652.54,1654.3485
1123,2019-01-10,1654.0,1655.4036,1654.6337,1654.04
1122,2019-01-10,1650.52,1654.4,1654.4,1650.52
1121,2019-01-10,1649.6335,1652.1176,1651.505,1652.1176
1120,2019-01-10,1650.95,1653.9301,1651.04,1653.91
1119,2019-01-10,1651.0988,1655.15,1654.14,1651.0988
1118,2019-01-10,1649.6736,1652.95,1651.1801,1650.29
1117,2019-01-10,1649.4259,1653.41,1651.33,1653.41
1116,2019-01-10,1653.5601,1655.505,1653.6804,1654.89
1115,2019-01-10,1654.6005,1657.5406,1654.77,1654.62
1114,2019-01-10,1650.61,1655.55,1654.385,1653.2107
1113,2019-01-10,1651.5438,1654.87,1652.2603,1653.0
1112,2019-01-10,1648.64,1653.0,1652.866,1648.64
1111,2019-01-10,1647.3821,1650.0,1648.2184,1648.5
1110,2019-01-10,1646.92,1648.9999,1647.485,1647.0372
1109,2019-01-10,1645.5699,1648.7324,1647.1899,1647.6801
1108,2019-01-10,1642.47,1647.87,1646.79,1642.47
1107,2019-01-10,1640.4952,1645.3289,1642.3101,1645.3289
1106,2019-01-10,1644.61,1648.3,1646.0,1648.0
1105,2019-01-10,1646.507,1652.5807,1649.0,1652.0
1104,2019-01-10,1648.48,1652.9683,1651.799,1648.5551
1103,2019-01-10,1644.0,1648.78,1648.35,1645.73
1102,2019-01-10,1644.47,1647.4,1646.4064,1647.0
1101,2019-01-10,1647.0,1651.1,1648.01,1647.01
1100,2019-01-10,1647.0,1657.52,1647.6699,1657.52
1099,2019-01-10,1656.0,1660.2601,1656.84,1659.4237
1098,2019-01-10,1656.59,1660.8101,1659.515,1659.92
1097,2019-01-10,1656.3557,1663.0,1659.3018,1657.6722
1096,2019-01-10,1652.7037,1659.0,1657.4976,1652.75
1095,2019-01-10,1650.92,1653.5601,1653.0,1653.5601
1094,2019-01-10,1651.8766,1654.0099,1653.0002,1651.8766
1093,2019-01-10,1652.45,1655.0,1652.45,1654.0001
1092,2019-01-10,1651.78,1654.736,1654.2448,1652.7488
1091,2019-01-10,1650.6,1652.92,1652.83,1651.1801
1090,2019-01-10,1651.46,1653.0,1651.76,1651.62
1089,2019-01-10,1649.6978,1651.6796,1651.0,1650.85
1088,2019-01-10,1650.9,1653.1481,1650.9,1653.076
1087,2019-01-10,1652.4197,1656.9897,1652.4801,1654.52
1086,2019-01-10,1649.6,1654.9,1654.53,1651.6642
1085,2019-01-10,1650.0,1653.0,1651.03,1651.8927
1084,2019-01-10,1650.8199,1653.0,1652.3,1652.3652
1083,2019-01-10,1651.0699,1654.085,1652.705,1653.84
1082,2019-01-10,1653.9,1657.65,1654.0,1655.67
1081,2019-01-10,1651.46,1655.9496,1655.9496,1651.46
1080,2019-01-10,1649.4301,1653.0,1651.05,1652.2633
1079,2019-01-10,1651.23,1655.54,1652.788,1653.5511
1078,2019-01-10,1652.5601,1659.99,1654.22,1656.0
1077,2019-01-10,1656.625,1659.13,1656.8,1656.8101
1076,2019-01-10,1654.0,1658.5933,1658.158,1655.64
1075,2019-01-10,1651.0621,1655.0,1655.0,1653.9757
1074,2019-01-10,1647.5,1655.6801,1653.8199,1651.405
1073,2019-01-10,1644.36,1653.0,1651.7032,1644.36
1072,2019-01-10,1641.52,1645.51,1644.5,1643.2
1071,2019-01-10,1643.77,1646.4806,1644.01,1644.0
1070,2019-01-10,1641.36,1646.0,1644.98,1644.1714
1069,2019-01-10,1642.6899,1646.6801,1644.0,1644.0253
1068,2019-01-10,1640.27,1645.5,1643.507,1644.0
1067,2019-01-10,1637.85,1643.9,1643.6136,1639.4254
1066,2019-01-10,1631.6801,1640.89,1639.59,1635.59
1065,2019-01-10,1631.5935,1639.36,1636.5,1631.5935
1064,2019-01-10,1625.8615,1631.99,1631.1346,1626.5
1063,2019-01-10,1626.3593,1632.995,1626.6,1627.4285
1062,2019-01-10,1622.22,1627.6519,1627.415,1623.88
1061,2019-01-10,1622.8397,1631.526,1623.52,1628.25
1060,2019-01-10,1628.1,1634.4683,1629.5,1631.0
1059,2019-01-10,1630.0,1637.8,1631.675,1635.95
1058,2019-01-10,1632.33,1638.744,1637.0,1635.0
1057,2019-01-10,1633.0,1644.4399,1634.9932,1641.42
1056,2019-01-09,1652.95,1660.21,1660.21,1652.95
1055,2019-01-09,1652.0,1654.72,1653.26,1654.5374
1054,2019-01-09,1653.0,1659.0,1654.7031,1659.0
1053,2019-01-09,1656.8595,1659.9474,1659.6,1659.645
1052,2019-01-09,1658.0,1663.64,1659.0479,1663.62
1051,2019-01-09,1661.25,1664.8101,1664.2021,1664.8101
1050,2019-01-09,1663.8271,1666.6101,1664.5,1665.5
1049,2019-01-09,1665.22,1666.6801,1665.78,1665.62
1048,2019-01-09,1664.1,1666.97,1665.79,1664.59
1047,2019-01-09,1662.75,1665.365,1664.27,1664.2
1046,2019-01-09,1662.1,1664.0,1663.9301,1663.2218
1045,2019-01-09,1661.0,1664.8199,1662.87,1661.76
1044,2019-01-09,1660.92,1663.3,1661.5,1663.3
1043,2019-01-09,1662.525,1665.28,1663.22,1665.28
1042,2019-01-09,1661.0575,1665.25,1665.25,1661.41
1041,2019-01-09,1658.3969,1662.0,1661.24,1659.0551
1040,2019-01-09,1657.0,1660.0,1659.37,1657.6624
1039,2019-01-09,1655.6136,1659.66,1658.05,1657.4399
1038,2019-01-09,1656.4,1659.9548,1658.23,1656.4
1037,2019-01-09,1655.0,1660.3,1657.0,1657.0
1036,2019-01-09,1657.0,1665.53,1657.0,1665.53
1035,2019-01-09,1662.8199,1666.8101,1665.48,1665.9399
1034,2019-01-09,1660.7101,1667.0,1666.34,1660.7101
1033,2019-01-09,1656.64,1663.0,1660.615,1658.5
1032,2019-01-09,1656.38,1659.8101,1658.71,1658.4796
1031,2019-01-09,1657.25,1660.05,1657.9399,1658.04
1030,2019-01-09,1658.595,1661.5,1659.155,1661.5
1029,2019-01-09,1661.8051,1663.14,1661.983,1662.0
1028,2019-01-09,1660.519,1662.6,1661.7661,1660.519
1027,2019-01-09,1659.0828,1660.7405,1660.691,1659.55
1026,2019-01-09,1658.8455,1660.0957,1659.476,1660.0823
1025,2019-01-09,1659.175,1660.49,1660.0203,1659.175
1024,2019-01-09,1657.75,1659.895,1658.8811,1658.9771
1023,2019-01-09,1657.46,1659.5,1658.41,1659.0
1022,2019-01-09,1657.0,1659.3269,1658.96,1659.3269
1021,2019-01-09,1658.59,1661.5,1660.16,1661.0062
1020,2019-01-09,1659.1,1661.0,1660.1664,1659.5
1019,2019-01-09,1659.73,1660.8605,1659.89,1660.76
1018,2019-01-09,1658.0699,1661.5034,1659.27,1658.9537
1017,2019-01-09,1657.5649,1661.3,1658.3101,1661.0
1016,2019-01-09,1661.05,1663.4449,1661.05,1662.1757
1015,2019-01-09,1660.0,1663.03,1661.9399,1661.22
1014,2019-01-09,1659.77,1661.7111,1660.455,1659.77
1013,2019-01-09,1659.0,1661.08,1659.59,1660.99
1012,2019-01-09,1660.01,1661.5342,1660.5583,1661.04
1011,2019-01-09,1659.2394,1662.0,1660.67,1661.78
1010,2019-01-09,1658.5447,1663.36,1661.64,1663.0699
1009,2019-01-09,1661.01,1663.62,1662.33,1661.01
1008,2019-01-09,1659.55,1662.58,1661.36,1662.58
1007,2019-01-09,1657.3982,1663.41,1662.3685,1658.5
1006,2019-01-09,1652.77,1658.21,1658.12,1653.0699
1005,2019-01-09,1653.1281,1656.35,1653.1281,1656.35
1004,2019-01-09,1654.0,1658.0,1656.2126,1657.9
1003,2019-01-09,1655.02,1657.9301,1657.0,1657.9301
1002,2019-01-09,1655.95,1658.48,1658.0,1656.16
1001,2019-01-09,1654.42,1659.4399,1656.8199,1656.1
1000,2019-01-09,1654.3101,1658.96,1656.1,1658.96
999,2019-01-09,1654.85,1660.515,1658.0789,1657.2269
998,2019-01-09,1656.04,1658.01,1656.64,1656.96
997,2019-01-09,1649.53,1659.641,1657.64,1651.14
996,2019-01-09,1649.8503,1653.33,1652.1003,1650.03
995,2019-01-09,1650.0601,1654.77,1652.04,1652.9301
994,2019-01-09,1647.0,1654.0,1652.3948,1649.095
993,2019-01-09,1647.99,1656.415,1649.6899,1655.99
992,2019-01-09,1648.15,1656.3101,1655.5,1648.4399
991,2019-01-09,1647.0,1657.05,1648.96,1657.05
990,2019-01-09,1655.33,1659.99,1657.99,1658.7
989,2019-01-09,1655.6851,1660.985,1658.38,1655.6851
988,2019-01-09,1649.835,1656.3298,1654.98,1650.38
987,2019-01-09,1650.0,1656.1899,1650.0,1654.9301
986,2019-01-09,1650.22,1657.0,1654.0,1656.0601
985,2019-01-09,1653.0,1661.5399,1657.5236,1659.15
984,2019-01-09,1657.2914,1664.04,1659.4692,1664.04
983,2019-01-09,1650.71,1666.0,1663.48,1650.71
982,2019-01-09,1641.3953,1657.0,1650.3409,1656.5
981,2019-01-09,1655.22,1664.99,1656.16,1662.99
