,Date,Low,High,Close,Open
1133,2019-01-10,17.72,17.77,17.73,17.75
1132,2019-01-10,17.71,17.74,17.71,17.73
1131,2019-01-10,17.71,17.73,17.725,17.73
1130,2019-01-10,17.72,17.745,17.72,17.745
1129,2019-01-10,17.69,17.7399,17.7399,17.71
1128,2019-01-10,17.71,17.73,17.73,17.715
1127,2019-01-10,17.72,17.74,17.72,17.73
1126,2019-01-10,17.72,17.735,17.73,17.73
1125,2019-01-10,17.72,17.735,17.73,17.73
1124,2019-01-10,17.715,17.73,17.73,17.73
1123,2019-01-10,17.71,17.745,17.74,17.71
1122,2019-01-10,17.69,17.73,17.715,17.72
1121,2019-01-10,17.68,17.72,17.71,17.68
1120,2019-01-10,17.69,17.74,17.7,17.74
1119,2019-01-10,17.74,17.75,17.74,17.75
1118,2019-01-10,17.72,17.75,17.74,17.72
1117,2019-01-10,17.73,17.755,17.73,17.735
1116,2019-01-10,17.73,17.75,17.73,17.7482
1115,2019-01-10,17.73,17.77,17.745,17.75
1114,2019-01-10,17.75,17.76,17.75,17.7525
1113,2019-01-10,17.73,17.76,17.74,17.75
1112,2019-01-10,17.73,17.78,17.75,17.78
1111,2019-01-10,17.75,17.785,17.78,17.75
1110,2019-01-10,17.725,17.75,17.73,17.75
1109,2019-01-10,17.71,17.75,17.73,17.71
1108,2019-01-10,17.7,17.75,17.71,17.74
1107,2019-01-10,17.71,17.76,17.735,17.71
1106,2019-01-10,17.66,17.73,17.7,17.73
1105,2019-01-10,17.72,17.75,17.73,17.73
1104,2019-01-10,17.73,17.77,17.74,17.77
1103,2019-01-10,17.72,17.76,17.76,17.72
1102,2019-01-10,17.7,17.72,17.72,17.72
1101,2019-01-10,17.71,17.74,17.72,17.71
1100,2019-01-10,17.72,17.77,17.73,17.72
1099,2019-01-10,17.75,17.84,17.75,17.84
1098,2019-01-10,17.785,17.83,17.825,17.8
1097,2019-01-10,17.8,17.86,17.805,17.85
1096,2019-01-10,17.87,17.9443,17.87,17.94
1095,2019-01-10,17.9,17.95,17.94,17.9
1094,2019-01-10,17.825,17.885,17.885,17.8368
1093,2019-01-10,17.8,17.845,17.845,17.8
1092,2019-01-10,17.76,17.815,17.8,17.795
1091,2019-01-10,17.75,17.77,17.77,17.75
1090,2019-01-10,17.73,17.755,17.73,17.75
1089,2019-01-10,17.75,17.79,17.75,17.79
1088,2019-01-10,17.75,17.82,17.765,17.82
1087,2019-01-10,17.8,17.84,17.83,17.82
1086,2019-01-10,17.83,17.89,17.8334,17.87
1085,2019-01-10,17.84,17.89,17.88,17.89
1084,2019-01-10,17.86,17.935,17.89,17.88
1083,2019-01-10,17.8,17.86,17.86,17.8
1082,2019-01-10,17.74,17.8,17.8,17.755
1081,2019-01-10,17.73,17.77,17.75,17.75
1080,2019-01-10,17.72,17.7544,17.73,17.74
1079,2019-01-10,17.67,17.74,17.72,17.74
1078,2019-01-10,17.77,17.85,17.78,17.77
1077,2019-01-10,17.82,17.9,17.83,17.84
1076,2019-01-10,17.8484,17.89,17.86,17.8484
1075,2019-01-10,17.79,17.82,17.82,17.8
1074,2019-01-10,17.71,17.78,17.76,17.78
1073,2019-01-10,17.82,17.85,17.84,17.82
1072,2019-01-10,17.78,17.82,17.82,17.78
1071,2019-01-10,17.68,17.71,17.71,17.705
