,Date,Low,High,Close,Open
1133,2019-01-10,51.295,51.38,51.33,51.38
1132,2019-01-10,51.34,51.38,51.38,51.3512
1131,2019-01-10,51.34,51.42,51.35,51.4
1130,2019-01-10,51.34,51.41,51.4,51.34
1129,2019-01-10,51.24,51.34,51.335,51.26
1128,2019-01-10,51.17,51.36,51.265,51.2
1127,2019-01-10,51.18,51.25,51.198,51.22
1126,2019-01-10,51.17,51.23,51.22,51.2
1125,2019-01-10,51.14,51.2,51.195,51.1564
1124,2019-01-10,51.1,51.18,51.16,51.13
1123,2019-01-10,51.14,51.19,51.14,51.16
1122,2019-01-10,51.1,51.21,51.19,51.1
1121,2019-01-10,51.01,51.1,51.1,51.03
1120,2019-01-10,50.97,51.04,51.04,50.99
1119,2019-01-10,50.99,51.09,50.99,51.09
1118,2019-01-10,51.05,51.1,51.09,51.05
1117,2019-01-10,51.02,51.1,51.05,51.09
1116,2019-01-10,51.08,51.13,51.11,51.11
1115,2019-01-10,51.09,51.2,51.1,51.2
1114,2019-01-10,51.17,51.25,51.21,51.195
1113,2019-01-10,51.12,51.21,51.2,51.145
1112,2019-01-10,51.07,51.15,51.115,51.11
1111,2019-01-10,50.98,51.08,51.07,50.98
1110,2019-01-10,50.87,50.96,50.95,50.87
1109,2019-01-10,50.77,50.84,50.82,50.77
1108,2019-01-10,50.76,50.87,50.79,50.87
1107,2019-01-10,50.76,50.86,50.85,50.76
1106,2019-01-10,50.645,50.74,50.74,50.73
1105,2019-01-10,50.74,50.92,50.74,50.91
1104,2019-01-10,50.78,50.92,50.92,50.81
1103,2019-01-10,50.73,50.82,50.78,50.75
1102,2019-01-10,50.73,50.8,50.76,50.77
1101,2019-01-10,50.79,51.05,50.79,51.05
1100,2019-01-10,51.05,51.09,51.06,51.0556
1099,2019-01-10,51.04,51.26,51.04,51.26
1098,2019-01-10,51.2,51.27,51.25,51.27
1097,2019-01-10,51.26,51.34,51.31,51.34
1096,2019-01-10,51.35,51.48,51.35,51.44
1095,2019-01-10,51.31,51.4599,51.41,51.31
1094,2019-01-10,51.28,51.39,51.32,51.39
1093,2019-01-10,51.29,51.39,51.38,51.29
1092,2019-01-10,51.21,51.35,51.3,51.22
1091,2019-01-10,51.1,51.21,51.2,51.13
1090,2019-01-10,50.98,51.115,51.11,51.03
1089,2019-01-10,51.0,51.1,51.04,51.0
1088,2019-01-10,50.83,50.98,50.97,50.83
1087,2019-01-10,50.76,50.84,50.84,50.78
1086,2019-01-10,50.75,50.87,50.78,50.78
1085,2019-01-10,50.69,50.79,50.79,50.72
1084,2019-01-10,50.57,50.715,50.715,50.62
1083,2019-01-10,50.58,50.62,50.62,50.58
1082,2019-01-10,50.55,50.61,50.58,50.57
1081,2019-01-10,50.56,50.65,50.56,50.565
1080,2019-01-10,50.52,50.57,50.56,50.535
1079,2019-01-10,50.34,50.55,50.53,50.37
1078,2019-01-10,50.34,50.48,50.41,50.36
1077,2019-01-10,50.34,50.53,50.34,50.51
1076,2019-01-10,50.48,50.565,50.565,50.54
1075,2019-01-10,50.56,50.62,50.56,50.59
1074,2019-01-10,50.565,50.62,50.57,50.6
1073,2019-01-10,50.47,50.69,50.6407,50.49
1072,2019-01-10,50.42,50.49,50.49,50.44
1071,2019-01-10,50.33,50.49,50.45,50.34
1070,2019-01-10,50.275,50.36,50.36,50.33
1069,2019-01-10,50.21,50.33,50.33,50.29
1068,2019-01-10,50.28,50.41,50.31,50.39
1067,2019-01-10,50.23,50.4,50.4,50.34
1066,2019-01-10,50.16,50.4,50.35,50.18
1065,2019-01-10,50.11,50.21,50.17,50.21
1064,2019-01-10,50.25,50.49,50.25,50.47
1063,2019-01-10,50.19,50.455,50.445,50.19
1062,2019-01-10,50.15,50.315,50.195,50.15
1061,2019-01-10,50.23,50.39,50.23,50.39
1060,2019-01-10,50.37,50.55,50.39,50.51
1059,2019-01-10,50.455,50.57,50.5,50.48
1058,2019-01-10,50.4,50.59,50.47,50.49
1057,2019-01-10,50.4086,50.58,50.53,50.4086
1056,2019-01-10,50.36,50.56,50.39,50.4225
1055,2019-01-09,50.65,50.87,50.82,50.65
1054,2019-01-09,50.6,50.645,50.64,50.63
1053,2019-01-09,50.63,50.725,50.63,50.66
1052,2019-01-09,50.61,50.715,50.67,50.71
1051,2019-01-09,50.68,50.79,50.71,50.79
1050,2019-01-09,50.74,50.84,50.8,50.825
1049,2019-01-09,50.8,50.9,50.825,50.9
1048,2019-01-09,50.9,50.95,50.915,50.9
1047,2019-01-09,50.83,50.91,50.89,50.83
1046,2019-01-09,50.83,50.88,50.83,50.85
1045,2019-01-09,50.82,50.92,50.86,50.91
1044,2019-01-09,50.88,50.945,50.915,50.9
1043,2019-01-09,50.89,50.96,50.91,50.93
1042,2019-01-09,50.93,51.0,50.94,51.0
1041,2019-01-09,50.88,50.97,50.97,50.9
1040,2019-01-09,50.79,50.89,50.88,50.805
1039,2019-01-09,50.795,50.84,50.83,50.82
1038,2019-01-09,50.68,50.81,50.8,50.72
1037,2019-01-09,50.65,50.73,50.73,50.65
1036,2019-01-09,50.63,50.78,50.64,50.76
1035,2019-01-09,50.75,50.92,50.76,50.915
1034,2019-01-09,50.9,51.04,50.91,51.04
1033,2019-01-09,51.0,51.08,51.05,51.0584
1032,2019-01-09,51.0,51.24,51.06,51.14
1031,2019-01-09,51.03,51.13,51.1283,51.03
1030,2019-01-09,50.9259,51.06,51.03,51.03
1029,2019-01-09,50.96,51.07,51.04,50.96
1028,2019-01-09,50.895,50.96,50.96,50.895
1027,2019-01-09,50.9,51.05,50.9,51.01
1026,2019-01-09,50.88,51.0,51.0,50.88
1025,2019-01-09,50.86,50.92,50.875,50.92
1024,2019-01-09,50.85,50.94,50.92,50.85
1023,2019-01-09,50.78,50.86,50.86,50.82
1022,2019-01-09,50.79,50.86,50.82,50.84
1021,2019-01-09,50.74,50.84,50.84,50.8
1020,2019-01-09,50.78,50.88,50.8,50.88
1019,2019-01-09,50.76,50.91,50.87,50.76
1018,2019-01-09,50.68,50.7466,50.7466,50.68
1017,2019-01-09,50.65,50.75,50.69,50.65
1016,2019-01-09,50.6302,50.72,50.68,50.68
1015,2019-01-09,50.7,50.82,50.7,50.78
1014,2019-01-09,50.69,50.77,50.77,50.77
1013,2019-01-09,50.73,50.82,50.73,50.77
1012,2019-01-09,50.76,50.84,50.76,50.7999
1011,2019-01-09,50.77,50.83,50.8,50.81
1010,2019-01-09,50.73,50.8,50.78,50.73
1009,2019-01-09,50.67,50.83,50.73,50.83
1008,2019-01-09,50.81,50.95,50.84,50.91
1007,2019-01-09,50.92,51.2,50.92,51.2
1006,2019-01-09,51.09,51.18,51.17,51.13
1005,2019-01-09,50.99,51.129,51.129,51.02
1004,2019-01-09,51.015,51.14,51.025,51.14
1003,2019-01-09,51.145,51.405,51.145,51.4
1002,2019-01-09,51.305,51.38,51.34,51.305
1001,2019-01-09,51.19,51.35,51.31,51.27
1000,2019-01-09,51.13,51.3,51.29,51.18
999,2019-01-09,51.04,51.19,51.16,51.135
998,2019-01-09,51.05,51.22,51.13,51.21
997,2019-01-09,51.075,51.2,51.2,51.08
996,2019-01-09,50.84,51.1,51.05,50.94
995,2019-01-09,50.695,50.94,50.94,50.72
994,2019-01-09,50.57,50.75,50.74,50.64
993,2019-01-09,50.46,50.63,50.63,50.57
992,2019-01-09,50.54,50.7,50.57,50.7
991,2019-01-09,50.36,50.75,50.67,50.38
990,2019-01-09,50.42,50.56,50.42,50.55
989,2019-01-09,50.41,50.5899,50.5397,50.41
988,2019-01-09,50.33,50.44,50.4,50.44
987,2019-01-09,50.28,50.445,50.38,50.28
986,2019-01-09,50.32,50.4,50.33,50.375
985,2019-01-09,50.18,50.48,50.39,50.38
984,2019-01-09,50.175,50.41,50.41,50.22
