,Date,Low,High,Close,Open
1126,2019-01-10,0.2602,0.2648,0.2648,0.264
1125,2019-01-10,0.264,0.2643,0.2643,0.264
1124,2019-01-10,0.264,0.2649,0.2643,0.2649
1123,2019-01-10,0.2644,0.2644,0.2644,0.2644
1122,2019-01-10,0.263,0.2645,0.2645,0.263
1121,2019-01-10,0.2618,0.265,0.265,0.262
1120,2019-01-10,0.2621,0.2623,0.2621,0.2623
1119,2019-01-10,0.2602,0.2625,0.2602,0.2625
1118,2019-01-10,0.2626,0.2626,0.2626,0.2626
1117,2019-01-10,0.2601,0.2629,0.2615,0.2601
1116,2019-01-10,0.26,0.26,0.26,0.26
1115,2019-01-10,0.26,0.26,0.26,0.26
1114,2019-01-10,0.26,0.2616,0.2614,0.2616
1113,2019-01-10,0.2618,0.2618,0.2618,0.2618
1112,2019-01-10,0.2617,0.2618,0.2617,0.2618
1111,2019-01-10,0.2617,0.2617,0.2617,0.2617
1110,2019-01-10,0.2617,0.2618,0.2617,0.2618
1109,2019-01-10,0.2618,0.2618,0.2618,0.2618
1108,2019-01-10,0.2618,0.2618,0.2618,0.2618
1107,2019-01-10,0.2618,0.2618,0.2618,0.2618
1106,2019-01-10,0.2617,0.2618,0.2618,0.2617
1105,2019-01-10,0.2618,0.2618,0.2618,0.2618
1104,2019-01-10,0.2618,0.2618,0.2618,0.2618
1103,2019-01-10,0.2617,0.2618,0.2618,0.2617
1102,2019-01-10,0.2615,0.2615,0.2615,0.2615
1101,2019-01-10,0.2621,0.2622,0.2621,0.2622
1100,2019-01-10,0.26,0.26,0.26,0.26
1099,2019-01-10,0.2625,0.2625,0.2625,0.2625
1098,2019-01-10,0.261,0.2629,0.261,0.2629
1097,2019-01-10,0.26,0.26,0.26,0.26
1096,2019-01-10,0.2601,0.264,0.264,0.2601
1095,2019-01-10,0.2647,0.2651,0.2651,0.2647
1094,2019-01-10,0.2592,0.2647,0.2647,0.2592
1093,2019-01-10,0.2594,0.2594,0.2594,0.2594
1092,2019-01-10,0.2582,0.2592,0.2592,0.2582
1091,2019-01-10,0.2587,0.259,0.259,0.2587
1090,2019-01-10,0.2605,0.2606,0.2605,0.2606
1089,2019-01-10,0.2607,0.2608,0.2607,0.2608
1088,2019-01-10,0.2581,0.26,0.2581,0.26
1087,2019-01-10,0.26,0.2618,0.26,0.2618
1086,2019-01-10,0.2631,0.2631,0.2631,0.2631
1085,2019-01-10,0.264,0.2647,0.2647,0.264
1084,2019-01-10,0.2635,0.2635,0.2635,0.2635
1083,2019-01-10,0.26,0.2651,0.2651,0.2647
1082,2019-01-10,0.26,0.26,0.26,0.26
1081,2019-01-10,0.2601,0.2656,0.2601,0.2656
1080,2019-01-10,0.2646,0.2646,0.2646,0.2646
1079,2019-01-10,0.26,0.2605,0.2605,0.26
1078,2019-01-10,0.2645,0.2646,0.2646,0.2645
1077,2019-01-10,0.2605,0.2605,0.2605,0.2605
1076,2019-01-10,0.2584,0.26,0.26,0.2584
1075,2019-01-10,0.26,0.26,0.26,0.26
1074,2019-01-10,0.2601,0.2601,0.2601,0.2601
1073,2019-01-10,0.26,0.2601,0.2601,0.26
1072,2019-01-10,0.26,0.2601,0.26,0.2601
1071,2019-01-10,0.2604,0.2616,0.2604,0.2616
1070,2019-01-10,0.261,0.2625,0.261,0.2625
1069,2019-01-10,0.2623,0.2623,0.2623,0.2623
1068,2019-01-10,0.2614,0.2626,0.2626,0.2614
1067,2019-01-10,0.2632,0.2632,0.2632,0.2632
1066,2019-01-10,0.26,0.2635,0.2628,0.2635
1065,2019-01-10,0.2543,0.2555,0.2543,0.2555
1064,2019-01-10,0.2575,0.2575,0.2575,0.2575
1063,2019-01-10,0.2581,0.2661,0.2596,0.2661
1062,2019-01-10,0.2581,0.2581,0.2581,0.2581
1061,2019-01-10,0.2563,0.2663,0.2663,0.2563
1060,2019-01-10,0.2542,0.2554,0.2551,0.2554
1059,2019-01-10,0.252,0.255,0.252,0.255
1058,2019-01-10,0.255,0.2591,0.255,0.2591
1057,2019-01-10,0.26,0.2602,0.26,0.2602
1056,2019-01-10,0.26,0.26,0.26,0.26
1055,2019-01-10,0.26,0.2677,0.2677,0.26
1054,2019-01-10,0.2591,0.2591,0.2591,0.2591
1053,2019-01-10,0.26,0.2689,0.2689,0.26
1052,2019-01-09,0.2667,0.2689,0.2687,0.2669
1051,2019-01-09,0.265,0.2682,0.2678,0.265
1050,2019-01-09,0.265,0.265,0.265,0.265
1049,2019-01-09,0.265,0.2689,0.265,0.2689
1048,2019-01-09,0.2651,0.269,0.2689,0.2676
1047,2019-01-09,0.2651,0.2689,0.2676,0.2651
1046,2019-01-09,0.2652,0.268,0.2676,0.268
1045,2019-01-09,0.261,0.268,0.268,0.261
1044,2019-01-09,0.261,0.2611,0.2611,0.261
1043,2019-01-09,0.26,0.2617,0.2611,0.26
1042,2019-01-09,0.26,0.26,0.26,0.26
1041,2019-01-09,0.26,0.2628,0.26,0.26
1040,2019-01-09,0.26,0.2646,0.26,0.2613
1039,2019-01-09,0.26,0.2649,0.26,0.2649
1038,2019-01-09,0.2646,0.2677,0.2646,0.266
1037,2019-01-09,0.2591,0.2668,0.2668,0.26
1036,2019-01-09,0.259,0.26,0.26,0.259
1035,2019-01-09,0.259,0.261,0.2608,0.259
1034,2019-01-09,0.26,0.2614,0.2614,0.26
1033,2019-01-09,0.26,0.2619,0.2618,0.2619
1032,2019-01-09,0.26,0.26,0.26,0.26
1031,2019-01-09,0.26,0.2622,0.26,0.26
1030,2019-01-09,0.26,0.26,0.26,0.26
1029,2019-01-09,0.26,0.26,0.26,0.26
1028,2019-01-09,0.26,0.2627,0.26,0.2627
1027,2019-01-09,0.26,0.2602,0.2602,0.26
1026,2019-01-09,0.26,0.26,0.26,0.26
1025,2019-01-09,0.26,0.265,0.26,0.265
1024,2019-01-09,0.26,0.26,0.26,0.26
1023,2019-01-09,0.26,0.2648,0.2648,0.26
1022,2019-01-09,0.26,0.2648,0.2647,0.2648
1021,2019-01-09,0.2648,0.2648,0.2648,0.2648
1020,2019-01-09,0.2573,0.2649,0.2649,0.2587
1019,2019-01-09,0.2574,0.2602,0.2574,0.2602
1018,2019-01-09,0.2575,0.2602,0.2602,0.2575
1017,2019-01-09,0.26,0.26,0.26,0.26
1016,2019-01-09,0.26,0.2609,0.26,0.2609
1015,2019-01-09,0.2601,0.2609,0.2609,0.2601
1014,2019-01-09,0.2612,0.2612,0.2612,0.2612
1013,2019-01-09,0.262,0.262,0.262,0.262
1012,2019-01-09,0.2621,0.2627,0.2621,0.2627
1011,2019-01-09,0.2615,0.2631,0.2615,0.2631
1010,2019-01-09,0.2615,0.2635,0.2631,0.2615
1009,2019-01-09,0.2615,0.2616,0.2615,0.2615
1008,2019-01-09,0.2615,0.2638,0.2615,0.2638
1007,2019-01-09,0.2615,0.2639,0.2628,0.2615
1006,2019-01-09,0.2615,0.2615,0.2615,0.2615
1005,2019-01-09,0.2615,0.2629,0.2629,0.2615
1004,2019-01-09,0.2615,0.2615,0.2615,0.2615
1003,2019-01-09,0.2574,0.2677,0.2677,0.26
1002,2019-01-09,0.2605,0.2671,0.2605,0.2671
1001,2019-01-09,0.265,0.2652,0.265,0.2652
1000,2019-01-09,0.2631,0.2677,0.2673,0.2677
999,2019-01-09,0.263,0.2677,0.2677,0.2677
998,2019-01-09,0.267,0.2676,0.2676,0.267
997,2019-01-09,0.2622,0.2677,0.2677,0.2673
996,2019-01-09,0.2672,0.2677,0.2672,0.2677
995,2019-01-09,0.2686,0.2686,0.2686,0.2686
994,2019-01-09,0.2621,0.2621,0.2621,0.2621
993,2019-01-09,0.262,0.2622,0.2622,0.2622
992,2019-01-09,0.2612,0.2616,0.2616,0.2612
991,2019-01-09,0.2612,0.2679,0.2612,0.2679
990,2019-01-09,0.2605,0.2679,0.2679,0.2648
989,2019-01-09,0.26,0.2601,0.2601,0.26
988,2019-01-09,0.2576,0.2648,0.2648,0.2648
987,2019-01-09,0.2573,0.2579,0.2574,0.2573
986,2019-01-09,0.259,0.2596,0.259,0.2596
