,Date,Low,High,Close,Open
1134,2019-01-10,35.77,35.86,35.82,35.86
1133,2019-01-10,35.85,35.93,35.86,35.9
1132,2019-01-10,35.85,35.92,35.895,35.9
1131,2019-01-10,35.86,35.91,35.905,35.86
1130,2019-01-10,35.85,35.88,35.8575,35.88
1129,2019-01-10,35.82,35.885,35.88,35.85
1128,2019-01-10,35.81,35.865,35.86,35.81
1127,2019-01-10,35.76,35.83,35.81,35.78
1126,2019-01-10,35.755,35.81,35.78,35.8
1125,2019-01-10,35.76,35.81,35.81,35.78
1124,2019-01-10,35.78,35.83,35.78,35.825
1123,2019-01-10,35.81,35.85,35.825,35.835
1122,2019-01-10,35.77,35.835,35.835,35.77
1121,2019-01-10,35.77,35.845,35.77,35.835
1120,2019-01-10,35.84,35.905,35.84,35.89
1119,2019-01-10,35.81,35.9,35.9,35.8172
1118,2019-01-10,35.8,35.85,35.82,35.84
1117,2019-01-10,35.815,35.855,35.84,35.83
1116,2019-01-10,35.81,35.87,35.8323,35.87
1115,2019-01-10,35.86,35.92,35.87,35.9
1114,2019-01-10,35.815,35.9,35.9,35.815
1113,2019-01-10,35.81,35.85,35.81,35.84
1112,2019-01-10,35.76,35.85,35.83,35.76
1111,2019-01-10,35.72,35.77,35.755,35.72
1110,2019-01-10,35.7,35.74,35.72,35.7
1109,2019-01-10,35.64,35.705,35.705,35.64
1108,2019-01-10,35.59,35.655,35.6381,35.59
1107,2019-01-10,35.55,35.615,35.59,35.615
1106,2019-01-10,35.605,35.7,35.62,35.69
1105,2019-01-10,35.66,35.72,35.7,35.71
1104,2019-01-10,35.61,35.7,35.7,35.63
1103,2019-01-10,35.605,35.65,35.63,35.65
1102,2019-01-10,35.63,35.69,35.6585,35.69
1101,2019-01-10,35.68,35.73,35.7,35.68
1100,2019-01-10,35.66,35.8,35.69,35.8
1099,2019-01-10,35.78,35.9,35.79,35.9
1098,2019-01-10,35.88,35.91,35.9,35.91
1097,2019-01-10,35.85,35.9352,35.9,35.8748
1096,2019-01-10,35.77,35.9,35.87,35.8
