,Date,Low,High,Close,Open
1133,2019-01-10,46.23,46.34,46.32,46.26
1132,2019-01-10,46.27,46.355,46.27,46.34
1131,2019-01-10,46.285,46.36,46.34,46.295
1130,2019-01-10,46.24,46.3,46.29,46.25
1129,2019-01-10,46.24,46.28,46.24,46.275
1128,2019-01-10,46.14,46.285,46.275,46.21
1127,2019-01-10,46.19,46.26,46.21,46.24
1126,2019-01-10,46.21,46.27,46.2252,46.21
1125,2019-01-10,46.18,46.215,46.19,46.2
1124,2019-01-10,46.16,46.21,46.2,46.18
1123,2019-01-10,46.19,46.23,46.2,46.19
1122,2019-01-10,46.13,46.21,46.21,46.16
1121,2019-01-10,46.08,46.17,46.17,46.08
1120,2019-01-10,46.07,46.12,46.08,46.12
1119,2019-01-10,46.1273,46.18,46.13,46.18
1118,2019-01-10,46.07,46.16,46.16,46.085
1117,2019-01-10,46.07,46.11,46.1,46.07
1116,2019-01-10,46.04,46.1,46.05,46.09
1115,2019-01-10,46.08,46.12,46.1,46.12
1114,2019-01-10,46.07,46.115,46.115,46.07
1113,2019-01-10,46.0,46.08,46.07,46.0
1112,2019-01-10,45.97,46.03,45.99,45.97
1111,2019-01-10,45.9,45.96,45.96,45.9
1110,2019-01-10,45.87,45.9,45.89,45.87
1109,2019-01-10,45.765,45.83,45.83,45.765
1108,2019-01-10,45.73,45.8,45.77,45.73
1107,2019-01-10,45.67,45.74,45.74,45.67
1106,2019-01-10,45.6182,45.72,45.675,45.72
1105,2019-01-10,45.73,45.78,45.73,45.73
1104,2019-01-10,45.64,45.74,45.69,45.74
1103,2019-01-10,45.65,45.72,45.69,45.65
1102,2019-01-10,45.61,45.68,45.68,45.68
1101,2019-01-10,45.74,45.78,45.76,45.74
1100,2019-01-10,45.74,45.81,45.7901,45.81
1099,2019-01-10,45.7837,46.0,45.7837,45.99
1098,2019-01-10,46.0,46.05,46.0,46.03
1097,2019-01-10,46.06,46.08,46.07,46.06
1096,2019-01-10,46.06,46.13,46.13,46.06
1095,2019-01-10,45.99,46.04,46.03,45.99
1094,2019-01-10,45.94,45.99,45.97,45.94
1093,2019-01-10,45.96,46.0,45.96,45.99
1092,2019-01-10,45.97,45.99,45.97,45.98
1091,2019-01-10,45.95,46.0,45.99,45.98
1090,2019-01-10,45.94,46.0,45.962,45.94
1089,2019-01-10,45.94,45.97,45.97,45.96
1088,2019-01-10,45.901,45.94,45.94,45.91
1087,2019-01-10,45.8,45.9,45.89,45.85
1086,2019-01-10,45.86,45.9,45.87,45.88
1085,2019-01-10,45.79,45.9,45.88,45.9
1084,2019-01-10,45.73,45.85,45.85,45.73
1083,2019-01-10,45.71,45.76,45.75,45.74
1082,2019-01-10,45.72,45.77,45.72,45.75
1081,2019-01-10,45.73,45.77,45.77,45.75
1080,2019-01-10,45.56,45.62,45.62,45.58
1079,2019-01-10,45.55,45.65,45.58,45.575
1078,2019-01-10,45.62,45.67,45.65,45.63
1077,2019-01-10,45.49,45.65,45.65,45.51
1076,2019-01-10,45.42,45.53,45.53,45.42
1075,2019-01-10,45.4,45.465,45.46,45.4
1074,2019-01-10,45.32,45.42,45.32,45.39
1073,2019-01-10,45.34,45.45,45.44,45.34
1072,2019-01-10,45.36,45.42,45.42,45.36
1071,2019-01-10,45.24,45.32,45.32,45.24
1070,2019-01-10,45.26,45.32,45.29,45.32
1069,2019-01-10,45.21,45.32,45.32,45.29
1068,2019-01-10,45.3,45.38,45.3,45.38
1067,2019-01-10,45.2,45.39,45.39,45.24
1066,2019-01-10,45.23,45.32,45.28,45.25
1065,2019-01-10,45.27,45.33,45.27,45.33
1064,2019-01-10,45.31,45.42,45.35,45.42
1063,2019-01-10,45.36,45.41,45.41,45.36
1062,2019-01-10,45.32,45.45,45.32,45.45
1061,2019-01-10,45.16,45.35,45.35,45.17
1060,2019-01-10,45.08,45.54,45.08,45.31
1059,2019-01-10,45.08,45.285,45.285,45.08
1058,2019-01-10,45.06,45.13,45.06,45.115
1057,2019-01-10,44.66,45.25,45.25,44.66
1056,2019-01-10,44.79,45.075,44.79,45.05
1055,2019-01-09,45.41,45.48,45.45,45.42
1054,2019-01-09,45.4,45.44,45.405,45.4
1053,2019-01-09,45.32,45.4,45.4,45.35
1052,2019-01-09,45.315,45.355,45.355,45.35
1051,2019-01-09,45.28,45.34,45.31,45.34
1050,2019-01-09,45.31,45.37,45.37,45.37
1049,2019-01-09,45.41,45.5,45.41,45.5
1048,2019-01-09,45.5,45.52,45.5,45.52
1047,2019-01-09,45.49,45.53,45.51,45.49
1046,2019-01-09,45.45,45.55,45.49,45.495
1045,2019-01-09,45.455,45.49,45.48,45.48
1044,2019-01-09,45.48,45.57,45.5,45.48
1043,2019-01-09,45.37,45.5,45.48,45.405
1042,2019-01-09,45.455,45.5027,45.46,45.5027
1041,2019-01-09,45.49,45.55,45.505,45.49
1040,2019-01-09,45.4,45.505,45.505,45.4
1039,2019-01-09,45.31,45.42,45.42,45.355
1038,2019-01-09,45.215,45.29,45.29,45.22
1037,2019-01-09,45.22,45.275,45.25,45.22
1036,2019-01-09,45.2,45.27,45.2,45.21
1035,2019-01-09,45.2471,45.44,45.2471,45.44
1034,2019-01-09,45.41,45.44,45.44,45.43
1033,2019-01-09,45.25,45.44,45.44,45.25
1032,2019-01-09,45.2,45.32,45.2,45.25
1031,2019-01-09,45.13,45.245,45.245,45.15
1030,2019-01-09,45.13,45.25,45.13,45.24
1029,2019-01-09,45.27,45.375,45.27,45.375
1028,2019-01-09,45.37,45.43,45.37,45.4
1027,2019-01-09,45.35,45.4,45.38,45.4
1026,2019-01-09,45.39,45.52,45.39,45.52
1025,2019-01-09,45.5,45.54,45.505,45.51
1024,2019-01-09,45.51,45.61,45.51,45.6
1023,2019-01-09,45.56,45.62,45.6,45.58
1022,2019-01-09,45.53,45.57,45.57,45.56
1021,2019-01-09,45.49,45.56,45.56,45.49
1020,2019-01-09,45.43,45.55,45.46,45.545
1019,2019-01-09,45.53,45.57,45.55,45.53
1018,2019-01-09,45.51,45.535,45.535,45.51
1017,2019-01-09,45.42,45.52,45.4756,45.44
1016,2019-01-09,45.37,45.48,45.48,45.4054
1015,2019-01-09,45.32,45.47,45.37,45.47
1014,2019-01-09,45.44,45.47,45.47,45.47
1013,2019-01-09,45.43,45.46,45.46,45.44
1012,2019-01-09,45.4069,45.43,45.43,45.4069
1011,2019-01-09,45.26,45.41,45.395,45.26
1010,2019-01-09,45.16,45.24,45.24,45.195
1009,2019-01-09,45.19,45.22,45.2,45.19
1008,2019-01-09,45.16,45.21,45.16,45.17
1007,2019-01-09,45.07,45.28,45.07,45.28
1006,2019-01-09,45.099,45.27,45.22,45.11
1005,2019-01-09,44.94,45.0631,45.0631,44.94
1004,2019-01-09,44.82,44.99,44.96,44.845
1003,2019-01-09,44.8,44.93,44.84,44.93
1002,2019-01-09,44.9,45.05,44.91,45.05
1001,2019-01-09,44.955,45.02,45.02,45.01
1000,2019-01-09,45.06,45.135,45.115,45.135
999,2019-01-09,44.955,45.1,45.1,44.96
998,2019-01-09,44.95,45.02,45.0,45.02
997,2019-01-09,44.85,44.96,44.96,44.85
996,2019-01-09,44.78,44.87,44.845,44.84
995,2019-01-09,44.675,44.81,44.73,44.675
994,2019-01-09,44.69,44.78,44.78,44.76
993,2019-01-09,44.68,44.75,44.735,44.7
992,2019-01-09,44.6412,44.87,44.67,44.83
991,2019-01-09,44.7751,44.91,44.85,44.78
990,2019-01-09,44.88,45.04,44.88,45.04
989,2019-01-09,45.1,45.22,45.1,45.19
988,2019-01-09,45.05,45.17,45.17,45.05
987,2019-01-09,44.79,44.88,44.83,44.79
986,2019-01-09,44.74,44.81,44.74,44.76
985,2019-01-09,44.45,44.68,44.68,44.655
984,2019-01-09,44.55,44.715,44.55,44.68
983,2019-01-09,44.55,44.6154,44.58,44.55
982,2019-01-09,44.6,44.73,44.67,44.6
981,2019-01-09,44.57,44.93,44.57,44.88
980,2019-01-09,44.84,45.06,44.84,44.99
979,2019-01-09,44.99,45.14,45.14,44.99
978,2019-01-09,44.8061,45.1,45.1,44.8061
977,2019-01-08,44.33,44.4,44.36,44.33
976,2019-01-08,44.21,44.32,44.315,44.21
975,2019-01-08,44.19,44.24,44.23,44.19
974,2019-01-08,44.145,44.295,44.17,44.295
973,2019-01-08,44.275,44.31,44.3,44.275
972,2019-01-08,44.23,44.29,44.26,44.23
971,2019-01-08,44.095,44.2,44.2,44.16
970,2019-01-08,44.06,44.15,44.15,44.09
969,2019-01-08,43.96,44.08,44.08,43.97
968,2019-01-08,43.84,43.92,43.92,43.855
967,2019-01-08,43.765,43.89,43.88,43.825
966,2019-01-08,43.81,43.87,43.82,43.87
965,2019-01-08,43.85,43.99,43.91,43.99
964,2019-01-08,43.96,44.05,43.99,44.05
963,2019-01-08,44.02,44.09,44.07,44.055
962,2019-01-08,44.02,44.105,44.05,44.04
961,2019-01-08,44.0,44.04,44.01,44.01
960,2019-01-08,43.92,44.04,44.02,43.97
959,2019-01-08,43.96,44.12,44.0,44.07
958,2019-01-08,44.07,44.22,44.075,44.19
957,2019-01-08,44.1168,44.23,44.1825,44.22
956,2019-01-08,44.11,44.225,44.225,44.13
955,2019-01-08,44.09,44.18,44.13,44.165
954,2019-01-08,44.105,44.2,44.16,44.11
953,2019-01-08,44.08,44.17,44.12,44.15
952,2019-01-08,44.01,44.19,44.15,44.01
951,2019-01-08,43.91,44.01,44.0,43.95
950,2019-01-08,43.95,44.0,43.96,43.99
949,2019-01-08,43.98,44.02,44.0,44.02
948,2019-01-08,43.89,44.04,44.01,43.92
947,2019-01-08,43.93,43.95,43.94,43.93
946,2019-01-08,43.9,43.96,43.9,43.93
945,2019-01-08,43.92,43.98,43.92,43.95
944,2019-01-08,43.92,43.99,43.94,43.99
943,2019-01-08,43.91,43.98,43.97,43.91
942,2019-01-08,43.79,43.91,43.91,43.89
941,2019-01-08,43.92,43.94,43.92,43.94
940,2019-01-08,43.9,43.99,43.99,43.9
939,2019-01-08,43.95,44.015,43.95,44.0
938,2019-01-08,43.92,43.995,43.9489,43.92
937,2019-01-08,43.89,43.93,43.89,43.9
936,2019-01-08,43.915,43.9397,43.92,43.915
935,2019-01-08,43.915,43.96,43.93,43.92
934,2019-01-08,43.92,44.0,43.94,43.98
933,2019-01-08,43.82,44.005,43.99,43.8569
932,2019-01-08,43.74,43.85,43.82,43.81
931,2019-01-08,43.77,43.82,43.815,43.77
930,2019-01-08,43.63,43.79,43.79,43.63
929,2019-01-08,43.5,43.58,43.57,43.505
928,2019-01-08,43.47,43.545,43.47,43.545
927,2019-01-08,43.44,43.57,43.57,43.44
926,2019-01-08,43.39,43.49,43.42,43.42
925,2019-01-08,43.52,43.62,43.52,43.62
924,2019-01-08,43.6,43.64,43.61,43.61
923,2019-01-08,43.665,43.87,43.75,43.87
922,2019-01-08,43.835,43.93,43.91,43.93
921,2019-01-08,43.81,43.87,43.86,43.85
920,2019-01-08,43.83,44.05,43.83,44.05
