,Date,Low,High,Close,Open
1134,2019-01-10,43.18,43.285,43.24,43.225
1133,2019-01-10,43.22,43.26,43.2265,43.2243
1132,2019-01-10,43.18,43.24,43.23,43.205
1131,2019-01-10,43.15,43.215,43.205,43.155
1130,2019-01-10,43.1301,43.185,43.16,43.165
1129,2019-01-10,43.06,43.17,43.16,43.095
1128,2019-01-10,43.074,43.125,43.09,43.08
1127,2019-01-10,42.99,43.08,43.07,42.99
1126,2019-01-10,42.98,43.03,43.0,43.01
1125,2019-01-10,42.96,43.03,43.01,42.99
1124,2019-01-10,43.0,43.06,43.0,43.01
1123,2019-01-10,42.95,43.03,43.01,42.97
1122,2019-01-10,42.9,42.97,42.97,42.9
1121,2019-01-10,42.89,42.97,42.9,42.96
1120,2019-01-10,42.96,43.07,42.96,43.07
1119,2019-01-10,43.025,43.105,43.06,43.025
1118,2019-01-10,43.0,43.07,43.02,43.05
1117,2019-01-10,43.01,43.1,43.06,43.05
1116,2019-01-10,43.02,43.0887,43.04,43.0887
1115,2019-01-10,43.055,43.13,43.08,43.06
1114,2019-01-10,42.99,43.07,43.05,43.05
1113,2019-01-10,43.02,43.07,43.05,43.03
1112,2019-01-10,42.94,43.03,43.02,42.94
1111,2019-01-10,42.87,42.95,42.9399,42.87
1110,2019-01-10,42.79,42.87,42.87,42.79
1109,2019-01-10,42.79,42.84,42.8,42.81
1108,2019-01-10,42.735,42.82,42.8,42.735
1107,2019-01-10,42.68,42.75,42.73,42.75
1106,2019-01-10,42.74,42.81,42.76,42.81
1105,2019-01-10,42.77,42.855,42.82,42.85
1104,2019-01-10,42.79,42.86,42.8483,42.79
1103,2019-01-10,42.705,42.81,42.8,42.73
1102,2019-01-10,42.68,42.77,42.72,42.77
1101,2019-01-10,42.755,42.87,42.77,42.79
1100,2019-01-10,42.79,42.97,42.79,42.955
1099,2019-01-10,42.95,43.045,42.955,43.045
1098,2019-01-10,42.995,43.0501,43.05,43.03
1097,2019-01-10,42.97,43.08,43.03,42.99
1096,2019-01-10,42.9,43.02,42.99,42.93
1095,2019-01-10,42.912,42.94,42.93,42.93
1094,2019-01-10,42.92,42.97,42.94,42.93
1093,2019-01-10,42.94,42.98,42.94,42.98
1092,2019-01-10,42.96,43.01,42.98,43.01
1091,2019-01-10,42.945,43.02,43.015,42.98
