,Date,Low,High,Close,Open
1134,2019-01-10,30.05,30.13,30.07,30.08
1133,2019-01-10,30.08,30.1,30.08,30.085
1132,2019-01-10,30.075,30.1,30.09,30.095
1131,2019-01-10,30.08,30.12,30.095,30.085
1130,2019-01-10,30.01,30.09,30.08,30.07
1129,2019-01-10,30.06,30.11,30.075,30.06
1128,2019-01-10,30.06,30.11,30.06,30.09
1127,2019-01-10,30.07,30.1,30.085,30.085
1126,2019-01-10,30.06,30.1,30.08,30.06
1125,2019-01-10,30.02,30.1,30.05,30.1
1124,2019-01-10,30.08,30.105,30.1,30.08
1123,2019-01-10,30.055,30.09,30.08,30.06
1122,2019-01-10,30.02,30.07,30.06,30.02
1121,2019-01-10,29.94,30.03,30.0295,29.94
1120,2019-01-10,29.94,29.98,29.94,29.98
1119,2019-01-10,29.9,29.97,29.96,29.9
1118,2019-01-10,29.89,29.94,29.9,29.91
1117,2019-01-10,29.92,29.94,29.93,29.92
1116,2019-01-10,29.89,29.91,29.89,29.89
1115,2019-01-10,29.86,29.9173,29.91,29.86
1114,2019-01-10,29.82,29.86,29.86,29.85
1113,2019-01-10,29.82,29.87,29.84,29.82
1112,2019-01-10,29.77,29.82,29.81,29.77
1111,2019-01-10,29.7434,29.77,29.77,29.75
1110,2019-01-10,29.69,29.75,29.73,29.69
1109,2019-01-10,29.67,29.71,29.69,29.71
1108,2019-01-10,29.66,29.71,29.71,29.69
1107,2019-01-10,29.65,29.69,29.69,29.69
1106,2019-01-10,29.68,29.75,29.68,29.725
1105,2019-01-10,29.56,29.76,29.75,29.57
1104,2019-01-10,29.58,29.7,29.58,29.68
1103,2019-01-10,29.68,29.73,29.7,29.72
1102,2019-01-10,29.72,29.77,29.74,29.73
1101,2019-01-10,29.75,29.83,29.78,29.82
1100,2019-01-10,29.82,29.9,29.82,29.85
1099,2019-01-10,29.83,29.905,29.86,29.905
1098,2019-01-10,29.88,29.91,29.91,29.89
1097,2019-01-10,29.91,29.965,29.91,29.94
1096,2019-01-10,29.915,29.96,29.94,29.93
1095,2019-01-10,29.93,29.97,29.93,29.97
1094,2019-01-10,29.99,30.03,29.9966,30.01
1093,2019-01-10,29.97,30.03,30.015,29.97
1092,2019-01-10,29.911,29.965,29.965,29.92
1091,2019-01-10,29.9,29.94,29.92,29.9
1090,2019-01-10,29.91,29.93,29.93,29.92
1089,2019-01-10,29.88,29.97,29.89,29.97
1088,2019-01-10,29.925,29.97,29.97,29.925
1087,2019-01-10,29.93,29.96,29.93,29.94
1086,2019-01-10,29.925,29.965,29.965,29.96
1085,2019-01-10,29.96,30.0,29.96,30.0
1084,2019-01-10,30.005,30.045,30.03,30.02
1083,2019-01-10,30.025,30.05,30.03,30.025
1082,2019-01-10,30.02,30.07,30.07,30.07
1081,2019-01-10,29.895,30.03,30.03,29.895
1080,2019-01-10,29.84,29.94,29.94,29.92
1079,2019-01-10,29.95,29.985,29.97,29.95
1078,2019-01-10,29.965,30.04,29.97,30.025
1077,2019-01-10,30.03,30.07,30.045,30.07
1076,2019-01-10,30.05,30.1,30.085,30.08
1075,2019-01-10,30.04,30.13,30.1,30.13
1074,2019-01-10,30.15,30.2,30.15,30.2
1073,2019-01-10,30.13,30.22,30.21,30.13
1072,2019-01-10,29.99,30.06,30.06,29.99
1071,2019-01-10,29.9825,30.04,29.9825,30.04
1070,2019-01-10,29.94,30.055,30.04,29.955
1069,2019-01-10,29.94,30.02,29.955,30.02
1068,2019-01-10,29.95,30.09,30.03,30.09
1067,2019-01-10,29.93,30.16,30.1,29.93
1066,2019-01-10,29.88,29.96,29.96,29.93
1065,2019-01-10,29.885,29.95,29.94,29.885
1064,2019-01-10,29.7,29.87,29.87,29.7
1063,2019-01-10,29.615,29.69,29.65,29.655
1062,2019-01-10,29.62,29.65,29.64,29.63
1061,2019-01-10,29.69,29.98,29.738,29.91
1060,2019-01-10,29.83,29.97,29.89,29.97
1059,2019-01-10,29.97,30.14,30.0,30.05
1058,2019-01-10,29.86,30.0,29.99,29.97
