,Date,Low,High,Close,Open
1134,2019-01-10,26.775,26.85,26.81,26.85
1133,2019-01-10,26.845,26.87,26.855,26.85
1132,2019-01-10,26.82,26.87,26.845,26.86
1131,2019-01-10,26.82,26.855,26.845,26.82
1130,2019-01-10,26.81,26.82,26.815,26.81
1129,2019-01-10,26.81,26.84,26.815,26.84
1128,2019-01-10,26.82,26.85,26.84,26.835
1127,2019-01-10,26.8,26.85,26.83,26.845
1126,2019-01-10,26.85,26.87,26.85,26.87
1125,2019-01-10,26.82,26.865,26.865,26.86
1124,2019-01-10,26.84,26.88,26.86,26.85
1123,2019-01-10,26.83,26.87,26.855,26.87
1122,2019-01-10,26.8,26.87,26.87,26.81
1121,2019-01-10,26.805,26.86,26.82,26.855
1120,2019-01-10,26.85,26.9,26.85,26.895
1119,2019-01-10,26.83,26.91,26.9,26.83
1118,2019-01-10,26.79,26.84,26.82,26.79
1117,2019-01-10,26.785,26.82,26.795,26.82
1116,2019-01-10,26.79,26.82,26.81,26.81
1115,2019-01-10,26.8,26.86,26.81,26.81
1114,2019-01-10,26.795,26.82,26.81,26.815
1113,2019-01-10,26.81,26.855,26.81,26.85
1112,2019-01-10,26.83,26.87,26.85,26.83
1111,2019-01-10,26.83,26.86,26.83,26.86
1110,2019-01-10,26.785,26.845,26.845,26.785
1109,2019-01-10,26.74,26.78,26.78,26.74
1108,2019-01-10,26.64,26.73,26.725,26.64
1107,2019-01-10,26.5701,26.64,26.63,26.64
1106,2019-01-10,26.64,26.71,26.64,26.71
1105,2019-01-10,26.66,26.74,26.7,26.73
1104,2019-01-10,26.63,26.72,26.72,26.63
1103,2019-01-10,26.63,26.765,26.64,26.765
1102,2019-01-10,26.78,26.83,26.78,26.78
1101,2019-01-10,26.82,26.92,26.82,26.92
1100,2019-01-10,26.9,27.0,26.9,26.99
1099,2019-01-10,26.96,27.03,26.975,27.03
1098,2019-01-10,27.01,27.08,27.025,27.08
1097,2019-01-10,27.08,27.145,27.09,27.11
1096,2019-01-10,27.045,27.13,27.11,27.05
1095,2019-01-10,27.02,27.08,27.03,27.07
1094,2019-01-10,27.07,27.09,27.07,27.08
1093,2019-01-10,27.045,27.09,27.07,27.05
1092,2019-01-10,26.99,27.055,27.04,27.01
1091,2019-01-10,26.965,27.025,27.025,26.97
1090,2019-01-10,26.9,26.98,26.98,26.9
1089,2019-01-10,26.86,26.89,26.89,26.865
1088,2019-01-10,26.87,26.91,26.87,26.9
1087,2019-01-10,26.91,27.0,26.91,26.98
1086,2019-01-10,26.983,27.0113,26.99,26.995
1085,2019-01-10,26.975,27.01,26.979,26.99
1084,2019-01-10,27.0,27.02,27.01,27.015
1083,2019-01-10,27.005,27.06,27.005,27.05
1082,2019-01-10,27.045,27.08,27.05,27.08
1081,2019-01-10,26.99,27.08,27.08,27.0
1080,2019-01-10,26.91,27.02,27.005,26.91
1079,2019-01-10,26.9,26.97,26.945,26.94
1078,2019-01-10,26.945,27.0,26.98,26.955
1077,2019-01-10,26.97,27.04,26.98,27.04
1076,2019-01-10,27.055,27.125,27.055,27.105
1075,2019-01-10,27.0988,27.16,27.12,27.0988
1074,2019-01-10,27.065,27.1,27.1,27.08
1073,2019-01-10,27.05,27.1,27.07,27.1
1072,2019-01-10,26.995,27.07,27.07,27.0
1071,2019-01-10,26.96,27.0,27.0,26.96
1070,2019-01-10,26.97,27.0,26.98,27.0
1069,2019-01-10,26.93,26.99,26.98,26.94
1068,2019-01-10,26.83,26.935,26.935,26.85
1067,2019-01-10,26.79,26.865,26.85,26.79
1066,2019-01-10,26.71,26.79,26.79,26.74
1065,2019-01-10,26.75,26.99,26.75,26.96
1064,2019-01-10,26.91,27.0287,26.94,26.91
1063,2019-01-10,26.87,26.9273,26.87,26.89
1062,2019-01-10,26.82,26.89,26.88,26.89
1061,2019-01-10,26.91,26.98,26.91,26.98
1060,2019-01-10,26.85,26.96,26.96,26.85
1059,2019-01-10,26.84,27.0,26.88,26.91
1058,2019-01-10,26.74,26.91,26.91,26.74
1057,2019-01-10,26.79,27.091,26.79,27.091
1056,2019-01-09,27.25,27.35,27.26,27.35
1055,2019-01-09,27.34,27.38,27.36,27.37
1054,2019-01-09,27.37,27.45,27.3746,27.45
1053,2019-01-09,27.43,27.47,27.46,27.47
1052,2019-01-09,27.45,27.5,27.47,27.5
1051,2019-01-09,27.48,27.54,27.52,27.52
1050,2019-01-09,27.515,27.54,27.53,27.52
1049,2019-01-09,27.51,27.535,27.535,27.515
1048,2019-01-09,27.5,27.53,27.52,27.5
1047,2019-01-09,27.48,27.53,27.5,27.52
1046,2019-01-09,27.48,27.53,27.515,27.52
1045,2019-01-09,27.4899,27.53,27.51,27.51
1044,2019-01-09,27.48,27.52,27.51,27.51
1043,2019-01-09,27.5,27.535,27.53,27.51
1042,2019-01-09,27.5,27.55,27.505,27.515
1041,2019-01-09,27.49,27.535,27.515,27.49
1040,2019-01-09,27.47,27.5,27.5,27.485
1039,2019-01-09,27.46,27.53,27.473,27.515
1038,2019-01-09,27.46,27.525,27.525,27.46
1037,2019-01-09,27.42,27.47,27.46,27.425
1036,2019-01-09,27.44,27.535,27.44,27.52
1035,2019-01-09,27.51,27.535,27.51,27.52
1034,2019-01-09,27.51,27.54,27.53,27.52
1033,2019-01-09,27.465,27.55,27.505,27.54
1032,2019-01-09,27.51,27.5402,27.54,27.52
1031,2019-01-09,27.5,27.55,27.5,27.54
1030,2019-01-09,27.5,27.55,27.5368,27.53
1029,2019-01-09,27.5098,27.55,27.53,27.515
1028,2019-01-09,27.5,27.545,27.51,27.52
1027,2019-01-09,27.485,27.52,27.51,27.485
1026,2019-01-09,27.47,27.55,27.47,27.53
1025,2019-01-09,27.49,27.54,27.5396,27.49
1024,2019-01-09,27.5,27.54,27.5,27.52
1023,2019-01-09,27.48,27.5,27.5,27.495
1022,2019-01-09,27.5,27.52,27.5,27.515
1021,2019-01-09,27.51,27.52,27.52,27.51
1020,2019-01-09,27.48,27.52,27.52,27.48
1019,2019-01-09,27.46,27.565,27.47,27.565
1018,2019-01-09,27.56,27.59,27.56,27.565
1017,2019-01-09,27.57,27.65,27.57,27.645
1016,2019-01-09,27.58,27.64,27.64,27.58
1015,2019-01-09,27.52,27.575,27.575,27.57
1014,2019-01-09,27.56,27.6,27.57,27.6
1013,2019-01-09,27.58,27.6,27.58,27.58
1012,2019-01-09,27.53,27.57,27.5593,27.55
1011,2019-01-09,27.49,27.54,27.5362,27.54
1010,2019-01-09,27.54,27.585,27.54,27.58
1009,2019-01-09,27.56,27.6,27.59,27.56
1008,2019-01-09,27.52,27.58,27.56,27.58
1007,2019-01-09,27.5,27.58,27.56,27.51
1006,2019-01-09,27.47,27.57,27.52,27.52
1005,2019-01-09,27.52,27.56,27.54,27.56
1004,2019-01-09,27.55,27.57,27.55,27.56
1003,2019-01-09,27.48,27.54,27.54,27.51
1002,2019-01-09,27.48,27.515,27.515,27.5
1001,2019-01-09,27.47,27.54,27.51,27.485
1000,2019-01-09,27.45,27.49,27.49,27.48
999,2019-01-09,27.43,27.48,27.48,27.435
998,2019-01-09,27.3587,27.42,27.42,27.3587
997,2019-01-09,27.27,27.38,27.35,27.27
996,2019-01-09,27.24,27.29,27.29,27.24
995,2019-01-09,27.26,27.32,27.26,27.29
994,2019-01-09,27.27,27.31,27.28,27.31
993,2019-01-09,27.31,27.42,27.34,27.42
992,2019-01-09,27.43,27.51,27.435,27.45
991,2019-01-09,27.45,27.62,27.485,27.62
990,2019-01-09,27.519,27.66,27.66,27.54
989,2019-01-09,27.52,27.57,27.55,27.5201
988,2019-01-09,27.4,27.495,27.495,27.4
987,2019-01-09,27.42,27.52,27.42,27.51
986,2019-01-09,27.45,27.57,27.45,27.57
985,2019-01-09,27.52,27.6334,27.55,27.565
984,2019-01-09,27.45,27.56,27.55,27.56
983,2019-01-09,27.52,27.67,27.63,27.52
982,2019-01-09,27.48,27.57,27.49,27.57
981,2019-01-09,27.4,27.54,27.5,27.4
980,2019-01-09,27.38,27.54,27.46,27.38
979,2019-01-09,27.22,27.31,27.3,27.31
978,2019-01-08,27.19,27.25,27.23,27.21
977,2019-01-08,27.17,27.21,27.205,27.18
976,2019-01-08,27.19,27.24,27.19,27.19
975,2019-01-08,27.17,27.265,27.18,27.265
974,2019-01-08,27.24,27.3,27.275,27.28
973,2019-01-08,27.22,27.295,27.275,27.23
972,2019-01-08,27.205,27.23,27.23,27.225
971,2019-01-08,27.19,27.25,27.22,27.235
970,2019-01-08,27.16,27.23,27.23,27.16
969,2019-01-08,27.12,27.17,27.17,27.14
968,2019-01-08,27.08,27.15,27.14,27.15
967,2019-01-08,27.15,27.19,27.17,27.15
966,2019-01-08,27.15,27.18,27.155,27.18
965,2019-01-08,27.15,27.21,27.19,27.21
964,2019-01-08,27.19,27.23,27.225,27.23
963,2019-01-08,27.225,27.26,27.225,27.25
962,2019-01-08,27.18,27.25,27.25,27.19
961,2019-01-08,27.205,27.26,27.205,27.26
960,2019-01-08,27.24,27.29,27.24,27.28
959,2019-01-08,27.24,27.3,27.28,27.295
958,2019-01-08,27.29,27.33,27.305,27.3
957,2019-01-08,27.26,27.3,27.3,27.27
956,2019-01-08,27.23,27.32,27.26,27.32
955,2019-01-08,27.265,27.315,27.315,27.27
954,2019-01-08,27.26,27.33,27.27,27.33
953,2019-01-08,27.28,27.32,27.32,27.3
952,2019-01-08,27.25,27.3,27.3,27.29
951,2019-01-08,27.25,27.31,27.29,27.3
950,2019-01-08,27.3,27.41,27.33,27.36
949,2019-01-08,27.33,27.38,27.37,27.335
948,2019-01-08,27.31,27.36,27.32,27.35
947,2019-01-08,27.34,27.405,27.34,27.38
946,2019-01-08,27.36,27.45,27.38,27.45
