,Date,Low,High,Close,Open
1134,2019-01-10,30.55,30.605,30.58,30.605
1133,2019-01-10,30.59,30.615,30.605,30.6
1132,2019-01-10,30.595,30.625,30.6,30.615
1131,2019-01-10,30.565,30.64,30.615,30.57
1130,2019-01-10,30.52,30.57,30.57,30.54
1129,2019-01-10,30.51,30.55,30.55,30.52
1128,2019-01-10,30.52,30.54,30.52,30.53
1127,2019-01-10,30.52,30.54,30.5299,30.53
1126,2019-01-10,30.53,30.55,30.54,30.53
1125,2019-01-10,30.5,30.535,30.535,30.5
1124,2019-01-10,30.49,30.5359,30.51,30.5
1123,2019-01-10,30.47,30.515,30.5,30.47
1122,2019-01-10,30.425,30.475,30.475,30.43
1121,2019-01-10,30.435,30.47,30.44,30.45
1120,2019-01-10,30.45,30.5,30.45,30.5
1119,2019-01-10,30.48,30.52,30.495,30.48
1118,2019-01-10,30.465,30.51,30.48,30.49
1117,2019-01-10,30.475,30.51,30.5,30.5
1116,2019-01-10,30.49,30.5,30.5,30.5
1115,2019-01-10,30.48,30.52,30.5,30.49
1114,2019-01-10,30.44,30.48,30.48,30.45
1113,2019-01-10,30.44,30.47,30.45,30.44
1112,2019-01-10,30.37,30.45,30.45,30.37
1111,2019-01-10,30.36,30.4,30.36,30.36
1110,2019-01-10,30.36,30.39,30.36,30.37
1109,2019-01-10,30.36,30.3801,30.37,30.37
1108,2019-01-10,30.33,30.37,30.36,30.33
1107,2019-01-10,30.32,30.35,30.335,30.35
1106,2019-01-10,30.35,30.37,30.355,30.36
1105,2019-01-10,30.35,30.38,30.37,30.38
1104,2019-01-10,30.36,30.39,30.38,30.36
1103,2019-01-10,30.33,30.37,30.37,30.355
1102,2019-01-10,30.32,30.37,30.36,30.34
1101,2019-01-10,30.33,30.37,30.36,30.33
1100,2019-01-10,30.34,30.48,30.34,30.47
1099,2019-01-10,30.45,30.5,30.47,30.47
1098,2019-01-10,30.48,30.5,30.5,30.5
1097,2019-01-10,30.51,30.56,30.51,30.52
1096,2019-01-10,30.45,30.55,30.54,30.45
1095,2019-01-10,30.45,30.48,30.46,30.48
1094,2019-01-10,30.46,30.485,30.48,30.47
1093,2019-01-10,30.48,30.5,30.48,30.48
1092,2019-01-10,30.46,30.48,30.48,30.47
1091,2019-01-10,30.45,30.49,30.47,30.45
1090,2019-01-10,30.42,30.48,30.46,30.42
1089,2019-01-10,30.415,30.44,30.42,30.415
1088,2019-01-10,30.41,30.43,30.41,30.42
1087,2019-01-10,30.39,30.46,30.405,30.42
1086,2019-01-10,30.395,30.44,30.43,30.43
1085,2019-01-10,30.4,30.435,30.425,30.41
1084,2019-01-10,30.38,30.42,30.41,30.39
1083,2019-01-10,30.39,30.425,30.3915,30.425
1082,2019-01-10,30.41,30.44,30.42,30.41
1081,2019-01-10,30.34,30.4,30.4,30.35
1080,2019-01-10,30.325,30.35,30.335,30.34
1079,2019-01-10,30.33,30.37,30.35,30.37
1078,2019-01-10,30.36,30.405,30.38,30.38
1077,2019-01-10,30.385,30.4,30.39,30.4
1076,2019-01-10,30.35,30.41,30.4,30.365
1075,2019-01-10,30.335,30.36,30.36,30.34
1074,2019-01-10,30.31,30.35,30.35,30.33
1073,2019-01-10,30.33,30.36,30.345,30.335
1072,2019-01-10,30.27,30.32,30.32,30.275
1071,2019-01-10,30.255,30.3,30.265,30.3
1070,2019-01-10,30.26,30.41,30.3,30.33
1069,2019-01-10,30.18,30.315,30.31,30.18
1068,2019-01-10,30.18,30.22,30.21,30.18
1067,2019-01-10,30.12,30.1884,30.18,30.13
1066,2019-01-10,30.08,30.135,30.12,30.13
1065,2019-01-10,30.12,30.23,30.14,30.12
1064,2019-01-10,30.07,30.1,30.1,30.07
1063,2019-01-10,30.05,30.11,30.07,30.08
1062,2019-01-10,30.06,30.1,30.08,30.09
1061,2019-01-10,30.08,30.12,30.105,30.08
1060,2019-01-10,30.06,30.09,30.06,30.08
1059,2019-01-10,30.06,30.11,30.08,30.1
1058,2019-01-10,30.03,30.12,30.105,30.03
1057,2019-01-10,30.04,30.15,30.06,30.09
1056,2019-01-09,30.27,30.31,30.29,30.28
1055,2019-01-09,30.27,30.305,30.28,30.3
1054,2019-01-09,30.28,30.31,30.3,30.3
1053,2019-01-09,30.29,30.315,30.3,30.31
1052,2019-01-09,30.265,30.33,30.31,30.33
1051,2019-01-09,30.27,30.33,30.33,30.285
1050,2019-01-09,30.26,30.3052,30.29,30.3
1049,2019-01-09,30.29,30.31,30.3,30.3
1048,2019-01-09,30.285,30.31,30.295,30.29
1047,2019-01-09,30.27,30.31,30.285,30.3
1046,2019-01-09,30.27,30.31,30.3,30.3
1045,2019-01-09,30.3,30.31,30.3,30.305
1044,2019-01-09,30.25,30.305,30.3,30.28
1043,2019-01-09,30.26,30.3,30.28,30.3
1042,2019-01-09,30.3,30.32,30.31,30.31
1041,2019-01-09,30.295,30.31,30.3019,30.31
1040,2019-01-09,30.28,30.33,30.32,30.31
1039,2019-01-09,30.27,30.34,30.31,30.3
1038,2019-01-09,30.275,30.31,30.3,30.275
1037,2019-01-09,30.265,30.3,30.28,30.27
1036,2019-01-09,30.26,30.36,30.28,30.35
1035,2019-01-09,30.34,30.39,30.35,30.34
1034,2019-01-09,30.3,30.36,30.36,30.31
1033,2019-01-09,30.27,30.34,30.305,30.28
1032,2019-01-09,30.29,30.3,30.29,30.3
1031,2019-01-09,30.255,30.3,30.3,30.255
1030,2019-01-09,30.255,30.275,30.26,30.275
1029,2019-01-09,30.235,30.27,30.27,30.235
1028,2019-01-09,30.23,30.24,30.235,30.24
1027,2019-01-09,30.23,30.25,30.23,30.24
1026,2019-01-09,30.22,30.26,30.25,30.22
1025,2019-01-09,30.17,30.22,30.22,30.17
1024,2019-01-09,30.16,30.185,30.16,30.18
1023,2019-01-09,30.18,30.21,30.18,30.21
1022,2019-01-09,30.1701,30.23,30.22,30.1701
1021,2019-01-09,30.17,30.2,30.18,30.2
1020,2019-01-09,30.15,30.19,30.18,30.165
1019,2019-01-09,30.16,30.185,30.16,30.165
1018,2019-01-09,30.16,30.195,30.16,30.16
1017,2019-01-09,30.13,30.17,30.16,30.13
1016,2019-01-09,30.11,30.15,30.13,30.13
1015,2019-01-09,30.1,30.13,30.12,30.115
1014,2019-01-09,30.1,30.12,30.11,30.1
1013,2019-01-09,30.09,30.1,30.1,30.1
1012,2019-01-09,30.08,30.105,30.1,30.1
1011,2019-01-09,30.08,30.1,30.09,30.09
1010,2019-01-09,30.05,30.1,30.07,30.1
1009,2019-01-09,30.085,30.11,30.105,30.085
1008,2019-01-09,30.065,30.135,30.08,30.13
1007,2019-01-09,30.05,30.15,30.14,30.055
1006,2019-01-09,30.04,30.07,30.06,30.04
1005,2019-01-09,30.02,30.05,30.04,30.04
1004,2019-01-09,30.0,30.07,30.02,30.0
1003,2019-01-09,29.99,30.01,29.995,29.99
1002,2019-01-09,29.98,30.01,30.0,30.0
1001,2019-01-09,29.9445,30.0,29.99,29.96
1000,2019-01-09,29.92,29.96,29.96,29.92
999,2019-01-09,29.88,29.94,29.935,29.895
998,2019-01-09,29.83,29.95,29.89,29.83
997,2019-01-09,29.74,29.795,29.795,29.77
996,2019-01-09,29.76,29.85,29.765,29.85
995,2019-01-09,29.835,29.87,29.855,29.87
994,2019-01-09,29.87,29.98,29.87,29.98
993,2019-01-09,29.99,30.045,29.99,30.045
992,2019-01-09,30.05,30.105,30.07,30.05
991,2019-01-09,30.04,30.18,30.04,30.18
990,2019-01-09,30.179,30.22,30.195,30.22
989,2019-01-09,30.17,30.23,30.21,30.19
988,2019-01-09,30.165,30.22,30.2,30.2075
987,2019-01-09,30.19,30.245,30.24,30.24
986,2019-01-09,30.2,30.275,30.2372,30.27
985,2019-01-09,30.205,30.275,30.275,30.24
984,2019-01-09,30.195,30.24,30.22,30.21
983,2019-01-09,30.14,30.24,30.24,30.14
982,2019-01-09,30.13,30.29,30.15,30.27
981,2019-01-09,30.25,30.32,30.25,30.3
980,2019-01-09,30.2,30.39,30.33,30.2
979,2019-01-09,30.0,30.22,30.22,30.0
978,2019-01-08,29.99,30.01,30.0,30.01
977,2019-01-08,29.99,30.015,30.0,29.99
976,2019-01-08,29.99,30.02,29.99,30.01
975,2019-01-08,30.0,30.045,30.005,30.045
974,2019-01-08,30.03,30.07,30.045,30.065
973,2019-01-08,30.045,30.08,30.06,30.045
972,2019-01-08,30.03,30.06,30.05,30.05
971,2019-01-08,30.0,30.05,30.05,30.0245
970,2019-01-08,30.0,30.0574,30.03,30.042
969,2019-01-08,30.02,30.04,30.04,30.03
968,2019-01-08,29.98,30.04,30.04,30.0
967,2019-01-08,29.985,30.02,29.995,30.0
966,2019-01-08,29.99,30.01,30.005,30.01
965,2019-01-08,29.99,30.025,30.01,30.025
964,2019-01-08,30.0,30.025,30.02,30.015
963,2019-01-08,29.98,30.02,30.01,29.985
962,2019-01-08,29.96,29.99,29.985,29.97
961,2019-01-08,29.97,30.0,29.975,29.98
960,2019-01-08,29.975,30.0,29.99,29.975
959,2019-01-08,29.96,29.995,29.975,29.995
958,2019-01-08,29.99,30.0165,30.0,29.995
957,2019-01-08,29.96,30.0,29.9987,29.965
956,2019-01-08,29.935,29.965,29.965,29.945
955,2019-01-08,29.905,29.955,29.955,29.91
954,2019-01-08,29.91,29.94,29.92,29.94
953,2019-01-08,29.87,29.93,29.92,29.87
952,2019-01-08,29.81,29.87,29.87,29.83
951,2019-01-08,29.835,29.845,29.835,29.84
950,2019-01-08,29.83,29.865,29.85,29.86
949,2019-01-08,29.815,29.86,29.86,29.82
948,2019-01-08,29.78,29.8118,29.81,29.79
947,2019-01-08,29.775,29.8,29.775,29.78
946,2019-01-08,29.76,29.79,29.7659,29.79
945,2019-01-08,29.74,29.79,29.79,29.74
944,2019-01-08,29.73,29.7486,29.74,29.74
943,2019-01-08,29.7,29.76,29.75,29.71
942,2019-01-08,29.675,29.72,29.71,29.695
941,2019-01-08,29.69,29.72,29.7,29.7
940,2019-01-08,29.685,29.765,29.7,29.745
939,2019-01-08,29.715,29.76,29.755,29.715
938,2019-01-08,29.69,29.72,29.715,29.695
937,2019-01-08,29.69,29.74,29.705,29.72
936,2019-01-08,29.7,29.765,29.71,29.74
935,2019-01-08,29.73,29.755,29.74,29.755
934,2019-01-08,29.72,29.77,29.76,29.745
933,2019-01-08,29.71,29.745,29.745,29.72
932,2019-01-08,29.71,29.74,29.72,29.72
931,2019-01-08,29.73,29.76,29.73,29.75
930,2019-01-08,29.72,29.76,29.75,29.72
929,2019-01-08,29.695,29.72,29.71,29.715
928,2019-01-08,29.645,29.73,29.73,29.645
927,2019-01-08,29.63,29.655,29.645,29.65
926,2019-01-08,29.63,29.665,29.65,29.635
925,2019-01-08,29.585,29.645,29.63,29.635
924,2019-01-08,29.5899,29.65,29.63,29.605
923,2019-01-08,29.57,29.625,29.61,29.6
922,2019-01-08,29.52,29.59,29.58,29.52
921,2019-01-08,29.51,29.56,29.51,29.56
920,2019-01-08,29.485,29.57,29.56,29.49
919,2019-01-08,29.46,29.505,29.5,29.46
918,2019-01-08,29.43,29.47,29.47,29.43
917,2019-01-08,29.4,29.48,29.42,29.48
916,2019-01-08,29.47,29.54,29.49,29.535
915,2019-01-08,29.56,29.64,29.56,29.64
914,2019-01-08,29.58,29.655,29.655,29.63
913,2019-01-08,29.6,29.7,29.615,29.7
912,2019-01-08,29.65,29.705,29.705,29.65
911,2019-01-08,29.64,29.68,29.645,29.67
910,2019-01-08,29.65,29.735,29.665,29.69
909,2019-01-08,29.7,29.795,29.71,29.78
908,2019-01-08,29.77,29.805,29.78,29.79
907,2019-01-08,29.745,29.78,29.77,29.77
906,2019-01-08,29.69,29.76,29.7507,29.75
905,2019-01-08,29.74,29.86,29.74,29.85
904,2019-01-08,29.79,29.86,29.82,29.82
903,2019-01-08,29.7501,29.86,29.83,29.8
902,2019-01-08,29.75,29.88,29.83,29.83
901,2019-01-08,29.7,29.82,29.82,29.74
900,2019-01-07,29.46,29.51,29.47,29.495
899,2019-01-07,29.48,29.5,29.49,29.495
898,2019-01-07,29.47,29.505,29.495,29.5
897,2019-01-07,29.465,29.5,29.5,29.475
896,2019-01-07,29.47,29.505,29.47,29.485
895,2019-01-07,29.45,29.51,29.49,29.49
