,Date,Low,High,Close,Open
1133,2019-01-10,9.43,9.479,9.45,9.43
1132,2019-01-10,9.44,9.46,9.44,9.44
1131,2019-01-10,9.44,9.48,9.4499,9.4657
1130,2019-01-10,9.46,9.49,9.46,9.47
1129,2019-01-10,9.45,9.47,9.47,9.45
1128,2019-01-10,9.44,9.46,9.455,9.44
1127,2019-01-10,9.43,9.46,9.43,9.44
1126,2019-01-10,9.42,9.43,9.43,9.42
1125,2019-01-10,9.4099,9.415,9.41,9.41
1124,2019-01-10,9.38,9.405,9.405,9.39
1123,2019-01-10,9.39,9.41,9.39,9.4
1122,2019-01-10,9.38,9.409,9.409,9.39
1121,2019-01-10,9.35,9.4,9.3873,9.35
1120,2019-01-10,9.35,9.375,9.35,9.375
1119,2019-01-10,9.37,9.38,9.37,9.38
1118,2019-01-10,9.395,9.41,9.395,9.41
1117,2019-01-10,9.41,9.429,9.41,9.41
1116,2019-01-10,9.41,9.42,9.41,9.42
1115,2019-01-10,9.43,9.43,9.43,9.43
1114,2019-01-10,9.417,9.435,9.42,9.42
1113,2019-01-10,9.39,9.41,9.41,9.41
1112,2019-01-10,9.41,9.45,9.41,9.45
1111,2019-01-10,9.4,9.44,9.44,9.4
1110,2019-01-10,9.39,9.41,9.39,9.41
1109,2019-01-10,9.37,9.405,9.4,9.37
1108,2019-01-10,9.36,9.38,9.375,9.37
1107,2019-01-10,9.36,9.37,9.36,9.36
1106,2019-01-10,9.3536,9.37,9.37,9.36
1105,2019-01-10,9.37,9.41,9.37,9.4
1104,2019-01-10,9.38,9.42,9.4,9.42
1103,2019-01-10,9.4,9.42,9.41,9.4
1102,2019-01-10,9.38,9.405,9.4,9.4
1101,2019-01-10,9.41,9.42,9.41,9.41
1100,2019-01-10,9.42,9.44,9.43,9.42
1099,2019-01-10,9.42,9.46,9.42,9.45
1098,2019-01-10,9.4385,9.45,9.4385,9.45
1097,2019-01-10,9.43,9.46,9.45,9.46
1096,2019-01-10,9.46,9.49,9.48,9.46
1095,2019-01-10,9.43,9.465,9.46,9.43
1094,2019-01-10,9.42,9.43,9.42,9.42
1093,2019-01-10,9.425,9.46,9.425,9.44
1092,2019-01-10,9.36,9.44,9.44,9.365
1091,2019-01-10,9.34,9.37,9.37,9.36
1090,2019-01-10,9.36,9.41,9.365,9.4
1089,2019-01-10,9.42,9.445,9.42,9.43
1088,2019-01-10,9.42,9.46,9.42,9.46
1087,2019-01-10,9.48,9.5,9.48,9.48
1086,2019-01-10,9.48,9.52,9.48,9.51
1085,2019-01-10,9.465,9.51,9.505,9.47
1084,2019-01-10,9.46,9.48,9.47,9.48
1083,2019-01-10,9.46,9.49,9.49,9.47
1082,2019-01-10,9.46,9.51,9.47,9.51
1081,2019-01-10,9.51,9.53,9.515,9.51
1080,2019-01-10,9.49,9.53,9.51,9.5
1079,2019-01-10,9.45,9.49,9.49,9.46
1078,2019-01-10,9.39,9.46,9.46,9.39
1077,2019-01-10,9.41,9.45,9.41,9.43
1076,2019-01-10,9.41,9.42,9.42,9.42
1075,2019-01-10,9.41,9.45,9.42,9.435
1074,2019-01-10,9.41,9.45,9.425,9.45
1073,2019-01-10,9.45,9.48,9.46,9.48
1072,2019-01-10,9.475,9.5,9.475,9.48
1071,2019-01-10,9.44,9.47,9.47,9.45
1070,2019-01-10,9.455,9.51,9.455,9.51
1069,2019-01-10,9.5,9.5161,9.51,9.5
1068,2019-01-10,9.46,9.525,9.5072,9.46
1067,2019-01-10,9.43,9.455,9.45,9.44
1066,2019-01-10,9.42,9.45,9.44,9.42
1065,2019-01-10,9.36,9.4,9.4,9.36
1064,2019-01-10,9.33,9.38,9.33,9.36
1063,2019-01-10,9.2533,9.36,9.36,9.2533
1062,2019-01-10,9.23,9.27,9.24,9.26
1061,2019-01-10,9.2,9.26,9.26,9.23
1060,2019-01-10,9.18,9.26,9.18,9.25
1059,2019-01-10,9.2,9.23,9.21,9.22
1058,2019-01-10,9.19,9.24,9.22,9.23
1057,2019-01-10,9.12,9.28,9.26,9.12
1056,2019-01-10,9.0784,9.2159,9.12,9.1521
1055,2019-01-09,9.31,9.33,9.33,9.315
1054,2019-01-09,9.31,9.335,9.31,9.335
1053,2019-01-09,9.33,9.375,9.335,9.375
1052,2019-01-09,9.375,9.385,9.375,9.38
1051,2019-01-09,9.38,9.415,9.38,9.415
1050,2019-01-09,9.41,9.42,9.415,9.42
1049,2019-01-09,9.43,9.44,9.43,9.44
1048,2019-01-09,9.43,9.445,9.43,9.445
1047,2019-01-09,9.43,9.455,9.445,9.43
1046,2019-01-09,9.425,9.45,9.425,9.45
1045,2019-01-09,9.46,9.47,9.46,9.465
1044,2019-01-09,9.45,9.48,9.46,9.45
1043,2019-01-09,9.44,9.47,9.445,9.47
1042,2019-01-09,9.47,9.49,9.485,9.475
1041,2019-01-09,9.47,9.48,9.475,9.47
1040,2019-01-09,9.43,9.46,9.4599,9.43
1039,2019-01-09,9.44,9.455,9.44,9.45
1038,2019-01-09,9.415,9.445,9.44,9.42
1037,2019-01-09,9.4159,9.43,9.43,9.4159
