,Date,Low,High,Close,Open
1133,2019-01-10,54.445,54.52,54.49,54.5
1132,2019-01-10,54.47,54.54,54.495,54.47
1131,2019-01-10,54.46,54.6,54.47,54.59
1130,2019-01-10,54.48,54.57,54.57,54.48
1129,2019-01-10,54.46,54.48,54.46,54.46
1128,2019-01-10,54.41,54.525,54.49,54.41
1127,2019-01-10,54.33,54.41,54.41,54.36
1126,2019-01-10,54.35,54.39,54.35,54.39
1125,2019-01-10,54.37,54.42,54.38,54.42
1124,2019-01-10,54.33,54.42,54.42,54.36
1123,2019-01-10,54.3,54.39,54.39,54.33
1122,2019-01-10,54.29,54.34,54.32,54.3
1121,2019-01-10,54.16,54.28,54.28,54.16
1120,2019-01-10,54.17,54.24,54.17,54.22
1119,2019-01-10,54.23,54.37,54.23,54.37
1118,2019-01-10,54.35,54.42,54.4,54.35
1117,2019-01-10,54.295,54.37,54.345,54.295
1116,2019-01-10,54.23,54.3225,54.3225,54.26
1115,2019-01-10,54.225,54.31,54.275,54.31
1114,2019-01-10,54.31,54.37,54.31,54.31
1113,2019-01-10,54.26,54.3,54.3,54.2825
1112,2019-01-10,54.25,54.3,54.28,54.28
1111,2019-01-10,54.18,54.27,54.27,54.19
1110,2019-01-10,54.13,54.17,54.16,54.13
1109,2019-01-10,54.0193,54.11,54.1,54.02
1108,2019-01-10,54.0,54.04,54.0244,54.02
1107,2019-01-10,53.94,54.03,54.02,53.94
1106,2019-01-10,53.95,54.0,53.97,54.0
1105,2019-01-10,54.0,54.07,54.02,54.06
1104,2019-01-10,54.03,54.09,54.09,54.09
1103,2019-01-10,54.02,54.07,54.07,54.02
1102,2019-01-10,53.97,54.03,54.03,54.01
1101,2019-01-10,53.99,54.035,54.02,54.035
1100,2019-01-10,54.05,54.09,54.06,54.05
1099,2019-01-10,54.04,54.19,54.08,54.19
1098,2019-01-10,54.18,54.26,54.18,54.23
1097,2019-01-10,54.29,54.37,54.29,54.37
1096,2019-01-10,54.39,54.46,54.39,54.42
1095,2019-01-10,54.3,54.43,54.41,54.3
1094,2019-01-10,54.29,54.36,54.295,54.36
1093,2019-01-10,54.31,54.36,54.36,54.33
1092,2019-01-10,54.34,54.37,54.3501,54.36
1091,2019-01-10,54.29,54.37,54.36,54.325
1090,2019-01-10,54.3,54.33,54.33,54.32
1089,2019-01-10,54.27,54.32,54.32,54.27
1088,2019-01-10,54.15,54.255,54.255,54.15
1087,2019-01-10,54.13,54.18,54.17,54.13
1086,2019-01-10,54.15,54.25,54.153,54.2
1085,2019-01-10,54.15,54.21,54.19,54.21
1084,2019-01-10,54.12,54.22,54.19,54.12
1083,2019-01-10,54.111,54.15,54.13,54.14
1082,2019-01-10,54.14,54.19,54.15,54.19
1081,2019-01-10,54.2,54.27,54.22,54.2
1080,2019-01-10,54.06,54.15,54.15,54.06
1079,2019-01-10,54.05,54.15,54.05,54.13
1078,2019-01-10,54.16,54.24,54.17,54.18
1077,2019-01-10,54.2,54.23,54.2,54.23
1076,2019-01-10,54.18,54.24,54.24,54.18
1075,2019-01-10,54.135,54.23,54.22,54.135
1074,2019-01-10,54.13,54.1625,54.15,54.16
1073,2019-01-10,54.07,54.195,54.17,54.07
1072,2019-01-10,54.05,54.13,54.13,54.05
1071,2019-01-10,53.91,54.04,53.99,54.03
1070,2019-01-10,54.01,54.07,54.03,54.07
1069,2019-01-10,53.95,54.04,54.04,53.99
1068,2019-01-10,53.97,54.04,54.01,54.02
1067,2019-01-10,53.92,54.03,54.03,53.97
1066,2019-01-10,53.77,53.97,53.97,53.77
1065,2019-01-10,53.67,53.775,53.775,53.73
1064,2019-01-10,53.76,53.83,53.76,53.83
1063,2019-01-10,53.75,53.84,53.81,53.75
1062,2019-01-10,53.69,53.8,53.77,53.69
1061,2019-01-10,53.53,53.65,53.65,53.54
1060,2019-01-10,53.445,53.48,53.47,53.46
1059,2019-01-10,53.44,53.49,53.49,53.44
1058,2019-01-10,53.42,53.49,53.45,53.47
1057,2019-01-10,53.35,53.5,53.44,53.35
1056,2019-01-10,53.4198,53.63,53.4198,53.63
1055,2019-01-09,53.74,53.91,53.85,53.74
1054,2019-01-09,53.745,53.795,53.745,53.79
1053,2019-01-09,53.7797,53.95,53.81,53.935
1052,2019-01-09,53.92,54.02,53.9325,54.02
1051,2019-01-09,53.98,54.1,54.01,54.1
1050,2019-01-09,54.03,54.13,54.13,54.06
1049,2019-01-09,54.1,54.19,54.12,54.1269
1048,2019-01-09,54.145,54.185,54.145,54.18
1047,2019-01-09,54.09,54.18,54.17,54.09
1046,2019-01-09,54.035,54.1,54.08,54.1
1045,2019-01-09,54.04,54.11,54.09,54.1
1044,2019-01-09,54.03,54.11,54.08,54.06
1043,2019-01-09,54.05,54.1,54.05,54.1
1042,2019-01-09,54.05,54.12,54.1,54.12
1041,2019-01-09,53.99,54.12,54.12,54.0
1040,2019-01-09,53.975,54.02,53.985,54.01
1039,2019-01-09,54.03,54.1,54.04,54.05
1038,2019-01-09,53.9065,54.05,54.05,53.94
1037,2019-01-09,53.87,53.96,53.94,53.96
1036,2019-01-09,53.88,54.0,53.98,53.88
1035,2019-01-09,53.92,54.09,53.92,54.09
1034,2019-01-09,54.03,54.11,54.09,54.11
1033,2019-01-09,54.09,54.15,54.15,54.09
1032,2019-01-09,54.04,54.2,54.07,54.05
1031,2019-01-09,54.0,54.03,54.03,54.03
1030,2019-01-09,54.0,54.04,54.01,54.04
1029,2019-01-09,54.04,54.08,54.07,54.04
1028,2019-01-09,54.01,54.0696,54.03,54.01
1027,2019-01-09,54.01,54.11,54.01,54.09
1026,2019-01-09,54.06,54.19,54.08,54.19
1025,2019-01-09,54.15,54.2,54.18,54.18
1024,2019-01-09,54.165,54.23,54.17,54.23
1023,2019-01-09,54.18,54.2499,54.2499,54.22
1022,2019-01-09,54.12,54.22,54.22,54.13
1021,2019-01-09,54.06,54.2,54.14,54.06
1020,2019-01-09,54.07,54.13,54.08,54.12
1019,2019-01-09,54.08,54.18,54.12,54.08
1018,2019-01-09,54.11,54.23,54.11,54.22
1017,2019-01-09,54.21,54.27,54.22,54.25
1016,2019-01-09,54.15,54.22,54.22,54.15
1015,2019-01-09,54.15,54.23,54.18,54.21
1014,2019-01-09,54.15,54.25,54.18,54.17
1013,2019-01-09,54.05,54.18,54.16,54.07
1012,2019-01-09,54.0,54.05,54.05,54.04
1011,2019-01-09,54.01,54.06,54.01,54.02
1010,2019-01-09,53.99,54.03,54.01,54.0
1009,2019-01-09,53.99,54.09,53.99,54.08
1008,2019-01-09,54.03,54.1,54.06,54.07
1007,2019-01-09,54.05,54.14,54.07,54.13
1006,2019-01-09,54.04,54.18,54.14,54.1
1005,2019-01-09,53.99,54.19,54.1,53.99
1004,2019-01-09,53.985,54.02,54.0,54.02
1003,2019-01-09,53.99,54.04,54.02,54.03
1002,2019-01-09,54.0,54.06,54.02,54.06
1001,2019-01-09,54.05,54.2,54.09,54.2
1000,2019-01-09,54.04,54.21,54.21,54.12
999,2019-01-09,54.12,54.22,54.15,54.22
998,2019-01-09,54.115,54.3,54.26,54.15
997,2019-01-09,54.14,54.27,54.14,54.23
996,2019-01-09,54.09,54.32,54.26,54.09
995,2019-01-09,54.09,54.15,54.11,54.15
994,2019-01-09,54.18,54.31,54.22,54.3
993,2019-01-09,54.24,54.35,54.3,54.35
992,2019-01-09,54.33,54.47,54.33,54.47
991,2019-01-09,54.44,54.54,54.47,54.45
990,2019-01-09,54.44,54.59,54.47,54.59
989,2019-01-09,54.57,54.65,54.65,54.58
988,2019-01-09,54.525,54.67,54.525,54.56
987,2019-01-09,54.34,54.54,54.54,54.35
986,2019-01-09,54.36,54.52,54.41,54.515
985,2019-01-09,54.25,54.495,54.48,54.31
984,2019-01-09,54.13,54.33,54.265,54.26
983,2019-01-09,54.07,54.39,54.27,54.13
982,2019-01-09,54.18,54.3,54.2,54.225
981,2019-01-09,54.17,54.27,54.195,54.25
980,2019-01-09,54.07,54.225,54.13,54.07
979,2019-01-09,54.04,54.29,54.05,54.26
978,2019-01-09,53.93,54.29,54.28,54.07
977,2019-01-08,53.71,53.78,53.73,53.75
976,2019-01-08,53.66,53.75,53.75,53.68
975,2019-01-08,53.61,53.7,53.68,53.61
974,2019-01-08,53.58,53.67,53.6,53.66
973,2019-01-08,53.65,53.7,53.66,53.67
972,2019-01-08,53.62,53.71,53.68,53.63
971,2019-01-08,53.55,53.63,53.63,53.55
970,2019-01-08,53.49,53.59,53.55,53.5273
969,2019-01-08,53.52,53.55,53.5237,53.55
968,2019-01-08,53.495,53.56,53.56,53.5
967,2019-01-08,53.39,53.52,53.495,53.46
966,2019-01-08,53.42,53.47,53.46,53.44
965,2019-01-08,53.41,53.5,53.47,53.48
964,2019-01-08,53.46,53.54,53.48,53.54
963,2019-01-08,53.52,53.605,53.57,53.57
962,2019-01-08,53.48,53.56,53.56,53.48
961,2019-01-08,53.44,53.52,53.48,53.455
960,2019-01-08,53.35,53.47,53.46,53.35
959,2019-01-08,53.35,53.41,53.36,53.4
958,2019-01-08,53.32,53.46,53.355,53.46
957,2019-01-08,53.41,53.48,53.445,53.435
956,2019-01-08,53.42,53.47,53.42,53.44
955,2019-01-08,53.39,53.45,53.42,53.45
954,2019-01-08,53.41,53.47,53.435,53.41
953,2019-01-08,53.44,53.48,53.45,53.455
952,2019-01-08,53.31,53.46,53.45,53.31
951,2019-01-08,53.2,53.3,53.3,53.27
950,2019-01-08,53.25,53.38,53.27,53.38
949,2019-01-08,53.33,53.39,53.365,53.34
948,2019-01-08,53.22,53.36,53.36,53.22
947,2019-01-08,53.11,53.25,53.23,53.11
946,2019-01-08,53.09,53.13,53.11,53.11
945,2019-01-08,53.1,53.18,53.1,53.16
944,2019-01-08,53.04,53.23,53.19,53.08
943,2019-01-08,53.01,53.08,53.08,53.03
942,2019-01-08,52.87,53.08,53.05,52.87
941,2019-01-08,52.83,52.91,52.895,52.86
940,2019-01-08,52.73,52.85,52.85,52.73
939,2019-01-08,52.76,52.95,52.76,52.87
938,2019-01-08,52.92,53.05,52.92,53.03
937,2019-01-08,52.95,53.05,53.03,52.975
936,2019-01-08,52.98,53.028,52.99,53.01
935,2019-01-08,52.96,53.05,53.02,53.05
934,2019-01-08,52.93,53.03,53.02,52.96
933,2019-01-08,52.88,52.955,52.955,52.88
932,2019-01-08,52.72,52.87,52.87,52.73
931,2019-01-08,52.62,52.73,52.73,52.66
930,2019-01-08,52.63,52.715,52.715,52.66
929,2019-01-08,52.54,52.74,52.67,52.54
928,2019-01-08,52.3775,52.5,52.5,52.3775
927,2019-01-08,52.33,52.4,52.4,52.33
926,2019-01-08,52.3,52.35,52.34,52.33
925,2019-01-08,52.13,52.32,52.32,52.13
924,2019-01-08,52.12,52.2,52.12,52.15
923,2019-01-08,52.23,52.35,52.23,52.32
922,2019-01-08,52.21,52.29,52.28,52.29
921,2019-01-08,52.225,52.3,52.29,52.225
920,2019-01-08,52.18,52.3,52.18,52.3
919,2019-01-08,52.28,52.36,52.34,52.33
918,2019-01-08,52.32,52.4,52.34,52.32
917,2019-01-08,52.31,52.36,52.34,52.33
916,2019-01-08,52.28,52.31,52.285,52.31
915,2019-01-08,52.3,52.38,52.3699,52.3
914,2019-01-08,52.32,52.56,52.32,52.56
913,2019-01-08,52.37,52.51,52.51,52.38
912,2019-01-08,52.35,52.5,52.4,52.49
911,2019-01-08,52.41,52.6,52.53,52.41
910,2019-01-08,52.23,52.36,52.34,52.23
909,2019-01-08,52.2,52.35,52.2,52.35
908,2019-01-08,52.38,52.5698,52.38,52.5698
907,2019-01-08,52.61,52.9,52.61,52.9
906,2019-01-08,52.7901,52.91,52.88,52.85
905,2019-01-08,52.67,52.885,52.8,52.86
904,2019-01-08,52.89,52.98,52.9,52.98
903,2019-01-08,52.81,53.01,53.01,52.93
902,2019-01-08,52.79,53.01,52.9799,52.8
901,2019-01-08,52.87,53.02,52.87,52.97
900,2019-01-08,53.05,53.1765,53.08,53.05
899,2019-01-07,52.35,52.43,52.38,52.35
898,2019-01-07,52.34,52.43,52.35,52.43
897,2019-01-07,52.4,52.46,52.425,52.41
896,2019-01-07,52.38,52.42,52.38,52.4
895,2019-01-07,52.42,52.51,52.42,52.49
894,2019-01-07,52.41,52.51,52.5,52.51
893,2019-01-07,52.48,52.55,52.5,52.54
892,2019-01-07,52.51,52.55,52.53,52.55
891,2019-01-07,52.53,52.58,52.56,52.55
890,2019-01-07,52.51,52.55,52.55,52.54
889,2019-01-07,52.46,52.55,52.54,52.47
888,2019-01-07,52.31,52.47,52.47,52.31
887,2019-01-07,52.3,52.38,52.32,52.35
886,2019-01-07,52.37,52.47,52.37,52.43
885,2019-01-07,52.4,52.5,52.44,52.5
884,2019-01-07,52.4,52.5,52.5,52.45
883,2019-01-07,52.44,52.62,52.44,52.62
882,2019-01-07,52.61,52.66,52.62,52.64
881,2019-01-07,52.57,52.65,52.63,52.61
880,2019-01-07,52.6,52.71,52.63,52.685
879,2019-01-07,52.633,52.77,52.665,52.72
878,2019-01-07,52.68,52.74,52.72,52.74
877,2019-01-07,52.73,52.83,52.75,52.825
876,2019-01-07,52.77,52.86,52.83,52.78
875,2019-01-07,52.76,52.81,52.765,52.78
874,2019-01-07,52.74,52.8,52.785,52.8
873,2019-01-07,52.79,52.91,52.815,52.89
872,2019-01-07,52.84,52.89,52.89,52.88
871,2019-01-07,52.89,53.04,52.89,53.04
870,2019-01-07,52.89,53.06,53.06,52.94
