,Date,Low,High,Close,Open
147,2019-01-10,2.27,2.27,2.27,2.27
146,2019-01-10,2.28,2.28,2.28,2.28
145,2019-01-10,2.271,2.271,2.271,2.271
144,2019-01-10,2.28,2.28,2.28,2.28
143,2019-01-10,2.28,2.28,2.28,2.28
142,2019-01-10,2.26,2.26,2.26,2.26
141,2019-01-10,2.28,2.28,2.28,2.28
140,2019-01-10,2.27,2.27,2.27,2.27
139,2019-01-10,2.201,2.201,2.201,2.201
138,2019-01-10,2.26,2.275,2.275,2.26
137,2019-01-10,2.27,2.27,2.27,2.27
136,2019-01-10,2.2805,2.2805,2.2805,2.2805
135,2019-01-10,2.28,2.28,2.28,2.28
134,2019-01-10,2.2,2.2,2.2,2.2
133,2019-01-09,2.3,2.37,2.37,2.3
132,2019-01-09,2.3001,2.3001,2.3001,2.3001
131,2019-01-09,2.3178,2.3178,2.3178,2.3178
130,2019-01-09,2.32,2.3695,2.32,2.3695
129,2019-01-09,2.3201,2.3201,2.3201,2.3201
128,2019-01-09,2.3101,2.3266,2.3101,2.3266
127,2019-01-09,2.2901,2.35,2.35,2.2901
126,2019-01-09,2.2901,2.2901,2.2901,2.2901
125,2019-01-09,2.33,2.3455,2.33,2.3455
124,2019-01-09,2.3601,2.3999,2.3618,2.3999
123,2019-01-09,2.3139,2.3829,2.3829,2.34
122,2019-01-09,2.26,2.26,2.26,2.26
121,2019-01-09,2.29,2.29,2.29,2.29
120,2019-01-09,2.32,2.32,2.32,2.32
119,2019-01-09,2.26,2.26,2.26,2.26
118,2019-01-09,2.2297,2.2297,2.2297,2.2297
117,2019-01-09,2.2211,2.2211,2.2211,2.2211
116,2019-01-09,2.27,2.27,2.27,2.27
115,2019-01-08,2.24,2.25,2.25,2.24
114,2019-01-08,2.24,2.24,2.24,2.24
113,2019-01-08,2.2,2.2,2.2,2.2
112,2019-01-08,2.211,2.211,2.211,2.211
111,2019-01-08,2.25,2.25,2.25,2.25
110,2019-01-08,2.19,2.19,2.19,2.19
109,2019-01-08,2.22,2.23,2.23,2.22
108,2019-01-08,2.23,2.23,2.23,2.23
107,2019-01-08,2.1394,2.15,2.1394,2.15
106,2019-01-08,2.2,2.2101,2.2,2.2101
105,2019-01-08,2.293,2.293,2.293,2.293
104,2019-01-07,2.14,2.14,2.14,2.14
103,2019-01-07,2.14,2.14,2.14,2.14
102,2019-01-07,2.13,2.1599,2.13,2.1599
101,2019-01-07,2.17,2.17,2.17,2.17
100,2019-01-07,2.17,2.17,2.17,2.17
99,2019-01-07,2.18,2.18,2.18,2.18
98,2019-01-07,2.17,2.17,2.17,2.17
97,2019-01-07,2.15,2.15,2.15,2.15
96,2019-01-07,2.14,2.14,2.14,2.14
95,2019-01-07,2.15,2.15,2.15,2.15
94,2019-01-07,2.15,2.15,2.15,2.15
93,2019-01-07,2.15,2.18,2.15,2.18
92,2019-01-07,2.1909,2.1909,2.1909,2.1909
91,2019-01-07,2.19,2.19,2.19,2.19
90,2019-01-07,2.14,2.14,2.14,2.14
89,2019-01-04,2.2292,2.24,2.24,2.2292
88,2019-01-04,2.26,2.26,2.26,2.26
87,2019-01-04,2.26,2.26,2.26,2.26
86,2019-01-04,2.27,2.27,2.27,2.27
85,2019-01-04,2.1608,2.1608,2.1608,2.1608
84,2019-01-04,2.1202,2.2,2.1202,2.2
83,2019-01-04,2.1894,2.1894,2.1894,2.1894
82,2019-01-03,2.2086,2.2086,2.2086,2.2086
81,2019-01-03,2.2117,2.2117,2.2117,2.2117
80,2019-01-03,2.225,2.225,2.225,2.225
79,2019-01-03,2.24,2.24,2.24,2.24
78,2019-01-03,2.2403,2.2403,2.2403,2.2403
77,2019-01-03,2.23,2.23,2.23,2.23
76,2019-01-03,2.1619,2.1619,2.1619,2.1619
75,2019-01-03,2.18,2.18,2.18,2.18
74,2019-01-03,2.18,2.18,2.18,2.18
73,2019-01-02,2.1601,2.1601,2.1601,2.1601
72,2019-01-02,2.1708,2.1708,2.1708,2.1708
71,2019-01-02,2.19,2.19,2.19,2.19
70,2019-01-02,2.235,2.235,2.235,2.235
69,2019-01-02,2.21,2.21,2.21,2.21
68,2019-01-02,2.17,2.17,2.17,2.17
67,2019-01-02,2.17,2.17,2.17,2.17
66,2019-01-02,2.16,2.16,2.16,2.16
65,2019-01-02,2.17,2.17,2.17,2.17
64,2019-01-02,2.1809,2.1809,2.1809,2.1809
63,2019-01-02,2.2,2.2,2.2,2.2
62,2019-01-02,2.28,2.28,2.28,2.28
61,2018-12-31,2.1467,2.1467,2.1467,2.1467
60,2018-12-31,2.1895,2.1895,2.1895,2.1895
