,Date,Low,High,Close,Open
1134,2019-01-10,24.88,24.94,24.93,24.94
1133,2019-01-10,24.91,24.97,24.945,24.915
1132,2019-01-10,24.91,24.95,24.915,24.92
1131,2019-01-10,24.91,24.96,24.92,24.94
1130,2019-01-10,24.905,24.94,24.94,24.93
1129,2019-01-10,24.925,24.96,24.93,24.94
1128,2019-01-10,24.935,24.97,24.945,24.95
1127,2019-01-10,24.92,24.95,24.95,24.945
1126,2019-01-10,24.93,24.95,24.95,24.94
1125,2019-01-10,24.89,24.94,24.94,24.94
1124,2019-01-10,24.925,24.95,24.945,24.93
1123,2019-01-10,24.9,24.94,24.94,24.9
1122,2019-01-10,24.88,24.905,24.905,24.9
1121,2019-01-10,24.89,24.93,24.905,24.93
1120,2019-01-10,24.92,24.97,24.92,24.96
1119,2019-01-10,24.905,24.972,24.97,24.905
1118,2019-01-10,24.9,24.92,24.91,24.9
1117,2019-01-10,24.88,24.9,24.9,24.89
1116,2019-01-10,24.88,24.92,24.9,24.9
1115,2019-01-10,24.88,24.91,24.89,24.89
1114,2019-01-10,24.86,24.89,24.89,24.87
1113,2019-01-10,24.84,24.87,24.87,24.855
1112,2019-01-10,24.85,24.875,24.85,24.85
1111,2019-01-10,24.78,24.84,24.84,24.78
1110,2019-01-10,24.725,24.775,24.77,24.74
1109,2019-01-10,24.72,24.75,24.74,24.72
1108,2019-01-10,24.64,24.69,24.685,24.64
1107,2019-01-10,24.64,24.69,24.645,24.69
1106,2019-01-10,24.68,24.72,24.6899,24.71
1105,2019-01-10,24.66,24.72,24.715,24.72
1104,2019-01-10,24.715,24.735,24.715,24.72
1103,2019-01-10,24.72,24.735,24.73,24.73
1102,2019-01-10,24.725,24.76,24.73,24.76
1101,2019-01-10,24.77,24.81,24.77,24.8
1100,2019-01-10,24.77,24.87,24.78,24.86
1099,2019-01-10,24.815,24.865,24.85,24.83
1098,2019-01-10,24.82,24.84,24.84,24.84
1097,2019-01-10,24.835,24.875,24.84,24.85
1096,2019-01-10,24.81,24.88,24.86,24.81
1095,2019-01-10,24.82,24.845,24.825,24.845
1094,2019-01-10,24.84,24.8753,24.84,24.87
1093,2019-01-10,24.865,24.91,24.87,24.91
1092,2019-01-10,24.9,24.92,24.91,24.92
1091,2019-01-10,24.88,24.92,24.92,24.88
1090,2019-01-10,24.89,24.93,24.89,24.93
1089,2019-01-10,24.9,24.93,24.93,24.905
1088,2019-01-10,24.91,24.95,24.92,24.95
1087,2019-01-10,24.95,25.02,24.95,25.005
1086,2019-01-10,24.99,25.03,25.0,25.03
1085,2019-01-10,25.02,25.05,25.025,25.05
1084,2019-01-10,25.02,25.05,25.045,25.02
1083,2019-01-10,25.015,25.04,25.02,25.015
1082,2019-01-10,25.01,25.04,25.02,25.01
1081,2019-01-10,24.98,25.01,25.01,24.99
1080,2019-01-10,24.99,25.015,24.99,25.0
1079,2019-01-10,25.01,25.05,25.01,25.05
1078,2019-01-10,25.05,25.07,25.06,25.055
1077,2019-01-10,25.01,25.06,25.054,25.01
1076,2019-01-10,24.985,25.04,25.02,24.985
1075,2019-01-10,24.955,24.975,24.96,24.965
1074,2019-01-10,24.925,24.96,24.95,24.94
1073,2019-01-10,24.95,24.96,24.96,24.955
1072,2019-01-10,24.94,24.97,24.95,24.96
1071,2019-01-10,24.94,25.0,24.94,24.99
1070,2019-01-10,24.91,24.98,24.98,24.945
1069,2019-01-10,24.9,24.94,24.93,24.91
1068,2019-01-10,24.9,24.92,24.91,24.92
1067,2019-01-10,24.87,24.9157,24.9157,24.87
1066,2019-01-10,24.87,24.93,24.87,24.93
1065,2019-01-10,24.93,25.01,24.93,24.99
1064,2019-01-10,24.94,25.0,24.98,24.94
1063,2019-01-10,24.865,24.95,24.91,24.865
1062,2019-01-10,24.81,24.875,24.87,24.87
1061,2019-01-10,24.9,24.9499,24.9,24.9
1060,2019-01-10,24.9,25.03,24.9,24.97
1059,2019-01-10,24.92,25.03,24.975,25.03
1058,2019-01-10,24.93,25.05,25.01,24.98
1057,2019-01-10,24.95,25.05,25.01,24.95
1056,2019-01-09,25.01,25.05,25.05,25.015
1055,2019-01-09,25.0,25.05,25.015,25.05
1054,2019-01-09,25.025,25.065,25.055,25.06
1053,2019-01-09,25.055,25.09,25.055,25.09
1052,2019-01-09,25.065,25.1,25.09,25.1
1051,2019-01-09,25.08,25.11,25.105,25.09
1050,2019-01-09,25.095,25.11,25.095,25.11
1049,2019-01-09,25.1,25.12,25.1,25.105
1048,2019-01-09,25.095,25.11,25.105,25.11
1047,2019-01-09,25.1,25.15,25.105,25.13
1046,2019-01-09,25.12,25.15,25.135,25.14
1045,2019-01-09,25.1,25.155,25.15,25.1
1044,2019-01-09,25.1,25.15,25.1,25.15
1043,2019-01-09,25.13,25.16,25.15,25.15
1042,2019-01-09,25.13,25.16,25.15,25.14
1041,2019-01-09,25.1,25.13,25.13,25.115
1040,2019-01-09,25.115,25.13,25.12,25.125
1039,2019-01-09,25.08,25.13,25.125,25.09
1038,2019-01-09,25.09,25.12,25.09,25.1
1037,2019-01-09,25.09,25.13,25.105,25.11
1036,2019-01-09,25.13,25.225,25.13,25.22
1035,2019-01-09,25.2,25.235,25.21,25.21
1034,2019-01-09,25.18,25.22,25.22,25.19
1033,2019-01-09,25.15,25.22,25.18,25.2
1032,2019-01-09,25.17,25.19,25.19,25.175
1031,2019-01-09,25.16,25.19,25.165,25.19
1030,2019-01-09,25.19,25.2,25.195,25.19
1029,2019-01-09,25.18,25.2,25.18,25.185
1028,2019-01-09,25.175,25.195,25.19,25.175
1027,2019-01-09,25.175,25.195,25.175,25.195
1026,2019-01-09,25.18,25.2,25.19,25.195
1025,2019-01-09,25.17,25.195,25.195,25.19
1024,2019-01-09,25.18,25.2,25.18,25.2
1023,2019-01-09,25.19,25.24,25.2,25.24
1022,2019-01-09,25.22,25.25,25.25,25.245
1021,2019-01-09,25.21,25.25,25.25,25.22
1020,2019-01-09,25.21,25.23,25.23,25.21
1019,2019-01-09,25.21,25.23,25.215,25.215
1018,2019-01-09,25.195,25.23,25.21,25.215
1017,2019-01-09,25.185,25.22,25.22,25.185
1016,2019-01-09,25.16,25.19,25.19,25.16
1015,2019-01-09,25.14,25.17,25.155,25.15
1014,2019-01-09,25.14,25.18,25.15,25.18
1013,2019-01-09,25.13,25.18,25.17,25.135
1012,2019-01-09,25.11,25.13,25.12,25.12
1011,2019-01-09,25.09,25.11,25.1,25.105
1010,2019-01-09,25.1,25.12,25.11,25.1
1009,2019-01-09,25.095,25.12,25.1031,25.095
1008,2019-01-09,25.085,25.155,25.085,25.155
1007,2019-01-09,25.09,25.16,25.155,25.12
1006,2019-01-09,25.07,25.12,25.11,25.08
1005,2019-01-09,25.065,25.1,25.08,25.095
1004,2019-01-09,25.07,25.13,25.075,25.1
1003,2019-01-09,25.05,25.11,25.09,25.11
1002,2019-01-09,25.08,25.13,25.11,25.08
1001,2019-01-09,24.99,25.07,25.06,25.03
1000,2019-01-09,25.0,25.04,25.04,25.03
999,2019-01-09,25.02,25.065,25.05,25.02
998,2019-01-09,25.0,25.03,25.01,25.025
997,2019-01-09,24.91,25.03,25.03,24.93
996,2019-01-09,24.91,24.94,24.92,24.91
995,2019-01-09,24.8975,24.935,24.91,24.93
994,2019-01-09,24.9,24.93,24.93,24.925
993,2019-01-09,24.91,24.98,24.92,24.935
992,2019-01-09,24.93,24.99,24.94,24.99
991,2019-01-09,24.97,25.07,24.99,25.07
990,2019-01-09,25.085,25.15,25.085,25.15
989,2019-01-09,25.12,25.185,25.145,25.18
988,2019-01-09,25.13,25.19,25.19,25.13
987,2019-01-09,25.15,25.195,25.15,25.18
986,2019-01-09,25.165,25.21,25.18,25.195
985,2019-01-09,25.18,25.24,25.19,25.22
984,2019-01-09,25.16,25.24,25.19,25.23
983,2019-01-09,25.19,25.26,25.23,25.23
982,2019-01-09,25.14,25.24,25.24,25.14
981,2019-01-09,25.05,25.16,25.13,25.095
980,2019-01-09,25.09,25.22,25.15,25.16
979,2019-01-09,25.01,25.17,25.17,25.05
978,2019-01-08,24.97,25.03,25.02,24.97
977,2019-01-08,24.93,24.98,24.975,24.95
976,2019-01-08,24.95,25.0,24.955,24.97
975,2019-01-08,24.93,24.96,24.96,24.94
974,2019-01-08,24.9,24.95,24.94,24.91
973,2019-01-08,24.845,24.905,24.9,24.85
972,2019-01-08,24.81,24.845,24.845,24.825
971,2019-01-08,24.79,24.82,24.82,24.81
