,Date,Low,High,Close,Open
1133,2019-01-10,1.18,1.185,1.18,1.18
1132,2019-01-10,1.18,1.1895,1.185,1.185
1131,2019-01-10,1.18,1.185,1.185,1.185
1130,2019-01-10,1.18,1.19,1.18,1.1801
1129,2019-01-10,1.18,1.18,1.18,1.18
1128,2019-01-10,1.18,1.185,1.18,1.185
1127,2019-01-10,1.18,1.185,1.185,1.18
1126,2019-01-10,1.18,1.185,1.185,1.18
1125,2019-01-10,1.18,1.1885,1.18,1.1885
1124,2019-01-10,1.18,1.185,1.185,1.18
1123,2019-01-10,1.18,1.1836,1.1836,1.18
1122,2019-01-10,1.18,1.1877,1.18,1.185
1121,2019-01-10,1.18,1.1899,1.18,1.1877
1120,2019-01-10,1.18,1.19,1.19,1.18
1119,2019-01-10,1.18,1.185,1.18,1.185
1118,2019-01-10,1.18,1.185,1.185,1.18
1117,2019-01-10,1.18,1.185,1.18,1.18
1116,2019-01-10,1.18,1.1824,1.1824,1.18
1115,2019-01-10,1.18,1.1894,1.1894,1.18
1114,2019-01-10,1.18,1.185,1.18,1.185
1113,2019-01-10,1.18,1.1892,1.18,1.18
1112,2019-01-10,1.175,1.185,1.185,1.175
1111,2019-01-10,1.175,1.1785,1.175,1.1785
1110,2019-01-10,1.17,1.175,1.175,1.175
1109,2019-01-10,1.17,1.175,1.17,1.17
1108,2019-01-10,1.175,1.1785,1.175,1.1785
1107,2019-01-10,1.17,1.1798,1.17,1.17
1106,2019-01-10,1.17,1.1755,1.17,1.1755
1105,2019-01-10,1.17,1.175,1.175,1.17
1104,2019-01-10,1.17,1.1733,1.1733,1.17
1103,2019-01-10,1.17,1.17,1.17,1.17
1102,2019-01-10,1.17,1.18,1.17,1.18
1101,2019-01-10,1.18,1.185,1.185,1.18
1100,2019-01-10,1.19,1.19,1.19,1.19
1099,2019-01-10,1.19,1.2,1.191,1.2
1098,2019-01-10,1.2,1.21,1.205,1.21
1097,2019-01-10,1.21,1.2155,1.21,1.2155
1096,2019-01-10,1.21,1.22,1.22,1.215
1095,2019-01-10,1.21,1.21,1.21,1.21
1094,2019-01-10,1.21,1.21,1.21,1.21
1093,2019-01-10,1.21,1.21,1.21,1.21
1092,2019-01-10,1.21,1.215,1.21,1.21
1091,2019-01-10,1.21,1.21,1.21,1.21
1090,2019-01-10,1.21,1.2185,1.2148,1.21
1089,2019-01-10,1.21,1.21,1.21,1.21
1088,2019-01-10,1.21,1.2275,1.21,1.2275
