,Date,Low,High,Close,Open
1134,2019-01-10,68.02,68.23,68.03,68.23
1133,2019-01-10,68.2,68.27,68.22,68.2
1132,2019-01-10,68.14,68.25,68.2,68.22
1131,2019-01-10,68.19,68.273,68.21,68.21
1130,2019-01-10,68.2,68.255,68.21,68.24
1129,2019-01-10,68.14,68.24,68.24,68.23
1128,2019-01-10,68.1995,68.25,68.2345,68.21
1127,2019-01-10,68.16,68.22,68.21,68.1685
1126,2019-01-10,68.15,68.22,68.18,68.19
1125,2019-01-10,67.995,68.17,68.17,68.0
1124,2019-01-10,68.01,68.07,68.01,68.04
1123,2019-01-10,68.0,68.1,68.0599,68.05
1122,2019-01-10,67.96,68.06,68.06,67.96
1121,2019-01-10,67.951,68.0267,67.98,68.0267
1120,2019-01-10,68.0,68.09,68.02,68.06
1119,2019-01-10,67.97,68.09,68.06,67.98
1118,2019-01-10,67.96,68.0,67.97,67.97
1117,2019-01-10,67.94,67.99,67.99,67.99
1116,2019-01-10,67.94,68.01,67.98,68.01
1115,2019-01-10,68.005,68.09,68.01,68.02
1114,2019-01-10,67.95,68.02,68.01,68.0
1113,2019-01-10,67.9633,68.1,68.0,68.07
1112,2019-01-10,67.97,68.08,68.08,68.0
1111,2019-01-10,67.9,67.97,67.97,67.9
1110,2019-01-10,67.74,67.85,67.85,67.74
1109,2019-01-10,67.73,67.81,67.76,67.78
1108,2019-01-10,67.67,67.753,67.75,67.67
1107,2019-01-10,67.55,67.69,67.67,67.69
1106,2019-01-10,67.62,67.76,67.7,67.76
1105,2019-01-10,67.67,67.8,67.76,67.8
1104,2019-01-10,67.63,67.79,67.79,67.69
1103,2019-01-10,67.72,67.86,67.72,67.86
1102,2019-01-10,67.81,67.9,67.86,67.83
1101,2019-01-10,67.9,67.99,67.94,67.9
1100,2019-01-10,67.82,68.01,67.82,68.0
1099,2019-01-10,67.954,68.0,67.99,67.97
1098,2019-01-10,67.93,67.98,67.97,67.97
1097,2019-01-10,67.95,68.12,67.97,68.06
1096,2019-01-10,67.88,68.0883,68.05,67.88
1095,2019-01-10,67.9,67.98,67.9,67.98
1094,2019-01-10,67.97,68.15,68.0,68.01
1093,2019-01-10,67.88,68.06,67.99,67.88
1092,2019-01-10,67.74,67.92,67.88,67.77
1091,2019-01-10,67.655,67.8,67.78,67.7
1090,2019-01-10,67.71,67.78,67.72,67.71
1089,2019-01-10,67.645,67.81,67.67,67.81
1088,2019-01-10,67.79,67.9,67.85,67.81
1087,2019-01-10,67.81,68.06,67.81,67.98
1086,2019-01-10,67.84,68.02,67.99,67.895
1085,2019-01-10,67.8266,67.89,67.89,67.83
1084,2019-01-10,67.83,67.901,67.83,67.9
1083,2019-01-10,67.875,67.99,67.89,67.98
1082,2019-01-10,67.93,68.01,67.99,68.01
1081,2019-01-10,67.96,68.06,67.96,68.01
1080,2019-01-10,67.97,68.04,67.99,68.04
1079,2019-01-10,67.9932,68.1,68.05,67.9932
1078,2019-01-10,67.98,68.04,67.99,68.02
1077,2019-01-10,67.97,68.02,68.02,68.0
1076,2019-01-10,67.94,68.03,67.995,67.97
1075,2019-01-10,67.89,67.96,67.94,67.89
1074,2019-01-10,67.91,68.01,67.92,68.01
1073,2019-01-10,67.9,68.0,67.96,67.9947
1072,2019-01-10,67.88,67.9599,67.9599,67.89
1071,2019-01-10,67.825,67.9,67.9,67.87
1070,2019-01-10,67.75,67.86,67.81,67.86
1069,2019-01-10,67.8,67.9199,67.875,67.8
1068,2019-01-10,67.58,67.73,67.73,67.58
1067,2019-01-10,67.54,67.6,67.57,67.54
1066,2019-01-10,67.37,67.53,67.53,67.4
1065,2019-01-10,67.44,67.48,67.44,67.45
1064,2019-01-10,67.42,67.62,67.47,67.59
1063,2019-01-10,67.44,67.6,67.57,67.44
1062,2019-01-10,67.19,67.44,67.44,67.19
1061,2019-01-10,67.1,67.265,67.19,67.2292
1060,2019-01-10,67.25,67.52,67.28,67.52
1059,2019-01-10,67.48,67.81,67.52,67.77
1058,2019-01-10,67.555,67.76,67.76,67.6
1057,2019-01-10,67.5,67.85,67.6101,67.85
1056,2019-01-09,67.84,67.985,67.93,67.84
1055,2019-01-09,67.85,67.96,67.8599,67.96
1054,2019-01-09,67.87,68.09,67.9598,68.08
1053,2019-01-09,68.06,68.2,68.08,68.2
1052,2019-01-09,68.16,68.32,68.19,68.32
1051,2019-01-09,68.27,68.33,68.33,68.33
1050,2019-01-09,68.3,68.38,68.335,68.38
1049,2019-01-09,68.38,68.45,68.38,68.42
1048,2019-01-09,68.38,68.453,68.4,68.38
1047,2019-01-09,68.335,68.4,68.35,68.38
1046,2019-01-09,68.33,68.38,68.37,68.38
1045,2019-01-09,68.365,68.47,68.365,68.395
1044,2019-01-09,68.392,68.46,68.42,68.44
1043,2019-01-09,68.39,68.45,68.43,68.45
1042,2019-01-09,68.315,68.42,68.41,68.32
1041,2019-01-09,68.17,68.3154,68.3154,68.19
1040,2019-01-09,68.1,68.21,68.1901,68.1
1039,2019-01-09,68.05,68.16,68.1,68.14
1038,2019-01-09,68.05,68.18,68.13,68.13
1037,2019-01-09,68.04,68.2,68.1,68.16
