,Date,Low,High,Close,Open
1134,2019-01-10,4.87,4.885,4.88,4.875
1133,2019-01-10,4.871,4.89,4.871,4.89
1132,2019-01-10,4.88,4.89,4.89,4.885
1131,2019-01-10,4.875,4.89,4.88,4.875
1130,2019-01-10,4.875,4.895,4.875,4.88
1129,2019-01-10,4.865,4.88,4.88,4.865
1128,2019-01-10,4.845,4.87,4.86,4.845
1127,2019-01-10,4.83,4.845,4.845,4.83
1126,2019-01-10,4.835,4.85,4.835,4.835
1125,2019-01-10,4.83,4.84,4.835,4.84
1124,2019-01-10,4.84,4.85,4.8433,4.845
1123,2019-01-10,4.84,4.85,4.85,4.85
1122,2019-01-10,4.83,4.85,4.85,4.83
1121,2019-01-10,4.83,4.84,4.84,4.835
1120,2019-01-10,4.83,4.835,4.8301,4.835
1119,2019-01-10,4.805,4.83,4.83,4.805
1118,2019-01-10,4.8,4.81,4.8,4.8
1117,2019-01-10,4.8,4.805,4.805,4.805
1116,2019-01-10,4.8,4.805,4.805,4.8
1115,2019-01-10,4.8,4.805,4.805,4.805
1114,2019-01-10,4.8,4.81,4.805,4.8
1113,2019-01-10,4.785,4.8,4.7999,4.785
1112,2019-01-10,4.7801,4.79,4.7801,4.79
1111,2019-01-10,4.7883,4.8,4.79,4.7883
1110,2019-01-10,4.76,4.79,4.79,4.76
1109,2019-01-10,4.765,4.77,4.77,4.765
1108,2019-01-10,4.76,4.765,4.76,4.76
1107,2019-01-10,4.74,4.755,4.755,4.755
1106,2019-01-10,4.75,4.76,4.755,4.7501
1105,2019-01-10,4.75,4.7683,4.75,4.76
1104,2019-01-10,4.75,4.77,4.77,4.75
1103,2019-01-10,4.735,4.74,4.74,4.74
1102,2019-01-10,4.71,4.74,4.72,4.74
1101,2019-01-10,4.74,4.765,4.74,4.765
1100,2019-01-10,4.76,4.795,4.76,4.795
1099,2019-01-10,4.8,4.8,4.8,4.8
1098,2019-01-10,4.8,4.8,4.8,4.8
1097,2019-01-10,4.8,4.815,4.805,4.81
1096,2019-01-10,4.79,4.815,4.81,4.79
1095,2019-01-10,4.79,4.81,4.79,4.81
1094,2019-01-10,4.8,4.8099,4.8099,4.8
1093,2019-01-10,4.8,4.805,4.8,4.8
1092,2019-01-10,4.79,4.81,4.805,4.8
1091,2019-01-10,4.7901,4.8,4.8,4.795
1090,2019-01-10,4.785,4.79,4.79,4.79
1089,2019-01-10,4.78,4.79,4.78,4.78
1088,2019-01-10,4.785,4.805,4.785,4.805
1087,2019-01-10,4.805,4.825,4.805,4.82
1086,2019-01-10,4.8,4.82,4.82,4.8
1085,2019-01-10,4.795,4.8082,4.8018,4.805
1084,2019-01-10,4.7901,4.8,4.8,4.8
1083,2019-01-10,4.79,4.805,4.795,4.805
1082,2019-01-10,4.79,4.8082,4.8082,4.79
1081,2019-01-10,4.7836,4.79,4.785,4.79
1080,2019-01-10,4.8,4.825,4.81,4.8
1079,2019-01-10,4.79,4.815,4.81,4.8
1078,2019-01-10,4.8,4.825,4.8,4.81
1077,2019-01-10,4.8132,4.83,4.82,4.83
1076,2019-01-10,4.83,4.8436,4.84,4.83
1075,2019-01-10,4.82,4.8434,4.82,4.82
1074,2019-01-10,4.8201,4.841,4.8276,4.83
1073,2019-01-10,4.7883,4.86,4.84,4.7883
1072,2019-01-10,4.73,4.82,4.815,4.735
1071,2019-01-10,4.71,4.75,4.73,4.75
1070,2019-01-10,4.6572,4.73,4.73,4.6661
1069,2019-01-10,4.65,4.67,4.67,4.65
1068,2019-01-10,4.64,4.6984,4.645,4.6984
1067,2019-01-10,4.685,4.7,4.695,4.6885
1066,2019-01-10,4.68,4.695,4.6899,4.685
1065,2019-01-10,4.664,4.7,4.685,4.6967
1064,2019-01-10,4.6699,4.705,4.7,4.67
1063,2019-01-10,4.67,4.7299,4.67,4.69
1062,2019-01-10,4.7,4.73,4.7,4.7284
1061,2019-01-10,4.73,4.78,4.73,4.73
1060,2019-01-10,4.7268,4.765,4.73,4.73
1059,2019-01-10,4.71,4.76,4.73,4.71
1058,2019-01-10,4.67,4.72,4.69,4.71
1057,2019-01-10,4.7,4.834,4.7,4.8301
1056,2019-01-09,4.905,4.92,4.91,4.91
1055,2019-01-09,4.9,4.92,4.915,4.905
1054,2019-01-09,4.9,4.92,4.905,4.91
1053,2019-01-09,4.9,4.92,4.915,4.92
1052,2019-01-09,4.89,4.92,4.915,4.89
1051,2019-01-09,4.88,4.89,4.885,4.885
1050,2019-01-09,4.88,4.92,4.885,4.915
1049,2019-01-09,4.91,4.92,4.915,4.915
1048,2019-01-09,4.89,4.9185,4.9185,4.895
1047,2019-01-09,4.89,4.91,4.895,4.905
1046,2019-01-09,4.9,4.925,4.905,4.92
1045,2019-01-09,4.91,4.9425,4.91,4.935
1044,2019-01-09,4.935,4.965,4.935,4.965
1043,2019-01-09,4.9615,4.97,4.97,4.97
1042,2019-01-09,4.965,4.98,4.97,4.97
1041,2019-01-09,4.9615,4.97,4.97,4.97
1040,2019-01-09,4.95,4.975,4.975,4.95
1039,2019-01-09,4.9201,4.95,4.95,4.9201
