,Date,Low,High,Close,Open
1016,2019-01-10,0.961,0.9694,0.9623,0.961
1015,2019-01-10,0.96,0.9685,0.96,0.9685
1014,2019-01-10,0.9601,0.9688,0.9688,0.9601
1013,2019-01-10,0.96,0.9689,0.9689,0.96
1012,2019-01-10,0.9703,0.9752,0.9703,0.9752
1011,2019-01-10,0.9547,0.9703,0.96,0.9703
1010,2019-01-10,0.9718,0.975,0.9718,0.975
1009,2019-01-10,0.9794,0.9894,0.9794,0.9894
1008,2019-01-10,0.9758,0.9758,0.9758,0.9758
1007,2019-01-10,0.98,0.98,0.98,0.98
1006,2019-01-10,0.9801,0.9801,0.9801,0.9801
1005,2019-01-10,0.98,0.9893,0.98,0.9893
1004,2019-01-10,0.9896,0.9896,0.9896,0.9896
1003,2019-01-10,0.9736,0.9736,0.9736,0.9736
1002,2019-01-10,0.9757,0.9757,0.9757,0.9757
1001,2019-01-10,0.9874,0.9874,0.9874,0.9874
1000,2019-01-10,0.9895,0.9895,0.9895,0.9895
999,2019-01-10,0.975,0.9751,0.975,0.9751
998,2019-01-10,0.98,0.98,0.98,0.98
997,2019-01-10,0.987,0.987,0.987,0.987
996,2019-01-10,0.9903,0.9903,0.9903,0.9903
995,2019-01-10,0.987,0.9904,0.9886,0.987
994,2019-01-10,0.9871,0.9871,0.9871,0.9871
993,2019-01-10,0.987,0.987,0.987,0.987
992,2019-01-10,0.9871,0.9871,0.9871,0.9871
991,2019-01-10,0.987,0.987,0.987,0.987
990,2019-01-10,0.9903,0.9903,0.9903,0.9903
989,2019-01-10,0.987,0.987,0.987,0.987
988,2019-01-10,0.9892,0.9933,0.9892,0.9933
987,2019-01-10,0.9894,0.9894,0.9894,0.9894
986,2019-01-10,0.9872,0.9972,0.9872,0.9972
985,2019-01-10,0.99,0.99,0.99,0.99
984,2019-01-10,0.9934,0.995,0.995,0.9934
983,2019-01-10,0.9949,1.0,0.9949,1.0
982,2019-01-10,0.995,0.995,0.995,0.995
981,2019-01-10,0.9865,1.0,1.0,0.9865
980,2019-01-10,1.0,1.0,1.0,1.0
979,2019-01-10,0.9901,0.9901,0.9901,0.9901
978,2019-01-10,0.9899,0.9941,0.9899,0.9941
977,2019-01-10,0.995,0.995,0.995,0.995
976,2019-01-10,1.0,1.0,1.0,1.0
975,2019-01-10,0.9939,0.9985,0.9985,0.9939
974,2019-01-10,0.9842,0.9842,0.9842,0.9842
973,2019-01-10,0.9835,0.9949,0.9949,0.9835
972,2019-01-10,0.9841,0.9846,0.9846,0.9841
971,2019-01-10,0.9841,0.9841,0.9841,0.9841
970,2019-01-10,0.9701,0.9899,0.9701,0.9899
969,2019-01-10,1.0062,1.0062,1.0062,1.0062
968,2019-01-10,1.0,1.0,1.0,1.0
967,2019-01-10,1.0199,1.0199,1.0199,1.0199
966,2019-01-10,1.0001,1.02,1.02,1.0001
965,2019-01-10,1.0,1.0199,1.0,1.0199
964,2019-01-10,1.0,1.0168,1.0,1.0168
963,2019-01-10,1.0016,1.005,1.005,1.0016
962,2019-01-09,0.9711,0.9711,0.9711,0.9711
961,2019-01-09,0.97,0.9826,0.97,0.9826
960,2019-01-09,0.97,0.9825,0.9825,0.97
959,2019-01-09,0.97,0.973,0.97,0.973
958,2019-01-09,0.973,0.9936,0.973,0.9936
957,2019-01-09,0.9731,0.9986,0.9731,0.9986
956,2019-01-09,0.9732,0.9732,0.9732,0.9732
955,2019-01-09,0.974,0.974,0.974,0.974
954,2019-01-09,0.9884,0.9884,0.9884,0.9884
953,2019-01-09,0.973,0.973,0.973,0.973
952,2019-01-09,0.9952,0.9991,0.9952,0.9991
951,2019-01-09,0.9705,0.9705,0.9705,0.9705
950,2019-01-09,0.9705,0.972,0.9705,0.972
949,2019-01-09,0.9705,0.9706,0.9705,0.9706
948,2019-01-09,0.9999,0.9999,0.9999,0.9999
947,2019-01-09,1.0,1.0071,1.0071,1.0
946,2019-01-09,1.0014,1.0014,1.0014,1.0014
945,2019-01-09,1.0,1.0001,1.0,1.0001
944,2019-01-09,1.0,1.0,1.0,1.0
943,2019-01-09,1.0059,1.0059,1.0059,1.0059
942,2019-01-09,1.0031,1.0031,1.0031,1.0031
941,2019-01-09,0.9999,1.0,1.0,0.9999
940,2019-01-09,0.9709,0.98,0.98,0.9709
939,2019-01-09,0.9709,0.9709,0.9709,0.9709
938,2019-01-09,0.98,0.98,0.98,0.98
937,2019-01-09,0.9706,0.9706,0.9706,0.9706
936,2019-01-09,0.98,0.98,0.98,0.98
935,2019-01-09,0.9768,0.9768,0.9768,0.9768
934,2019-01-09,0.97,0.9701,0.9701,0.97
