,Date,Low,High,Close,Open
1133,2019-01-10,12.55,12.585,12.57,12.585
1132,2019-01-10,12.57,12.6,12.585,12.575
1131,2019-01-10,12.57,12.595,12.575,12.585
1130,2019-01-10,12.58,12.6,12.585,12.595
1129,2019-01-10,12.59,12.615,12.6,12.595
1128,2019-01-10,12.57,12.6,12.595,12.6
1127,2019-01-10,12.5849,12.6,12.6,12.59
1126,2019-01-10,12.5715,12.59,12.585,12.59
1125,2019-01-10,12.58,12.59,12.585,12.59
1124,2019-01-10,12.57,12.6,12.59,12.6
1123,2019-01-10,12.595,12.62,12.61,12.595
1122,2019-01-10,12.58,12.6,12.595,12.585
1121,2019-01-10,12.565,12.5801,12.58,12.58
1120,2019-01-10,12.57,12.59,12.585,12.575
1119,2019-01-10,12.575,12.6,12.575,12.595
1118,2019-01-10,12.58,12.6,12.59,12.58
1117,2019-01-10,12.5579,12.58,12.57,12.5579
1116,2019-01-10,12.545,12.555,12.555,12.545
1115,2019-01-10,12.54,12.58,12.545,12.58
1114,2019-01-10,12.555,12.575,12.57,12.56
1113,2019-01-10,12.52,12.575,12.55,12.57
1112,2019-01-10,12.561,12.58,12.58,12.57
1111,2019-01-10,12.555,12.565,12.565,12.555
1110,2019-01-10,12.53,12.555,12.55,12.53
1109,2019-01-10,12.475,12.52,12.52,12.49
1108,2019-01-10,12.475,12.5,12.49,12.475
1107,2019-01-10,12.45,12.47,12.47,12.45
1106,2019-01-10,12.44,12.46,12.44,12.46
1105,2019-01-10,12.46,12.48,12.46,12.48
1104,2019-01-10,12.46,12.49,12.49,12.48
1103,2019-01-10,12.475,12.49,12.48,12.475
1102,2019-01-10,12.48,12.49,12.48,12.485
1101,2019-01-10,12.48,12.49,12.485,12.49
1100,2019-01-10,12.5,12.51,12.5,12.51
1099,2019-01-10,12.5,12.545,12.5061,12.54
1098,2019-01-10,12.54,12.55,12.55,12.55
1097,2019-01-10,12.55,12.56,12.555,12.55
1096,2019-01-10,12.555,12.58,12.56,12.56
1095,2019-01-10,12.545,12.57,12.57,12.555
