,Date,Low,High,Close,Open
1134,2019-01-10,48.49,48.61,48.54,48.59
1133,2019-01-10,48.54,48.61,48.59,48.54
1132,2019-01-10,48.52,48.63,48.54,48.61
1131,2019-01-10,48.5515,48.65,48.6,48.57
1130,2019-01-10,48.48,48.57,48.57,48.52
1129,2019-01-10,48.39,48.52,48.5156,48.44
1128,2019-01-10,48.44,48.49,48.445,48.445
1127,2019-01-10,48.37,48.45,48.44,48.37
1126,2019-01-10,48.3674,48.43,48.38,48.4299
1125,2019-01-10,48.32,48.42,48.42,48.34
1124,2019-01-10,48.34,48.44,48.34,48.44
1123,2019-01-10,48.325,48.45,48.445,48.33
1122,2019-01-10,48.1815,48.345,48.345,48.2
1121,2019-01-10,48.19,48.2485,48.21,48.23
1120,2019-01-10,48.2174,48.32,48.24,48.32
1119,2019-01-10,48.23,48.33,48.32,48.23
1118,2019-01-10,48.21,48.26,48.225,48.23
1117,2019-01-10,48.18,48.27,48.23,48.25
1116,2019-01-10,48.23,48.31,48.25,48.3001
1115,2019-01-10,48.21,48.33,48.29,48.2453
1114,2019-01-10,48.12,48.21,48.21,48.141
1113,2019-01-10,48.115,48.18,48.14,48.15
1112,2019-01-10,48.01,48.13,48.1245,48.01
1111,2019-01-10,47.9,47.9901,47.9901,47.9
1110,2019-01-10,47.83,47.9,47.9,47.83
1109,2019-01-10,47.83,47.86,47.845,47.85
1108,2019-01-10,47.78,47.86,47.84,47.78
1107,2019-01-10,47.7441,47.85,47.77,47.85
1106,2019-01-10,47.825,47.97,47.86,47.97
1105,2019-01-10,47.895,47.995,47.97,47.98
1104,2019-01-10,47.9,47.985,47.98,47.9
1103,2019-01-10,47.87,47.94,47.91,47.94
1102,2019-01-10,47.85,47.9399,47.93,47.92
1101,2019-01-10,47.9024,47.99,47.94,47.94
1100,2019-01-10,47.94,48.14,47.94,48.12
1099,2019-01-10,48.05,48.12,48.1,48.09
1098,2019-01-10,48.07,48.125,48.09,48.11
1097,2019-01-10,48.1,48.19,48.11,48.12
1096,2019-01-10,48.01,48.18,48.12,48.01
1095,2019-01-10,47.9643,48.05,47.9974,48.05
1094,2019-01-10,48.03,48.075,48.05,48.03
1093,2019-01-10,48.0316,48.0867,48.05,48.05
1092,2019-01-10,47.97,48.04,48.04,47.99
1091,2019-01-10,47.95,48.005,48.005,48.0
1090,2019-01-10,48.0,48.05,48.02,48.0026
1089,2019-01-10,47.96,48.02,47.99,47.97
