,Date,Low,High,Close,Open
1134,2019-01-10,144.5,144.77,144.56,144.77
1133,2019-01-10,144.835,145.03,144.835,144.965
1132,2019-01-10,144.965,145.43,144.965,145.355
1131,2019-01-10,145.195,145.48,145.28,145.38
1130,2019-01-10,145.13,145.29,145.28,145.13
1129,2019-01-10,144.9,145.14,145.14,144.91
1128,2019-01-10,144.91,145.11,144.91,145.0085
1127,2019-01-10,144.86,145.04,145.0,144.86
1126,2019-01-10,144.67,144.91,144.84,144.67
1125,2019-01-10,144.41,144.57,144.57,144.48
1124,2019-01-10,144.69,144.98,144.71,144.98
1123,2019-01-10,144.86,144.98,144.97,144.86
1122,2019-01-10,144.62,144.8,144.8,144.62
1121,2019-01-10,144.67,144.82,144.75,144.82
1120,2019-01-10,144.76,144.96,144.76,144.91
1119,2019-01-10,144.83,145.18,145.18,144.84
1118,2019-01-10,144.77,145.0301,144.79,144.975
1117,2019-01-10,144.82,145.02,144.98,144.82
1116,2019-01-10,144.6,144.89,144.86,144.6
1115,2019-01-10,144.41,144.5901,144.54,144.41
1114,2019-01-10,144.17,144.38,144.38,144.2436
1113,2019-01-10,144.16,144.29,144.21,144.265
1112,2019-01-10,144.09,144.31,144.23,144.1
1111,2019-01-10,143.85,144.05,144.04,143.85
1110,2019-01-10,143.61,143.87,143.85,143.68
1109,2019-01-10,143.72,143.96,143.76,143.85
1108,2019-01-10,143.4,143.82,143.82,143.4
1107,2019-01-10,143.39,143.55,143.39,143.55
1106,2019-01-10,143.545,143.81,143.64,143.81
1105,2019-01-10,143.73,143.94,143.77,143.94
1104,2019-01-10,143.75,143.92,143.82,143.92
1103,2019-01-10,143.54,143.76,143.76,143.58
1102,2019-01-10,143.47,143.66,143.66,143.52
1101,2019-01-10,143.48,143.69,143.59,143.48
1100,2019-01-10,143.405,144.0719,143.405,144.05
1099,2019-01-10,143.96,144.2731,143.96,144.09
1098,2019-01-10,144.22,144.43,144.323,144.43
1097,2019-01-10,144.32,144.53,144.44,144.32
1096,2019-01-10,144.16,144.59,144.42,144.16
1095,2019-01-10,144.04,144.4,144.1169,144.4
1094,2019-01-10,144.07,144.509,144.509,144.07
1093,2019-01-10,144.11,144.2338,144.202,144.11
1092,2019-01-10,143.6,144.0,143.97,143.64
1091,2019-01-10,143.54,143.73,143.605,143.7
1090,2019-01-10,143.75,143.95,143.75,143.95
1089,2019-01-10,143.63,143.95,143.95,143.78
1088,2019-01-10,143.7348,143.93,143.7348,143.93
1087,2019-01-10,143.98,144.29,144.0,144.21
1086,2019-01-10,143.98,144.3477,144.3477,144.2
1085,2019-01-10,143.77,144.3,144.17,143.96
1084,2019-01-10,143.9601,144.305,143.9601,144.245
1083,2019-01-10,144.26,144.67,144.26,144.67
1082,2019-01-10,144.46,144.65,144.635,144.46
1081,2019-01-10,143.96,144.44,144.44,144.15
